
Execution at 2020-03-10 19:12:50.523537
---------------------------------------
read_csv                       | 7.712e-04 s | Records: 3
read_csv                       | 1.744e-03 s | Records: 44
read_csv                       | 8.581e-04 s | Records: 15
show_available_products        | 2.300e-02 s | Records: 0
read_csv                       | 2.046e-03 s | Records: 44
read_csv                       | 2.335e-03 s | Records: 33
read_csv                       | 8.831e-04 s | Records: 15
import_data                    | 1.146e-01 s | Records: 2
show_available_products        | 8.576e-02 s | Records: 41
read_csv                       | 1.429e-03 s | Records: 33
read_csv                       | 1.440e-03 s | Records: 44
read_csv                       | 8.311e-04 s | Records: 15
read_csv                       | 1.371e-03 s | Records: 44
read_csv                       | 1.391e-03 s | Records: 33
read_csv                       | 1.125e-03 s | Records: 15
import_data                    | 9.949e-02 s | Records: 2
show_available_products        | 9.994e-02 s | Records: 41
show_products_for_customer     | 1.013e-01 s | Records: 41
read_csv                       | 2.092e-03 s | Records: 33
read_csv                       | 1.326e-03 s | Records: 44
read_csv                       | 8.662e-04 s | Records: 15
read_csv                       | 1.558e-03 s | Records: 44
read_csv                       | 1.677e-03 s | Records: 33
read_csv                       | 9.206e-04 s | Records: 15
import_data                    | 7.227e-02 s | Records: 2
show_rentals                   | 1.668e-02 s | Records: 0
show_rentals                   | 9.993e-03 s | Records: 2
show_rentals                   | 9.254e-03 s | Records: 2
show_rentals                   | 8.388e-03 s | Records: 1
show_rentals                   | 8.039e-03 s | Records: 1
show_rentals                   | 6.915e-03 s | Records: 0
show_rentals                   | 6.945e-03 s | Records: 0
show_rentals                   | 7.108e-03 s | Records: 0
show_rentals                   | 1.746e-02 s | Records: 1
show_rentals                   | 1.708e-02 s | Records: 0
show_rentals                   | 1.918e-02 s | Records: 1
show_rentals                   | 1.792e-02 s | Records: 0
show_rentals                   | 1.711e-02 s | Records: 0
show_rentals                   | 1.697e-02 s | Records: 0
show_rentals                   | 7.095e-03 s | Records: 0
show_rentals                   | 7.339e-03 s | Records: 0
show_rentals                   | 6.967e-03 s | Records: 0
show_rentals                   | 6.883e-03 s | Records: 0
show_rentals                   | 6.915e-03 s | Records: 0
show_rentals                   | 7.100e-03 s | Records: 0
show_rentals                   | 6.931e-03 s | Records: 0
show_rentals                   | 6.993e-03 s | Records: 0
show_rentals                   | 1.735e-02 s | Records: 0
show_rentals                   | 2.873e-02 s | Records: 0
show_rentals                   | 1.682e-02 s | Records: 0
show_rentals                   | 7.054e-03 s | Records: 0
show_rentals                   | 1.709e-02 s | Records: 0
show_rentals                   | 7.091e-03 s | Records: 0
show_rentals                   | 6.853e-03 s | Records: 0
show_rentals                   | 1.091e-02 s | Records: 3
show_rentals                   | 6.637e-03 s | Records: 0
show_rentals                   | 1.700e-02 s | Records: 0
show_rentals                   | 1.738e-02 s | Records: 0
show_rentals                   | 1.797e-02 s | Records: 1
show_rentals                   | 1.786e-02 s | Records: 0
show_rentals                   | 8.242e-03 s | Records: 1
show_rentals                   | 8.093e-03 s | Records: 1
show_rentals                   | 7.168e-03 s | Records: 0
show_rentals                   | 1.770e-02 s | Records: 0
show_rentals                   | 7.955e-03 s | Records: 1
show_rentals                   | 1.705e-02 s | Records: 0
show_rentals                   | 1.718e-02 s | Records: 0
show_rentals                   | 7.086e-03 s | Records: 0
show_rentals                   | 7.002e-03 s | Records: 0
show_rentals                   | 1.796e-02 s | Records: 0

Execution at 2020-03-10 19:13:09.127647
---------------------------------------
read_csv                       | 7.378e-04 s | Records: 3
read_csv                       | 6.836e-04 s | Records: 3
read_csv                       | 2.994e-03 s | Records: 153
read_csv                       | 3.958e-03 s | Records: 204
read_csv                       | 7.682e-04 s | Records: 55
read_csv                       | 3.081e-03 s | Records: 204
read_csv                       | 3.136e-03 s | Records: 153
read_csv                       | 8.296e-04 s | Records: 55
import_data                    | 8.291e-02 s | Records: 2
read_csv                       | 3.952e-03 s | Records: 153
read_csv                       | 4.331e-03 s | Records: 204
read_csv                       | 1.035e-03 s | Records: 55
show_available_products        | 7.180e-03 s | Records: 0
read_csv                       | 2.871e-03 s | Records: 204
read_csv                       | 1.086e-02 s | Records: 153
read_csv                       | 9.291e-04 s | Records: 55
import_data                    | 8.680e-02 s | Records: 2
show_available_products        | 1.868e-01 s | Records: 188
read_csv                       | 4.917e-03 s | Records: 153
read_csv                       | 5.214e-03 s | Records: 204
read_csv                       | 1.276e-03 s | Records: 55
read_csv                       | 4.651e-03 s | Records: 204
read_csv                       | 4.688e-03 s | Records: 153
read_csv                       | 1.009e-03 s | Records: 55
import_data                    | 8.350e-02 s | Records: 2
show_available_products        | 1.908e-01 s | Records: 188
show_products_for_customer     | 1.917e-01 s | Records: 188
read_csv                       | 3.127e-03 s | Records: 153
read_csv                       | 2.748e-03 s | Records: 204
read_csv                       | 7.881e-04 s | Records: 55
read_csv                       | 2.658e-03 s | Records: 204
read_csv                       | 2.914e-03 s | Records: 153
read_csv                       | 1.040e-03 s | Records: 55
import_data                    | 7.313e-02 s | Records: 2
show_rentals                   | 1.631e-02 s | Records: 0
show_rentals                   | 9.151e-03 s | Records: 2
show_rentals                   | 1.916e-02 s | Records: 1
show_rentals                   | 2.014e-02 s | Records: 2
show_rentals                   | 9.501e-03 s | Records: 2
show_rentals                   | 7.163e-03 s | Records: 0
show_rentals                   | 1.830e-02 s | Records: 0
show_rentals                   | 8.207e-03 s | Records: 0
show_rentals                   | 9.888e-03 s | Records: 0
show_rentals                   | 2.416e-02 s | Records: 2
show_rentals                   | 1.231e-02 s | Records: 1
show_rentals                   | 2.082e-02 s | Records: 0
show_rentals                   | 9.639e-03 s | Records: 0
show_rentals                   | 1.017e-02 s | Records: 0
show_rentals                   | 9.682e-03 s | Records: 0
show_rentals                   | 1.344e-02 s | Records: 2
show_rentals                   | 1.012e-02 s | Records: 0
show_rentals                   | 2.143e-02 s | Records: 1
show_rentals                   | 1.045e-02 s | Records: 0
show_rentals                   | 1.963e-02 s | Records: 0
show_rentals                   | 1.040e-02 s | Records: 0
show_rentals                   | 1.083e-02 s | Records: 0
show_rentals                   | 2.120e-02 s | Records: 0
show_rentals                   | 9.731e-03 s | Records: 0
show_rentals                   | 1.949e-02 s | Records: 0
show_rentals                   | 9.908e-03 s | Records: 0
show_rentals                   | 2.037e-02 s | Records: 0
show_rentals                   | 9.523e-03 s | Records: 0
show_rentals                   | 1.959e-02 s | Records: 0
show_rentals                   | 1.049e-02 s | Records: 1
show_rentals                   | 1.014e-02 s | Records: 0
show_rentals                   | 9.170e-03 s | Records: 0
show_rentals                   | 2.130e-02 s | Records: 1
show_rentals                   | 8.765e-03 s | Records: 0
show_rentals                   | 1.150e-02 s | Records: 2
show_rentals                   | 8.394e-03 s | Records: 0
show_rentals                   | 8.825e-03 s | Records: 0
show_rentals                   | 8.777e-03 s | Records: 0
show_rentals                   | 1.939e-02 s | Records: 0
show_rentals                   | 1.960e-02 s | Records: 0
show_rentals                   | 1.046e-02 s | Records: 1
show_rentals                   | 2.153e-02 s | Records: 2
show_rentals                   | 9.278e-03 s | Records: 0
show_rentals                   | 2.090e-02 s | Records: 1
show_rentals                   | 8.770e-03 s | Records: 0
show_rentals                   | 2.008e-02 s | Records: 0
show_rentals                   | 8.371e-03 s | Records: 0
show_rentals                   | 1.833e-02 s | Records: 0
show_rentals                   | 8.611e-03 s | Records: 0
show_rentals                   | 1.721e-02 s | Records: 0
show_rentals                   | 7.689e-03 s | Records: 1
show_rentals                   | 1.753e-02 s | Records: 0
show_rentals                   | 6.601e-03 s | Records: 0
show_rentals                   | 1.688e-02 s | Records: 0
show_rentals                   | 1.701e-02 s | Records: 0
show_rentals                   | 1.699e-02 s | Records: 0
show_rentals                   | 1.604e-02 s | Records: 0
show_rentals                   | 6.449e-03 s | Records: 0
show_rentals                   | 1.620e-02 s | Records: 0
show_rentals                   | 1.905e-02 s | Records: 2
show_rentals                   | 1.814e-02 s | Records: 1
show_rentals                   | 1.681e-02 s | Records: 0
show_rentals                   | 7.208e-03 s | Records: 0
show_rentals                   | 7.294e-03 s | Records: 0
show_rentals                   | 1.766e-02 s | Records: 0
show_rentals                   | 6.902e-03 s | Records: 0
show_rentals                   | 8.267e-03 s | Records: 1
show_rentals                   | 7.119e-03 s | Records: 0
show_rentals                   | 7.166e-03 s | Records: 0
show_rentals                   | 6.981e-03 s | Records: 0
show_rentals                   | 7.247e-03 s | Records: 0
show_rentals                   | 1.793e-02 s | Records: 0
show_rentals                   | 1.772e-02 s | Records: 0
show_rentals                   | 9.180e-03 s | Records: 1
show_rentals                   | 7.847e-03 s | Records: 0
show_rentals                   | 1.814e-02 s | Records: 0
show_rentals                   | 7.218e-03 s | Records: 0
show_rentals                   | 6.826e-03 s | Records: 0
show_rentals                   | 6.927e-03 s | Records: 0
show_rentals                   | 1.863e-02 s | Records: 0
show_rentals                   | 8.113e-03 s | Records: 0
show_rentals                   | 7.349e-03 s | Records: 0
show_rentals                   | 1.709e-02 s | Records: 0
show_rentals                   | 8.006e-03 s | Records: 0
show_rentals                   | 1.811e-02 s | Records: 0
show_rentals                   | 1.925e-02 s | Records: 1
show_rentals                   | 1.784e-02 s | Records: 0
show_rentals                   | 1.693e-02 s | Records: 0
show_rentals                   | 9.018e-03 s | Records: 2
show_rentals                   | 1.702e-02 s | Records: 0
show_rentals                   | 5.914e-03 s | Records: 0
show_rentals                   | 1.799e-02 s | Records: 1
show_rentals                   | 7.106e-03 s | Records: 0
show_rentals                   | 7.099e-03 s | Records: 0
show_rentals                   | 6.932e-03 s | Records: 0
show_rentals                   | 8.239e-03 s | Records: 1
show_rentals                   | 1.791e-02 s | Records: 0
show_rentals                   | 7.218e-03 s | Records: 0
show_rentals                   | 1.788e-02 s | Records: 0
show_rentals                   | 1.673e-02 s | Records: 0
show_rentals                   | 1.542e-02 s | Records: 0
show_rentals                   | 1.735e-02 s | Records: 0
show_rentals                   | 6.686e-03 s | Records: 0
show_rentals                   | 6.140e-03 s | Records: 0
show_rentals                   | 1.779e-02 s | Records: 0
show_rentals                   | 1.768e-02 s | Records: 0
show_rentals                   | 1.623e-02 s | Records: 0
show_rentals                   | 6.474e-03 s | Records: 0
show_rentals                   | 1.804e-02 s | Records: 0
show_rentals                   | 1.699e-02 s | Records: 0
show_rentals                   | 1.621e-02 s | Records: 0
show_rentals                   | 1.696e-02 s | Records: 0
show_rentals                   | 9.774e-03 s | Records: 0
show_rentals                   | 1.564e-02 s | Records: 0
show_rentals                   | 5.548e-03 s | Records: 0
show_rentals                   | 5.584e-03 s | Records: 0
show_rentals                   | 1.541e-02 s | Records: 0
show_rentals                   | 6.818e-03 s | Records: 1
show_rentals                   | 6.460e-03 s | Records: 1
show_rentals                   | 6.477e-03 s | Records: 1
show_rentals                   | 5.781e-03 s | Records: 0
show_rentals                   | 6.020e-03 s | Records: 0
show_rentals                   | 1.593e-02 s | Records: 1
show_rentals                   | 1.535e-02 s | Records: 0
show_rentals                   | 1.658e-02 s | Records: 0
show_rentals                   | 7.414e-03 s | Records: 0
show_rentals                   | 6.850e-03 s | Records: 0
show_rentals                   | 8.507e-03 s | Records: 1
show_rentals                   | 1.907e-02 s | Records: 1
show_rentals                   | 1.853e-02 s | Records: 0
show_rentals                   | 8.576e-03 s | Records: 1
show_rentals                   | 1.775e-02 s | Records: 0
show_rentals                   | 7.166e-03 s | Records: 0
show_rentals                   | 1.891e-02 s | Records: 1
show_rentals                   | 7.365e-03 s | Records: 0
show_rentals                   | 7.626e-03 s | Records: 0
show_rentals                   | 1.779e-02 s | Records: 0
show_rentals                   | 7.947e-03 s | Records: 0
show_rentals                   | 7.224e-03 s | Records: 0
show_rentals                   | 7.343e-03 s | Records: 0
show_rentals                   | 7.377e-03 s | Records: 0
show_rentals                   | 8.329e-03 s | Records: 1
show_rentals                   | 1.838e-02 s | Records: 1
show_rentals                   | 6.999e-03 s | Records: 0
show_rentals                   | 1.777e-02 s | Records: 0
show_rentals                   | 1.794e-02 s | Records: 0
show_rentals                   | 7.951e-03 s | Records: 1
show_rentals                   | 1.723e-02 s | Records: 0
show_rentals                   | 7.988e-03 s | Records: 1
show_rentals                   | 6.853e-03 s | Records: 0
show_rentals                   | 2.630e-02 s | Records: 0
show_rentals                   | 1.824e-02 s | Records: 0
show_rentals                   | 6.921e-03 s | Records: 0
show_rentals                   | 6.323e-03 s | Records: 0
show_rentals                   | 1.691e-02 s | Records: 0
show_rentals                   | 6.900e-03 s | Records: 0
show_rentals                   | 6.509e-03 s | Records: 1
show_rentals                   | 1.637e-02 s | Records: 0
show_rentals                   | 1.721e-02 s | Records: 0
show_rentals                   | 1.817e-02 s | Records: 0
show_rentals                   | 1.900e-02 s | Records: 1
show_rentals                   | 1.685e-02 s | Records: 0
show_rentals                   | 6.969e-03 s | Records: 0
show_rentals                   | 8.382e-03 s | Records: 1
show_rentals                   | 6.848e-03 s | Records: 0
show_rentals                   | 6.869e-03 s | Records: 0
show_rentals                   | 1.747e-02 s | Records: 1
show_rentals                   | 1.933e-02 s | Records: 1
show_rentals                   | 6.706e-03 s | Records: 0
show_rentals                   | 6.766e-03 s | Records: 0
show_rentals                   | 1.730e-02 s | Records: 0
show_rentals                   | 1.746e-02 s | Records: 1
show_rentals                   | 1.783e-02 s | Records: 0
show_rentals                   | 7.145e-03 s | Records: 0
show_rentals                   | 7.549e-03 s | Records: 0
show_rentals                   | 7.960e-03 s | Records: 0
show_rentals                   | 6.834e-03 s | Records: 0
show_rentals                   | 1.756e-02 s | Records: 0
show_rentals                   | 1.739e-02 s | Records: 0
show_rentals                   | 1.819e-02 s | Records: 0
show_rentals                   | 6.697e-03 s | Records: 0
show_rentals                   | 6.000e-03 s | Records: 0
show_rentals                   | 6.700e-03 s | Records: 0
show_rentals                   | 1.774e-02 s | Records: 0
show_rentals                   | 1.818e-02 s | Records: 1
show_rentals                   | 7.934e-03 s | Records: 1
show_rentals                   | 7.319e-03 s | Records: 0
show_rentals                   | 1.605e-02 s | Records: 0
show_rentals                   | 1.695e-02 s | Records: 0
show_rentals                   | 1.521e-02 s | Records: 0
show_rentals                   | 6.943e-03 s | Records: 1
show_rentals                   | 5.820e-03 s | Records: 0
show_rentals                   | 1.670e-02 s | Records: 0
show_rentals                   | 4.939e-03 s | Records: 0
show_rentals                   | 6.623e-03 s | Records: 0
show_rentals                   | 1.840e-02 s | Records: 0
show_rentals                   | 7.309e-03 s | Records: 0
show_rentals                   | 7.283e-03 s | Records: 0
show_rentals                   | 6.819e-03 s | Records: 0
show_rentals                   | 6.881e-03 s | Records: 0
show_rentals                   | 1.799e-02 s | Records: 0
show_rentals                   | 7.186e-03 s | Records: 0
show_rentals                   | 1.687e-02 s | Records: 0
show_rentals                   | 9.432e-03 s | Records: 2
show_rentals                   | 1.773e-02 s | Records: 0

Execution at 2020-03-10 19:13:18.808499
---------------------------------------
read_csv                       | 5.308e-04 s | Records: 3
read_csv                       | 4.744e-04 s | Records: 3
read_csv                       | 3.443e-03 s | Records: 303
read_csv                       | 3.952e-03 s | Records: 404
read_csv                       | 8.039e-04 s | Records: 105
read_csv                       | 4.610e-03 s | Records: 404
read_csv                       | 3.333e-03 s | Records: 303
read_csv                       | 1.049e-03 s | Records: 105
import_data                    | 8.345e-02 s | Records: 2
read_csv                       | 3.878e-03 s | Records: 303
read_csv                       | 4.302e-03 s | Records: 404
read_csv                       | 1.105e-03 s | Records: 105
show_available_products        | 1.596e-02 s | Records: 0
read_csv                       | 4.936e-03 s | Records: 404
read_csv                       | 5.262e-03 s | Records: 303
read_csv                       | 1.471e-03 s | Records: 105
import_data                    | 9.172e-02 s | Records: 2
show_available_products        | 3.578e-01 s | Records: 378
read_csv                       | 7.271e-03 s | Records: 303
read_csv                       | 9.310e-03 s | Records: 404
read_csv                       | 1.900e-03 s | Records: 105
read_csv                       | 7.593e-03 s | Records: 404
read_csv                       | 7.859e-03 s | Records: 303
read_csv                       | 2.078e-03 s | Records: 105
import_data                    | 1.064e-01 s | Records: 2
show_available_products        | 3.281e-01 s | Records: 378
show_products_for_customer     | 3.289e-01 s | Records: 378
read_csv                       | 4.358e-03 s | Records: 303
read_csv                       | 4.659e-03 s | Records: 404
read_csv                       | 1.186e-03 s | Records: 105
read_csv                       | 4.844e-03 s | Records: 404
read_csv                       | 5.201e-03 s | Records: 303
read_csv                       | 1.185e-03 s | Records: 105
import_data                    | 9.948e-02 s | Records: 2
show_rentals                   | 7.060e-03 s | Records: 0
show_rentals                   | 9.022e-03 s | Records: 2
show_rentals                   | 1.871e-02 s | Records: 1
show_rentals                   | 1.749e-02 s | Records: 1
show_rentals                   | 7.095e-03 s | Records: 1
show_rentals                   | 6.211e-03 s | Records: 0
show_rentals                   | 7.407e-03 s | Records: 1
show_rentals                   | 6.548e-03 s | Records: 0
show_rentals                   | 1.736e-02 s | Records: 1
show_rentals                   | 1.681e-02 s | Records: 0
show_rentals                   | 6.800e-03 s | Records: 0
show_rentals                   | 1.656e-02 s | Records: 0
show_rentals                   | 1.800e-02 s | Records: 1
show_rentals                   | 1.764e-02 s | Records: 0
show_rentals                   | 1.925e-02 s | Records: 1
show_rentals                   | 1.764e-02 s | Records: 0
show_rentals                   | 7.211e-03 s | Records: 0
show_rentals                   | 1.835e-02 s | Records: 0
show_rentals                   | 1.944e-02 s | Records: 1
show_rentals                   | 1.839e-02 s | Records: 0
show_rentals                   | 8.990e-03 s | Records: 1
show_rentals                   | 7.151e-03 s | Records: 0
show_rentals                   | 1.750e-02 s | Records: 0
show_rentals                   | 7.721e-03 s | Records: 0
show_rentals                   | 7.674e-03 s | Records: 0
show_rentals                   | 8.427e-03 s | Records: 1
show_rentals                   | 7.438e-03 s | Records: 0
show_rentals                   | 1.805e-02 s | Records: 0
show_rentals                   | 1.903e-02 s | Records: 1
show_rentals                   | 1.808e-02 s | Records: 0
show_rentals                   | 6.941e-03 s | Records: 0
show_rentals                   | 1.804e-02 s | Records: 0
show_rentals                   | 1.790e-02 s | Records: 0
show_rentals                   | 6.674e-03 s | Records: 0
show_rentals                   | 8.060e-03 s | Records: 1
show_rentals                   | 1.638e-02 s | Records: 0
show_rentals                   | 1.801e-02 s | Records: 0
show_rentals                   | 1.923e-02 s | Records: 1
show_rentals                   | 7.107e-03 s | Records: 0
show_rentals                   | 2.039e-02 s | Records: 2
show_rentals                   | 6.682e-03 s | Records: 0
show_rentals                   | 1.628e-02 s | Records: 0
show_rentals                   | 1.854e-02 s | Records: 2
show_rentals                   | 1.757e-02 s | Records: 0
show_rentals                   | 1.750e-02 s | Records: 0
show_rentals                   | 7.200e-03 s | Records: 0
show_rentals                   | 1.970e-02 s | Records: 1
show_rentals                   | 1.729e-02 s | Records: 0
show_rentals                   | 1.719e-02 s | Records: 0
show_rentals                   | 1.939e-02 s | Records: 1
show_rentals                   | 7.429e-03 s | Records: 0
show_rentals                   | 1.807e-02 s | Records: 0
show_rentals                   | 1.745e-02 s | Records: 0
show_rentals                   | 1.781e-02 s | Records: 0
show_rentals                   | 7.613e-03 s | Records: 0
show_rentals                   | 1.743e-02 s | Records: 0
show_rentals                   | 4.057e-03 s | Records: 0
show_rentals                   | 1.484e-02 s | Records: 0
show_rentals                   | 4.950e-03 s | Records: 0
show_rentals                   | 4.597e-03 s | Records: 0
show_rentals                   | 5.461e-03 s | Records: 1
show_rentals                   | 5.472e-03 s | Records: 1
show_rentals                   | 1.619e-02 s | Records: 0
show_rentals                   | 1.803e-02 s | Records: 0
show_rentals                   | 7.216e-03 s | Records: 0
show_rentals                   | 6.940e-03 s | Records: 0
show_rentals                   | 6.875e-03 s | Records: 0
show_rentals                   | 1.789e-02 s | Records: 0
show_rentals                   | 1.981e-02 s | Records: 1
show_rentals                   | 8.601e-03 s | Records: 1
show_rentals                   | 1.853e-02 s | Records: 0
show_rentals                   | 7.023e-03 s | Records: 0
show_rentals                   | 1.725e-02 s | Records: 0
show_rentals                   | 7.165e-03 s | Records: 0
show_rentals                   | 6.968e-03 s | Records: 0
show_rentals                   | 1.736e-02 s | Records: 0
show_rentals                   | 8.563e-03 s | Records: 1
show_rentals                   | 7.354e-03 s | Records: 0
show_rentals                   | 8.773e-03 s | Records: 1
show_rentals                   | 7.530e-03 s | Records: 0
show_rentals                   | 1.697e-02 s | Records: 0
show_rentals                   | 7.478e-03 s | Records: 0
show_rentals                   | 1.681e-02 s | Records: 0
show_rentals                   | 8.731e-03 s | Records: 1
show_rentals                   | 7.741e-03 s | Records: 0
show_rentals                   | 7.267e-03 s | Records: 0
show_rentals                   | 1.824e-02 s | Records: 0
show_rentals                   | 1.827e-02 s | Records: 0
show_rentals                   | 1.079e-02 s | Records: 3
show_rentals                   | 1.837e-02 s | Records: 0
show_rentals                   | 1.878e-02 s | Records: 0
show_rentals                   | 8.011e-03 s | Records: 0
show_rentals                   | 8.002e-03 s | Records: 0
show_rentals                   | 8.063e-03 s | Records: 0
show_rentals                   | 1.779e-02 s | Records: 0
show_rentals                   | 1.900e-02 s | Records: 0
show_rentals                   | 1.869e-02 s | Records: 0
show_rentals                   | 1.731e-02 s | Records: 0
show_rentals                   | 1.756e-02 s | Records: 0
show_rentals                   | 1.676e-02 s | Records: 0
show_rentals                   | 6.679e-03 s | Records: 0
show_rentals                   | 6.474e-03 s | Records: 0
show_rentals                   | 7.893e-03 s | Records: 1
show_rentals                   | 1.782e-02 s | Records: 0
show_rentals                   | 1.778e-02 s | Records: 0
show_rentals                   | 7.265e-03 s | Records: 0
show_rentals                   | 8.204e-03 s | Records: 1
show_rentals                   | 6.858e-03 s | Records: 0
show_rentals                   | 6.772e-03 s | Records: 0
show_rentals                   | 1.782e-02 s | Records: 0
show_rentals                   | 1.798e-02 s | Records: 0
show_rentals                   | 6.480e-03 s | Records: 0
show_rentals                   | 1.940e-02 s | Records: 1
show_rentals                   | 8.447e-03 s | Records: 1
show_rentals                   | 7.492e-03 s | Records: 0
show_rentals                   | 7.933e-03 s | Records: 0
show_rentals                   | 9.457e-03 s | Records: 1
show_rentals                   | 7.138e-03 s | Records: 0
show_rentals                   | 6.987e-03 s | Records: 0
show_rentals                   | 1.909e-02 s | Records: 2
show_rentals                   | 1.784e-02 s | Records: 0
show_rentals                   | 7.043e-03 s | Records: 0
show_rentals                   | 1.931e-02 s | Records: 2
show_rentals                   | 1.875e-02 s | Records: 1
show_rentals                   | 1.788e-02 s | Records: 0
show_rentals                   | 1.601e-02 s | Records: 0
show_rentals                   | 8.048e-03 s | Records: 1
show_rentals                   | 6.870e-03 s | Records: 0
show_rentals                   | 1.616e-02 s | Records: 0
show_rentals                   | 6.367e-03 s | Records: 0
show_rentals                   | 1.822e-02 s | Records: 0
show_rentals                   | 7.356e-03 s | Records: 1
