rental_id,product_id,customer_id,quantity
rent225,prd001,cust0587,1
rent226,prd013,cust0645,2
rent227,prd011,cust0638,3
rent228,prd006,cust0617,4
rent229,prd015,cust0807,4
rent230,prd012,cust0413,4
rent231,prd008,cust0568,3
rent232,prd013,cust0265,1
rent233,prd003,cust0526,3
rent234,prd003,cust0952,4
rent235,prd013,cust0325,1
rent236,prd015,cust0347,1
rent237,prd002,cust0391,4
rent238,prd012,cust0568,4
rent239,prd002,cust0514,4
rent240,prd010,cust0168,2
rent241,prd006,cust0689,3
rent242,prd006,cust0409,3
rent243,prd013,cust0433,4
rent244,prd008,cust0885,3
rent245,prd002,cust0700,4
rent246,prd003,cust0714,4
rent247,prd015,cust0271,1
rent248,prd005,cust0793,2
rent249,prd013,cust0817,2
rent250,prd007,cust0102,4
rent251,prd010,cust0153,1
rent252,prd005,cust0162,3
rent253,prd001,cust0435,1
rent254,prd007,cust0062,4
rent255,prd004,cust0886,1
rent256,prd006,cust0038,2
rent257,prd002,cust0338,3
rent258,prd013,cust0593,1
rent259,prd011,cust0602,4
rent260,prd011,cust0373,2
rent261,prd002,cust0204,1
rent262,prd005,cust0637,1
rent263,prd009,cust0575,2
rent264,prd005,cust0829,1
rent265,prd013,cust0819,2
rent266,prd012,cust0204,4
rent267,prd013,cust0229,4
rent268,prd001,cust0274,2
rent269,prd008,cust0627,1
rent270,prd005,cust0824,2
rent271,prd013,cust0961,4
rent272,prd002,cust0129,2
rent273,prd014,cust0314,1
rent274,prd013,cust0001,2
rent275,prd004,cust0090,3
rent276,prd013,cust0629,3
rent277,prd004,cust0629,4
rent278,prd013,cust0965,2
rent279,prd007,cust0721,3
rent280,prd006,cust0823,2
rent281,prd014,cust0123,1
rent282,prd012,cust0632,2
rent283,prd013,cust0543,2
rent284,prd010,cust0131,3
rent285,prd015,cust0997,3
rent286,prd003,cust0536,4
rent287,prd009,cust0265,4
rent288,prd004,cust0300,3
rent289,prd011,cust0316,3
rent290,prd007,cust0954,4
rent291,prd013,cust0379,2
rent292,prd008,cust0557,4
rent293,prd004,cust0698,4
rent294,prd006,cust0285,3
rent295,prd002,cust0065,1
rent296,prd012,cust0373,1
rent297,prd002,cust0422,4
rent298,prd015,cust0195,1
rent299,prd012,cust0702,4
rent300,prd013,cust0912,4
rent301,prd008,cust0207,3
rent302,prd002,cust0439,3
rent303,prd007,cust0874,3
rent304,prd011,cust0635,2
rent305,prd005,cust0029,3
rent306,prd001,cust0581,1
rent307,prd013,cust0015,4
rent308,prd011,cust0343,3
rent309,prd007,cust0160,4
rent310,prd002,cust0106,2
rent311,prd015,cust0103,2
rent312,prd004,cust0061,4
rent313,prd003,cust0769,2
rent314,prd014,cust0372,4
rent315,prd010,cust0583,2
rent316,prd012,cust0497,4
rent317,prd003,cust0063,4
rent318,prd007,cust0521,1
rent319,prd001,cust0233,4
rent320,prd008,cust0058,1
rent321,prd005,cust0835,3
rent322,prd005,cust0089,3
rent323,prd009,cust0384,4
rent324,prd006,cust0945,4
rent325,prd004,cust0615,1
rent326,prd013,cust0695,4
rent327,prd001,cust0425,3
rent328,prd001,cust0965,3
rent329,prd012,cust0269,4
rent330,prd001,cust0174,4
rent331,prd001,cust0812,3
rent332,prd004,cust0614,4
rent333,prd009,cust0831,4
rent334,prd001,cust0149,4
rent335,prd011,cust0508,1
rent336,prd008,cust0049,1
rent337,prd008,cust0304,2
rent338,prd001,cust0692,3
rent339,prd005,cust0907,4
rent340,prd011,cust0408,2
rent341,prd009,cust0081,1
rent342,prd006,cust0073,1
rent343,prd004,cust0277,4
rent344,prd004,cust0326,2
rent345,prd012,cust0226,2
rent346,prd010,cust0324,1
rent347,prd006,cust0512,2
rent348,prd015,cust0482,3
rent349,prd001,cust0619,4
rent350,prd011,cust0396,4
rent351,prd011,cust0040,2
rent352,prd006,cust0753,1
rent353,prd001,cust0490,4
rent354,prd012,cust0037,3
rent355,prd006,cust0508,1
rent356,prd006,cust0213,3
rent357,prd010,cust0530,2
rent358,prd007,cust0299,2
rent359,prd013,cust0621,4
rent360,prd002,cust0493,4
rent361,prd012,cust0708,3
rent362,prd007,cust0251,4
rent363,prd005,cust0995,3
rent364,prd001,cust0899,3
rent365,prd014,cust0315,1
rent366,prd001,cust0101,2
rent367,prd010,cust0213,1
rent368,prd004,cust0879,2
rent369,prd002,cust0512,2
rent370,prd003,cust0262,2
rent371,prd005,cust0760,1
rent372,prd011,cust0940,3
rent373,prd015,cust0655,4
rent374,prd003,cust0043,4
rent375,prd008,cust0714,2
rent376,prd011,cust0195,2
rent377,prd012,cust0571,1
rent378,prd014,cust0516,4
rent379,prd005,cust0439,1
rent380,prd010,cust0493,2
rent381,prd012,cust0059,4
rent382,prd005,cust0203,2
rent383,prd001,cust0169,1
rent384,prd001,cust0687,4
rent385,prd005,cust0713,4
rent386,prd009,cust0390,3
rent387,prd014,cust0313,4
rent388,prd008,cust0351,2
rent389,prd008,cust0917,1
rent390,prd012,cust0522,2
rent391,prd014,cust0480,2
rent392,prd004,cust0269,3
rent393,prd003,cust0636,3
rent394,prd013,cust0098,3
rent395,prd007,cust0797,1
rent396,prd004,cust0552,4
rent397,prd006,cust0814,2
rent398,prd008,cust0125,1
rent399,prd012,cust0690,4
rent400,prd010,cust0325,3
rent401,prd011,cust0656,2
rent402,prd010,cust0718,4
rent403,prd005,cust0648,1
rent404,prd007,cust0901,1
rent405,prd010,cust0247,4
rent406,prd004,cust0009,2
rent407,prd013,cust0766,4
rent408,prd002,cust0273,3
rent409,prd012,cust0441,3
rent410,prd003,cust0665,3
rent411,prd001,cust0083,1
rent412,prd011,cust0101,4
rent413,prd013,cust0445,1
rent414,prd011,cust0271,1
rent415,prd006,cust0927,2
rent416,prd010,cust0155,4
rent417,prd003,cust0729,1
rent418,prd015,cust0272,3
rent419,prd011,cust0503,1
rent420,prd003,cust0868,3
rent421,prd010,cust0355,2
rent422,prd004,cust0546,3
rent423,prd002,cust0526,2
rent424,prd010,cust0755,1
rent425,prd011,cust0148,1
rent426,prd006,cust0691,3
rent427,prd014,cust0760,4
rent428,prd008,cust0164,1
rent429,prd015,cust0326,1
rent430,prd013,cust0662,2
rent431,prd003,cust0803,1
rent432,prd010,cust0247,4
rent433,prd008,cust0043,3
rent434,prd015,cust0467,2
rent435,prd001,cust0539,2
rent436,prd015,cust0651,2
rent437,prd002,cust0497,1
rent438,prd006,cust0525,2
rent439,prd005,cust0374,3
rent440,prd013,cust0871,2
rent441,prd004,cust0421,1
rent442,prd007,cust0303,4
rent443,prd007,cust0336,3
rent444,prd011,cust0568,2
rent445,prd015,cust0661,4
rent446,prd001,cust0299,3
rent447,prd001,cust0534,3
rent448,prd001,cust0965,1
rent449,prd012,cust0984,4
rent450,prd015,cust0842,3
rent451,prd010,cust0220,4
rent452,prd014,cust0664,4
rent453,prd009,cust0795,2
rent454,prd010,cust0422,4
rent455,prd010,cust0870,4
rent456,prd006,cust0847,1
rent457,prd012,cust0006,1
rent458,prd014,cust0613,3
rent459,prd011,cust0584,2
rent460,prd009,cust0289,1
rent461,prd013,cust0729,1
rent462,prd001,cust0295,3
rent463,prd009,cust0611,1
rent464,prd010,cust0644,2
rent465,prd009,cust0514,2
rent466,prd011,cust0061,4
rent467,prd007,cust0146,4
rent468,prd007,cust0484,2
rent469,prd008,cust0602,2
rent470,prd002,cust0141,4
rent471,prd012,cust0735,1
rent472,prd008,cust0766,4
rent473,prd010,cust0572,2
rent474,prd006,cust0136,4
rent475,prd013,cust0177,4
rent476,prd015,cust0084,2
rent477,prd006,cust0392,3
rent478,prd009,cust0918,3
rent479,prd003,cust0121,1
rent480,prd007,cust0455,1
rent481,prd004,cust0130,2
rent482,prd004,cust0298,4
rent483,prd006,cust0981,1
rent484,prd013,cust0683,4
rent485,prd012,cust0965,1
rent486,prd010,cust0603,2
rent487,prd003,cust0288,1
rent488,prd008,cust0619,1
rent489,prd014,cust0123,3
rent490,prd013,cust0185,1
rent491,prd012,cust0933,2
rent492,prd001,cust0502,4
rent493,prd014,cust0517,4
rent494,prd001,cust0797,1
rent495,prd005,cust0278,1
rent496,prd001,cust0772,1
rent497,prd013,cust0636,2
rent498,prd009,cust0153,3
rent499,prd008,cust0781,1
rent500,prd001,cust0294,3
