rental_id,product_id,customer_id,amount,time,price,total
rnt0131,prd501,user0131,37,18,376,250416
rnt0132,prd6789,user0132,18,326,315,1848420
rnt0133,prd8632,user0133,63,192,352,4257792
rnt0134,prd5198,user0134,65,247,290,4655950
rnt0135,prd3733,user0135,55,78,226,969540
rnt0136,prd8772,user0136,59,288,378,6422976
rnt0137,prd3270,user0137,60,243,255,3717900
rnt0138,prd798,user0138,46,76,500,1748000
rnt0139,prd7110,user0139,75,61,284,1299300
rnt0140,prd7196,user0140,81,92,14,104328
rnt0141,prd5405,user0141,49,71,229,796691
rnt0142,prd5233,user0142,47,133,274,1712774
rnt0143,prd6926,user0143,50,132,91,600600
rnt0144,prd5835,user0144,86,155,171,2279430
rnt0145,prd1648,user0145,56,77,366,1578192
rnt0146,prd5877,user0146,36,239,193,1660572
rnt0147,prd1796,user0147,78,348,94,2551536
rnt0148,prd329,user0148,11,12,29,3828
rnt0149,prd3007,user0149,48,32,274,420864
rnt0150,prd8704,user0150,78,196,32,489216
rnt0151,prd6095,user0151,52,58,452,1363232
rnt0152,prd5628,user0152,10,43,224,96320
rnt0153,prd5973,user0153,69,265,191,3492435
rnt0154,prd77,user0154,29,89,101,260681
rnt0155,prd8003,user0155,95,235,2,44650
rnt0156,prd4070,user0156,57,339,267,5159241
rnt0157,prd8026,user0157,32,142,311,1413184
rnt0158,prd8247,user0158,14,331,206,954604
rnt0159,prd5014,user0159,29,312,220,1990560
rnt0160,prd772,user0160,73,284,364,7546448
rnt0161,prd8216,user0161,85,351,138,4117230
rnt0162,prd8528,user0162,94,278,230,6010360
rnt0163,prd4017,user0163,95,190,463,8357150
rnt0164,prd6700,user0164,77,282,342,7426188
rnt0165,prd9138,user0165,49,136,469,3125416
rnt0166,prd4897,user0166,68,36,111,271728
rnt0167,prd3098,user0167,85,85,224,1618400
rnt0168,prd9944,user0168,2,28,20,1120
rnt0169,prd914,user0169,60,351,417,8782020
rnt0170,prd7080,user0170,94,74,247,1718132
rnt0171,prd7100,user0171,0,191,66,0
rnt0172,prd3754,user0172,29,32,460,426880
rnt0173,prd1911,user0173,85,71,197,1188895
rnt0174,prd5402,user0174,83,342,250,7096500
rnt0175,prd8488,user0175,15,213,242,773190
rnt0176,prd6019,user0176,15,173,161,417795
rnt0177,prd6502,user0177,32,98,487,1527232
rnt0178,prd2582,user0178,100,28,425,1190000
rnt0179,prd5505,user0179,14,287,211,847798
rnt0180,prd3824,user0180,79,0,27,0
rnt0181,prd159,user0181,70,211,200,2954000
rnt0182,prd2993,user0182,44,289,109,1386044
rnt0183,prd3248,user0183,6,210,79,99540
rnt0184,prd7291,user0184,94,284,401,10705096
rnt0185,prd6312,user0185,32,114,469,1710912
rnt0186,prd5799,user0186,35,267,295,2756775
rnt0187,prd6970,user0187,25,278,443,3078850
rnt0188,prd8171,user0188,58,194,415,4669580
rnt0189,prd2391,user0189,75,359,129,3473325
rnt0190,prd8137,user0190,0,217,403,0
rnt0191,prd6640,user0191,6,84,145,73080
rnt0192,prd7734,user0192,96,118,130,1472640
rnt0193,prd3966,user0193,55,81,456,2031480
rnt0194,prd2861,user0194,1,324,148,47952
rnt0195,prd5271,user0195,44,109,364,1745744
rnt0196,prd5403,user0196,15,107,58,93090
rnt0197,prd4376,user0197,92,205,383,7223380
rnt0198,prd1100,user0198,60,326,41,801960
rnt0199,prd1410,user0199,85,315,10,267750
rnt0200,prd3556,user0200,71,176,456,5698176
rnt0201,prd9826,user0201,8,267,343,732648
rnt0202,prd6527,user0202,6,307,296,545232
rnt0203,prd2067,user0203,44,155,200,1364000
rnt0204,prd7266,user0204,94,7,448,294784
rnt0205,prd7461,user0205,99,179,187,3313827
rnt0206,prd7138,user0206,98,181,166,2944508
rnt0207,prd2659,user0207,24,305,278,2034960
rnt0208,prd6576,user0208,41,117,210,1007370
rnt0209,prd2566,user0209,70,29,381,773430
rnt0210,prd275,user0210,57,268,361,5514636
rnt0211,prd6561,user0211,60,216,280,3628800
rnt0212,prd3289,user0212,92,313,461,13274956
rnt0213,prd8914,user0213,55,301,291,4817505
rnt0214,prd9092,user0214,1,97,437,42389
rnt0215,prd9236,user0215,81,184,130,1937520
rnt0216,prd3209,user0216,8,283,8,18112
rnt0217,prd4247,user0217,29,244,390,2759640
rnt0218,prd2480,user0218,82,80,72,472320
rnt0219,prd3536,user0219,43,135,223,1294515
rnt0220,prd7690,user0220,17,155,406,1069810
rnt0221,prd4099,user0221,15,27,229,92745
rnt0222,prd4963,user0222,28,172,337,1622992
rnt0223,prd11,user0223,71,228,351,5681988
rnt0224,prd5294,user0224,47,133,365,2281615
rnt0225,prd9888,user0225,26,276,484,3473184
rnt0226,prd1475,user0226,11,35,488,187880
rnt0227,prd8142,user0227,82,249,75,1531350
rnt0228,prd6595,user0228,89,238,239,5062498
rnt0229,prd5222,user0229,12,194,255,593640
rnt0230,prd7104,user0230,19,257,314,1533262
rnt0231,prd6507,user0231,35,22,231,177870
rnt0232,prd6797,user0232,76,249,116,2195184
rnt0233,prd3511,user0233,14,299,218,912548
rnt0234,prd8719,user0234,80,196,236,3700480
rnt0235,prd5418,user0235,11,12,61,8052
rnt0236,prd6913,user0236,23,292,48,322368
rnt0237,prd6185,user0237,7,293,10,20510
rnt0238,prd2875,user0238,56,226,486,6150816
rnt0239,prd5094,user0239,64,137,186,1630848
rnt0240,prd8687,user0240,1,44,155,6820
rnt0241,prd9330,user0241,53,222,434,5106444
rnt0242,prd6922,user0242,19,278,61,322202
rnt0243,prd3838,user0243,51,195,183,1819935
rnt0244,prd1909,user0244,96,330,420,13305600
rnt0245,prd8389,user0245,25,83,398,825850
rnt0246,prd7680,user0246,92,339,113,3524244
rnt0247,prd5881,user0247,36,297,350,3742200
rnt0248,prd7949,user0248,58,149,38,328396
rnt0249,prd3289,user0249,18,241,492,2134296
rnt0250,prd7027,user0250,22,222,225,1098900
rnt0251,prd1460,user0251,34,117,404,1607112
rnt0252,prd2206,user0252,16,114,266,485184
rnt0253,prd3344,user0253,88,328,239,6898496
rnt0254,prd4465,user0254,38,230,41,358340
rnt0255,prd4397,user0255,42,106,9,40068
rnt0256,prd91,user0256,47,217,478,4875122
rnt0257,prd6262,user0257,34,322,228,2496144
rnt0258,prd6451,user0258,71,227,150,2417550
rnt0259,prd4567,user0259,59,130,386,2960620
rnt0260,prd5737,user0260,81,365,239,7066035
rnt0261,prd2059,user0261,96,53,303,1541664
rnt0262,prd4851,user0262,62,139,452,3895336
rnt0263,prd2405,user0263,87,254,447,9877806
rnt0264,prd3538,user0264,80,282,67,1511520
rnt0265,prd2976,user0265,29,212,239,1469372
rnt0266,prd6002,user0266,19,37,335,235505
rnt0267,prd9506,user0267,96,27,442,1145664
rnt0268,prd8068,user0268,9,186,326,545724
rnt0269,prd243,user0269,35,325,319,3628625
rnt0270,prd8163,user0270,55,190,33,344850
rnt0271,prd1213,user0271,71,67,174,827718
rnt0272,prd7540,user0272,38,197,228,1706808
rnt0273,prd8050,user0273,59,361,150,3194850
rnt0274,prd9177,user0274,28,262,105,770280
rnt0275,prd6518,user0275,100,291,359,10446900
rnt0276,prd9856,user0276,23,291,500,3346500
rnt0277,prd9077,user0277,7,264,281,519288
rnt0278,prd4041,user0278,19,141,211,565269
rnt0279,prd4324,user0279,100,5,490,245000
rnt0280,prd9213,user0280,96,5,196,94080
rnt0281,prd9814,user0281,57,249,488,6926184
rnt0282,prd5127,user0282,49,117,278,1593774
rnt0283,prd6001,user0283,43,104,79,353288
rnt0284,prd2825,user0284,77,263,412,8343412
rnt0285,prd8375,user0285,15,4,385,23100
rnt0286,prd8101,user0286,6,309,335,621090
rnt0287,prd9419,user0287,58,323,214,4009076
rnt0288,prd2701,user0288,81,97,160,1257120
rnt0289,prd8721,user0289,83,236,76,1488688
rnt0290,prd1622,user0290,82,187,112,1717408
rnt0291,prd4852,user0291,73,52,429,1628484
rnt0292,prd8706,user0292,5,144,333,239760
rnt0293,prd4803,user0293,78,253,143,2821962
rnt0294,prd1559,user0294,53,15,322,255990
rnt0295,prd1065,user0295,77,349,121,3251633
rnt0296,prd5203,user0296,60,360,432,9331200
rnt0297,prd8080,user0297,75,327,143,3507075
rnt0298,prd5516,user0298,0,254,317,0
rnt0299,prd3815,user0299,75,212,121,1923900
rnt0300,prd4147,user0300,16,8,102,13056
rnt0301,prd4322,user0301,44,316,278,3865312
rnt0302,prd1977,user0302,90,82,306,2258280
rnt0303,prd2001,user0303,83,80,86,571040
rnt0304,prd2393,user0304,89,37,440,1448920
rnt0305,prd6802,user0305,97,12,73,84972
rnt0306,prd4661,user0306,92,302,357,9918888
rnt0307,prd8274,user0307,89,215,319,6104065
rnt0308,prd8339,user0308,93,3,121,33759
rnt0309,prd3884,user0309,18,275,58,287100
rnt0310,prd7695,user0310,91,339,52,1604148
rnt0311,prd913,user0311,99,118,457,5338674
rnt0312,prd430,user0312,93,258,354,8493876
rnt0313,prd1392,user0313,66,251,248,4108368
rnt0314,prd7858,user0314,31,112,386,1340192
rnt0315,prd5026,user0315,52,67,300,1045200
rnt0316,prd647,user0316,54,249,58,779868
rnt0317,prd1154,user0317,57,158,179,1612074
rnt0318,prd8004,user0318,53,101,493,2639029
rnt0319,prd7576,user0319,57,234,157,2094066
rnt0320,prd7858,user0320,71,27,494,946998
rnt0321,prd5138,user0321,96,238,236,5392128
rnt0322,prd6621,user0322,9,296,186,495504
rnt0323,prd9825,user0323,50,289,399,5765550
rnt0324,prd7036,user0324,0,149,463,0
rnt0325,prd241,user0325,67,69,293,1354539
rnt0326,prd4275,user0326,63,353,336,7472304
rnt0327,prd7368,user0327,2,27,197,10638
rnt0328,prd4415,user0328,7,61,92,39284
rnt0329,prd7031,user0329,31,51,34,53754
rnt0330,prd6385,user0330,47,12,97,54708
rnt0331,prd2417,user0331,26,229,158,940732
rnt0332,prd3830,user0332,76,227,490,8453480
rnt0333,prd6061,user0333,11,3,78,2574
rnt0334,prd2528,user0334,68,61,128,530944
rnt0335,prd495,user0335,1,327,287,93849
rnt0336,prd2468,user0336,90,108,66,641520
rnt0337,prd5203,user0337,36,154,4,22176
rnt0338,prd5024,user0338,30,264,231,1829520
rnt0339,prd9565,user0339,85,5,52,22100
rnt0340,prd5476,user0340,12,63,461,348516
rnt0341,prd8921,user0341,85,20,455,773500
rnt0342,prd4309,user0342,39,279,332,3612492
rnt0343,prd1272,user0343,26,293,31,236158
rnt0344,prd7741,user0344,42,223,500,4683000
rnt0345,prd6652,user0345,52,245,350,4459000
rnt0346,prd8031,user0346,97,252,80,1955520
rnt0347,prd6387,user0347,86,345,473,14033910
rnt0348,prd5958,user0348,62,10,298,184760
rnt0349,prd8678,user0349,97,341,61,2017697
rnt0350,prd8408,user0350,32,256,438,3588096
rnt0351,prd8017,user0351,92,71,342,2233944
rnt0352,prd8684,user0352,61,338,29,597922
rnt0353,prd8189,user0353,94,105,413,4076310
rnt0354,prd6031,user0354,51,332,226,3826632
rnt0355,prd1199,user0355,92,215,363,7180140
rnt0356,prd9643,user0356,36,354,287,3657528
rnt0357,prd6074,user0357,12,337,38,153672
rnt0358,prd9527,user0358,48,40,292,560640
rnt0359,prd2893,user0359,12,81,387,376164
rnt0360,prd4698,user0360,20,205,104,426400
rnt0361,prd542,user0361,42,6,379,95508
rnt0362,prd2728,user0362,17,233,489,1936929
rnt0363,prd2389,user0363,11,284,389,1215236
rnt0364,prd7867,user0364,88,314,436,12047552
rnt0365,prd6895,user0365,45,205,437,4031325
rnt0366,prd7677,user0366,8,71,74,42032
rnt0367,prd2853,user0367,22,58,165,210540
rnt0368,prd7629,user0368,34,216,366,2687904
rnt0369,prd7278,user0369,22,14,400,123200
rnt0370,prd5212,user0370,73,211,93,1432479
rnt0371,prd1959,user0371,11,259,422,1202278
rnt0372,prd3896,user0372,24,313,358,2689296
rnt0373,prd5971,user0373,34,162,143,787644
rnt0374,prd5843,user0374,96,119,458,5232192
rnt0375,prd4742,user0375,19,33,238,149226
rnt0376,prd2857,user0376,100,299,360,10764000
rnt0377,prd3699,user0377,40,236,283,2671520
rnt0378,prd3246,user0378,26,218,58,328744
rnt0379,prd6857,user0379,92,18,427,707112
rnt0380,prd5040,user0380,75,263,277,5463825
rnt0381,prd6494,user0381,78,78,289,1758276
rnt0382,prd5218,user0382,52,169,322,2829736
rnt0383,prd4367,user0383,37,182,237,1595958
rnt0384,prd1560,user0384,36,252,373,3383856
rnt0385,prd5643,user0385,18,88,11,17424
rnt0386,prd2380,user0386,27,114,306,941868
rnt0387,prd6251,user0387,59,136,296,2375104
rnt0388,prd1115,user0388,79,325,311,7984925
rnt0389,prd5094,user0389,91,315,1,28665
rnt0390,prd3681,user0390,19,14,49,13034
rnt0391,prd8222,user0391,41,153,360,2258280
rnt0392,prd1917,user0392,65,281,163,2977195
rnt0393,prd2985,user0393,55,14,63,48510
rnt0394,prd1171,user0394,19,57,35,37905
rnt0395,prd8331,user0395,60,316,122,2313120
rnt0396,prd2994,user0396,45,136,22,134640
rnt0397,prd9877,user0397,38,214,350,2846200
rnt0398,prd4729,user0398,9,300,122,329400
rnt0399,prd8398,user0399,95,289,357,9801435
rnt0400,prd6798,user0400,29,195,78,441090
rnt0401,prd5023,user0401,16,124,123,244032
rnt0402,prd646,user0402,40,238,16,152320
rnt0403,prd7734,user0403,93,178,11,182094
rnt0404,prd805,user0404,93,192,454,8106624
rnt0405,prd5649,user0405,71,278,435,8586030
rnt0406,prd6956,user0406,77,131,247,2491489
rnt0407,prd9599,user0407,38,42,71,113316
rnt0408,prd1282,user0408,72,245,268,4727520
rnt0409,prd8090,user0409,51,210,284,3041640
rnt0410,prd1106,user0410,97,80,12,93120
rnt0411,prd853,user0411,46,315,25,362250
rnt0412,prd4258,user0412,52,256,84,1118208
rnt0413,prd7951,user0413,46,125,362,2081500
rnt0414,prd4763,user0414,16,17,473,128656
rnt0415,prd2660,user0415,20,282,358,2019120
rnt0416,prd5143,user0416,41,206,489,4130094
rnt0417,prd9924,user0417,84,248,60,1249920
rnt0418,prd9614,user0418,88,323,359,10204216
rnt0419,prd6860,user0419,18,101,76,138168
rnt0420,prd2874,user0420,35,19,87,57855
rnt0421,prd303,user0421,14,9,88,11088
rnt0422,prd6364,user0422,70,240,253,4250400
rnt0423,prd374,user0423,95,162,409,6294510
rnt0424,prd3901,user0424,70,235,277,4556650
rnt0425,prd4600,user0425,56,272,24,365568
rnt0426,prd5717,user0426,74,53,125,490250
rnt0427,prd5736,user0427,25,27,364,245700
rnt0428,prd219,user0428,36,51,77,141372
rnt0429,prd3330,user0429,1,179,133,23807
rnt0430,prd107,user0430,20,299,410,2451800
rnt0431,prd2273,user0431,20,230,30,138000
rnt0432,prd505,user0432,70,153,479,5130090
rnt0433,prd1187,user0433,8,135,453,489240
rnt0434,prd6551,user0434,87,349,217,6588771
rnt0435,prd9440,user0435,72,193,424,5891904
rnt0436,prd5155,user0436,29,271,49,385091
rnt0437,prd6715,user0437,98,351,248,8530704
rnt0438,prd6456,user0438,81,318,203,5228874
rnt0439,prd336,user0439,14,332,444,2063712
rnt0440,prd1250,user0440,13,333,261,1129869
rnt0441,prd6018,user0441,18,177,249,793314
rnt0442,prd1102,user0442,16,176,464,1306624
rnt0443,prd636,user0443,13,230,53,158470
rnt0444,prd7218,user0444,35,182,279,1777230
rnt0445,prd4534,user0445,55,157,133,1148455
rnt0446,prd9805,user0446,5,170,245,208250
rnt0447,prd1125,user0447,67,89,241,1437083
rnt0448,prd4925,user0448,90,206,392,7267680
rnt0449,prd4153,user0449,43,287,182,2246062
rnt0450,prd45,user0450,25,230,136,782000
rnt0451,prd1267,user0451,33,325,312,3346200
rnt0452,prd9505,user0452,79,302,420,10020360
rnt0453,prd3003,user0453,62,144,404,3606912
rnt0454,prd5434,user0454,56,58,231,750288
rnt0455,prd3091,user0455,7,284,70,139160
rnt0456,prd8590,user0456,11,269,197,582923
rnt0457,prd1083,user0457,29,11,6,1914
rnt0458,prd2862,user0458,66,82,73,395076
rnt0459,prd7136,user0459,64,39,491,1225536
rnt0460,prd405,user0460,28,317,481,4269356
rnt0461,prd2759,user0461,51,40,88,179520
rnt0462,prd8216,user0462,69,37,126,321678
rnt0463,prd689,user0463,11,214,398,936892
rnt0464,prd2012,user0464,86,145,230,2868100
rnt0465,prd3127,user0465,40,154,281,1730960
rnt0466,prd2935,user0466,53,35,342,634410
rnt0467,prd4752,user0467,23,205,169,796835
rnt0468,prd7823,user0468,46,261,362,4346172
rnt0469,prd2503,user0469,42,231,228,2212056
rnt0470,prd965,user0470,62,116,67,481864
rnt0471,prd1520,user0471,16,143,52,118976
rnt0472,prd3484,user0472,89,186,203,3360462
rnt0473,prd9280,user0473,12,31,75,27900
rnt0474,prd2481,user0474,11,292,96,308352
rnt0475,prd8269,user0475,51,111,393,2224773
rnt0476,prd2344,user0476,12,322,306,1182384
rnt0477,prd8477,user0477,88,136,305,3650240
rnt0478,prd4942,user0478,80,46,42,154560
rnt0479,prd6388,user0479,97,45,153,667845
rnt0480,prd1043,user0480,15,167,399,999495
rnt0481,prd7558,user0481,36,354,182,2319408
rnt0482,prd381,user0482,36,141,346,1756296
rnt0483,prd6566,user0483,36,201,16,115776
rnt0484,prd7961,user0484,97,152,376,5543744
rnt0485,prd57,user0485,44,355,482,7528840
rnt0486,prd4223,user0486,1,211,26,5486
rnt0487,prd8720,user0487,57,189,241,2596293
rnt0488,prd8116,user0488,74,129,133,1269618
rnt0489,prd9154,user0489,20,65,451,586300
rnt0490,prd4693,user0490,30,345,460,4761000
rnt0491,prd6978,user0491,90,253,68,1548360
rnt0492,prd8427,user0492,17,329,273,1526889
rnt0493,prd2329,user0493,60,138,314,2599920
rnt0494,prd3859,user0494,77,27,111,230769
rnt0495,prd4056,user0495,25,236,242,1427800
rnt0496,prd5798,user0496,0,59,325,0
rnt0497,prd7199,user0497,67,74,7,34706
rnt0498,prd9210,user0498,79,152,405,4863240
rnt0499,prd8160,user0499,86,159,48,656352
rnt0500,prd4685,user0500,86,338,129,3749772
rnt0501,prd2807,user0501,100,83,135,1120500
rnt0502,prd25,user0502,14,30,316,132720
rnt0503,prd477,user0503,10,202,451,911020
rnt0504,prd9049,user0504,35,238,149,1241170
rnt0505,prd1755,user0505,93,357,396,13147596
rnt0506,prd6209,user0506,98,145,471,6692910
rnt0507,prd763,user0507,60,41,123,302580
rnt0508,prd2023,user0508,21,173,71,257943
rnt0509,prd1572,user0509,34,322,268,2934064
rnt0510,prd3783,user0510,94,12,207,233496
rnt0511,prd9229,user0511,82,280,285,6543600
rnt0512,prd4111,user0512,82,31,440,1118480
rnt0513,prd8323,user0513,11,252,289,801108
rnt0514,prd3614,user0514,52,87,51,230724
rnt0515,prd3732,user0515,75,49,477,1752975
rnt0516,prd4153,user0516,25,103,355,914125
rnt0517,prd2410,user0517,55,77,48,203280
rnt0518,prd8291,user0518,68,74,240,1207680
rnt0519,prd5191,user0519,88,303,250,6666000
rnt0520,prd9947,user0520,99,145,269,3861495
rnt0521,prd1843,user0521,22,180,305,1207800
rnt0522,prd4605,user0522,45,277,454,5659110
rnt0523,prd2066,user0523,95,70,450,2992500
rnt0524,prd4817,user0524,51,44,215,482460
rnt0525,prd9442,user0525,74,57,375,1581750
rnt0526,prd6835,user0526,60,291,8,139680
rnt0527,prd1711,user0527,51,265,253,3419295
rnt0528,prd1527,user0528,43,329,134,1895698
rnt0529,prd3868,user0529,2,252,401,202104
rnt0530,prd4005,user0530,25,44,298,327800
rnt0531,prd1575,user0531,21,28,239,140532
rnt0532,prd7006,user0532,8,62,381,188976
rnt0533,prd3698,user0533,46,103,286,1355068
rnt0534,prd1401,user0534,19,168,458,1461936
rnt0535,prd8490,user0535,30,46,444,612720
rnt0536,prd6413,user0536,74,293,317,6873194
rnt0537,prd3236,user0537,25,331,463,3831325
rnt0538,prd5222,user0538,84,69,230,1333080
rnt0539,prd3184,user0539,82,289,156,3696888
rnt0540,prd7973,user0540,96,277,300,7977600
rnt0541,prd3438,user0541,12,53,255,162180
rnt0542,prd3308,user0542,76,309,180,4227120
rnt0543,prd6310,user0543,57,50,292,832200
rnt0544,prd722,user0544,10,42,48,20160
rnt0545,prd7011,user0545,87,177,268,4126932
rnt0546,prd7377,user0546,25,91,94,213850
rnt0547,prd816,user0547,45,109,384,1883520
rnt0548,prd7092,user0548,56,129,127,917448
rnt0549,prd1052,user0549,69,335,58,1340670
rnt0550,prd5845,user0550,92,67,181,1115684
rnt0551,prd5348,user0551,22,10,291,64020
rnt0552,prd6372,user0552,89,149,361,4787221
rnt0553,prd3811,user0553,74,296,87,1905648
rnt0554,prd1693,user0554,43,275,140,1655500
rnt0555,prd7,user0555,73,181,66,872058
rnt0556,prd8780,user0556,89,45,106,424530
rnt0557,prd9329,user0557,62,58,42,151032
rnt0558,prd3370,user0558,72,258,345,6408720
rnt0559,prd6620,user0559,48,66,284,899712
rnt0560,prd4723,user0560,32,278,250,2224000
rnt0561,prd1930,user0561,92,8,488,359168
rnt0562,prd9945,user0562,15,49,301,221235
rnt0563,prd1932,user0563,31,244,170,1285880
rnt0564,prd6158,user0564,58,154,362,3233384
rnt0565,prd4626,user0565,25,34,80,68000
rnt0566,prd2608,user0566,36,58,241,503208
rnt0567,prd1228,user0567,92,173,226,3597016
rnt0568,prd6456,user0568,90,252,196,4445280
rnt0569,prd8123,user0569,99,340,428,14406480
