product_id,description,product_type,quantiry_available,
product_141,desc_141,type_141,9,No
product_142,desc_142,type_142,66,Yes
product_143,desc_143,type_143,28,Yes
product_144,desc_144,type_144,35,No
product_145,desc_145,type_145,62,No
product_146,desc_146,type_146,7,No
product_147,desc_147,type_147,59,No
product_148,desc_148,type_148,48,No
product_149,desc_149,type_149,66,No
product_150,desc_150,type_150,98,Yes
product_151,desc_151,type_151,3,Yes
product_152,desc_152,type_152,81,Yes
product_153,desc_153,type_153,10,No
product_154,desc_154,type_154,7,No
product_155,desc_155,type_155,2,Yes
product_156,desc_156,type_156,88,No
product_157,desc_157,type_157,27,No
product_158,desc_158,type_158,41,No
product_159,desc_159,type_159,86,No
product_160,desc_160,type_160,36,No
product_161,desc_161,type_161,9,Yes
product_162,desc_162,type_162,18,No
product_163,desc_163,type_163,67,No
product_164,desc_164,type_164,56,No
product_165,desc_165,type_165,52,Yes
product_166,desc_166,type_166,23,No
product_167,desc_167,type_167,47,No
product_168,desc_168,type_168,0,No
product_169,desc_169,type_169,80,Yes
product_170,desc_170,type_170,13,No
product_171,desc_171,type_171,33,Yes
product_172,desc_172,type_172,7,Yes
product_173,desc_173,type_173,62,Yes
product_174,desc_174,type_174,79,No
product_175,desc_175,type_175,62,Yes
product_176,desc_176,type_176,22,Yes
product_177,desc_177,type_177,8,No
product_178,desc_178,type_178,2,No
product_179,desc_179,type_179,37,Yes
product_180,desc_180,type_180,97,No
product_181,desc_181,type_181,48,No
product_182,desc_182,type_182,46,No
product_183,desc_183,type_183,13,No
product_184,desc_184,type_184,59,No
product_185,desc_185,type_185,12,No
product_186,desc_186,type_186,99,Yes
product_187,desc_187,type_187,8,Yes
product_188,desc_188,type_188,21,Yes
product_189,desc_189,type_189,87,Yes
product_190,desc_190,type_190,16,Yes
product_191,desc_191,type_191,21,Yes
product_192,desc_192,type_192,8,No
product_193,desc_193,type_193,67,Yes
product_194,desc_194,type_194,11,Yes
product_195,desc_195,type_195,29,Yes
product_196,desc_196,type_196,20,Yes
product_197,desc_197,type_197,78,Yes
product_198,desc_198,type_198,63,Yes
product_199,desc_199,type_199,12,No
product_200,desc_200,type_200,70,No
product_201,desc_201,type_201,76,No
product_202,desc_202,type_202,69,Yes
product_203,desc_203,type_203,74,No
product_204,desc_204,type_204,94,Yes
product_205,desc_205,type_205,66,No
product_206,desc_206,type_206,61,No
product_207,desc_207,type_207,86,Yes
product_208,desc_208,type_208,95,Yes
product_209,desc_209,type_209,3,No
product_210,desc_210,type_210,25,No
product_211,desc_211,type_211,56,No
product_212,desc_212,type_212,81,Yes
product_213,desc_213,type_213,12,Yes
product_214,desc_214,type_214,68,Yes
product_215,desc_215,type_215,86,Yes
product_216,desc_216,type_216,36,No
product_217,desc_217,type_217,24,No
product_218,desc_218,type_218,70,No
product_219,desc_219,type_219,73,No
product_220,desc_220,type_220,93,No
product_221,desc_221,type_221,67,Yes
product_222,desc_222,type_222,21,No
product_223,desc_223,type_223,77,Yes
product_224,desc_224,type_224,66,No
product_225,desc_225,type_225,87,Yes
product_226,desc_226,type_226,38,Yes
product_227,desc_227,type_227,95,No
product_228,desc_228,type_228,98,Yes
product_229,desc_229,type_229,36,Yes
product_230,desc_230,type_230,65,No
product_231,desc_231,type_231,21,No
product_232,desc_232,type_232,22,No
product_233,desc_233,type_233,5,Yes
product_234,desc_234,type_234,49,Yes
product_235,desc_235,type_235,40,No
product_236,desc_236,type_236,63,No
product_237,desc_237,type_237,10,Yes
product_238,desc_238,type_238,21,No
product_239,desc_239,type_239,11,Yes
product_240,desc_240,type_240,15,No
product_241,desc_241,type_241,18,No
product_242,desc_242,type_242,71,No
product_243,desc_243,type_243,39,No
product_244,desc_244,type_244,75,Yes
product_245,desc_245,type_245,45,Yes
product_246,desc_246,type_246,69,No
product_247,desc_247,type_247,60,No
product_248,desc_248,type_248,7,Yes
product_249,desc_249,type_249,96,No
product_250,desc_250,type_250,78,Yes
product_251,desc_251,type_251,68,No
product_252,desc_252,type_252,60,Yes
product_253,desc_253,type_253,30,Yes
product_254,desc_254,type_254,72,Yes
product_255,desc_255,type_255,38,Yes
product_256,desc_256,type_256,59,Yes
product_257,desc_257,type_257,91,No
product_258,desc_258,type_258,30,No
product_259,desc_259,type_259,14,No
product_260,desc_260,type_260,21,Yes
product_261,desc_261,type_261,22,Yes
product_262,desc_262,type_262,92,No
product_263,desc_263,type_263,28,No
product_264,desc_264,type_264,72,No
product_265,desc_265,type_265,100,No
product_266,desc_266,type_266,24,No
product_267,desc_267,type_267,59,No
product_268,desc_268,type_268,2,Yes
product_269,desc_269,type_269,42,Yes
product_270,desc_270,type_270,55,No
product_271,desc_271,type_271,67,No
product_272,desc_272,type_272,45,No
product_273,desc_273,type_273,21,Yes
product_274,desc_274,type_274,47,Yes
product_275,desc_275,type_275,32,No
product_276,desc_276,type_276,95,No
product_277,desc_277,type_277,35,Yes
product_278,desc_278,type_278,89,Yes
product_279,desc_279,type_279,92,No
product_280,desc_280,type_280,90,No
product_281,desc_281,type_281,47,Yes
product_282,desc_282,type_282,100,Yes
product_283,desc_283,type_283,36,Yes
product_284,desc_284,type_284,86,No
product_285,desc_285,type_285,54,Yes
product_286,desc_286,type_286,48,Yes
product_287,desc_287,type_287,100,No
product_288,desc_288,type_288,73,Yes
product_289,desc_289,type_289,71,No
product_290,desc_290,type_290,88,Yes
product_291,desc_291,type_291,28,No
product_292,desc_292,type_292,21,Yes
product_293,desc_293,type_293,89,No
product_294,desc_294,type_294,44,Yes
product_295,desc_295,type_295,37,Yes
product_296,desc_296,type_296,70,No
product_297,desc_297,type_297,4,Yes
product_298,desc_298,type_298,90,Yes
product_299,desc_299,type_299,34,Yes
product_300,desc_300,type_300,92,No
product_301,desc_301,type_301,58,Yes
product_302,desc_302,type_302,36,No
product_303,desc_303,type_303,78,Yes
product_304,desc_304,type_304,66,Yes
product_305,desc_305,type_305,23,No
product_306,desc_306,type_306,96,Yes
product_307,desc_307,type_307,17,Yes
product_308,desc_308,type_308,55,No
product_309,desc_309,type_309,83,Yes
product_310,desc_310,type_310,63,No
product_311,desc_311,type_311,50,Yes
product_312,desc_312,type_312,41,Yes
product_313,desc_313,type_313,68,Yes
product_314,desc_314,type_314,26,Yes
product_315,desc_315,type_315,15,Yes
product_316,desc_316,type_316,30,Yes
product_317,desc_317,type_317,47,Yes
product_318,desc_318,type_318,32,No
product_319,desc_319,type_319,99,No
product_320,desc_320,type_320,9,Yes
product_321,desc_321,type_321,8,Yes
product_322,desc_322,type_322,74,No
product_323,desc_323,type_323,30,No
product_324,desc_324,type_324,94,Yes
product_325,desc_325,type_325,27,Yes
product_326,desc_326,type_326,45,No
product_327,desc_327,type_327,62,No
product_328,desc_328,type_328,90,Yes
product_329,desc_329,type_329,78,Yes
product_330,desc_330,type_330,93,No
product_331,desc_331,type_331,59,Yes
product_332,desc_332,type_332,39,Yes
product_333,desc_333,type_333,97,Yes
product_334,desc_334,type_334,64,No
product_335,desc_335,type_335,50,Yes
product_336,desc_336,type_336,17,No
product_337,desc_337,type_337,37,Yes
product_338,desc_338,type_338,30,Yes
product_339,desc_339,type_339,26,No
product_340,desc_340,type_340,80,Yes
product_341,desc_341,type_341,9,Yes
product_342,desc_342,type_342,24,No
product_343,desc_343,type_343,93,No
product_344,desc_344,type_344,58,Yes
product_345,desc_345,type_345,72,Yes
product_346,desc_346,type_346,15,No
product_347,desc_347,type_347,76,No
product_348,desc_348,type_348,73,No
product_349,desc_349,type_349,75,No
product_350,desc_350,type_350,77,No
product_351,desc_351,type_351,12,No
product_352,desc_352,type_352,37,Yes
product_353,desc_353,type_353,48,No
product_354,desc_354,type_354,85,Yes
product_355,desc_355,type_355,28,Yes
product_356,desc_356,type_356,42,Yes
product_357,desc_357,type_357,61,Yes
product_358,desc_358,type_358,31,Yes
product_359,desc_359,type_359,96,No
product_360,desc_360,type_360,97,Yes
product_361,desc_361,type_361,47,Yes
product_362,desc_362,type_362,67,Yes
product_363,desc_363,type_363,64,Yes
product_364,desc_364,type_364,89,No
product_365,desc_365,type_365,1,Yes
product_366,desc_366,type_366,71,No
product_367,desc_367,type_367,75,No
product_368,desc_368,type_368,28,No
product_369,desc_369,type_369,83,No
product_370,desc_370,type_370,14,Yes
product_371,desc_371,type_371,54,No
product_372,desc_372,type_372,61,Yes
product_373,desc_373,type_373,6,Yes
product_374,desc_374,type_374,64,No
product_375,desc_375,type_375,27,No
product_376,desc_376,type_376,52,No
product_377,desc_377,type_377,90,Yes
product_378,desc_378,type_378,54,No
product_379,desc_379,type_379,10,No
product_380,desc_380,type_380,11,Yes
product_381,desc_381,type_381,46,No
product_382,desc_382,type_382,58,Yes
product_383,desc_383,type_383,15,No
product_384,desc_384,type_384,28,No
product_385,desc_385,type_385,35,No
product_386,desc_386,type_386,22,No
product_387,desc_387,type_387,4,Yes
product_388,desc_388,type_388,41,Yes
product_389,desc_389,type_389,23,No
product_390,desc_390,type_390,87,No
product_391,desc_391,type_391,13,Yes
product_392,desc_392,type_392,26,No
product_393,desc_393,type_393,57,Yes
product_394,desc_394,type_394,43,No
product_395,desc_395,type_395,57,Yes
product_396,desc_396,type_396,43,Yes
product_397,desc_397,type_397,65,No
product_398,desc_398,type_398,89,No
product_399,desc_399,type_399,22,Yes
product_400,desc_400,type_400,1,No
product_401,desc_401,type_401,19,Yes
product_402,desc_402,type_402,42,Yes
product_403,desc_403,type_403,87,Yes
product_404,desc_404,type_404,83,Yes
product_405,desc_405,type_405,43,Yes
product_406,desc_406,type_406,43,No
product_407,desc_407,type_407,83,Yes
product_408,desc_408,type_408,20,No
product_409,desc_409,type_409,34,Yes
product_410,desc_410,type_410,73,Yes
product_411,desc_411,type_411,61,Yes
product_412,desc_412,type_412,67,Yes
product_413,desc_413,type_413,48,No
product_414,desc_414,type_414,61,Yes
product_415,desc_415,type_415,26,Yes
product_416,desc_416,type_416,79,No
product_417,desc_417,type_417,37,Yes
product_418,desc_418,type_418,74,Yes
product_419,desc_419,type_419,64,No
product_420,desc_420,type_420,75,Yes
product_421,desc_421,type_421,87,Yes
product_422,desc_422,type_422,55,No
product_423,desc_423,type_423,65,No
product_424,desc_424,type_424,55,No
product_425,desc_425,type_425,29,No
product_426,desc_426,type_426,52,No
product_427,desc_427,type_427,7,No
product_428,desc_428,type_428,98,No
product_429,desc_429,type_429,52,No
product_430,desc_430,type_430,96,Yes
product_431,desc_431,type_431,96,No
product_432,desc_432,type_432,92,No
product_433,desc_433,type_433,23,No
product_434,desc_434,type_434,56,No
product_435,desc_435,type_435,17,Yes
product_436,desc_436,type_436,65,No
product_437,desc_437,type_437,25,No
product_438,desc_438,type_438,20,Yes
product_439,desc_439,type_439,4,Yes
product_440,desc_440,type_440,38,Yes
product_441,desc_441,type_441,98,Yes
product_442,desc_442,type_442,0,Yes
product_443,desc_443,type_443,77,No
product_444,desc_444,type_444,97,No
product_445,desc_445,type_445,49,Yes
product_446,desc_446,type_446,100,Yes
product_447,desc_447,type_447,75,Yes
product_448,desc_448,type_448,50,Yes
product_449,desc_449,type_449,31,No
product_450,desc_450,type_450,81,No
product_451,desc_451,type_451,94,Yes
product_452,desc_452,type_452,6,No
product_453,desc_453,type_453,3,No
product_454,desc_454,type_454,2,No
product_455,desc_455,type_455,84,Yes
product_456,desc_456,type_456,9,No
product_457,desc_457,type_457,92,Yes
product_458,desc_458,type_458,61,No
product_459,desc_459,type_459,85,Yes
product_460,desc_460,type_460,69,Yes
product_461,desc_461,type_461,1,No
product_462,desc_462,type_462,44,Yes
product_463,desc_463,type_463,1,Yes
product_464,desc_464,type_464,53,Yes
product_465,desc_465,type_465,80,Yes
product_466,desc_466,type_466,52,Yes
product_467,desc_467,type_467,93,Yes
product_468,desc_468,type_468,1,No
product_469,desc_469,type_469,1,No
product_470,desc_470,type_470,15,No
product_471,desc_471,type_471,30,No
product_472,desc_472,type_472,9,Yes
product_473,desc_473,type_473,61,No
product_474,desc_474,type_474,55,No
product_475,desc_475,type_475,49,No
product_476,desc_476,type_476,79,Yes
product_477,desc_477,type_477,56,Yes
product_478,desc_478,type_478,81,Yes
product_479,desc_479,type_479,37,Yes
product_480,desc_480,type_480,72,No
product_481,desc_481,type_481,90,No
product_482,desc_482,type_482,95,No
product_483,desc_483,type_483,51,No
product_484,desc_484,type_484,49,Yes
product_485,desc_485,type_485,99,Yes
product_486,desc_486,type_486,29,Yes
product_487,desc_487,type_487,32,Yes
product_488,desc_488,type_488,3,Yes
product_489,desc_489,type_489,23,No
product_490,desc_490,type_490,60,Yes
product_491,desc_491,type_491,23,Yes
product_492,desc_492,type_492,82,Yes
product_493,desc_493,type_493,37,No
product_494,desc_494,type_494,47,No
product_495,desc_495,type_495,26,No
product_496,desc_496,type_496,17,Yes
product_497,desc_497,type_497,49,Yes
product_498,desc_498,type_498,79,Yes
product_499,desc_499,type_499,67,Yes
product_500,desc_500,type_500,5,No
product_501,desc_501,type_501,59,No
product_502,desc_502,type_502,7,No
product_503,desc_503,type_503,54,Yes
product_504,desc_504,type_504,41,No
product_505,desc_505,type_505,37,Yes
product_506,desc_506,type_506,94,No
product_507,desc_507,type_507,49,No
product_508,desc_508,type_508,44,No
product_509,desc_509,type_509,54,No
product_510,desc_510,type_510,26,No
product_511,desc_511,type_511,78,Yes
product_512,desc_512,type_512,10,No
product_513,desc_513,type_513,72,Yes
product_514,desc_514,type_514,68,Yes
product_515,desc_515,type_515,47,Yes
product_516,desc_516,type_516,95,Yes
product_517,desc_517,type_517,15,Yes
product_518,desc_518,type_518,30,Yes
product_519,desc_519,type_519,97,No
product_520,desc_520,type_520,0,Yes
product_521,desc_521,type_521,84,Yes
product_522,desc_522,type_522,33,No
product_523,desc_523,type_523,97,Yes
product_524,desc_524,type_524,34,No
product_525,desc_525,type_525,7,Yes
product_526,desc_526,type_526,73,No
product_527,desc_527,type_527,60,No
product_528,desc_528,type_528,93,Yes
product_529,desc_529,type_529,54,Yes
product_530,desc_530,type_530,2,Yes
product_531,desc_531,type_531,65,Yes
product_532,desc_532,type_532,11,Yes
product_533,desc_533,type_533,46,No
product_534,desc_534,type_534,27,No
product_535,desc_535,type_535,89,No
product_536,desc_536,type_536,47,Yes
product_537,desc_537,type_537,77,No
product_538,desc_538,type_538,33,No
product_539,desc_539,type_539,95,Yes
product_540,desc_540,type_540,82,Yes
product_541,desc_541,type_541,29,Yes
product_542,desc_542,type_542,79,No
product_543,desc_543,type_543,14,Yes
product_544,desc_544,type_544,26,Yes
product_545,desc_545,type_545,20,No
product_546,desc_546,type_546,43,Yes
product_547,desc_547,type_547,66,No
product_548,desc_548,type_548,65,Yes
product_549,desc_549,type_549,52,Yes
product_550,desc_550,type_550,47,No
product_551,desc_551,type_551,100,Yes
product_552,desc_552,type_552,99,Yes
product_553,desc_553,type_553,90,Yes
product_554,desc_554,type_554,49,Yes
product_555,desc_555,type_555,11,Yes
product_556,desc_556,type_556,55,No
product_557,desc_557,type_557,22,Yes
product_558,desc_558,type_558,10,Yes
product_559,desc_559,type_559,33,Yes
product_560,desc_560,type_560,41,Yes
product_561,desc_561,type_561,63,No
product_562,desc_562,type_562,68,Yes
product_563,desc_563,type_563,91,Yes
product_564,desc_564,type_564,48,Yes
product_565,desc_565,type_565,1,No
product_566,desc_566,type_566,42,No
product_567,desc_567,type_567,39,Yes
product_568,desc_568,type_568,88,Yes
product_569,desc_569,type_569,18,No
product_570,desc_570,type_570,38,No
product_571,desc_571,type_571,97,Yes
product_572,desc_572,type_572,20,No
product_573,desc_573,type_573,97,Yes
product_574,desc_574,type_574,91,No
product_575,desc_575,type_575,42,Yes
product_576,desc_576,type_576,36,No
product_577,desc_577,type_577,79,Yes
product_578,desc_578,type_578,82,Yes
product_579,desc_579,type_579,96,No
product_580,desc_580,type_580,5,Yes
product_581,desc_581,type_581,93,Yes
product_582,desc_582,type_582,60,No
product_583,desc_583,type_583,95,No
product_584,desc_584,type_584,66,No
product_585,desc_585,type_585,20,No
product_586,desc_586,type_586,7,No
product_587,desc_587,type_587,47,No
product_588,desc_588,type_588,2,No
product_589,desc_589,type_589,95,Yes
product_590,desc_590,type_590,96,Yes
product_591,desc_591,type_591,97,Yes
product_592,desc_592,type_592,10,Yes
product_593,desc_593,type_593,14,No
product_594,desc_594,type_594,38,Yes
product_595,desc_595,type_595,79,No
product_596,desc_596,type_596,48,No
product_597,desc_597,type_597,65,Yes
product_598,desc_598,type_598,22,Yes
product_599,desc_599,type_599,29,Yes
product_600,desc_600,type_600,59,Yes
product_601,desc_601,type_601,31,No
product_602,desc_602,type_602,88,No
product_603,desc_603,type_603,89,Yes
product_604,desc_604,type_604,80,Yes
product_605,desc_605,type_605,64,No
product_606,desc_606,type_606,0,No
product_607,desc_607,type_607,22,Yes
product_608,desc_608,type_608,87,Yes
product_609,desc_609,type_609,69,No
product_610,desc_610,type_610,97,No
product_611,desc_611,type_611,18,Yes
product_612,desc_612,type_612,28,No
product_613,desc_613,type_613,58,No
product_614,desc_614,type_614,17,Yes
product_615,desc_615,type_615,59,No
product_616,desc_616,type_616,19,No
product_617,desc_617,type_617,28,Yes
product_618,desc_618,type_618,3,Yes
product_619,desc_619,type_619,76,Yes
product_620,desc_620,type_620,60,Yes
product_621,desc_621,type_621,6,No
product_622,desc_622,type_622,69,Yes
product_623,desc_623,type_623,54,Yes
product_624,desc_624,type_624,46,No
product_625,desc_625,type_625,67,No
product_626,desc_626,type_626,68,No
product_627,desc_627,type_627,84,No
product_628,desc_628,type_628,71,Yes
product_629,desc_629,type_629,25,Yes
product_630,desc_630,type_630,1,No
product_631,desc_631,type_631,66,No
product_632,desc_632,type_632,98,No
product_633,desc_633,type_633,9,No
product_634,desc_634,type_634,29,Yes
product_635,desc_635,type_635,76,No
product_636,desc_636,type_636,1,No
product_637,desc_637,type_637,38,No
product_638,desc_638,type_638,99,No
product_639,desc_639,type_639,93,No
product_640,desc_640,type_640,11,No
product_641,desc_641,type_641,78,No
product_642,desc_642,type_642,1,Yes
product_643,desc_643,type_643,43,Yes
product_644,desc_644,type_644,50,Yes
product_645,desc_645,type_645,66,No
product_646,desc_646,type_646,96,No
product_647,desc_647,type_647,10,Yes
product_648,desc_648,type_648,13,Yes
product_649,desc_649,type_649,3,Yes
product_650,desc_650,type_650,92,Yes
product_651,desc_651,type_651,17,No
product_652,desc_652,type_652,24,No
product_653,desc_653,type_653,48,Yes
product_654,desc_654,type_654,17,No
product_655,desc_655,type_655,42,Yes
product_656,desc_656,type_656,72,No
product_657,desc_657,type_657,37,Yes
product_658,desc_658,type_658,15,Yes
product_659,desc_659,type_659,12,No
product_660,desc_660,type_660,24,Yes
product_661,desc_661,type_661,2,No
product_662,desc_662,type_662,3,No
product_663,desc_663,type_663,42,No
product_664,desc_664,type_664,33,No
product_665,desc_665,type_665,39,Yes
product_666,desc_666,type_666,64,Yes
product_667,desc_667,type_667,79,Yes
product_668,desc_668,type_668,75,Yes
product_669,desc_669,type_669,74,No
product_670,desc_670,type_670,6,Yes
product_671,desc_671,type_671,59,No
product_672,desc_672,type_672,100,Yes
product_673,desc_673,type_673,10,Yes
product_674,desc_674,type_674,2,No
product_675,desc_675,type_675,48,Yes
product_676,desc_676,type_676,73,No
product_677,desc_677,type_677,30,No
product_678,desc_678,type_678,16,No
product_679,desc_679,type_679,58,No
product_680,desc_680,type_680,44,No
product_681,desc_681,type_681,3,No
product_682,desc_682,type_682,61,Yes
product_683,desc_683,type_683,4,No
product_684,desc_684,type_684,90,No
product_685,desc_685,type_685,40,Yes
product_686,desc_686,type_686,1,No
product_687,desc_687,type_687,68,No
product_688,desc_688,type_688,35,No
product_689,desc_689,type_689,40,Yes
product_690,desc_690,type_690,63,Yes
product_691,desc_691,type_691,14,No
product_692,desc_692,type_692,26,Yes
product_693,desc_693,type_693,7,No
product_694,desc_694,type_694,86,No
product_695,desc_695,type_695,33,No
product_696,desc_696,type_696,3,Yes
product_697,desc_697,type_697,59,Yes
product_698,desc_698,type_698,52,Yes
product_699,desc_699,type_699,59,Yes
product_700,desc_700,type_700,29,Yes
product_701,desc_701,type_701,41,No
product_702,desc_702,type_702,57,No
product_703,desc_703,type_703,98,No
product_704,desc_704,type_704,86,Yes
product_705,desc_705,type_705,65,No
product_706,desc_706,type_706,94,No
product_707,desc_707,type_707,66,No
product_708,desc_708,type_708,58,No
product_709,desc_709,type_709,50,Yes
product_710,desc_710,type_710,89,Yes
product_711,desc_711,type_711,45,Yes
product_712,desc_712,type_712,52,Yes
product_713,desc_713,type_713,78,Yes
product_714,desc_714,type_714,63,No
product_715,desc_715,type_715,75,Yes
product_716,desc_716,type_716,85,No
product_717,desc_717,type_717,82,Yes
product_718,desc_718,type_718,46,No
product_719,desc_719,type_719,34,No
product_720,desc_720,type_720,11,No
product_721,desc_721,type_721,80,No
product_722,desc_722,type_722,97,No
product_723,desc_723,type_723,23,No
product_724,desc_724,type_724,37,No
product_725,desc_725,type_725,53,Yes
product_726,desc_726,type_726,6,No
product_727,desc_727,type_727,27,No
product_728,desc_728,type_728,57,Yes
product_729,desc_729,type_729,82,Yes
product_730,desc_730,type_730,86,No
product_731,desc_731,type_731,47,Yes
product_732,desc_732,type_732,84,No
product_733,desc_733,type_733,83,No
product_734,desc_734,type_734,76,No
product_735,desc_735,type_735,68,Yes
product_736,desc_736,type_736,22,No
product_737,desc_737,type_737,60,Yes
product_738,desc_738,type_738,60,Yes
product_739,desc_739,type_739,69,Yes
product_740,desc_740,type_740,44,No
product_741,desc_741,type_741,18,No
product_742,desc_742,type_742,8,No
product_743,desc_743,type_743,53,No
product_744,desc_744,type_744,18,No
product_745,desc_745,type_745,98,Yes
product_746,desc_746,type_746,87,Yes
product_747,desc_747,type_747,67,No
product_748,desc_748,type_748,43,No
product_749,desc_749,type_749,90,No
product_750,desc_750,type_750,36,Yes
product_751,desc_751,type_751,42,Yes
product_752,desc_752,type_752,78,Yes
product_753,desc_753,type_753,47,No
product_754,desc_754,type_754,0,No
product_755,desc_755,type_755,8,No
product_756,desc_756,type_756,48,Yes
product_757,desc_757,type_757,80,Yes
product_758,desc_758,type_758,26,No
product_759,desc_759,type_759,87,No
product_760,desc_760,type_760,96,No
product_761,desc_761,type_761,49,Yes
product_762,desc_762,type_762,34,Yes
product_763,desc_763,type_763,59,No
product_764,desc_764,type_764,2,Yes
product_765,desc_765,type_765,2,Yes
product_766,desc_766,type_766,81,No
product_767,desc_767,type_767,45,No
product_768,desc_768,type_768,40,Yes
product_769,desc_769,type_769,71,No
product_770,desc_770,type_770,19,Yes
product_771,desc_771,type_771,92,Yes
product_772,desc_772,type_772,98,Yes
product_773,desc_773,type_773,67,No
product_774,desc_774,type_774,13,Yes
product_775,desc_775,type_775,55,No
