_id,description,product_type,quantity_available
prod0275,shears,yard,9
prod0276,rug,living_room,10
prod0277,ladder,yard,88
prod0278,chair,dining_room,86
prod0279,ladder,yard,22
prod0280,painting,living_room,4
prod0281,sofa,living_room,9
prod0282,shed,yard,44
prod0283,shears,yard,77
prod0284,sofa,living_room,53
prod0285,ladder,yard,30
prod0286,chair,dining_room,61
prod0287,shed,yard,80
prod0288,shed,yard,56
prod0289,rug,living_room,10
prod0290,lawnmower,yard,2
prod0291,desk,office,57
prod0292,shed,yard,23
prod0293,table,dining_room,82
prod0294,lamp,living_room,13
prod0295,shovel,yard,10
prod0296,table,dining_room,80
prod0297,chair,dining_room,35
prod0298,table,dining_room,67
prod0299,ladder,yard,57
prod0300,rug,living_room,5
prod0301,chair,dining_room,57
prod0302,table,dining_room,60
prod0303,ladder,yard,69
prod0304,shovel,yard,54
prod0305,lawnmower,yard,44
prod0306,table,dining_room,57
prod0307,chair,dining_room,2
prod0308,lawnmower,yard,9
prod0309,chair,dining_room,80
prod0310,ladder,yard,76
prod0311,shears,yard,42
prod0312,rug,living_room,12
prod0313,table,dining_room,43
prod0314,desk,office,67
prod0315,chair,dining_room,35
prod0316,sofa,living_room,95
prod0317,painting,living_room,90
prod0318,ladder,yard,65
prod0319,shears,yard,59
prod0320,lawnmower,yard,77
prod0321,shovel,yard,100
prod0322,lamp,living_room,93
prod0323,shed,yard,85
prod0324,desk,office,8
prod0325,lamp,living_room,83
prod0326,painting,living_room,66
prod0327,table,dining_room,81
prod0328,chair,dining_room,19
prod0329,table,dining_room,16
prod0330,lamp,living_room,5
prod0331,desk,office,96
prod0332,lawnmower,yard,7
prod0333,painting,living_room,21
prod0334,rug,living_room,8
prod0335,shed,yard,56
prod0336,shovel,yard,80
prod0337,ladder,yard,43
prod0338,desk,office,48
prod0339,rug,living_room,95
prod0340,lamp,living_room,70
prod0341,painting,living_room,23
prod0342,chair,dining_room,52
prod0343,rug,living_room,99
prod0344,shears,yard,99
prod0345,shed,yard,93
prod0346,shovel,yard,75
prod0347,ladder,yard,34
prod0348,lamp,living_room,16
prod0349,shed,yard,25
prod0350,lawnmower,yard,46
prod0351,painting,living_room,74
prod0352,ladder,yard,42
prod0353,lamp,living_room,97
prod0354,lamp,living_room,98
prod0355,sofa,living_room,87
prod0356,lamp,living_room,41
prod0357,painting,living_room,5
prod0358,desk,office,93
prod0359,desk,office,33
prod0360,sofa,living_room,73
prod0361,lamp,living_room,100
prod0362,shovel,yard,65
prod0363,ladder,yard,62
prod0364,ladder,yard,14
prod0365,shears,yard,23
prod0366,chair,dining_room,62
prod0367,chair,dining_room,96
prod0368,lamp,living_room,55
prod0369,lawnmower,yard,72
prod0370,lawnmower,yard,34
prod0371,table,dining_room,80
prod0372,desk,office,60
prod0373,shovel,yard,78
prod0374,sofa,living_room,35
prod0375,sofa,living_room,67
prod0376,table,dining_room,67
prod0377,desk,office,70
prod0378,desk,office,60
prod0379,ladder,yard,6
prod0380,shears,yard,30
prod0381,painting,living_room,85
prod0382,chair,dining_room,43
prod0383,shears,yard,71
prod0384,shed,yard,75
prod0385,sofa,living_room,2
prod0386,desk,office,70
prod0387,rug,living_room,83
prod0388,chair,dining_room,91
prod0389,sofa,living_room,93
prod0390,chair,dining_room,93
prod0391,ladder,yard,75
prod0392,lawnmower,yard,81
prod0393,shovel,yard,81
prod0394,painting,living_room,21
prod0395,desk,office,48
prod0396,lawnmower,yard,9
prod0397,shovel,yard,80
prod0398,lamp,living_room,40
prod0399,lamp,living_room,88
prod0400,shovel,yard,2
prod0401,shears,yard,38
prod0402,shovel,yard,16
prod0403,shovel,yard,59
prod0404,desk,office,83
prod0405,rug,living_room,67
prod0406,painting,living_room,21
prod0407,shears,yard,11
prod0408,chair,dining_room,22
prod0409,rug,living_room,58
prod0410,rug,living_room,99
prod0411,shed,yard,27
prod0412,shears,yard,86
prod0413,table,dining_room,26
prod0414,ladder,yard,40
prod0415,chair,dining_room,28
prod0416,painting,living_room,60
prod0417,shears,yard,90
prod0418,lamp,living_room,43
prod0419,shed,yard,6
prod0420,painting,living_room,90
prod0421,lamp,living_room,64
prod0422,painting,living_room,4
prod0423,shed,yard,76
prod0424,rug,living_room,41
prod0425,desk,office,22
prod0426,shovel,yard,99
prod0427,desk,office,66
prod0428,shed,yard,46
prod0429,table,dining_room,44
prod0430,sofa,living_room,66
prod0431,painting,living_room,64
prod0432,shears,yard,40
prod0433,shovel,yard,33
prod0434,painting,living_room,87
prod0435,ladder,yard,94
prod0436,rug,living_room,65
prod0437,shovel,yard,95
prod0438,lamp,living_room,0
prod0439,chair,dining_room,94
prod0440,desk,office,72
prod0441,shears,yard,25
prod0442,rug,living_room,26
prod0443,chair,dining_room,97
prod0444,ladder,yard,65
prod0445,desk,office,47
prod0446,lawnmower,yard,72
prod0447,ladder,yard,14
prod0448,lamp,living_room,28
prod0449,sofa,living_room,94
prod0450,desk,office,80
prod0451,chair,dining_room,31
prod0452,chair,dining_room,46
prod0453,table,dining_room,62
prod0454,desk,office,53
prod0455,ladder,yard,2
prod0456,chair,dining_room,67
prod0457,rug,living_room,52
prod0458,table,dining_room,58
prod0459,chair,dining_room,4
prod0460,painting,living_room,63
prod0461,lawnmower,yard,70
prod0462,painting,living_room,59
prod0463,painting,living_room,98
prod0464,sofa,living_room,56
prod0465,ladder,yard,93
prod0466,lamp,living_room,82
prod0467,table,dining_room,62
prod0468,desk,office,86
prod0469,ladder,yard,42
prod0470,shears,yard,61
prod0471,desk,office,17
prod0472,rug,living_room,57
prod0473,rug,living_room,0
prod0474,table,dining_room,13
prod0475,desk,office,39
prod0476,lamp,living_room,70
prod0477,sofa,living_room,45
prod0478,painting,living_room,74
prod0479,shears,yard,25
prod0480,shovel,yard,65
prod0481,desk,office,83
prod0482,shovel,yard,38
prod0483,shears,yard,32
prod0484,lamp,living_room,100
prod0485,lawnmower,yard,43
prod0486,desk,office,1
prod0487,shed,yard,79
prod0488,shears,yard,26
prod0489,rug,living_room,69
prod0490,table,dining_room,49
prod0491,painting,living_room,77
prod0492,shears,yard,62
prod0493,shed,yard,55
prod0494,painting,living_room,80
prod0495,chair,dining_room,35
prod0496,chair,dining_room,85
prod0497,shears,yard,12
prod0498,chair,dining_room,42
prod0499,lawnmower,yard,61
prod0500,lawnmower,yard,46
prod0501,shed,yard,34
prod0502,painting,living_room,44
prod0503,table,dining_room,81
prod0504,painting,living_room,53
prod0505,ladder,yard,63
prod0506,lawnmower,yard,71
prod0507,painting,living_room,65
prod0508,lawnmower,yard,98
prod0509,painting,living_room,57
prod0510,ladder,yard,94
prod0511,ladder,yard,95
prod0512,lawnmower,yard,98
prod0513,shovel,yard,88
prod0514,sofa,living_room,13
prod0515,painting,living_room,21
prod0516,sofa,living_room,56
prod0517,lawnmower,yard,48
prod0518,shears,yard,16
prod0519,table,dining_room,4
prod0520,shears,yard,49
prod0521,table,dining_room,8
prod0522,table,dining_room,49
prod0523,painting,living_room,90
prod0524,painting,living_room,58
prod0525,chair,dining_room,97
prod0526,chair,dining_room,20
prod0527,painting,living_room,54
prod0528,shed,yard,83
prod0529,shovel,yard,100
prod0530,chair,dining_room,54
prod0531,shed,yard,24
prod0532,shears,yard,3
prod0533,table,dining_room,58
prod0534,chair,dining_room,98
prod0535,shed,yard,96
prod0536,shed,yard,90
prod0537,desk,office,44
prod0538,chair,dining_room,26
prod0539,shears,yard,34
prod0540,ladder,yard,63
prod0541,sofa,living_room,42
prod0542,lawnmower,yard,52
prod0543,lamp,living_room,91
prod0544,chair,dining_room,30
prod0545,chair,dining_room,11
prod0546,table,dining_room,23
prod0547,rug,living_room,8
prod0548,desk,office,22
prod0549,desk,office,29
prod0550,desk,office,81
prod0551,table,dining_room,12
prod0552,shovel,yard,12
prod0553,ladder,yard,33
prod0554,ladder,yard,48
prod0555,lawnmower,yard,97
prod0556,chair,dining_room,69
prod0557,lamp,living_room,70
prod0558,lamp,living_room,15
prod0559,shed,yard,66
prod0560,shovel,yard,58
prod0561,shears,yard,72
prod0562,sofa,living_room,61
prod0563,lawnmower,yard,86
prod0564,lawnmower,yard,54
prod0565,sofa,living_room,55
prod0566,sofa,living_room,84
prod0567,shed,yard,76
prod0568,shears,yard,38
prod0569,ladder,yard,24
prod0570,painting,living_room,89
prod0571,sofa,living_room,15
prod0572,sofa,living_room,11
prod0573,ladder,yard,76
prod0574,shovel,yard,73
prod0575,desk,office,52
prod0576,table,dining_room,70
prod0577,lamp,living_room,0
prod0578,shovel,yard,12
prod0579,shears,yard,65
prod0580,shed,yard,48
prod0581,lamp,living_room,4
prod0582,shears,yard,74
prod0583,sofa,living_room,33
prod0584,table,dining_room,55
prod0585,chair,dining_room,40
prod0586,ladder,yard,66
prod0587,chair,dining_room,36
prod0588,sofa,living_room,41
prod0589,shovel,yard,19
prod0590,rug,living_room,28
prod0591,chair,dining_room,90
prod0592,shears,yard,82
prod0593,lamp,living_room,60
prod0594,table,dining_room,74
prod0595,painting,living_room,88
prod0596,shovel,yard,30
prod0597,table,dining_room,43
prod0598,chair,dining_room,48
prod0599,ladder,yard,85
prod0600,ladder,yard,0
prod0601,table,dining_room,48
prod0602,rug,living_room,87
prod0603,table,dining_room,48
prod0604,table,dining_room,34
prod0605,desk,office,37
prod0606,painting,living_room,76
prod0607,shovel,yard,44
prod0608,lamp,living_room,11
prod0609,shed,yard,62
prod0610,lawnmower,yard,2
prod0611,desk,office,78
prod0612,shears,yard,24
prod0613,chair,dining_room,56
prod0614,shears,yard,9
prod0615,lamp,living_room,22
prod0616,rug,living_room,81
prod0617,shovel,yard,36
prod0618,rug,living_room,48
prod0619,painting,living_room,96
prod0620,table,dining_room,80
prod0621,ladder,yard,23
prod0622,painting,living_room,18
prod0623,sofa,living_room,1
prod0624,chair,dining_room,51
prod0625,ladder,yard,30
prod0626,desk,office,76
prod0627,shovel,yard,89
prod0628,rug,living_room,70
prod0629,table,dining_room,95
prod0630,shears,yard,73
prod0631,shovel,yard,22
prod0632,shears,yard,0
prod0633,painting,living_room,40
prod0634,shears,yard,66
prod0635,chair,dining_room,63
prod0636,lamp,living_room,45
prod0637,table,dining_room,47
prod0638,shears,yard,85
prod0639,painting,living_room,55
prod0640,ladder,yard,30
prod0641,ladder,yard,29
prod0642,lawnmower,yard,0
prod0643,lamp,living_room,36
prod0644,rug,living_room,9
prod0645,shed,yard,76
prod0646,ladder,yard,3
prod0647,rug,living_room,25
prod0648,table,dining_room,100
prod0649,shovel,yard,23
prod0650,rug,living_room,7
prod0651,chair,dining_room,2
prod0652,ladder,yard,92
prod0653,painting,living_room,60
prod0654,desk,office,2
prod0655,table,dining_room,38
prod0656,shears,yard,16
prod0657,shed,yard,80
prod0658,shears,yard,72
prod0659,table,dining_room,87
prod0660,chair,dining_room,20
prod0661,desk,office,82
prod0662,desk,office,55
prod0663,shovel,yard,57
prod0664,painting,living_room,83
prod0665,lawnmower,yard,20
prod0666,chair,dining_room,40
prod0667,desk,office,26
prod0668,ladder,yard,1
prod0669,sofa,living_room,52
prod0670,sofa,living_room,4
prod0671,chair,dining_room,95
prod0672,chair,dining_room,93
prod0673,shed,yard,85
prod0674,lawnmower,yard,88
prod0675,painting,living_room,18
prod0676,painting,living_room,78
prod0677,desk,office,96
prod0678,shovel,yard,35
prod0679,ladder,yard,83
prod0680,desk,office,39
prod0681,lawnmower,yard,17
prod0682,shovel,yard,88
prod0683,chair,dining_room,87
prod0684,table,dining_room,36
prod0685,shed,yard,72
prod0686,painting,living_room,38
prod0687,desk,office,74
prod0688,chair,dining_room,98
prod0689,rug,living_room,17
prod0690,chair,dining_room,83
prod0691,painting,living_room,39
prod0692,lawnmower,yard,10
prod0693,rug,living_room,22
prod0694,lamp,living_room,72
prod0695,chair,dining_room,41
prod0696,lamp,living_room,66
prod0697,shed,yard,63
prod0698,ladder,yard,85
prod0699,table,dining_room,68
prod0700,shears,yard,64
prod0701,shears,yard,41
prod0702,rug,living_room,90
prod0703,rug,living_room,72
prod0704,lawnmower,yard,42
prod0705,rug,living_room,33
prod0706,lawnmower,yard,61
prod0707,chair,dining_room,64
prod0708,table,dining_room,95
prod0709,rug,living_room,89
prod0710,shed,yard,53
prod0711,desk,office,56
prod0712,shears,yard,70
prod0713,sofa,living_room,50
prod0714,rug,living_room,76
prod0715,chair,dining_room,25
prod0716,shears,yard,9
prod0717,chair,dining_room,8
prod0718,shovel,yard,20
prod0719,lamp,living_room,47
prod0720,shed,yard,91
prod0721,shed,yard,39
prod0722,lamp,living_room,20
prod0723,sofa,living_room,58
prod0724,shovel,yard,88
prod0725,sofa,living_room,71
prod0726,sofa,living_room,93
prod0727,lawnmower,yard,94
prod0728,painting,living_room,14
prod0729,sofa,living_room,30
prod0730,shovel,yard,51
prod0731,lamp,living_room,81
prod0732,shears,yard,46
prod0733,rug,living_room,9
prod0734,shed,yard,20
prod0735,shears,yard,79
prod0736,painting,living_room,87
prod0737,painting,living_room,73
prod0738,ladder,yard,42
prod0739,desk,office,17
prod0740,chair,dining_room,4
prod0741,lamp,living_room,34
prod0742,shed,yard,34
prod0743,ladder,yard,87
prod0744,table,dining_room,88
prod0745,rug,living_room,65
prod0746,lamp,living_room,35
prod0747,desk,office,85
prod0748,painting,living_room,15
prod0749,sofa,living_room,94
prod0750,desk,office,83
prod0751,lawnmower,yard,20
prod0752,shears,yard,99
prod0753,rug,living_room,65
prod0754,table,dining_room,64
prod0755,sofa,living_room,30
prod0756,lamp,living_room,5
prod0757,lawnmower,yard,40
prod0758,lamp,living_room,9
prod0759,ladder,yard,42
prod0760,ladder,yard,47
prod0761,table,dining_room,14
prod0762,shovel,yard,86
prod0763,shovel,yard,77
prod0764,lawnmower,yard,38
prod0765,shovel,yard,34
prod0766,desk,office,31
prod0767,ladder,yard,20
prod0768,shed,yard,60
prod0769,desk,office,18
prod0770,rug,living_room,63
prod0771,rug,living_room,98
prod0772,shed,yard,12
prod0773,chair,dining_room,63
prod0774,painting,living_room,14
prod0775,table,dining_room,17
prod0776,desk,office,43
prod0777,chair,dining_room,61
prod0778,shovel,yard,87
prod0779,ladder,yard,29
prod0780,shovel,yard,45
prod0781,lamp,living_room,40
prod0782,sofa,living_room,94
prod0783,painting,living_room,17
prod0784,lamp,living_room,13
prod0785,chair,dining_room,25
prod0786,shovel,yard,63
prod0787,desk,office,97
prod0788,ladder,yard,35
prod0789,shovel,yard,100
prod0790,table,dining_room,96
prod0791,lamp,living_room,64
prod0792,shears,yard,51
prod0793,sofa,living_room,55
prod0794,painting,living_room,4
prod0795,shed,yard,58
prod0796,shovel,yard,64
prod0797,lawnmower,yard,78
prod0798,chair,dining_room,70
prod0799,ladder,yard,1
prod0800,shovel,yard,71
prod0801,chair,dining_room,96
prod0802,shed,yard,8
prod0803,desk,office,33
prod0804,rug,living_room,77
prod0805,sofa,living_room,90
prod0806,lamp,living_room,83
prod0807,sofa,living_room,55
prod0808,shears,yard,52
prod0809,rug,living_room,10
prod0810,lawnmower,yard,59
prod0811,painting,living_room,64
prod0812,desk,office,51
prod0813,painting,living_room,5
prod0814,sofa,living_room,98
prod0815,painting,living_room,88
prod0816,rug,living_room,10
prod0817,lawnmower,yard,76
prod0818,chair,dining_room,18
prod0819,shovel,yard,18
prod0820,sofa,living_room,66
prod0821,ladder,yard,100
prod0822,lamp,living_room,94
prod0823,lawnmower,yard,42
prod0824,painting,living_room,42
prod0825,table,dining_room,63
prod0826,lawnmower,yard,93
prod0827,shears,yard,78
prod0828,shears,yard,13
prod0829,rug,living_room,45
prod0830,lawnmower,yard,49
prod0831,painting,living_room,13
prod0832,lamp,living_room,61
prod0833,chair,dining_room,77
prod0834,desk,office,4
prod0835,rug,living_room,55
prod0836,chair,dining_room,2
prod0837,chair,dining_room,4
prod0838,chair,dining_room,64
prod0839,ladder,yard,57
prod0840,shovel,yard,79
prod0841,sofa,living_room,84
prod0842,sofa,living_room,88
prod0843,shovel,yard,5
prod0844,painting,living_room,67
prod0845,table,dining_room,25
prod0846,shed,yard,91
prod0847,painting,living_room,34
prod0848,ladder,yard,17
prod0849,ladder,yard,28
prod0850,sofa,living_room,80
prod0851,rug,living_room,89
prod0852,desk,office,56
prod0853,lamp,living_room,40
prod0854,table,dining_room,81
prod0855,table,dining_room,64
prod0856,sofa,living_room,41
prod0857,ladder,yard,24
prod0858,rug,living_room,30
prod0859,ladder,yard,42
prod0860,desk,office,59
prod0861,lawnmower,yard,49
prod0862,shears,yard,70
prod0863,chair,dining_room,9
prod0864,shears,yard,25
prod0865,chair,dining_room,16
prod0866,shed,yard,67
prod0867,shears,yard,89
prod0868,lawnmower,yard,71
prod0869,shears,yard,0
prod0870,ladder,yard,78
prod0871,sofa,living_room,69
prod0872,lamp,living_room,38
prod0873,chair,dining_room,18
prod0874,ladder,yard,51
prod0875,ladder,yard,12
prod0876,sofa,living_room,17
prod0877,table,dining_room,63
prod0878,rug,living_room,2
prod0879,table,dining_room,53
prod0880,ladder,yard,44
prod0881,desk,office,66
prod0882,painting,living_room,54
prod0883,table,dining_room,8
prod0884,shovel,yard,63
prod0885,painting,living_room,62
prod0886,painting,living_room,13
prod0887,lawnmower,yard,30
prod0888,shears,yard,62
prod0889,ladder,yard,55
prod0890,ladder,yard,47
prod0891,painting,living_room,14
prod0892,shears,yard,26
prod0893,painting,living_room,79
prod0894,table,dining_room,15
prod0895,ladder,yard,98
prod0896,shears,yard,97
prod0897,shovel,yard,22
prod0898,shed,yard,29
prod0899,shears,yard,74
prod0900,shears,yard,19
prod0901,sofa,living_room,61
prod0902,chair,dining_room,15
prod0903,sofa,living_room,57
prod0904,chair,dining_room,41
prod0905,painting,living_room,21
prod0906,chair,dining_room,61
prod0907,desk,office,79
prod0908,painting,living_room,20
prod0909,painting,living_room,94
prod0910,chair,dining_room,22
prod0911,painting,living_room,42
prod0912,shears,yard,4
prod0913,painting,living_room,40
prod0914,shovel,yard,83
prod0915,ladder,yard,92
prod0916,lamp,living_room,80
prod0917,rug,living_room,9
prod0918,desk,office,87
prod0919,shed,yard,84
prod0920,painting,living_room,41
prod0921,ladder,yard,53
prod0922,ladder,yard,6
prod0923,chair,dining_room,6
prod0924,ladder,yard,13
prod0925,sofa,living_room,78
prod0926,rug,living_room,7
prod0927,ladder,yard,73
prod0928,sofa,living_room,7
prod0929,desk,office,25
prod0930,desk,office,30
prod0931,rug,living_room,26
prod0932,table,dining_room,99
prod0933,chair,dining_room,90
prod0934,lamp,living_room,93
prod0935,table,dining_room,88
prod0936,table,dining_room,76
prod0937,ladder,yard,5
prod0938,lawnmower,yard,31
prod0939,painting,living_room,19
prod0940,painting,living_room,66
prod0941,shed,yard,53
prod0942,sofa,living_room,49
prod0943,rug,living_room,40
prod0944,lawnmower,yard,77
prod0945,chair,dining_room,79
prod0946,ladder,yard,65
prod0947,lawnmower,yard,60
prod0948,lawnmower,yard,39
prod0949,ladder,yard,1
prod0950,shears,yard,88
prod0951,lamp,living_room,85
prod0952,shed,yard,13
prod0953,sofa,living_room,80
prod0954,lamp,living_room,95
prod0955,painting,living_room,56
prod0956,table,dining_room,38
prod0957,desk,office,86
prod0958,painting,living_room,16
prod0959,rug,living_room,79
prod0960,lamp,living_room,14
prod0961,chair,dining_room,95
prod0962,shovel,yard,71
prod0963,chair,dining_room,26
prod0964,sofa,living_room,32
prod0965,ladder,yard,94
prod0966,lamp,living_room,55
prod0967,painting,living_room,31
prod0968,rug,living_room,36
prod0969,shed,yard,100
prod0970,shears,yard,92
prod0971,shears,yard,88
prod0972,lawnmower,yard,71
prod0973,desk,office,28
prod0974,desk,office,67
prod0975,shovel,yard,39
prod0976,rug,living_room,75
prod0977,lamp,living_room,4
prod0978,lamp,living_room,73
prod0979,table,dining_room,34
prod0980,lawnmower,yard,5
prod0981,ladder,yard,34
prod0982,painting,living_room,70
prod0983,ladder,yard,45
prod0984,shed,yard,47
prod0985,desk,office,38
prod0986,lamp,living_room,90
prod0987,desk,office,42
prod0988,table,dining_room,94
prod0989,shears,yard,59
prod0990,lamp,living_room,74
prod0991,rug,living_room,90
