r_id301,p_id421,c_id435
r_id95,p_id36,c_id854
r_id925,p_id631,c_id442
r_id73,p_id0,c_id620
r_id204,p_id744,c_id522
r_id104,p_id35,c_id911
r_id898,p_id925,c_id260
r_id187,p_id890,c_id633
r_id960,p_id915,c_id378
r_id866,p_id27,c_id833
r_id981,p_id263,c_id283
r_id452,p_id697,c_id461
r_id82,p_id702,c_id938
r_id935,p_id600,c_id205
r_id342,p_id218,c_id49
r_id477,p_id947,c_id518
r_id469,p_id599,c_id928
r_id772,p_id660,c_id36
r_id421,p_id304,c_id26
r_id845,p_id393,c_id585
r_id713,p_id730,c_id306
r_id229,p_id904,c_id541
r_id7,p_id691,c_id190
r_id344,p_id207,c_id472
r_id336,p_id125,c_id86
r_id265,p_id757,c_id383
r_id861,p_id851,c_id75
r_id882,p_id758,c_id915
r_id654,p_id230,c_id432
r_id189,p_id334,c_id87
r_id226,p_id493,c_id766
r_id769,p_id302,c_id93
r_id5,p_id712,c_id384
r_id450,p_id438,c_id622
r_id335,p_id389,c_id55
r_id316,p_id824,c_id967
r_id275,p_id256,c_id548
r_id704,p_id415,c_id835
r_id798,p_id711,c_id703
r_id751,p_id820,c_id394
r_id717,p_id349,c_id55
r_id183,p_id981,c_id212
r_id777,p_id777,c_id575
r_id67,p_id850,c_id663
r_id449,p_id535,c_id570
r_id240,p_id635,c_id116
r_id712,p_id327,c_id790
r_id71,p_id834,c_id572
r_id20,p_id567,c_id758
r_id862,p_id714,c_id61
r_id943,p_id479,c_id858
r_id630,p_id444,c_id950
r_id38,p_id703,c_id564
r_id643,p_id58,c_id371
r_id565,p_id737,c_id147
r_id152,p_id70,c_id145
r_id674,p_id642,c_id70
r_id458,p_id307,c_id352
r_id39,p_id796,c_id230
r_id265,p_id608,c_id457
r_id522,p_id897,c_id546
r_id577,p_id22,c_id427
r_id201,p_id87,c_id82
r_id187,p_id186,c_id415
r_id313,p_id463,c_id11
r_id123,p_id300,c_id721
r_id592,p_id109,c_id238
r_id514,p_id45,c_id31
r_id508,p_id936,c_id370
r_id96,p_id540,c_id833
r_id385,p_id988,c_id517
r_id493,p_id585,c_id198
r_id139,p_id705,c_id600
r_id508,p_id412,c_id883
r_id90,p_id186,c_id616
r_id341,p_id156,c_id326
r_id309,p_id520,c_id363
r_id557,p_id414,c_id666
r_id497,p_id384,c_id324
r_id713,p_id571,c_id221
r_id100,p_id856,c_id996
r_id1000,p_id128,c_id249
r_id317,p_id677,c_id179
r_id373,p_id299,c_id768
r_id4,p_id10,c_id423
r_id592,p_id807,c_id598
r_id290,p_id192,c_id750
r_id757,p_id140,c_id284
r_id335,p_id889,c_id176
r_id420,p_id280,c_id196
r_id975,p_id805,c_id263
r_id730,p_id68,c_id629
r_id402,p_id808,c_id46
r_id508,p_id262,c_id444
r_id387,p_id750,c_id919
r_id258,p_id960,c_id759
r_id821,p_id287,c_id997
r_id577,p_id687,c_id656
r_id257,p_id336,c_id377
r_id662,p_id514,c_id540
r_id448,p_id572,c_id620
r_id401,p_id631,c_id889
r_id40,p_id591,c_id90
r_id444,p_id683,c_id98
r_id346,p_id254,c_id266
r_id348,p_id247,c_id672
r_id531,p_id664,c_id431
r_id531,p_id37,c_id662
r_id42,p_id851,c_id480
r_id699,p_id721,c_id794
r_id577,p_id908,c_id167
r_id640,p_id284,c_id349
r_id812,p_id334,c_id185
r_id676,p_id563,c_id359
r_id423,p_id753,c_id446
r_id917,p_id564,c_id497
r_id394,p_id181,c_id728
r_id921,p_id676,c_id694
r_id479,p_id171,c_id14
r_id216,p_id602,c_id971
r_id966,p_id351,c_id256
r_id203,p_id126,c_id205
r_id475,p_id255,c_id215
r_id391,p_id964,c_id119
r_id638,p_id174,c_id381
r_id363,p_id517,c_id206
r_id521,p_id621,c_id992
r_id923,p_id455,c_id444
r_id142,p_id961,c_id658
r_id322,p_id922,c_id403
r_id547,p_id315,c_id73
r_id815,p_id490,c_id577
r_id516,p_id697,c_id737
r_id99,p_id567,c_id420
r_id148,p_id769,c_id855
r_id9,p_id122,c_id580
r_id249,p_id751,c_id549
r_id701,p_id758,c_id638
r_id178,p_id63,c_id62
r_id184,p_id879,c_id241
r_id908,p_id858,c_id53
r_id939,p_id372,c_id371
r_id341,p_id609,c_id299
r_id185,p_id714,c_id969
r_id183,p_id622,c_id518
r_id182,p_id690,c_id320
r_id396,p_id488,c_id689
r_id46,p_id228,c_id63
r_id394,p_id364,c_id340
r_id813,p_id657,c_id756
r_id809,p_id810,c_id441
r_id276,p_id71,c_id389
r_id915,p_id139,c_id803
r_id694,p_id174,c_id559
r_id381,p_id580,c_id757
r_id44,p_id893,c_id179
r_id484,p_id623,c_id855
r_id863,p_id316,c_id635
r_id375,p_id176,c_id976
r_id546,p_id800,c_id780
r_id71,p_id280,c_id814
r_id944,p_id409,c_id469
r_id62,p_id497,c_id716
r_id992,p_id885,c_id573
r_id31,p_id827,c_id928
r_id313,p_id308,c_id96
r_id627,p_id8,c_id669
r_id450,p_id463,c_id832
r_id51,p_id69,c_id71
r_id664,p_id406,c_id370
r_id242,p_id820,c_id263
r_id414,p_id714,c_id987
r_id451,p_id8,c_id232
r_id88,p_id428,c_id921
r_id258,p_id867,c_id577
r_id789,p_id950,c_id659
r_id26,p_id384,c_id532
r_id96,p_id564,c_id952
r_id343,p_id845,c_id919
r_id637,p_id965,c_id748
r_id58,p_id843,c_id834
r_id412,p_id186,c_id334
r_id320,p_id886,c_id588
r_id373,p_id422,c_id535
r_id786,p_id807,c_id200
r_id534,p_id665,c_id572
r_id200,p_id176,c_id65
r_id497,p_id477,c_id788
r_id263,p_id978,c_id315
r_id68,p_id611,c_id792
r_id307,p_id55,c_id619
r_id530,p_id152,c_id378
r_id860,p_id414,c_id754
r_id856,p_id123,c_id378
r_id84,p_id13,c_id940
r_id504,p_id546,c_id376
r_id190,p_id49,c_id850
r_id564,p_id308,c_id940
r_id707,p_id943,c_id556
r_id850,p_id389,c_id310
r_id9,p_id862,c_id225
r_id332,p_id83,c_id878
r_id25,p_id126,c_id648
r_id407,p_id61,c_id518
r_id552,p_id205,c_id198
r_id911,p_id929,c_id65
r_id959,p_id55,c_id682
r_id397,p_id325,c_id382
r_id223,p_id771,c_id421
r_id920,p_id840,c_id565
r_id147,p_id594,c_id241
r_id524,p_id40,c_id752
r_id314,p_id70,c_id722
r_id573,p_id368,c_id617
r_id757,p_id529,c_id100
r_id54,p_id520,c_id94
r_id396,p_id65,c_id227
r_id162,p_id285,c_id99
r_id451,p_id865,c_id173
r_id121,p_id529,c_id438
r_id994,p_id436,c_id214
r_id12,p_id321,c_id99
r_id454,p_id503,c_id567
r_id157,p_id692,c_id194
r_id414,p_id887,c_id138
r_id978,p_id472,c_id451
r_id522,p_id851,c_id454
r_id559,p_id673,c_id944
r_id149,p_id759,c_id291
r_id30,p_id724,c_id222
r_id329,p_id36,c_id386
r_id24,p_id737,c_id948
r_id727,p_id375,c_id824
r_id271,p_id852,c_id408
r_id364,p_id336,c_id766
r_id183,p_id931,c_id189
r_id691,p_id458,c_id309
r_id673,p_id422,c_id426
r_id198,p_id606,c_id43
r_id400,p_id184,c_id41
r_id725,p_id560,c_id897
r_id243,p_id410,c_id229
r_id181,p_id776,c_id683
r_id850,p_id993,c_id716
r_id241,p_id982,c_id441
r_id909,p_id377,c_id110
r_id774,p_id882,c_id204
r_id274,p_id631,c_id268
r_id190,p_id388,c_id359
r_id130,p_id233,c_id863
r_id878,p_id489,c_id705
r_id340,p_id678,c_id505
r_id562,p_id573,c_id508
r_id432,p_id111,c_id344
r_id977,p_id378,c_id760
r_id641,p_id935,c_id58
r_id663,p_id701,c_id530
r_id146,p_id327,c_id546
r_id597,p_id690,c_id714
r_id518,p_id670,c_id808
r_id691,p_id670,c_id604
r_id421,p_id104,c_id958
r_id411,p_id252,c_id290
r_id543,p_id503,c_id176
r_id125,p_id946,c_id384
r_id432,p_id876,c_id813
r_id40,p_id700,c_id921
r_id271,p_id563,c_id785
r_id145,p_id785,c_id29
r_id408,p_id812,c_id990
r_id953,p_id714,c_id351
r_id342,p_id204,c_id500
r_id796,p_id616,c_id897
r_id256,p_id646,c_id995
r_id273,p_id566,c_id248
r_id939,p_id853,c_id35
r_id957,p_id849,c_id984
r_id311,p_id684,c_id294
r_id483,p_id377,c_id435
r_id788,p_id342,c_id29
r_id803,p_id151,c_id755
r_id349,p_id628,c_id580
r_id340,p_id494,c_id100
r_id110,p_id158,c_id266
r_id958,p_id751,c_id634
r_id88,p_id148,c_id672
r_id696,p_id390,c_id918
r_id990,p_id719,c_id613
r_id742,p_id277,c_id395
r_id58,p_id26,c_id149
r_id232,p_id976,c_id684
r_id467,p_id292,c_id778
r_id891,p_id677,c_id254
r_id535,p_id465,c_id94
r_id90,p_id607,c_id918
r_id760,p_id737,c_id743
r_id479,p_id363,c_id181
r_id156,p_id50,c_id641
r_id278,p_id629,c_id943
r_id270,p_id80,c_id188
r_id324,p_id134,c_id762
r_id600,p_id979,c_id749
r_id429,p_id779,c_id411
r_id981,p_id140,c_id237
r_id846,p_id129,c_id2
r_id736,p_id529,c_id509
r_id993,p_id141,c_id114
r_id477,p_id225,c_id435
r_id291,p_id951,c_id991
r_id928,p_id105,c_id732
r_id481,p_id360,c_id989
r_id860,p_id522,c_id284
r_id539,p_id974,c_id907
r_id94,p_id786,c_id693
r_id716,p_id570,c_id951
r_id773,p_id31,c_id230
r_id690,p_id437,c_id7
r_id306,p_id619,c_id407
r_id511,p_id617,c_id412
r_id257,p_id36,c_id187
r_id767,p_id897,c_id945
r_id922,p_id258,c_id350
r_id169,p_id572,c_id617
r_id652,p_id914,c_id13
r_id668,p_id810,c_id340
r_id40,p_id594,c_id839
r_id697,p_id187,c_id879
r_id883,p_id621,c_id845
r_id113,p_id553,c_id23
r_id733,p_id300,c_id199
r_id876,p_id847,c_id120
r_id115,p_id904,c_id615
r_id808,p_id676,c_id376
r_id319,p_id327,c_id139
r_id16,p_id504,c_id632
r_id579,p_id925,c_id535
r_id596,p_id659,c_id539
r_id646,p_id787,c_id235
r_id357,p_id810,c_id728
r_id609,p_id482,c_id182
r_id187,p_id703,c_id593
r_id223,p_id118,c_id482
r_id851,p_id412,c_id986
r_id325,p_id75,c_id951
r_id252,p_id202,c_id654
r_id898,p_id600,c_id584
r_id591,p_id56,c_id953
r_id755,p_id886,c_id230
r_id188,p_id677,c_id369
r_id964,p_id963,c_id433
r_id528,p_id492,c_id106
r_id842,p_id750,c_id63
r_id10,p_id116,c_id801
r_id62,p_id35,c_id133
r_id909,p_id716,c_id368
r_id734,p_id295,c_id506
r_id899,p_id925,c_id117
r_id871,p_id278,c_id627
r_id796,p_id388,c_id255
r_id450,p_id703,c_id393
r_id762,p_id404,c_id951
r_id262,p_id141,c_id339
r_id256,p_id325,c_id524
r_id407,p_id870,c_id456
r_id136,p_id766,c_id996
r_id312,p_id665,c_id392
r_id775,p_id894,c_id530
r_id366,p_id60,c_id966
r_id281,p_id313,c_id413
r_id35,p_id430,c_id343
r_id149,p_id202,c_id94
r_id39,p_id125,c_id400
r_id942,p_id610,c_id126
r_id417,p_id235,c_id30
r_id56,p_id436,c_id990
r_id253,p_id736,c_id109
r_id619,p_id64,c_id588
r_id858,p_id547,c_id423
r_id425,p_id506,c_id609
r_id598,p_id538,c_id486
r_id216,p_id364,c_id813
r_id654,p_id504,c_id622
r_id783,p_id195,c_id669
r_id559,p_id984,c_id46
r_id753,p_id59,c_id380
r_id418,p_id26,c_id522
r_id682,p_id133,c_id9
r_id550,p_id440,c_id63
r_id567,p_id89,c_id78
r_id23,p_id350,c_id9
r_id272,p_id292,c_id412
r_id83,p_id9,c_id682
r_id974,p_id816,c_id990
r_id344,p_id437,c_id881
r_id38,p_id522,c_id342
r_id712,p_id661,c_id67
r_id67,p_id447,c_id821
r_id842,p_id614,c_id663
r_id120,p_id45,c_id382
r_id458,p_id363,c_id425
r_id926,p_id380,c_id92
r_id798,p_id70,c_id892
r_id836,p_id870,c_id227
r_id321,p_id298,c_id580
r_id800,p_id28,c_id369
r_id159,p_id189,c_id400
r_id229,p_id889,c_id478
r_id322,p_id797,c_id364
r_id355,p_id713,c_id626
r_id245,p_id468,c_id892
r_id315,p_id410,c_id376
r_id326,p_id448,c_id659
r_id261,p_id568,c_id102
r_id122,p_id633,c_id824
r_id102,p_id185,c_id287
r_id431,p_id371,c_id323
r_id8,p_id351,c_id778
r_id519,p_id363,c_id215
r_id418,p_id761,c_id659
r_id180,p_id597,c_id504
r_id385,p_id614,c_id986
r_id351,p_id599,c_id274
r_id544,p_id344,c_id536
r_id443,p_id696,c_id37
r_id115,p_id157,c_id943
r_id106,p_id304,c_id280
r_id696,p_id226,c_id920
r_id830,p_id925,c_id833
r_id682,p_id448,c_id983
r_id719,p_id841,c_id737
r_id792,p_id702,c_id367
r_id701,p_id489,c_id9
r_id699,p_id704,c_id455
r_id694,p_id624,c_id31
r_id388,p_id240,c_id538
r_id490,p_id733,c_id309
r_id963,p_id887,c_id250
r_id572,p_id686,c_id828
r_id900,p_id35,c_id382
r_id865,p_id379,c_id638
r_id324,p_id203,c_id778
r_id317,p_id418,c_id514
r_id728,p_id531,c_id640
r_id162,p_id784,c_id602
r_id983,p_id81,c_id570
r_id167,p_id204,c_id219
r_id237,p_id734,c_id331
r_id240,p_id289,c_id737
r_id543,p_id189,c_id648
r_id893,p_id585,c_id467
r_id905,p_id12,c_id914
r_id245,p_id596,c_id146
r_id249,p_id935,c_id758
r_id971,p_id652,c_id757
r_id773,p_id576,c_id484
r_id173,p_id637,c_id645
r_id549,p_id629,c_id493
r_id538,p_id658,c_id741
r_id937,p_id926,c_id715
r_id252,p_id142,c_id687
r_id230,p_id789,c_id656
r_id683,p_id193,c_id535
r_id77,p_id258,c_id670
r_id938,p_id645,c_id692
r_id821,p_id787,c_id655
r_id671,p_id222,c_id182
r_id653,p_id267,c_id458
r_id542,p_id502,c_id973
r_id496,p_id117,c_id743
r_id599,p_id332,c_id444
r_id360,p_id77,c_id76
r_id67,p_id559,c_id941
r_id298,p_id223,c_id663
r_id61,p_id308,c_id893
r_id756,p_id200,c_id88
r_id621,p_id172,c_id842
r_id934,p_id81,c_id236
r_id376,p_id174,c_id975
r_id965,p_id281,c_id323
r_id620,p_id176,c_id936
r_id671,p_id902,c_id489
r_id370,p_id565,c_id520
r_id631,p_id28,c_id383
r_id289,p_id700,c_id670
r_id110,p_id42,c_id276
r_id602,p_id978,c_id775
r_id571,p_id691,c_id485
r_id531,p_id236,c_id829
r_id62,p_id500,c_id239
r_id549,p_id162,c_id565
r_id274,p_id867,c_id317
r_id947,p_id229,c_id241
r_id782,p_id250,c_id697
r_id515,p_id67,c_id909
r_id788,p_id429,c_id865
r_id594,p_id68,c_id346
r_id231,p_id674,c_id806
r_id65,p_id222,c_id654
r_id770,p_id347,c_id63
r_id951,p_id534,c_id31
r_id972,p_id55,c_id734
r_id945,p_id882,c_id394
r_id147,p_id209,c_id345
r_id318,p_id695,c_id872
r_id78,p_id187,c_id692
r_id87,p_id48,c_id160
r_id153,p_id434,c_id607
r_id685,p_id232,c_id77
r_id423,p_id197,c_id155
r_id995,p_id920,c_id387
r_id950,p_id396,c_id50
r_id608,p_id964,c_id995
r_id369,p_id995,c_id690
r_id344,p_id32,c_id535
r_id463,p_id261,c_id432
r_id164,p_id984,c_id671
r_id172,p_id22,c_id957
r_id637,p_id924,c_id298
r_id908,p_id828,c_id300
r_id566,p_id458,c_id694
r_id424,p_id302,c_id475
r_id640,p_id63,c_id924
r_id842,p_id650,c_id356
r_id508,p_id659,c_id999
r_id796,p_id342,c_id962
r_id382,p_id552,c_id976
r_id621,p_id78,c_id93
r_id943,p_id836,c_id529
r_id712,p_id404,c_id101
r_id229,p_id137,c_id585
r_id784,p_id239,c_id894
r_id415,p_id114,c_id20
r_id905,p_id325,c_id733
r_id531,p_id630,c_id963
r_id291,p_id13,c_id789
r_id917,p_id270,c_id865
r_id540,p_id897,c_id208
r_id911,p_id785,c_id201
r_id827,p_id732,c_id132
r_id757,p_id314,c_id752
r_id888,p_id318,c_id890
r_id949,p_id913,c_id529
r_id924,p_id448,c_id536
r_id715,p_id943,c_id258
r_id927,p_id286,c_id902
r_id231,p_id510,c_id267
r_id533,p_id767,c_id105
r_id737,p_id805,c_id964
r_id281,p_id421,c_id812
r_id104,p_id58,c_id382
r_id417,p_id931,c_id61
r_id685,p_id700,c_id455
r_id123,p_id43,c_id108
r_id289,p_id149,c_id704
r_id151,p_id857,c_id898
r_id540,p_id81,c_id120
r_id381,p_id983,c_id269
r_id488,p_id674,c_id482
r_id869,p_id538,c_id32
r_id997,p_id830,c_id639
r_id943,p_id43,c_id920
r_id174,p_id701,c_id394
r_id601,p_id138,c_id365
r_id723,p_id605,c_id421
r_id863,p_id383,c_id711
r_id150,p_id484,c_id755
r_id493,p_id311,c_id503
r_id122,p_id900,c_id26
r_id221,p_id433,c_id475
r_id669,p_id539,c_id333
r_id7,p_id228,c_id195
r_id501,p_id898,c_id392
r_id595,p_id858,c_id3
r_id903,p_id647,c_id200
r_id464,p_id483,c_id488
r_id851,p_id884,c_id103
r_id226,p_id699,c_id540
r_id882,p_id166,c_id483
r_id447,p_id116,c_id761
r_id37,p_id30,c_id948
r_id483,p_id234,c_id338
r_id640,p_id663,c_id35
r_id928,p_id547,c_id882
r_id31,p_id463,c_id228
r_id665,p_id989,c_id916
r_id902,p_id152,c_id275
r_id956,p_id943,c_id636
r_id942,p_id533,c_id825
r_id174,p_id28,c_id581
r_id146,p_id390,c_id197
r_id135,p_id160,c_id989
r_id59,p_id100,c_id513
r_id162,p_id468,c_id621
r_id248,p_id545,c_id402
r_id656,p_id644,c_id339
r_id753,p_id429,c_id774
r_id263,p_id910,c_id506
r_id17,p_id639,c_id155
r_id445,p_id768,c_id264
r_id315,p_id514,c_id241
r_id573,p_id351,c_id854
r_id747,p_id800,c_id265
r_id238,p_id362,c_id807
r_id520,p_id561,c_id119
r_id188,p_id323,c_id165
r_id55,p_id954,c_id433
r_id5,p_id742,c_id174
r_id857,p_id221,c_id429
r_id502,p_id673,c_id498
r_id366,p_id10,c_id941
r_id713,p_id579,c_id471
r_id485,p_id594,c_id863
r_id105,p_id96,c_id133
