product_id,description,type,number_available
2561,end_table,furniture,10
2562,television,furniture,7
2563,end_table,furniture,10
2564,stereo,appliance,3
2565,painting,appliance,4
2566,table_lamp,electronics,10
2567,stereo,appliance,6
2568,stereo,electronics,4
2569,stereo,furniture,10
2570,painting,furniture,3
2571,stereo,decoration,4
2572,television,decoration,3
2573,table_lamp,furniture,7
2574,end_table,decoration,7
2575,end_table,decoration,9
2576,television,electronics,5
2577,stereo,electronics,5
2578,table_lamp,electronics,10
2579,television,decoration,8
2580,television,appliance,8
2581,television,decoration,2
2582,microwave,decoration,3
2583,table_lamp,electronics,1
2584,television,decoration,9
2585,microwave,decoration,3
2586,television,furniture,8
2587,microwave,appliance,3
2588,television,decoration,5
2589,table_lamp,decoration,3
2590,table_lamp,appliance,4
2591,stereo,decoration,8
2592,television,appliance,2
2593,table_lamp,decoration,4
2594,microwave,appliance,8
2595,end_table,furniture,5
2596,table_lamp,appliance,9
2597,television,furniture,8
2598,painting,decoration,9
2599,microwave,decoration,9
2600,microwave,furniture,6
2601,table_lamp,decoration,10
2602,end_table,electronics,4
2603,painting,decoration,2
2604,painting,electronics,4
2605,television,electronics,2
2606,end_table,appliance,9
2607,television,decoration,5
2608,television,appliance,8
2609,painting,electronics,9
2610,stereo,decoration,2
2611,stereo,electronics,9
2612,painting,decoration,6
2613,television,electronics,7
2614,table_lamp,electronics,3
2615,stereo,decoration,10
2616,painting,electronics,5
2617,microwave,appliance,9
2618,painting,decoration,7
2619,end_table,electronics,9
2620,painting,appliance,1
2621,microwave,appliance,2
2622,microwave,appliance,1
2623,stereo,furniture,4
2624,end_table,decoration,6
2625,microwave,electronics,4
2626,stereo,electronics,7
2627,end_table,decoration,2
2628,stereo,decoration,6
2629,stereo,decoration,3
2630,painting,appliance,9
2631,end_table,decoration,10
2632,stereo,appliance,3
2633,stereo,decoration,1
2634,end_table,appliance,6
2635,painting,furniture,2
2636,microwave,furniture,3
2637,end_table,furniture,1
2638,microwave,furniture,8
2639,table_lamp,furniture,10
2640,table_lamp,furniture,2
2641,stereo,decoration,8
2642,microwave,electronics,7
2643,stereo,decoration,3
2644,table_lamp,decoration,3
2645,television,electronics,6
2646,stereo,decoration,5
2647,stereo,electronics,1
2648,table_lamp,furniture,2
2649,stereo,furniture,2
2650,painting,decoration,2
2651,stereo,appliance,10
2652,microwave,decoration,3
2653,end_table,decoration,6
2654,microwave,furniture,1
2655,television,furniture,4
2656,end_table,furniture,8
2657,microwave,appliance,6
2658,end_table,decoration,7
2659,end_table,decoration,7
2660,table_lamp,appliance,5
2661,table_lamp,decoration,8
2662,end_table,decoration,8
2663,painting,electronics,8
2664,stereo,appliance,10
2665,table_lamp,appliance,6
2666,television,electronics,6
2667,television,furniture,5
2668,stereo,furniture,2
2669,stereo,appliance,6
2670,microwave,decoration,3
2671,end_table,furniture,5
2672,stereo,appliance,10
2673,painting,appliance,6
2674,painting,electronics,8
2675,television,decoration,5
2676,painting,furniture,1
2677,television,furniture,3
2678,painting,furniture,1
2679,end_table,electronics,1
2680,table_lamp,electronics,1
2681,microwave,electronics,3
2682,microwave,appliance,6
2683,microwave,electronics,5
2684,end_table,appliance,5
2685,stereo,appliance,4
2686,stereo,decoration,7
2687,stereo,appliance,4
2688,microwave,electronics,7
2689,stereo,appliance,8
2690,painting,furniture,1
2691,end_table,electronics,4
2692,table_lamp,furniture,9
2693,stereo,furniture,4
2694,television,appliance,7
2695,stereo,appliance,7
2696,table_lamp,electronics,8
2697,television,furniture,9
2698,stereo,appliance,3
2699,stereo,electronics,6
2700,end_table,furniture,10
2701,stereo,electronics,7
2702,end_table,appliance,4
2703,stereo,furniture,1
2704,stereo,electronics,9
2705,television,furniture,2
2706,stereo,decoration,2
2707,television,electronics,3
2708,table_lamp,appliance,8
2709,television,furniture,9
2710,painting,electronics,4
2711,end_table,decoration,7
2712,painting,electronics,1
2713,stereo,furniture,8
2714,television,appliance,8
2715,television,electronics,3
2716,painting,decoration,5
2717,end_table,appliance,9
2718,microwave,furniture,9
2719,stereo,decoration,3
2720,stereo,appliance,5
2721,end_table,appliance,10
2722,television,decoration,7
2723,stereo,electronics,6
2724,end_table,electronics,3
2725,stereo,decoration,9
2726,end_table,decoration,4
2727,end_table,electronics,9
2728,microwave,decoration,6
2729,television,electronics,2
2730,stereo,decoration,2
2731,end_table,decoration,10
2732,stereo,appliance,3
2733,television,electronics,6
2734,end_table,furniture,3
2735,end_table,decoration,9
2736,television,furniture,6
2737,painting,electronics,8
2738,painting,electronics,1
2739,stereo,furniture,5
2740,stereo,electronics,9
2741,table_lamp,appliance,4
2742,end_table,electronics,4
2743,television,electronics,2
2744,microwave,decoration,9
2745,table_lamp,furniture,10
2746,table_lamp,furniture,4
2747,television,electronics,9
2748,microwave,decoration,9
2749,microwave,appliance,5
2750,painting,decoration,4
2751,table_lamp,furniture,5
2752,stereo,furniture,9
2753,table_lamp,electronics,5
2754,microwave,appliance,7
2755,microwave,appliance,8
2756,microwave,appliance,6
2757,television,decoration,10
2758,stereo,appliance,7
2759,stereo,furniture,8
2760,stereo,electronics,8
2761,painting,appliance,5
2762,table_lamp,furniture,10
2763,end_table,appliance,5
2764,stereo,furniture,9
2765,table_lamp,furniture,1
2766,microwave,appliance,4
2767,end_table,electronics,2
2768,painting,appliance,1
2769,microwave,decoration,7
2770,stereo,electronics,3
2771,stereo,appliance,8
2772,television,decoration,8
2773,table_lamp,appliance,3
2774,television,decoration,5
2775,table_lamp,decoration,2
2776,television,electronics,1
2777,television,decoration,4
2778,end_table,furniture,7
2779,television,appliance,4
2780,microwave,furniture,1
2781,microwave,electronics,1
2782,end_table,appliance,2
2783,microwave,furniture,3
2784,microwave,appliance,5
2785,stereo,electronics,8
2786,stereo,furniture,2
2787,table_lamp,electronics,1
2788,table_lamp,furniture,5
2789,table_lamp,decoration,4
2790,painting,furniture,9
2791,microwave,furniture,5
2792,stereo,appliance,8
2793,end_table,appliance,6
2794,stereo,furniture,10
2795,microwave,electronics,5
2796,painting,furniture,7
2797,television,appliance,2
2798,painting,decoration,8
2799,television,furniture,5
2800,painting,furniture,10
2801,painting,electronics,10
2802,end_table,furniture,2
2803,microwave,appliance,3
2804,microwave,decoration,9
2805,microwave,electronics,3
2806,microwave,appliance,6
2807,stereo,decoration,10
2808,table_lamp,appliance,9
2809,end_table,decoration,9
2810,microwave,furniture,5
2811,stereo,furniture,2
2812,stereo,appliance,1
2813,microwave,decoration,7
2814,table_lamp,furniture,10
2815,stereo,decoration,6
2816,television,appliance,3
2817,painting,furniture,8
2818,table_lamp,decoration,3
2819,end_table,electronics,2
2820,end_table,furniture,2
2821,table_lamp,appliance,6
2822,table_lamp,electronics,4
2823,microwave,decoration,6
2824,stereo,furniture,6
2825,stereo,decoration,9
2826,end_table,furniture,2
2827,television,decoration,5
2828,painting,decoration,4
2829,painting,electronics,10
2830,table_lamp,appliance,6
2831,stereo,decoration,8
2832,stereo,decoration,2
2833,television,appliance,4
2834,stereo,decoration,3
2835,television,electronics,10
2836,stereo,appliance,4
2837,television,furniture,1
2838,table_lamp,electronics,9
2839,painting,appliance,5
2840,end_table,appliance,3
2841,microwave,appliance,1
2842,stereo,electronics,8
2843,television,electronics,9
2844,stereo,electronics,3
2845,painting,electronics,6
2846,microwave,electronics,9
2847,microwave,electronics,4
2848,end_table,appliance,10
2849,painting,appliance,4
2850,stereo,decoration,10
2851,stereo,electronics,6
2852,painting,decoration,4
2853,stereo,electronics,3
2854,stereo,appliance,8
2855,table_lamp,appliance,6
2856,microwave,electronics,7
2857,microwave,appliance,4
2858,painting,appliance,8
2859,television,decoration,5
2860,television,appliance,7
2861,microwave,appliance,9
2862,stereo,furniture,8
2863,stereo,furniture,10
2864,table_lamp,electronics,2
2865,painting,electronics,5
2866,painting,furniture,1
2867,television,appliance,8
2868,television,furniture,1
2869,television,furniture,9
2870,end_table,decoration,6
2871,table_lamp,appliance,1
2872,microwave,electronics,1
2873,stereo,furniture,9
2874,end_table,decoration,5
2875,television,appliance,9
2876,end_table,appliance,1
2877,television,appliance,9
2878,table_lamp,appliance,4
2879,microwave,decoration,4
2880,painting,appliance,1
2881,end_table,decoration,3
2882,painting,electronics,10
2883,table_lamp,appliance,8
2884,stereo,appliance,8
2885,television,appliance,6
2886,painting,appliance,7
2887,painting,furniture,4
2888,television,furniture,3
2889,television,electronics,7
2890,table_lamp,decoration,5
2891,table_lamp,furniture,8
2892,painting,appliance,4
2893,stereo,decoration,8
2894,painting,appliance,4
2895,microwave,decoration,2
2896,television,decoration,1
2897,end_table,furniture,6
2898,stereo,electronics,9
2899,end_table,appliance,9
2900,television,appliance,8
2901,painting,furniture,10
2902,painting,decoration,8
2903,painting,electronics,8
2904,end_table,electronics,10
2905,stereo,electronics,5
2906,television,appliance,2
2907,table_lamp,appliance,8
2908,television,appliance,8
2909,end_table,decoration,9
2910,table_lamp,decoration,4
2911,microwave,decoration,6
2912,table_lamp,decoration,3
2913,end_table,decoration,3
2914,television,electronics,5
2915,end_table,furniture,1
2916,painting,appliance,8
2917,end_table,decoration,9
2918,end_table,electronics,8
2919,television,electronics,7
2920,painting,electronics,5
2921,end_table,decoration,7
2922,stereo,decoration,4
2923,painting,electronics,2
2924,painting,decoration,9
2925,stereo,electronics,10
2926,television,appliance,8
2927,painting,decoration,3
2928,stereo,furniture,2
2929,microwave,electronics,7
2930,television,electronics,7
2931,television,electronics,10
2932,table_lamp,decoration,1
2933,end_table,decoration,3
2934,end_table,appliance,2
2935,stereo,appliance,6
2936,painting,decoration,9
2937,stereo,furniture,4
2938,table_lamp,electronics,1
2939,painting,electronics,3
2940,end_table,appliance,7
2941,table_lamp,electronics,5
2942,television,appliance,2
2943,microwave,decoration,8
2944,end_table,decoration,10
2945,table_lamp,appliance,3
2946,stereo,appliance,2
2947,table_lamp,appliance,8
2948,microwave,decoration,7
2949,stereo,furniture,2
2950,painting,electronics,10
2951,end_table,appliance,7
2952,painting,decoration,7
2953,microwave,appliance,8
2954,painting,appliance,1
2955,end_table,furniture,6
2956,stereo,appliance,10
2957,television,decoration,4
2958,microwave,appliance,8
2959,microwave,decoration,2
2960,table_lamp,appliance,4
2961,television,appliance,6
2962,television,decoration,10
2963,stereo,electronics,7
2964,television,electronics,9
2965,end_table,decoration,10
2966,microwave,decoration,6
2967,end_table,furniture,7
2968,table_lamp,appliance,8
2969,table_lamp,appliance,7
2970,end_table,furniture,7
2971,television,electronics,7
2972,television,appliance,2
2973,microwave,appliance,3
2974,television,appliance,3
2975,microwave,electronics,10
2976,stereo,decoration,2
2977,television,electronics,3
2978,television,decoration,1
2979,stereo,decoration,1
2980,microwave,furniture,6
2981,stereo,furniture,1
2982,television,appliance,7
2983,microwave,furniture,10
2984,table_lamp,decoration,7
2985,microwave,furniture,9
2986,end_table,furniture,9
2987,table_lamp,furniture,5
2988,end_table,furniture,1
2989,television,electronics,8
2990,end_table,appliance,8
2991,stereo,electronics,6
2992,stereo,decoration,3
2993,end_table,furniture,5
2994,stereo,decoration,1
2995,stereo,electronics,2
2996,painting,appliance,10
2997,painting,appliance,10
2998,stereo,electronics,9
2999,television,furniture,2
3000,television,appliance,5
