2020-05-04 09:40:25,799 charges_calc.py:73  WARNING Invalid end date of 2017-03-22 00:00:00 found in record RNT001
2020-05-04 09:40:25,829 charges_calc.py:73  WARNING Invalid end date of 2017-04-18 00:00:00 found in record RNT030
2020-05-04 09:40:25,830 charges_calc.py:82  WARNING Value Error on record RNT030, value {'product_code': 'PRD43', 'units_rented': 4, 'price_per_day': 31, 'rental_start': '7/1/17', 'rental_end': '4/18/17', 'total_days': -74, 'total_price': -2294} square of the total price
2020-05-04 09:40:25,830 charges_calc.py:73  WARNING Invalid end date of 2017-04-13 00:00:00 found in record RNT031
2020-05-04 09:40:25,831 charges_calc.py:82  WARNING Value Error on record RNT031, value {'product_code': 'PRD51', 'units_rented': 10, 'price_per_day': 27, 'rental_start': '4/18/18', 'rental_end': '4/13/17', 'total_days': -370, 'total_price': -9990} square of the total price
2020-05-04 09:40:25,831 charges_calc.py:73  WARNING Invalid end date of 2016-04-03 00:00:00 found in record RNT034
2020-05-04 09:40:25,832 charges_calc.py:82  WARNING Value Error on record RNT034, value {'product_code': 'PRD72', 'units_rented': 9, 'price_per_day': 36, 'rental_start': '10/11/17', 'rental_end': '4/3/16', 'total_days': -556, 'total_price': -20016} square of the total price
2020-05-04 09:40:25,832 charges_calc.py:73  WARNING Invalid end date of 2016-12-30 00:00:00 found in record RNT040
2020-05-04 09:40:25,833 charges_calc.py:82  WARNING Value Error on record RNT040, value {'product_code': 'PRD51', 'units_rented': 1, 'price_per_day': 23, 'rental_start': '12/1/17', 'rental_end': '12/30/16', 'total_days': -336, 'total_price': -7728} square of the total price
2020-05-04 09:40:25,834 charges_calc.py:73  WARNING Invalid end date of 2017-03-30 00:00:00 found in record RNT041
2020-05-04 09:40:25,834 charges_calc.py:82  WARNING Value Error on record RNT041, value {'product_code': 'PRD59', 'units_rented': 4, 'price_per_day': 14, 'rental_start': '2/19/18', 'rental_end': '3/30/17', 'total_days': -326, 'total_price': -4564} square of the total price
2020-05-04 09:40:25,835 charges_calc.py:73  WARNING Invalid end date of 2016-12-19 00:00:00 found in record RNT044
2020-05-04 09:40:25,835 charges_calc.py:82  WARNING Value Error on record RNT044, value {'product_code': 'PRD43', 'units_rented': 1, 'price_per_day': 15, 'rental_start': '9/4/18', 'rental_end': '12/19/16', 'total_days': -624, 'total_price': -9360} square of the total price
2020-05-04 09:40:25,835 charges_calc.py:73  WARNING Invalid end date of 2018-11-12 00:00:00 found in record RNT045
2020-05-04 09:40:25,836 charges_calc.py:82  WARNING Value Error on record RNT045, value {'product_code': 'PRD62', 'units_rented': 3, 'price_per_day': 33, 'rental_start': '12/19/18', 'rental_end': '11/12/18', 'total_days': -37, 'total_price': -1221} square of the total price
2020-05-04 09:40:25,836 charges_calc.py:73  WARNING Invalid end date of 2018-01-08 00:00:00 found in record RNT046
2020-05-04 09:40:25,838 charges_calc.py:82  WARNING Value Error on record RNT046, value {'product_code': 'PRD46', 'units_rented': 5, 'price_per_day': 34, 'rental_start': '10/15/18', 'rental_end': '1/8/18', 'total_days': -280, 'total_price': -9520} square of the total price
2020-05-04 09:40:25,840 charges_calc.py:73  WARNING Invalid end date of 2016-06-24 00:00:00 found in record RNT047
2020-05-04 09:40:25,841 charges_calc.py:82  WARNING Value Error on record RNT047, value {'product_code': 'PRD52', 'units_rented': 2, 'price_per_day': 12, 'rental_start': '8/3/18', 'rental_end': '6/24/16', 'total_days': -770, 'total_price': -9240} square of the total price
2020-05-04 09:40:25,841 charges_calc.py:73  WARNING Invalid end date of 2016-10-28 00:00:00 found in record RNT048
2020-05-04 09:40:25,842 charges_calc.py:82  WARNING Value Error on record RNT048, value {'product_code': 'PRD32', 'units_rented': 5, 'price_per_day': 36, 'rental_start': '9/5/17', 'rental_end': '10/28/16', 'total_days': -312, 'total_price': -11232} square of the total price
2020-05-04 09:40:25,842 charges_calc.py:73  WARNING Invalid end date of 2017-06-30 00:00:00 found in record RNT050
2020-05-04 09:40:25,843 charges_calc.py:82  WARNING Value Error on record RNT050, value {'product_code': 'PRD6', 'units_rented': 8, 'price_per_day': 34, 'rental_start': '12/6/18', 'rental_end': '6/30/17', 'total_days': -524, 'total_price': -17816} square of the total price
2020-05-04 09:40:25,843 charges_calc.py:73  WARNING Invalid end date of 2016-02-27 00:00:00 found in record RNT056
2020-05-04 09:40:25,844 charges_calc.py:82  WARNING Value Error on record RNT056, value {'product_code': 'PRD43', 'units_rented': 9, 'price_per_day': 40, 'rental_start': '4/12/18', 'rental_end': '2/27/16', 'total_days': -775, 'total_price': -31000} square of the total price
2020-05-04 09:40:25,844 charges_calc.py:73  WARNING Invalid end date of 2017-01-25 00:00:00 found in record RNT058
2020-05-04 09:40:25,845 charges_calc.py:82  WARNING Value Error on record RNT058, value {'product_code': 'PRD35', 'units_rented': 8, 'price_per_day': 28, 'rental_start': '7/14/17', 'rental_end': '1/25/17', 'total_days': -170, 'total_price': -4760} square of the total price
2020-05-04 09:40:25,845 charges_calc.py:73  WARNING Invalid end date of 2016-01-18 00:00:00 found in record RNT060
2020-05-04 09:40:25,846 charges_calc.py:82  WARNING Value Error on record RNT060, value {'product_code': 'PRD84', 'units_rented': 8, 'price_per_day': 29, 'rental_start': '2/15/16', 'rental_end': '1/18/16', 'total_days': -28, 'total_price': -812} square of the total price
2020-05-04 09:40:25,846 charges_calc.py:73  WARNING Invalid end date of 2017-02-28 00:00:00 found in record RNT061
2020-05-04 09:40:25,847 charges_calc.py:82  WARNING Value Error on record RNT061, value {'product_code': 'PRD35', 'units_rented': 8, 'price_per_day': 24, 'rental_start': '2/12/18', 'rental_end': '2/28/17', 'total_days': -349, 'total_price': -8376} square of the total price
2020-05-04 09:40:25,849 charges_calc.py:73  WARNING Invalid end date of 2018-06-03 00:00:00 found in record RNT062
2020-05-04 09:40:25,849 charges_calc.py:82  WARNING Value Error on record RNT062, value {'product_code': 'PRD29', 'units_rented': 3, 'price_per_day': 12, 'rental_start': '8/25/18', 'rental_end': '6/3/18', 'total_days': -83, 'total_price': -996} square of the total price
2020-05-04 09:40:25,850 charges_calc.py:73  WARNING Invalid end date of 2016-12-12 00:00:00 found in record RNT065
2020-05-04 09:40:25,850 charges_calc.py:82  WARNING Value Error on record RNT065, value {'product_code': 'PRD61', 'units_rented': 1, 'price_per_day': 11, 'rental_start': '10/11/18', 'rental_end': '12/12/16', 'total_days': -668, 'total_price': -7348} square of the total price
2020-05-04 09:40:25,851 charges_calc.py:73  WARNING Invalid end date of 2017-10-18 00:00:00 found in record RNT067
2020-05-04 09:40:25,851 charges_calc.py:82  WARNING Value Error on record RNT067, value {'product_code': 'PRD29', 'units_rented': 5, 'price_per_day': 31, 'rental_start': '1/18/18', 'rental_end': '10/18/17', 'total_days': -92, 'total_price': -2852} square of the total price
2020-05-04 09:40:25,852 charges_calc.py:73  WARNING Invalid end date of 2016-05-25 00:00:00 found in record RNT071
2020-05-04 09:40:25,852 charges_calc.py:82  WARNING Value Error on record RNT071, value {'product_code': 'PRD38', 'units_rented': 9, 'price_per_day': 6, 'rental_start': '10/5/16', 'rental_end': '5/25/16', 'total_days': -133, 'total_price': -798} square of the total price
2020-05-04 09:40:25,853 charges_calc.py:73  WARNING Invalid end date of 2017-07-14 00:00:00 found in record RNT074
2020-05-04 09:40:25,853 charges_calc.py:82  WARNING Value Error on record RNT074, value {'product_code': 'PRD33', 'units_rented': 9, 'price_per_day': 22, 'rental_start': '9/9/17', 'rental_end': '7/14/17', 'total_days': -57, 'total_price': -1254} square of the total price
2020-05-04 09:40:25,854 charges_calc.py:73  WARNING Invalid end date of 2016-05-12 00:00:00 found in record RNT076
2020-05-04 09:40:25,854 charges_calc.py:82  WARNING Value Error on record RNT076, value {'product_code': 'PRD64', 'units_rented': 4, 'price_per_day': 20, 'rental_start': '6/6/18', 'rental_end': '5/12/16', 'total_days': -755, 'total_price': -15100} square of the total price
2020-05-04 09:40:25,855 charges_calc.py:73  WARNING Invalid end date of 2016-11-19 00:00:00 found in record RNT077
2020-05-04 09:40:25,856 charges_calc.py:82  WARNING Value Error on record RNT077, value {'product_code': 'PRD6', 'units_rented': 8, 'price_per_day': 14, 'rental_start': '8/15/18', 'rental_end': '11/19/16', 'total_days': -634, 'total_price': -8876} square of the total price
2020-05-04 09:40:25,856 charges_calc.py:73  WARNING Invalid end date of 2018-01-27 00:00:00 found in record RNT079
2020-05-04 09:40:25,858 charges_calc.py:82  WARNING Value Error on record RNT079, value {'product_code': 'PRD85', 'units_rented': 1, 'price_per_day': 21, 'rental_start': '11/27/18', 'rental_end': '1/27/18', 'total_days': -304, 'total_price': -6384} square of the total price
2020-05-04 09:40:25,858 charges_calc.py:73  WARNING Invalid end date of 2016-04-29 00:00:00 found in record RNT084
2020-05-04 09:40:25,859 charges_calc.py:82  WARNING Value Error on record RNT084, value {'product_code': 'PRD75', 'units_rented': 6, 'price_per_day': 16, 'rental_start': '5/13/17', 'rental_end': '4/29/16', 'total_days': -379, 'total_price': -6064} square of the total price
2020-05-04 09:40:25,859 charges_calc.py:73  WARNING Invalid end date of 2018-03-20 00:00:00 found in record RNT086
2020-05-04 09:40:25,860 charges_calc.py:82  WARNING Value Error on record RNT086, value {'product_code': 'PRD87', 'units_rented': 6, 'price_per_day': 40, 'rental_start': '12/3/18', 'rental_end': '3/20/18', 'total_days': -258, 'total_price': -10320} square of the total price
2020-05-04 09:40:25,860 charges_calc.py:73  WARNING Invalid end date of 2016-06-18 00:00:00 found in record RNT087
2020-05-04 09:40:25,861 charges_calc.py:82  WARNING Value Error on record RNT087, value {'product_code': 'PRD0', 'units_rented': 2, 'price_per_day': 37, 'rental_start': '8/10/16', 'rental_end': '6/18/16', 'total_days': -53, 'total_price': -1961} square of the total price
2020-05-04 09:40:25,861 charges_calc.py:73  WARNING Invalid end date of 2018-08-15 00:00:00 found in record RNT089
2020-05-04 09:40:25,862 charges_calc.py:82  WARNING Value Error on record RNT089, value {'product_code': 'PRD58', 'units_rented': 5, 'price_per_day': 20, 'rental_start': '11/5/18', 'rental_end': '8/15/18', 'total_days': -82, 'total_price': -1640} square of the total price
2020-05-04 09:40:25,862 charges_calc.py:73  WARNING Invalid end date of 2016-05-23 00:00:00 found in record RNT092
2020-05-04 09:40:25,862 charges_calc.py:82  WARNING Value Error on record RNT092, value {'product_code': 'PRD6', 'units_rented': 10, 'price_per_day': 18, 'rental_start': '3/10/17', 'rental_end': '5/23/16', 'total_days': -291, 'total_price': -5238} square of the total price
2020-05-04 09:40:25,863 charges_calc.py:73  WARNING Invalid end date of 2017-07-23 00:00:00 found in record RNT095
2020-05-04 09:40:25,863 charges_calc.py:82  WARNING Value Error on record RNT095, value {'product_code': 'PRD83', 'units_rented': 6, 'price_per_day': 6, 'rental_start': '8/5/18', 'rental_end': '7/23/17', 'total_days': -378, 'total_price': -2268} square of the total price
2020-05-04 09:40:25,864 charges_calc.py:73  WARNING Invalid end date of 2016-08-29 00:00:00 found in record RNT097
2020-05-04 09:40:25,864 charges_calc.py:82  WARNING Value Error on record RNT097, value {'product_code': 'PRD36', 'units_rented': 7, 'price_per_day': 29, 'rental_start': '1/11/17', 'rental_end': '8/29/16', 'total_days': -135, 'total_price': -3915} square of the total price
2020-05-04 09:40:25,865 charges_calc.py:73  WARNING Invalid end date of 2016-10-21 00:00:00 found in record RNT099
2020-05-04 09:40:25,866 charges_calc.py:82  WARNING Value Error on record RNT099, value {'product_code': 'PRD42', 'units_rented': 1, 'price_per_day': 18, 'rental_start': '11/23/18', 'rental_end': '10/21/16', 'total_days': -763, 'total_price': -13734} square of the total price
2020-05-04 09:40:25,868 charges_calc.py:73  WARNING Invalid end date of 2016-05-21 00:00:00 found in record RNT100
2020-05-04 09:40:25,869 charges_calc.py:82  WARNING Value Error on record RNT100, value {'product_code': 'PRD66', 'units_rented': 6, 'price_per_day': 10, 'rental_start': '6/16/18', 'rental_end': '5/21/16', 'total_days': -756, 'total_price': -7560} square of the total price
2020-05-04 09:40:25,869 charges_calc.py:73  WARNING Invalid end date of 2017-09-20 00:00:00 found in record RNT101
2020-05-04 09:40:25,870 charges_calc.py:82  WARNING Value Error on record RNT101, value {'product_code': 'PRD42', 'units_rented': 9, 'price_per_day': 9, 'rental_start': '12/3/18', 'rental_end': '9/20/17', 'total_days': -439, 'total_price': -3951} square of the total price
2020-05-04 09:40:25,870 charges_calc.py:73  WARNING Invalid end date of 2016-12-08 00:00:00 found in record RNT102
2020-05-04 09:40:25,871 charges_calc.py:82  WARNING Value Error on record RNT102, value {'product_code': 'PRD68', 'units_rented': 7, 'price_per_day': 34, 'rental_start': '7/17/17', 'rental_end': '12/8/16', 'total_days': -221, 'total_price': -7514} square of the total price
2020-05-04 09:40:25,871 charges_calc.py:73  WARNING Invalid end date of 2016-02-18 00:00:00 found in record RNT103
2020-05-04 09:40:25,872 charges_calc.py:82  WARNING Value Error on record RNT103, value {'product_code': 'PRD76', 'units_rented': 6, 'price_per_day': 20, 'rental_start': '1/24/17', 'rental_end': '2/18/16', 'total_days': -341, 'total_price': -6820} square of the total price
2020-05-04 09:40:25,872 charges_calc.py:73  WARNING Invalid end date of 2016-08-30 00:00:00 found in record RNT104
2020-05-04 09:40:25,873 charges_calc.py:82  WARNING Value Error on record RNT104, value {'product_code': 'PRD98', 'units_rented': 1, 'price_per_day': 31, 'rental_start': '12/20/17', 'rental_end': '8/30/16', 'total_days': -477, 'total_price': -14787} square of the total price
2020-05-04 09:40:25,874 charges_calc.py:73  WARNING Invalid end date of 2016-02-20 00:00:00 found in record RNT105
2020-05-04 09:40:25,874 charges_calc.py:82  WARNING Value Error on record RNT105, value {'product_code': 'PRD3', 'units_rented': 4, 'price_per_day': 32, 'rental_start': '12/29/17', 'rental_end': '2/20/16', 'total_days': -678, 'total_price': -21696} square of the total price
2020-05-04 09:40:25,875 charges_calc.py:73  WARNING Invalid end date of 2018-01-01 00:00:00 found in record RNT106
2020-05-04 09:40:25,875 charges_calc.py:82  WARNING Value Error on record RNT106, value {'product_code': 'PRD80', 'units_rented': 7, 'price_per_day': 35, 'rental_start': '3/14/18', 'rental_end': '1/1/18', 'total_days': -72, 'total_price': -2520} square of the total price
2020-05-04 09:40:25,876 charges_calc.py:73  WARNING Invalid end date of 2016-06-04 00:00:00 found in record RNT107
2020-05-04 09:40:25,876 charges_calc.py:82  WARNING Value Error on record RNT107, value {'product_code': 'PRD84', 'units_rented': 3, 'price_per_day': 11, 'rental_start': '5/30/17', 'rental_end': '6/4/16', 'total_days': -360, 'total_price': -3960} square of the total price
2020-05-04 09:40:25,878 charges_calc.py:73  WARNING Invalid end date of 2017-01-09 00:00:00 found in record RNT109
2020-05-04 09:40:25,878 charges_calc.py:82  WARNING Value Error on record RNT109, value {'product_code': 'PRD88', 'units_rented': 2, 'price_per_day': 30, 'rental_start': '6/26/18', 'rental_end': '1/9/17', 'total_days': -533, 'total_price': -15990} square of the total price
2020-05-04 09:40:25,879 charges_calc.py:73  WARNING Invalid end date of 2016-01-09 00:00:00 found in record RNT114
2020-05-04 09:40:25,880 charges_calc.py:82  WARNING Value Error on record RNT114, value {'product_code': 'PRD89', 'units_rented': 10, 'price_per_day': 14, 'rental_start': '6/6/17', 'rental_end': '1/9/16', 'total_days': -514, 'total_price': -7196} square of the total price
2020-05-04 09:40:25,880 charges_calc.py:73  WARNING Invalid end date of 2016-02-03 00:00:00 found in record RNT115
2020-05-04 09:40:25,881 charges_calc.py:82  WARNING Value Error on record RNT115, value {'product_code': 'PRD22', 'units_rented': 2, 'price_per_day': 8, 'rental_start': '5/11/18', 'rental_end': '2/3/16', 'total_days': -828, 'total_price': -6624} square of the total price
2020-05-04 09:40:25,881 charges_calc.py:73  WARNING Invalid end date of 2016-08-04 00:00:00 found in record RNT116
2020-05-04 09:40:25,882 charges_calc.py:82  WARNING Value Error on record RNT116, value {'product_code': 'PRD74', 'units_rented': 1, 'price_per_day': 8, 'rental_start': '4/14/17', 'rental_end': '8/4/16', 'total_days': -253, 'total_price': -2024} square of the total price
2020-05-04 09:40:25,883 charges_calc.py:73  WARNING Invalid end date of 2017-06-04 00:00:00 found in record RNT118
2020-05-04 09:40:25,883 charges_calc.py:82  WARNING Value Error on record RNT118, value {'product_code': 'PRD11', 'units_rented': 10, 'price_per_day': 23, 'rental_start': '7/23/18', 'rental_end': '6/4/17', 'total_days': -414, 'total_price': -9522} square of the total price
2020-05-04 09:40:25,884 charges_calc.py:73  WARNING Invalid end date of 2017-12-18 00:00:00 found in record RNT119
2020-05-04 09:40:25,884 charges_calc.py:82  WARNING Value Error on record RNT119, value {'product_code': 'PRD58', 'units_rented': 10, 'price_per_day': 28, 'rental_start': '7/19/18', 'rental_end': '12/18/17', 'total_days': -213, 'total_price': -5964} square of the total price
2020-05-04 09:40:25,885 charges_calc.py:73  WARNING Invalid end date of 2016-08-01 00:00:00 found in record RNT120
2020-05-04 09:40:25,885 charges_calc.py:82  WARNING Value Error on record RNT120, value {'product_code': 'PRD83', 'units_rented': 8, 'price_per_day': 6, 'rental_start': '1/3/17', 'rental_end': '8/1/16', 'total_days': -155, 'total_price': -930} square of the total price
2020-05-04 09:40:25,886 charges_calc.py:73  WARNING Invalid end date of 2017-02-25 00:00:00 found in record RNT121
2020-05-04 09:40:25,886 charges_calc.py:82  WARNING Value Error on record RNT121, value {'product_code': 'PRD39', 'units_rented': 2, 'price_per_day': 11, 'rental_start': '11/30/18', 'rental_end': '2/25/17', 'total_days': -643, 'total_price': -7073} square of the total price
2020-05-04 09:40:25,888 charges_calc.py:73  WARNING Invalid end date of 2017-04-05 00:00:00 found in record RNT122
2020-05-04 09:40:25,889 charges_calc.py:82  WARNING Value Error on record RNT122, value {'product_code': 'PRD9', 'units_rented': 5, 'price_per_day': 16, 'rental_start': '12/4/18', 'rental_end': '4/5/17', 'total_days': -608, 'total_price': -9728} square of the total price
2020-05-04 09:40:25,889 charges_calc.py:73  WARNING Invalid end date of 2017-07-25 00:00:00 found in record RNT123
2020-05-04 09:40:25,890 charges_calc.py:82  WARNING Value Error on record RNT123, value {'product_code': 'PRD83', 'units_rented': 7, 'price_per_day': 13, 'rental_start': '3/2/18', 'rental_end': '7/25/17', 'total_days': -220, 'total_price': -2860} square of the total price
2020-05-04 09:40:25,890 charges_calc.py:73  WARNING Invalid end date of 2018-07-30 00:00:00 found in record RNT125
2020-05-04 09:40:25,891 charges_calc.py:82  WARNING Value Error on record RNT125, value {'product_code': 'PRD76', 'units_rented': 10, 'price_per_day': 27, 'rental_start': '12/15/18', 'rental_end': '7/30/18', 'total_days': -138, 'total_price': -3726} square of the total price
2020-05-04 09:40:25,891 charges_calc.py:73  WARNING Invalid end date of 2017-05-23 00:00:00 found in record RNT129
2020-05-04 09:40:25,892 charges_calc.py:82  WARNING Value Error on record RNT129, value {'product_code': 'PRD75', 'units_rented': 10, 'price_per_day': 6, 'rental_start': '3/23/18', 'rental_end': '5/23/17', 'total_days': -304, 'total_price': -1824} square of the total price
2020-05-04 09:40:25,892 charges_calc.py:73  WARNING Invalid end date of 2017-06-21 00:00:00 found in record RNT130
2020-05-04 09:40:25,893 charges_calc.py:82  WARNING Value Error on record RNT130, value {'product_code': 'PRD23', 'units_rented': 8, 'price_per_day': 5, 'rental_start': '12/17/18', 'rental_end': '6/21/17', 'total_days': -544, 'total_price': -2720} square of the total price
2020-05-04 09:40:25,893 charges_calc.py:73  WARNING Invalid end date of 2016-08-11 00:00:00 found in record RNT135
2020-05-04 09:40:25,894 charges_calc.py:82  WARNING Value Error on record RNT135, value {'product_code': 'PRD79', 'units_rented': 3, 'price_per_day': 11, 'rental_start': '10/13/16', 'rental_end': '8/11/16', 'total_days': -63, 'total_price': -693} square of the total price
2020-05-04 09:40:25,894 charges_calc.py:73  WARNING Invalid end date of 2017-05-01 00:00:00 found in record RNT139
2020-05-04 09:40:25,895 charges_calc.py:82  WARNING Value Error on record RNT139, value {'product_code': 'PRD13', 'units_rented': 2, 'price_per_day': 23, 'rental_start': '9/13/17', 'rental_end': '5/1/17', 'total_days': -135, 'total_price': -3105} square of the total price
2020-05-04 09:40:25,895 charges_calc.py:73  WARNING Invalid end date of 2017-03-22 00:00:00 found in record RNT141
2020-05-04 09:40:25,896 charges_calc.py:82  WARNING Value Error on record RNT141, value {'product_code': 'PRD63', 'units_rented': 3, 'price_per_day': 21, 'rental_start': '1/20/18', 'rental_end': '3/22/17', 'total_days': -304, 'total_price': -6384} square of the total price
2020-05-04 09:40:25,896 charges_calc.py:73  WARNING Invalid end date of 2016-05-02 00:00:00 found in record RNT142
2020-05-04 09:40:25,898 charges_calc.py:82  WARNING Value Error on record RNT142, value {'product_code': 'PRD66', 'units_rented': 9, 'price_per_day': 16, 'rental_start': '11/15/16', 'rental_end': '5/2/16', 'total_days': -197, 'total_price': -3152} square of the total price
2020-05-04 09:40:25,898 charges_calc.py:73  WARNING Invalid end date of 2016-01-03 00:00:00 found in record RNT143
