_id,description,product_type,quantity_available
prod0077,shears,yard,83
prod0078,shovel,yard,53
prod0079,shovel,yard,76
prod0080,shed,yard,42
prod0081,shed,yard,28
prod0082,shed,yard,28
prod0083,shovel,yard,59
prod0084,ladder,yard,14
prod0085,lawnmower,yard,24
prod0086,lawnmower,yard,55
prod0087,shed,yard,84
prod0088,table,dining_room,35
prod0089,lawnmower,yard,27
prod0090,lamp,living_room,72
prod0091,sofa,living_room,50
prod0092,rug,living_room,91
prod0093,lamp,living_room,69
prod0094,painting,living_room,22
prod0095,rug,living_room,19
prod0096,shed,yard,30
prod0097,desk,office,86
prod0098,lamp,living_room,28
prod0099,desk,office,32
prod0100,shovel,yard,44
prod0101,painting,living_room,82
prod0102,sofa,living_room,2
prod0103,lamp,living_room,38
prod0104,chair,dining_room,5
prod0105,lamp,living_room,34
prod0106,lawnmower,yard,7
prod0107,chair,dining_room,35
prod0108,shovel,yard,13
prod0109,shears,yard,3
prod0110,shovel,yard,4
prod0111,table,dining_room,49
prod0112,shears,yard,43
prod0113,ladder,yard,69
prod0114,lawnmower,yard,43
prod0115,lamp,living_room,84
prod0116,ladder,yard,38
prod0117,shovel,yard,39
prod0118,desk,office,95
prod0119,table,dining_room,19
prod0120,painting,living_room,83
prod0121,desk,office,3
prod0122,painting,living_room,80
prod0123,table,dining_room,71
prod0124,shears,yard,23
prod0125,sofa,living_room,27
prod0126,lamp,living_room,82
prod0127,ladder,yard,57
prod0128,rug,living_room,21
prod0129,rug,living_room,69
prod0130,painting,living_room,58
prod0131,painting,living_room,25
prod0132,table,dining_room,98
prod0133,shed,yard,34
prod0134,lamp,living_room,77
prod0135,shears,yard,47
prod0136,shovel,yard,84
prod0137,shed,yard,37
prod0138,rug,living_room,2
prod0139,chair,dining_room,23
prod0140,shears,yard,21
prod0141,ladder,yard,84
prod0142,shovel,yard,10
prod0143,rug,living_room,57
prod0144,desk,office,19
prod0145,table,dining_room,44
prod0146,painting,living_room,74
prod0147,sofa,living_room,20
prod0148,table,dining_room,11
prod0149,ladder,yard,57
prod0150,shovel,yard,65
prod0151,shears,yard,79
prod0152,painting,living_room,5
prod0153,shears,yard,22
prod0154,chair,dining_room,36
prod0155,shovel,yard,7
prod0156,shovel,yard,77
prod0157,ladder,yard,18
prod0158,shovel,yard,59
prod0159,sofa,living_room,42
prod0160,shovel,yard,62
prod0161,chair,dining_room,57
prod0162,rug,living_room,77
prod0163,shears,yard,69
prod0164,table,dining_room,69
prod0165,shed,yard,100
prod0166,shed,yard,73
prod0167,shed,yard,46
prod0168,rug,living_room,37
prod0169,shears,yard,31
prod0170,painting,living_room,71
prod0171,desk,office,10
prod0172,rug,living_room,42
prod0173,lamp,living_room,70
prod0174,shovel,yard,13
prod0175,table,dining_room,21
prod0176,sofa,living_room,98
prod0177,lawnmower,yard,28
prod0178,rug,living_room,28
prod0179,table,dining_room,46
prod0180,rug,living_room,63
prod0181,sofa,living_room,24
prod0182,shed,yard,77
prod0183,shears,yard,69
prod0184,shovel,yard,55
prod0185,sofa,living_room,34
prod0186,sofa,living_room,12
prod0187,shovel,yard,90
prod0188,lamp,living_room,28
prod0189,shovel,yard,99
prod0190,lamp,living_room,44
prod0191,desk,office,6
prod0192,shovel,yard,48
prod0193,chair,dining_room,74
prod0194,table,dining_room,67
prod0195,rug,living_room,53
prod0196,shed,yard,65
prod0197,shears,yard,30
prod0198,table,dining_room,7
prod0199,sofa,living_room,72
prod0200,chair,dining_room,46
prod0201,ladder,yard,30
prod0202,ladder,yard,29
prod0203,chair,dining_room,86
prod0204,chair,dining_room,50
prod0205,rug,living_room,28
prod0206,sofa,living_room,92
prod0207,sofa,living_room,41
prod0208,painting,living_room,17
prod0209,painting,living_room,71
prod0210,sofa,living_room,4
prod0211,ladder,yard,84
prod0212,desk,office,90
prod0213,table,dining_room,30
prod0214,ladder,yard,94
prod0215,desk,office,54
prod0216,lawnmower,yard,23
prod0217,chair,dining_room,85
prod0218,rug,living_room,69
prod0219,table,dining_room,88
prod0220,chair,dining_room,57
prod0221,ladder,yard,64
prod0222,lawnmower,yard,80
prod0223,lawnmower,yard,94
prod0224,lawnmower,yard,71
prod0225,shed,yard,27
prod0226,shed,yard,2
prod0227,shears,yard,19
prod0228,painting,living_room,62
prod0229,chair,dining_room,92
prod0230,desk,office,72
prod0231,chair,dining_room,38
prod0232,painting,living_room,25
prod0233,lawnmower,yard,50
prod0234,shed,yard,49
prod0235,table,dining_room,73
prod0236,table,dining_room,87
prod0237,rug,living_room,51
prod0238,rug,living_room,0
prod0239,shovel,yard,28
prod0240,painting,living_room,3
prod0241,shed,yard,51
prod0242,shed,yard,90
prod0243,rug,living_room,33
prod0244,shed,yard,17
prod0245,shovel,yard,64
prod0246,rug,living_room,94
prod0247,desk,office,37
prod0248,desk,office,45
prod0249,table,dining_room,2
prod0250,table,dining_room,16
prod0251,sofa,living_room,21
prod0252,desk,office,93
prod0253,shed,yard,85
prod0254,painting,living_room,35
prod0255,lamp,living_room,59
prod0256,shears,yard,74
prod0257,lamp,living_room,28
prod0258,shovel,yard,90
prod0259,painting,living_room,62
prod0260,sofa,living_room,82
prod0261,rug,living_room,61
prod0262,desk,office,61
prod0263,lawnmower,yard,49
prod0264,sofa,living_room,26
prod0265,rug,living_room,72
prod0266,lamp,living_room,46
prod0267,chair,dining_room,23
prod0268,sofa,living_room,91
prod0269,rug,living_room,22
prod0270,shears,yard,85
prod0271,shears,yard,42
prod0272,ladder,yard,10
prod0273,lawnmower,yard,66
prod0274,desk,office,97
prod0275,rug,living_room,30
prod0276,shovel,yard,55
prod0277,sofa,living_room,63
prod0278,shears,yard,67
prod0279,chair,dining_room,74
prod0280,lawnmower,yard,57
prod0281,shed,yard,42
prod0282,shears,yard,3
prod0283,shed,yard,91
prod0284,ladder,yard,6
prod0285,rug,living_room,80
prod0286,lawnmower,yard,74
prod0287,lamp,living_room,19
prod0288,shovel,yard,22
prod0289,desk,office,9
prod0290,desk,office,6
prod0291,ladder,yard,13
prod0292,chair,dining_room,33
prod0293,shears,yard,78
prod0294,shears,yard,10
prod0295,lawnmower,yard,74
prod0296,table,dining_room,32
prod0297,sofa,living_room,57
prod0298,ladder,yard,21
prod0299,rug,living_room,33
prod0300,desk,office,67
prod0301,shears,yard,42
prod0302,chair,dining_room,10
prod0303,shovel,yard,15
prod0304,sofa,living_room,13
prod0305,sofa,living_room,71
prod0306,shed,yard,55
prod0307,shears,yard,11
prod0308,desk,office,47
prod0309,lawnmower,yard,63
prod0310,ladder,yard,47
prod0311,ladder,yard,27
prod0312,ladder,yard,24
prod0313,table,dining_room,53
prod0314,desk,office,42
prod0315,chair,dining_room,30
prod0316,shed,yard,7
prod0317,shears,yard,2
prod0318,table,dining_room,21
prod0319,shears,yard,25
prod0320,desk,office,92
prod0321,chair,dining_room,44
prod0322,shears,yard,7
prod0323,shovel,yard,11
prod0324,shovel,yard,1
prod0325,table,dining_room,89
prod0326,shed,yard,11
prod0327,chair,dining_room,0
prod0328,lawnmower,yard,7
prod0329,shears,yard,65
prod0330,shed,yard,58
prod0331,painting,living_room,10
prod0332,table,dining_room,58
prod0333,rug,living_room,35
prod0334,desk,office,38
prod0335,rug,living_room,32
prod0336,lamp,living_room,37
prod0337,sofa,living_room,71
prod0338,shears,yard,64
prod0339,lamp,living_room,36
prod0340,painting,living_room,48
prod0341,lamp,living_room,75
prod0342,sofa,living_room,56
prod0343,lamp,living_room,44
prod0344,rug,living_room,79
prod0345,table,dining_room,51
prod0346,ladder,yard,14
prod0347,shovel,yard,8
prod0348,painting,living_room,40
prod0349,desk,office,21
prod0350,shed,yard,42
prod0351,rug,living_room,25
prod0352,ladder,yard,54
prod0353,lawnmower,yard,16
prod0354,sofa,living_room,2
prod0355,shed,yard,9
prod0356,shovel,yard,100
prod0357,sofa,living_room,76
prod0358,ladder,yard,49
prod0359,shears,yard,81
prod0360,ladder,yard,66
prod0361,painting,living_room,26
prod0362,desk,office,5
prod0363,sofa,living_room,34
prod0364,chair,dining_room,65
prod0365,rug,living_room,43
prod0366,shed,yard,31
prod0367,lawnmower,yard,66
prod0368,shears,yard,76
prod0369,chair,dining_room,42
prod0370,shears,yard,54
prod0371,shed,yard,2
prod0372,desk,office,12
prod0373,table,dining_room,64
prod0374,shed,yard,99
prod0375,shed,yard,43
prod0376,lawnmower,yard,68
prod0377,desk,office,60
prod0378,shed,yard,40
prod0379,lamp,living_room,27
prod0380,painting,living_room,16
prod0381,shears,yard,99
prod0382,table,dining_room,77
prod0383,lawnmower,yard,98
prod0384,painting,living_room,58
prod0385,sofa,living_room,48
prod0386,table,dining_room,40
prod0387,shed,yard,21
prod0388,shears,yard,9
prod0389,ladder,yard,2
prod0390,ladder,yard,98
prod0391,rug,living_room,70
prod0392,shed,yard,6
prod0393,ladder,yard,91
prod0394,table,dining_room,0
prod0395,sofa,living_room,61
prod0396,painting,living_room,21
prod0397,sofa,living_room,93
prod0398,rug,living_room,20
prod0399,ladder,yard,46
prod0400,painting,living_room,4
prod0401,shovel,yard,76
prod0402,chair,dining_room,50
prod0403,painting,living_room,14
prod0404,rug,living_room,21
prod0405,shears,yard,23
prod0406,shed,yard,34
prod0407,sofa,living_room,16
prod0408,lamp,living_room,36
prod0409,shears,yard,24
prod0410,ladder,yard,100
prod0411,shed,yard,14
prod0412,desk,office,79
prod0413,painting,living_room,16
prod0414,table,dining_room,36
prod0415,chair,dining_room,20
prod0416,shears,yard,29
prod0417,shears,yard,88
prod0418,sofa,living_room,3
prod0419,sofa,living_room,59
prod0420,lawnmower,yard,34
prod0421,painting,living_room,39
prod0422,shovel,yard,34
prod0423,desk,office,97
prod0424,ladder,yard,19
prod0425,lamp,living_room,79
prod0426,shears,yard,72
prod0427,painting,living_room,64
prod0428,desk,office,93
prod0429,desk,office,63
prod0430,rug,living_room,40
prod0431,desk,office,100
prod0432,rug,living_room,40
prod0433,rug,living_room,18
prod0434,lamp,living_room,49
prod0435,lamp,living_room,65
prod0436,lamp,living_room,28
prod0437,painting,living_room,58
prod0438,shed,yard,2
prod0439,ladder,yard,61
prod0440,rug,living_room,21
prod0441,rug,living_room,46
prod0442,shed,yard,88
prod0443,shed,yard,45
prod0444,table,dining_room,34
prod0445,shovel,yard,90
prod0446,shovel,yard,8
prod0447,rug,living_room,95
prod0448,shed,yard,36
prod0449,desk,office,42
prod0450,shed,yard,61
prod0451,rug,living_room,44
prod0452,painting,living_room,17
prod0453,shovel,yard,46
prod0454,shears,yard,10
prod0455,shears,yard,35
prod0456,lawnmower,yard,51
prod0457,rug,living_room,44
prod0458,lawnmower,yard,10
prod0459,painting,living_room,78
prod0460,ladder,yard,37
prod0461,rug,living_room,78
prod0462,rug,living_room,83
prod0463,desk,office,57
prod0464,lawnmower,yard,45
prod0465,shed,yard,21
prod0466,ladder,yard,58
prod0467,rug,living_room,18
prod0468,lawnmower,yard,43
prod0469,sofa,living_room,10
prod0470,shovel,yard,95
prod0471,lamp,living_room,36
prod0472,table,dining_room,64
prod0473,rug,living_room,83
prod0474,ladder,yard,50
prod0475,table,dining_room,19
prod0476,painting,living_room,54
prod0477,rug,living_room,17
prod0478,sofa,living_room,59
prod0479,lamp,living_room,84
prod0480,chair,dining_room,22
prod0481,sofa,living_room,17
prod0482,shed,yard,0
prod0483,shears,yard,27
prod0484,table,dining_room,49
prod0485,shed,yard,81
prod0486,sofa,living_room,60
prod0487,painting,living_room,47
prod0488,desk,office,87
prod0489,sofa,living_room,10
prod0490,painting,living_room,45
prod0491,rug,living_room,40
prod0492,shovel,yard,59
prod0493,table,dining_room,48
prod0494,shed,yard,12
prod0495,lawnmower,yard,1
prod0496,lamp,living_room,12
prod0497,painting,living_room,71
prod0498,table,dining_room,7
prod0499,lawnmower,yard,47
prod0500,sofa,living_room,13
prod0501,shed,yard,45
prod0502,shed,yard,76
prod0503,lamp,living_room,85
prod0504,table,dining_room,40
prod0505,chair,dining_room,62
prod0506,desk,office,28
prod0507,ladder,yard,98
prod0508,shears,yard,59
prod0509,desk,office,93
prod0510,lawnmower,yard,23
prod0511,shovel,yard,4
prod0512,lamp,living_room,63
prod0513,shed,yard,27
prod0514,desk,office,97
prod0515,sofa,living_room,56
prod0516,lawnmower,yard,59
prod0517,lamp,living_room,94
prod0518,table,dining_room,38
prod0519,sofa,living_room,54
prod0520,shed,yard,33
prod0521,shears,yard,2
prod0522,ladder,yard,60
prod0523,chair,dining_room,52
prod0524,sofa,living_room,58
prod0525,desk,office,71
prod0526,shears,yard,38
prod0527,ladder,yard,74
prod0528,painting,living_room,14
prod0529,shed,yard,63
prod0530,chair,dining_room,2
prod0531,lawnmower,yard,77
prod0532,lamp,living_room,23
prod0533,chair,dining_room,15
prod0534,painting,living_room,44
prod0535,lamp,living_room,75
prod0536,sofa,living_room,38
prod0537,chair,dining_room,63
prod0538,sofa,living_room,98
prod0539,shears,yard,74
prod0540,desk,office,42
prod0541,shears,yard,77
prod0542,table,dining_room,73
prod0543,lawnmower,yard,53
prod0544,rug,living_room,80
prod0545,desk,office,30
prod0546,lamp,living_room,28
prod0547,painting,living_room,26
prod0548,shed,yard,4
prod0549,ladder,yard,58
prod0550,sofa,living_room,45
prod0551,shears,yard,18
prod0552,desk,office,74
prod0553,table,dining_room,98
prod0554,shovel,yard,41
prod0555,desk,office,31
prod0556,lawnmower,yard,15
prod0557,ladder,yard,39
prod0558,shovel,yard,63
prod0559,lawnmower,yard,99
prod0560,table,dining_room,94
prod0561,shovel,yard,49
prod0562,table,dining_room,43
prod0563,chair,dining_room,19
prod0564,shears,yard,7
prod0565,table,dining_room,69
prod0566,lawnmower,yard,24
prod0567,painting,living_room,70
prod0568,table,dining_room,81
prod0569,table,dining_room,17
prod0570,shears,yard,87
prod0571,table,dining_room,84
prod0572,shears,yard,3
prod0573,table,dining_room,43
prod0574,sofa,living_room,21
prod0575,table,dining_room,62
prod0576,painting,living_room,37
prod0577,shovel,yard,99
prod0578,lamp,living_room,64
prod0579,desk,office,81
prod0580,ladder,yard,27
prod0581,lamp,living_room,100
prod0582,shears,yard,92
prod0583,sofa,living_room,84
prod0584,shed,yard,61
prod0585,chair,dining_room,89
prod0586,lamp,living_room,20
prod0587,shed,yard,80
prod0588,shears,yard,94
prod0589,ladder,yard,75
prod0590,sofa,living_room,12
prod0591,painting,living_room,22
prod0592,ladder,yard,67
prod0593,rug,living_room,27
prod0594,desk,office,13
prod0595,lawnmower,yard,85
prod0596,shovel,yard,10
prod0597,ladder,yard,64
prod0598,lawnmower,yard,36
prod0599,chair,dining_room,67
prod0600,sofa,living_room,49
prod0601,painting,living_room,18
prod0602,sofa,living_room,49
prod0603,lawnmower,yard,44
prod0604,shears,yard,46
prod0605,shed,yard,35
prod0606,rug,living_room,36
prod0607,rug,living_room,8
prod0608,shovel,yard,86
prod0609,sofa,living_room,23
prod0610,table,dining_room,2
prod0611,painting,living_room,85
prod0612,shovel,yard,9
prod0613,chair,dining_room,72
prod0614,table,dining_room,54
prod0615,rug,living_room,40
prod0616,desk,office,26
prod0617,desk,office,11
prod0618,shears,yard,41
prod0619,sofa,living_room,52
prod0620,shears,yard,22
prod0621,chair,dining_room,91
prod0622,painting,living_room,94
prod0623,sofa,living_room,97
prod0624,shears,yard,90
prod0625,shovel,yard,7
prod0626,lamp,living_room,39
prod0627,rug,living_room,5
prod0628,shears,yard,13
prod0629,ladder,yard,61
prod0630,desk,office,22
prod0631,table,dining_room,14
prod0632,lamp,living_room,71
prod0633,sofa,living_room,60
prod0634,sofa,living_room,37
prod0635,desk,office,49
prod0636,shovel,yard,55
prod0637,rug,living_room,98
prod0638,shovel,yard,60
prod0639,chair,dining_room,15
prod0640,lawnmower,yard,32
prod0641,lamp,living_room,69
prod0642,desk,office,60
prod0643,chair,dining_room,37
prod0644,shed,yard,85
prod0645,lamp,living_room,55
prod0646,desk,office,40
prod0647,lawnmower,yard,7
prod0648,chair,dining_room,33
prod0649,shed,yard,81
prod0650,shovel,yard,92
prod0651,lawnmower,yard,19
prod0652,lamp,living_room,80
prod0653,chair,dining_room,68
prod0654,shed,yard,83
prod0655,lamp,living_room,4
prod0656,chair,dining_room,84
prod0657,desk,office,21
prod0658,lamp,living_room,69
prod0659,chair,dining_room,21
prod0660,painting,living_room,25
prod0661,desk,office,59
prod0662,rug,living_room,11
prod0663,shovel,yard,68
prod0664,shovel,yard,15
prod0665,sofa,living_room,43
prod0666,chair,dining_room,80
prod0667,table,dining_room,74
prod0668,lamp,living_room,15
prod0669,ladder,yard,4
prod0670,lamp,living_room,11
prod0671,ladder,yard,56
prod0672,shed,yard,90
prod0673,lamp,living_room,30
prod0674,shed,yard,18
prod0675,rug,living_room,3
prod0676,chair,dining_room,81
prod0677,shears,yard,62
prod0678,rug,living_room,40
prod0679,ladder,yard,41
prod0680,shovel,yard,78
prod0681,lawnmower,yard,22
prod0682,painting,living_room,89
prod0683,rug,living_room,9
prod0684,lawnmower,yard,50
prod0685,ladder,yard,18
prod0686,lamp,living_room,11
prod0687,rug,living_room,64
prod0688,shears,yard,34
prod0689,shed,yard,12
prod0690,shovel,yard,22
prod0691,table,dining_room,41
prod0692,shears,yard,25
prod0693,shovel,yard,89
prod0694,rug,living_room,37
prod0695,shovel,yard,37
prod0696,rug,living_room,42
prod0697,sofa,living_room,34
prod0698,painting,living_room,39
prod0699,painting,living_room,14
prod0700,lawnmower,yard,29
prod0701,ladder,yard,58
prod0702,lawnmower,yard,21
prod0703,ladder,yard,97
prod0704,painting,living_room,94
prod0705,rug,living_room,12
prod0706,shed,yard,68
prod0707,ladder,yard,7
prod0708,lamp,living_room,21
prod0709,painting,living_room,98
prod0710,rug,living_room,32
prod0711,sofa,living_room,32
prod0712,desk,office,12
prod0713,chair,dining_room,41
prod0714,rug,living_room,91
prod0715,lawnmower,yard,51
prod0716,painting,living_room,69
prod0717,table,dining_room,100
prod0718,lawnmower,yard,83
prod0719,lawnmower,yard,71
prod0720,sofa,living_room,39
prod0721,shovel,yard,20
prod0722,ladder,yard,25
prod0723,shovel,yard,52
prod0724,rug,living_room,3
prod0725,lamp,living_room,98
prod0726,rug,living_room,36
prod0727,desk,office,91
prod0728,ladder,yard,61
prod0729,chair,dining_room,39
prod0730,chair,dining_room,90
prod0731,desk,office,28
prod0732,desk,office,96
prod0733,rug,living_room,32
prod0734,chair,dining_room,32
prod0735,shovel,yard,34
prod0736,ladder,yard,33
prod0737,lawnmower,yard,95
prod0738,sofa,living_room,35
prod0739,table,dining_room,62
prod0740,lamp,living_room,70
prod0741,rug,living_room,79
prod0742,sofa,living_room,0
prod0743,painting,living_room,48
prod0744,table,dining_room,65
prod0745,painting,living_room,89
prod0746,sofa,living_room,72
prod0747,table,dining_room,46
prod0748,shed,yard,80
prod0749,sofa,living_room,83
prod0750,desk,office,4
prod0751,sofa,living_room,51
prod0752,lamp,living_room,80
prod0753,sofa,living_room,17
prod0754,shears,yard,67
prod0755,shed,yard,5
prod0756,lamp,living_room,12
prod0757,lamp,living_room,38
prod0758,lawnmower,yard,25
prod0759,chair,dining_room,46
prod0760,lawnmower,yard,13
prod0761,shed,yard,70
prod0762,lamp,living_room,7
prod0763,shed,yard,35
prod0764,lawnmower,yard,94
prod0765,shears,yard,70
prod0766,lawnmower,yard,47
prod0767,lawnmower,yard,3
prod0768,lawnmower,yard,49
prod0769,rug,living_room,98
prod0770,painting,living_room,2
prod0771,table,dining_room,10
prod0772,painting,living_room,71
prod0773,chair,dining_room,78
prod0774,rug,living_room,33
prod0775,ladder,yard,17
prod0776,shed,yard,74
prod0777,chair,dining_room,39
prod0778,painting,living_room,99
prod0779,painting,living_room,93
prod0780,lawnmower,yard,73
prod0781,shed,yard,46
prod0782,table,dining_room,70
prod0783,shears,yard,59
prod0784,ladder,yard,84
prod0785,desk,office,35
prod0786,lawnmower,yard,47
prod0787,sofa,living_room,87
prod0788,rug,living_room,39
prod0789,table,dining_room,40
prod0790,shovel,yard,74
prod0791,lamp,living_room,100
prod0792,lawnmower,yard,73
prod0793,desk,office,1
prod0794,sofa,living_room,43
prod0795,desk,office,53
prod0796,shears,yard,57
prod0797,lawnmower,yard,83
prod0798,chair,dining_room,0
prod0799,lamp,living_room,26
prod0800,ladder,yard,20
prod0801,painting,living_room,7
prod0802,shovel,yard,14
prod0803,shovel,yard,2
prod0804,lawnmower,yard,32
prod0805,rug,living_room,73
prod0806,chair,dining_room,89
prod0807,desk,office,56
prod0808,shovel,yard,47
prod0809,shovel,yard,96
prod0810,desk,office,17
prod0811,rug,living_room,36
prod0812,lamp,living_room,98
prod0813,chair,dining_room,52
prod0814,rug,living_room,45
prod0815,shed,yard,88
prod0816,lamp,living_room,88
prod0817,desk,office,32
prod0818,painting,living_room,75
prod0819,shears,yard,32
prod0820,desk,office,0
prod0821,lamp,living_room,48
prod0822,desk,office,5
prod0823,chair,dining_room,68
prod0824,chair,dining_room,6
prod0825,shed,yard,97
prod0826,rug,living_room,11
prod0827,lamp,living_room,19
prod0828,painting,living_room,85
prod0829,chair,dining_room,4
prod0830,ladder,yard,35
prod0831,shed,yard,7
prod0832,chair,dining_room,63
prod0833,ladder,yard,48
prod0834,painting,living_room,63
prod0835,lawnmower,yard,94
prod0836,lamp,living_room,31
prod0837,rug,living_room,61
prod0838,desk,office,61
prod0839,chair,dining_room,88
prod0840,shed,yard,25
prod0841,rug,living_room,11
prod0842,lamp,living_room,13
prod0843,shovel,yard,60
prod0844,table,dining_room,78
prod0845,shed,yard,97
prod0846,desk,office,10
prod0847,shed,yard,39
prod0848,lamp,living_room,29
prod0849,table,dining_room,96
prod0850,shovel,yard,15
prod0851,sofa,living_room,55
prod0852,desk,office,38
prod0853,rug,living_room,45
prod0854,ladder,yard,95
prod0855,lawnmower,yard,24
prod0856,sofa,living_room,3
prod0857,shovel,yard,77
prod0858,shears,yard,76
prod0859,sofa,living_room,55
prod0860,rug,living_room,63
prod0861,sofa,living_room,45
prod0862,shears,yard,41
prod0863,painting,living_room,26
prod0864,shed,yard,55
prod0865,shovel,yard,16
prod0866,lamp,living_room,13
prod0867,ladder,yard,82
prod0868,table,dining_room,71
prod0869,shovel,yard,25
prod0870,shed,yard,51
prod0871,shovel,yard,59
prod0872,shed,yard,86
prod0873,shovel,yard,66
prod0874,desk,office,37
prod0875,painting,living_room,17
prod0876,desk,office,34
prod0877,shears,yard,37
prod0878,shovel,yard,40
prod0879,lawnmower,yard,53
prod0880,lamp,living_room,2
prod0881,painting,living_room,43
prod0882,ladder,yard,7
prod0883,ladder,yard,3
prod0884,sofa,living_room,84
prod0885,shears,yard,90
prod0886,shovel,yard,6
prod0887,chair,dining_room,79
prod0888,ladder,yard,19
prod0889,lamp,living_room,29
prod0890,chair,dining_room,54
prod0891,ladder,yard,98
prod0892,rug,living_room,69
prod0893,shovel,yard,56
prod0894,desk,office,90
prod0895,chair,dining_room,46
prod0896,table,dining_room,77
prod0897,shed,yard,21
prod0898,table,dining_room,55
prod0899,table,dining_room,48
prod0900,lawnmower,yard,28
prod0901,ladder,yard,71
prod0902,sofa,living_room,41
prod0903,rug,living_room,100
prod0904,lawnmower,yard,4
prod0905,lamp,living_room,47
prod0906,lawnmower,yard,40
prod0907,shovel,yard,17
prod0908,rug,living_room,8
prod0909,ladder,yard,95
prod0910,rug,living_room,40
prod0911,table,dining_room,15
prod0912,shed,yard,90
prod0913,rug,living_room,23
prod0914,lawnmower,yard,48
prod0915,shears,yard,84
prod0916,shears,yard,4
prod0917,sofa,living_room,3
prod0918,rug,living_room,76
prod0919,chair,dining_room,8
prod0920,table,dining_room,38
prod0921,shovel,yard,89
prod0922,shears,yard,85
prod0923,lawnmower,yard,56
prod0924,painting,living_room,46
prod0925,shears,yard,12
prod0926,shovel,yard,46
prod0927,shed,yard,63
prod0928,ladder,yard,70
prod0929,table,dining_room,91
prod0930,painting,living_room,39
prod0931,table,dining_room,53
prod0932,rug,living_room,87
prod0933,ladder,yard,26
prod0934,desk,office,7
prod0935,painting,living_room,56
prod0936,lawnmower,yard,38
prod0937,table,dining_room,89
prod0938,sofa,living_room,73
prod0939,chair,dining_room,35
prod0940,ladder,yard,29
prod0941,chair,dining_room,11
prod0942,lawnmower,yard,32
prod0943,lamp,living_room,100
prod0944,painting,living_room,70
prod0945,rug,living_room,86
prod0946,lamp,living_room,22
prod0947,shed,yard,75
prod0948,rug,living_room,50
prod0949,desk,office,75
prod0950,table,dining_room,60
prod0951,ladder,yard,3
prod0952,shed,yard,95
prod0953,painting,living_room,42
prod0954,shovel,yard,20
prod0955,shears,yard,89
prod0956,chair,dining_room,94
prod0957,lamp,living_room,73
prod0958,lamp,living_room,43
prod0959,desk,office,73
prod0960,desk,office,96
prod0961,lawnmower,yard,26
prod0962,table,dining_room,3
prod0963,shovel,yard,85
prod0964,desk,office,65
prod0965,desk,office,54
prod0966,chair,dining_room,2
prod0967,shovel,yard,38
prod0968,chair,dining_room,21
prod0969,chair,dining_room,12
prod0970,shears,yard,56
prod0971,shovel,yard,99
prod0972,ladder,yard,52
prod0973,table,dining_room,21
prod0974,table,dining_room,84
prod0975,sofa,living_room,96
prod0976,chair,dining_room,48
prod0977,lamp,living_room,22
prod0978,shears,yard,79
prod0979,sofa,living_room,13
prod0980,shed,yard,97
prod0981,rug,living_room,23
prod0982,lamp,living_room,84
prod0983,chair,dining_room,85
prod0984,shovel,yard,45
prod0985,shears,yard,50
prod0986,desk,office,58
prod0987,desk,office,86
prod0988,shed,yard,12
prod0989,desk,office,46
prod0990,rug,living_room,40
prod0991,lawnmower,yard,18
prod0992,sofa,living_room,8
prod0993,ladder,yard,43
prod0994,shears,yard,97
