r_id,p_id,c_id
r0150,p0210,c0782
r0832,p0085,c0861
r0085,p0517,c0131
r0317,p0431,c0676
r0231,p0457,c0609
r0241,p0225,c0590
r0624,p0551,c0986
r0738,p0080,c0869
r0698,p0685,c0487
r0706,p0317,c0626
r0147,p0101,c0094
r0633,p0432,c0324
r0593,p0722,c0906
r0157,p0221,c0749
r0326,p0382,c0076
r0534,p0564,c0417
r0509,p0847,c0180
r0452,p0796,c0135
r0065,p0224,c0587
r0248,p0572,c0107
r0362,p0557,c0974
r0699,p0629,c0288
r0814,p0605,c0450
r0192,p0304,c0571
r0465,p0002,c0693
r0785,p0553,c0658
r0548,p0870,c0929
r0599,p0742,c0056
r0015,p0017,c0339
r0458,p0377,c0694
r0490,p0302,c0157
r0714,p0190,c0868
r0327,p0898,c0485
r0507,p0716,c0252
r0906,p0889,c0501
r0876,p0257,c0860
r0920,p0111,c0160
r0743,p0816,c0224
r0186,p0304,c0106
r0488,p0690,c0280
r0535,p0236,c0523
r0905,p0310,c0891
r0949,p0444,c0247
r0482,p0335,c0348
r0724,p0033,c0408
r0450,p0185,c0350
r0635,p0801,c0727
r0357,p0174,c0690
r0877,p0351,c0619
r0275,p0273,c0464
r0714,p0290,c0901
r0907,p0642,c0514
r0125,p0705,c0383
r0712,p0235,c0533
r0680,p0115,c0399
r0991,p0363,c0777
r0733,p0234,c0692
r0142,p0619,c0653
r0183,p0026,c0857
r0910,p0569,c0309
r0166,p0213,c0778
r0228,p0183,c0301
r0545,p0255,c0967
r0839,p0807,c0123
r0242,p0819,c0218
r0247,p0402,c0225
r0081,p0377,c0493
r0619,p0521,c0166
r0365,p0064,c0435
r0386,p0668,c0832
r0784,p0304,c0963
r0215,p0481,c0459
r0030,p0973,c0501
r0268,p0482,c0992
r0254,p0256,c0511
r0665,p0372,c0600
r0924,p0670,c0993
r0048,p0091,c0067
r0181,p0826,c0046
r0576,p0535,c0723
r0539,p0416,c0847
r0569,p0217,c0675
r0174,p0535,c0465
r0017,p0039,c0265
r0378,p0310,c0664
r0677,p0125,c0311
r0124,p0588,c0996
r0825,p0074,c0299
r0584,p0957,c0757
r0938,p0355,c0101
r0718,p0163,c0533
r0362,p0507,c0710
r0398,p0243,c0742
r0151,p0833,c0548
r0927,p0991,c0762
r0802,p0614,c0299
r0370,p0777,c0081
r0153,p0543,c0094
r0620,p0758,c0295
r0634,p0457,c0584
r0676,p0003,c0741
r0712,p0397,c0188
r0492,p0813,c0325
r0487,p0474,c0218
r0359,p0976,c0707
r0352,p0015,c0411
r0555,p0881,c0167
r0076,p0756,c0624
r0848,p0739,c0677
r0114,p0690,c0786
r0845,p0785,c0148
r0137,p0943,c0327
r0673,p0521,c0192
r0025,p0793,c0911
r0638,p0438,c0619
r0554,p0938,c0167
r0958,p0395,c0361
r0474,p0126,c0009
r0784,p0877,c0236
r0288,p0385,c0523
r0039,p0748,c0481
r0351,p0720,c0205
r0094,p0065,c0157
r0967,p0589,c0380
r0130,p0955,c0760
r0930,p0574,c0806
r0780,p0255,c0987
r0139,p0958,c0762
r0173,p0814,c0980
r0615,p0389,c0789
r0702,p0494,c0565
r0632,p0669,c0322
r0904,p0813,c0415
r0107,p0937,c0279
r0289,p0158,c0970
r0465,p0646,c0079
r0155,p0655,c0011
r0564,p0439,c0292
r0749,p0105,c0662
r0452,p0928,c0770
r0980,p0591,c0126
r0475,p0270,c0651
r0669,p0271,c0461
r0983,p0866,c0276
r0238,p0894,c0138
r0684,p0469,c0090
r0217,p0039,c0658
r0388,p0461,c0994
r0706,p0039,c0721
r0855,p0760,c0505
r0645,p0784,c0503
r0812,p0333,c0858
r0615,p0408,c0228
r0624,p0351,c0921
r0986,p0690,c0952
r0126,p0982,c0808
r0484,p0959,c0640
r0341,p0216,c0711
r0835,p0537,c0799
r0642,p0166,c0949
r0978,p0320,c0982
r0150,p0627,c0236
r0153,p0524,c0306
r0497,p0176,c0693
r0237,p0151,c0610
r0320,p0240,c0320
r0424,p0537,c0896
r0613,p0174,c0143
r0450,p0189,c0848
r0850,p0249,c0948
r0663,p0757,c0486
r0179,p0690,c0832
r0124,p0623,c0599
r0302,p0585,c0230
r0184,p0771,c0415
r0552,p0361,c0507
r0281,p0765,c0161
r0819,p0746,c0231
r0205,p0429,c0045
r0349,p0657,c0105
r0588,p0804,c0464
r0202,p0697,c0015
r0948,p0449,c0720
r0997,p0041,c0839
r0843,p0121,c0682
r0379,p0130,c0323
r0019,p0195,c0614
r0712,p0776,c0995
r0782,p0468,c0948
r0794,p0302,c0602
r0258,p0295,c0372
r0741,p0992,c0998
r0565,p0254,c0103
r0048,p0112,c0786
r0358,p0944,c0447
r0943,p0443,c0426
r0551,p0317,c0442
r0719,p0769,c0810
r0362,p0278,c0787
r0308,p0096,c0693
r0532,p0479,c0250
r0820,p0746,c0280
r0439,p0291,c0663
r0859,p0221,c0087
r0233,p0098,c0938
r0815,p0091,c0925
r0324,p0615,c0774
r0814,p0300,c0855
r0245,p0382,c0494
r0074,p0250,c0632
r0515,p0442,c0785
r0148,p0778,c0530
r0749,p0237,c0763
r0608,p0019,c0577
r0797,p0274,c0968
r0462,p0823,c0022
r0627,p0081,c0168
r0105,p0630,c0988
r0156,p0345,c0731
r0890,p0821,c0476
r0397,p0781,c0573
r0681,p0410,c0973
r0232,p0289,c0461
r0049,p0460,c0801
r0841,p0761,c0673
r0432,p0556,c0940
r0828,p0934,c0041
r0227,p0635,c0355
r0014,p0936,c0635
r0302,p0357,c0962
r0241,p0531,c0669
r0819,p0094,c0353
r0607,p0847,c0936
r0403,p0734,c0305
r0099,p0312,c0820
r0855,p0279,c0284
r0115,p0290,c0973
r0401,p0291,c0034
r0915,p0148,c0060
r0511,p0625,c0637
r0007,p0516,c0621
r0335,p0049,c0958
r0214,p0534,c0646
r0552,p0399,c0711
r0555,p0520,c0100
r0500,p0619,c0277
r0659,p0053,c0916
r0854,p0507,c0687
r0212,p0567,c0237
r0836,p0508,c0384
r0690,p0022,c0893
r0427,p0663,c0617
r0354,p0656,c0545
r0459,p0402,c0264
r0107,p0719,c0069
r0872,p0131,c0845
r0925,p0916,c0305
r0163,p0193,c0497
r0713,p0396,c0384
r0838,p0953,c0203
r0321,p0384,c0411
r0155,p0153,c0941
r0030,p0711,c0776
r0154,p0569,c0297
r0454,p0100,c0878
r0658,p0702,c0945
r0429,p0615,c0455
r0380,p0850,c0268
r0183,p0535,c0536
r0768,p0371,c0445
r0466,p0195,c0444
r0560,p0195,c0605
r0749,p0984,c0357
r0042,p0331,c0018
r0467,p0355,c0760
r0960,p0840,c0544
r0027,p0284,c0116
r0263,p0496,c0741
r0089,p0772,c0935
r0457,p0739,c0023
r0059,p0940,c0085
r0269,p0683,c0969
r0282,p0275,c0321
r0531,p0417,c0477
r0939,p0479,c0501
r0840,p0261,c0925
r0061,p0150,c0203
r0090,p0372,c0008
r0650,p0775,c0442
r0084,p0681,c0945
r0043,p0019,c0539
r0021,p0208,c0227
r0176,p0326,c0856
r0126,p0086,c0194
r0933,p0429,c0710
r0319,p0099,c0322
r0691,p0050,c0918
r0905,p0379,c0730
r0865,p0196,c0268
r0257,p0379,c0030
r0193,p0274,c0918
r0985,p0363,c0234
r0241,p0916,c0051
r0784,p0321,c0621
r0517,p0640,c0436
r0989,p0018,c0946
r0777,p0844,c0354
r0471,p0811,c0585
r0032,p0301,c0401
r0568,p0427,c0342
r0945,p0026,c0862
r0123,p0816,c0732
r0029,p0293,c0076
r0773,p0497,c0908
r0763,p0532,c0031
r0642,p0816,c0325
r0368,p0155,c0437
r0179,p0491,c0201
r0301,p0532,c0611
r0318,p0326,c0818
r0127,p0536,c0372
r0942,p0381,c0969
r0684,p0419,c0789
r0912,p0275,c0759
r0615,p0978,c0962
r0431,p0948,c0125
r0072,p0473,c0529
r0158,p0374,c0476
r0296,p0665,c0119
r0450,p0506,c0597
r0109,p0894,c0663
r0343,p0731,c0915
r0040,p0847,c0099
r0575,p0847,c0038
r0070,p0560,c0615
r0371,p0326,c0191
r0006,p0108,c0355
r0981,p0070,c0114
r0160,p0065,c0407
r0367,p0477,c0384
r0707,p0091,c0573
r0172,p0885,c0921
r0714,p0414,c0455
r0010,p0025,c0802
r0885,p0844,c0030
r0555,p0224,c0441
r0683,p0200,c0396
r0215,p0043,c0668
r0121,p0826,c0319
r0018,p0898,c0430
r0096,p0132,c0849
r0150,p0345,c0664
r0993,p0677,c0077
r0293,p0535,c0280
r0187,p0243,c0660
r0149,p0284,c0337
r0885,p0933,c0090
r0436,p0069,c0235
r0836,p0334,c0982
r0436,p0785,c0907
r0889,p0993,c0458
r0548,p0004,c0718
r0522,p0531,c0028
r0195,p0699,c0480
r0043,p0143,c0310
r0148,p0746,c0093
r0284,p0860,c0615
r0931,p0886,c0478
r0412,p0198,c0076
r0953,p0404,c0830
r0566,p0287,c0592
r0747,p0514,c0713
r0985,p0634,c0263
r0408,p0351,c0909
r0710,p0071,c0914
r0235,p0645,c0201
r0401,p0633,c0198
r0652,p0175,c0844
r0552,p0130,c0337
r0071,p0412,c0890
r0577,p0003,c0856
r0072,p0067,c0556
r0577,p0965,c0997
r0925,p0804,c0277
r0250,p0067,c0194
r0596,p0060,c0818
r0701,p0680,c0841
r0378,p0284,c0457
r0783,p0963,c0301
r0094,p0401,c0572
r0757,p0032,c0649
r0856,p0943,c0699
r0853,p0238,c0669
r0740,p0742,c0193
r0238,p0792,c0634
r0115,p0821,c0973
r0801,p0617,c0268
r0631,p0813,c0416
r0043,p0099,c0044
r0131,p0163,c0247
r0386,p0517,c0383
r0281,p0072,c0820
r0530,p0462,c0233
r0581,p0047,c0251
r0117,p0262,c0459
r0812,p0968,c0306
r0403,p0706,c0913
r0998,p0737,c0633
r0857,p0432,c0014
r0312,p0701,c0061
r0280,p0450,c0917
r0946,p0977,c0021
r0090,p0028,c0224
r0469,p0622,c0951
r0931,p0475,c0331
r0684,p0675,c0172
r0621,p0610,c0356
r0175,p0842,c0537
r0836,p0032,c0367
r0302,p0825,c0285
r0981,p0263,c0768
r0629,p0716,c0274
r0486,p0337,c0130
r0101,p0424,c0676
r0632,p0748,c0315
r0008,p0929,c0554
r0071,p0810,c0255
r0261,p0415,c0113
r0054,p0382,c0619
r0417,p0841,c0518
r0733,p0792,c0102
r0748,p0965,c0851
r0634,p0842,c0158
r0469,p0415,c0596
r0955,p0334,c0038
r0023,p0123,c0171
r0555,p0818,c0038
r0646,p0110,c0431
r0524,p0635,c0588
r0492,p0667,c0080
r0131,p0686,c0748
r0046,p0656,c0571
r0462,p0172,c0490
r0036,p0449,c0418
r0710,p0086,c0887
r0099,p0338,c0446
r0586,p0354,c0331
r0065,p0436,c0677
r0864,p0336,c0406
r0858,p0061,c0189
r0620,p0393,c0506
r0417,p0767,c0969
r0156,p0107,c0469
r0550,p0623,c0746
r0267,p0468,c0723
r0193,p0694,c0272
r0155,p0087,c0094
r0393,p0199,c0226
r0895,p0916,c0521
r0039,p0117,c0345
r0515,p0550,c0574
r0036,p0305,c0851
r0649,p0511,c0606
r0530,p0155,c0825
r0593,p0795,c0023
r0626,p1001,c0966
r0654,p0064,c0405
r0198,p0656,c0966
r0271,p0658,c0130
r0544,p0269,c0900
r0722,p0334,c0859
r0771,p0628,c0059
r0848,p0834,c0964
r0643,p0738,c0665
r0837,p0287,c0184
r0235,p0864,c0629
r0816,p0755,c0952
r0305,p0093,c0361
r0870,p0318,c0658
r0847,p0853,c0941
r0941,p0545,c0351
r0763,p0062,c0479
r0865,p0631,c0791
r0749,p0620,c0046
r1000,p0554,c0107
r0569,p0357,c0598
r0198,p0964,c0679
r0140,p0291,c0035
r0224,p0847,c0662
r0404,p0707,c0746
r0407,p0484,c0289
r0784,p0577,c0743
r0122,p0491,c0610
r0344,p0816,c0566
r0282,p0112,c0745
r0694,p0216,c0712
r0251,p0112,c0070
r0072,p0567,c0540
r0553,p0736,c0905
r0918,p0012,c0060
r0886,p0410,c0477
r0179,p0237,c0553
r0765,p0305,c0328
r0027,p0660,c0840
r0875,p0199,c0068
r0424,p0642,c0643
r0690,p0731,c0263
r0325,p0783,c0338
r0147,p0729,c0567
r0767,p0456,c0829
r0461,p0185,c0242
r0976,p0130,c0249
r0859,p0388,c0817
r0633,p0693,c0478
r0379,p0263,c0848
r0919,p0801,c0697
r0562,p0097,c0546
r0903,p0818,c0009
r0177,p0826,c0045
r0243,p0500,c0049
r0637,p0851,c0882
r0343,p0832,c0835
r0482,p0019,c0730
r0344,p0423,c0664
r0644,p0282,c0313
r0448,p0057,c0025
r0822,p0733,c0123
r0495,p0969,c0242
r0557,p0768,c0028
r0415,p0957,c0074
r0315,p0934,c0846
r0778,p0753,c0472
r0133,p0456,c0086
r0125,p0344,c0408
r0279,p0017,c0452
r0997,p0037,c0720
r0620,p0329,c0816
r0124,p0464,c0337
r0222,p0280,c0810
r0025,p0124,c0118
r0437,p0519,c0538
r0282,p0153,c0843
r0932,p0830,c0145
r0466,p0551,c0785
r0092,p0157,c0341
r0087,p0600,c0627
r0915,p0096,c0692
r0351,p0563,c0576
r0571,p0392,c0354
r0557,p0768,c0426
r0934,p0009,c0946
r0554,p0249,c0856
r0807,p0464,c0140
r0784,p0128,c0954
r0072,p0210,c0875
r0097,p0497,c0879
r0576,p0519,c0401
r0120,p0737,c0050
r0927,p0262,c0492
