p_id,description,product_type,quantity_available
p0098,blue shiny helmet,food,15
p0099,yellow merry bag,weapon,14
p0100,blue leather armor,artifact,1
p0101,white crazy weapon,food,11
p0102,blue strong armor,food,4
p0103,green leather helmet,weapon,9
p0104,red crazy armor,food,13
p0105,green chiffon hat,food,11
p0106,white shiny hat,food,16
p0107,green strong weapon,artifact,14
p0108,white merry armor,food,14
p0109,black shiny hat,artifact,11
p0110,yellow strong armor,artifact,12
p0111,blue chiffon armor,food,5
p0112,black crazy hat,artifact,4
p0113,yellow leather armor,food,11
p0114,yellow leather helmet,weapon,8
p0115,yellow crazy armor,artifact,14
p0116,blue crazy helmet,weapon,14
p0117,green chiffon weapon,weapon,11
p0118,blue strong armor,weapon,2
p0119,blue leather bag,food,4
p0120,red crazy helmet,artifact,8
p0121,green crazy weapon,artifact,16
p0122,black crazy weapon,food,11
p0123,blue merry helmet,weapon,9
p0124,green chiffon hat,food,9
p0125,green strong hat,artifact,1
p0126,red merry pants,weapon,11
p0127,white shiny helmet,weapon,16
p0128,black shiny bag,food,5
p0129,white strong helmet,food,14
p0130,white merry bag,food,0
p0131,yellow leather armor,weapon,3
p0132,black chiffon armor,food,2
p0133,black crazy hat,artifact,10
p0134,red strong helmet,weapon,12
p0135,white crazy armor,food,14
p0136,red leather helmet,artifact,13
p0137,blue shiny weapon,artifact,2
p0138,white leather hat,food,4
p0139,white crazy armor,food,14
p0140,red shiny bag,artifact,0
p0141,blue shiny helmet,weapon,1
p0142,white merry armor,artifact,5
p0143,blue merry bag,artifact,6
p0144,black chiffon pants,weapon,9
p0145,green shiny weapon,artifact,3
p0146,black merry hat,food,13
p0147,green shiny helmet,weapon,2
p0148,white leather weapon,weapon,15
p0149,white merry armor,weapon,6
p0150,blue crazy hat,food,12
p0151,yellow crazy bag,food,0
p0152,red crazy hat,food,6
p0153,green crazy pants,artifact,1
p0154,blue crazy bag,weapon,8
p0155,black chiffon bag,food,11
p0156,black merry weapon,artifact,4
p0157,red chiffon helmet,artifact,2
p0158,green leather helmet,artifact,16
p0159,red shiny hat,artifact,13
p0160,green leather hat,weapon,0
p0161,green merry pants,food,6
p0162,green merry hat,weapon,3
p0163,black shiny bag,food,0
p0164,green crazy hat,food,8
p0165,green shiny bag,weapon,13
p0166,white merry bag,artifact,12
p0167,red shiny pants,weapon,7
p0168,blue chiffon hat,weapon,9
p0169,yellow leather weapon,artifact,15
p0170,red strong hat,artifact,3
p0171,black chiffon helmet,artifact,6
p0172,red crazy weapon,artifact,4
p0173,white crazy hat,weapon,12
p0174,yellow crazy pants,food,4
p0175,blue chiffon hat,weapon,8
p0176,white crazy weapon,artifact,6
p0177,black leather pants,artifact,5
p0178,black crazy armor,artifact,15
p0179,red shiny helmet,food,14
p0180,white chiffon armor,weapon,10
p0181,green merry pants,weapon,1
p0182,green leather helmet,weapon,10
p0183,red leather weapon,artifact,13
p0184,yellow shiny helmet,artifact,10
p0185,red strong hat,artifact,12
p0186,green leather pants,artifact,13
p0187,white crazy weapon,artifact,0
p0188,green chiffon armor,weapon,14
p0189,white leather hat,weapon,6
p0190,blue chiffon pants,food,8
p0191,black strong pants,weapon,5
p0192,red chiffon helmet,food,0
p0193,green shiny weapon,food,1
p0194,yellow leather helmet,weapon,9
p0195,red chiffon armor,food,3
p0196,white shiny helmet,artifact,7
p0197,yellow merry armor,weapon,6
p0198,yellow shiny armor,artifact,10
p0199,yellow crazy pants,food,10
p0200,white crazy weapon,food,11
p0201,black chiffon bag,weapon,11
p0202,green shiny helmet,weapon,2
p0203,green strong helmet,weapon,16
p0204,green chiffon pants,food,13
p0205,red crazy helmet,weapon,9
p0206,white shiny hat,weapon,4
p0207,black crazy bag,artifact,5
p0208,yellow shiny helmet,weapon,10
p0209,yellow chiffon armor,weapon,16
p0210,green leather helmet,artifact,7
p0211,red shiny armor,food,4
p0212,blue leather hat,artifact,9
p0213,red merry armor,artifact,6
p0214,green shiny hat,weapon,13
p0215,black crazy hat,food,2
p0216,black strong helmet,weapon,11
p0217,green crazy helmet,artifact,7
p0218,yellow strong helmet,artifact,7
p0219,black crazy armor,food,14
p0220,black crazy bag,food,7
p0221,green shiny helmet,food,0
p0222,white crazy helmet,food,8
p0223,white shiny helmet,weapon,1
p0224,green merry bag,food,14
p0225,green chiffon bag,weapon,12
p0226,red shiny helmet,artifact,4
p0227,green leather pants,artifact,5
p0228,green shiny bag,artifact,11
p0229,black strong hat,artifact,15
p0230,yellow crazy hat,food,1
p0231,red crazy helmet,weapon,7
p0232,blue strong helmet,weapon,8
p0233,green leather weapon,food,15
p0234,yellow strong weapon,weapon,1
p0235,green merry hat,weapon,0
p0236,white shiny armor,artifact,9
p0237,white strong hat,weapon,5
p0238,green chiffon armor,artifact,12
p0239,red shiny pants,weapon,13
p0240,red leather helmet,food,9
p0241,white leather hat,artifact,3
p0242,green shiny weapon,artifact,1
p0243,white strong bag,weapon,11
p0244,green merry helmet,food,13
p0245,yellow chiffon helmet,weapon,1
p0246,green shiny hat,weapon,13
p0247,white crazy weapon,food,12
p0248,green shiny bag,food,3
p0249,green chiffon pants,artifact,15
p0250,white merry hat,food,5
p0251,green merry weapon,food,0
p0252,green shiny weapon,food,16
p0253,red chiffon helmet,artifact,9
p0254,white strong helmet,weapon,2
p0255,black strong weapon,food,5
p0256,green strong armor,weapon,0
p0257,yellow chiffon pants,artifact,11
p0258,black strong pants,artifact,3
p0259,white shiny hat,food,4
p0260,white shiny weapon,artifact,9
p0261,black chiffon pants,weapon,4
p0262,red strong pants,food,12
p0263,white merry weapon,weapon,1
p0264,blue strong helmet,artifact,11
p0265,red leather hat,artifact,0
p0266,blue chiffon pants,food,10
p0267,blue merry armor,weapon,11
p0268,red merry helmet,artifact,4
p0269,yellow merry armor,weapon,5
p0270,blue shiny hat,weapon,14
p0271,red shiny armor,weapon,2
p0272,white shiny weapon,food,7
p0273,white strong pants,food,13
p0274,green shiny armor,artifact,8
p0275,yellow crazy armor,weapon,10
p0276,green chiffon helmet,food,6
p0277,red merry armor,artifact,1
p0278,blue merry pants,weapon,9
p0279,blue merry hat,food,8
p0280,blue strong hat,artifact,8
p0281,yellow strong weapon,weapon,4
p0282,green merry hat,food,1
p0283,blue crazy helmet,weapon,8
p0284,black shiny helmet,weapon,15
p0285,black chiffon hat,weapon,15
p0286,yellow leather pants,food,12
p0287,white shiny pants,food,8
p0288,blue crazy pants,artifact,12
p0289,red chiffon bag,artifact,13
p0290,red chiffon helmet,food,2
p0291,blue leather weapon,artifact,10
p0292,red leather helmet,artifact,11
p0293,white strong bag,food,15
p0294,white merry hat,weapon,12
p0295,red leather pants,food,13
p0296,yellow leather hat,food,6
p0297,red crazy armor,artifact,16
p0298,red strong pants,food,11
p0299,yellow merry armor,weapon,2
p0300,black leather bag,artifact,0
p0301,yellow chiffon weapon,artifact,2
p0302,yellow leather helmet,artifact,3
p0303,green shiny weapon,artifact,15
p0304,white merry weapon,artifact,7
p0305,green crazy pants,food,13
p0306,yellow chiffon helmet,food,11
p0307,yellow leather weapon,artifact,1
p0308,black merry pants,food,14
p0309,yellow leather hat,artifact,2
p0310,white leather armor,weapon,7
p0311,white shiny hat,food,3
p0312,green shiny hat,weapon,2
p0313,green strong helmet,food,3
p0314,black shiny hat,artifact,15
p0315,black chiffon armor,food,8
p0316,blue chiffon bag,artifact,14
p0317,blue leather pants,artifact,11
p0318,black strong weapon,artifact,11
p0319,black leather hat,food,4
p0320,white leather pants,food,6
p0321,black shiny pants,food,13
p0322,black crazy helmet,weapon,6
p0323,red strong helmet,weapon,1
p0324,red strong helmet,artifact,5
p0325,white chiffon helmet,food,5
p0326,black shiny bag,weapon,2
p0327,red merry bag,artifact,8
p0328,yellow shiny hat,artifact,1
p0329,green strong helmet,food,6
p0330,black leather pants,artifact,7
p0331,red crazy armor,weapon,14
p0332,black shiny hat,artifact,0
p0333,yellow shiny weapon,artifact,14
p0334,red leather weapon,food,0
p0335,blue chiffon hat,artifact,2
p0336,red leather helmet,food,3
p0337,black shiny armor,artifact,6
p0338,black leather helmet,weapon,5
p0339,yellow leather armor,food,16
p0340,white shiny helmet,food,2
p0341,blue chiffon armor,weapon,6
p0342,green chiffon bag,food,16
p0343,green chiffon helmet,weapon,2
p0344,white shiny hat,artifact,16
p0345,white strong pants,artifact,14
p0346,red leather bag,food,13
p0347,white leather helmet,food,8
p0348,yellow crazy pants,weapon,13
p0349,white leather weapon,artifact,12
p0350,yellow merry pants,weapon,10
p0351,yellow merry helmet,artifact,2
p0352,blue strong weapon,artifact,10
p0353,yellow crazy armor,weapon,4
p0354,black crazy hat,weapon,10
p0355,red strong armor,weapon,9
p0356,white merry pants,food,7
p0357,white crazy pants,food,5
p0358,black strong hat,weapon,13
p0359,blue chiffon helmet,weapon,10
p0360,white crazy bag,food,12
p0361,green shiny bag,artifact,11
p0362,blue shiny armor,artifact,16
p0363,black shiny hat,artifact,13
p0364,red shiny pants,artifact,12
p0365,blue merry armor,artifact,8
p0366,black chiffon hat,weapon,14
p0367,blue shiny bag,food,11
p0368,yellow crazy weapon,food,7
p0369,blue shiny hat,artifact,11
p0370,blue chiffon hat,weapon,0
p0371,black chiffon bag,weapon,16
p0372,white strong helmet,food,3
p0373,yellow chiffon bag,food,9
p0374,yellow shiny hat,food,3
p0375,white chiffon helmet,artifact,0
p0376,red leather weapon,artifact,4
p0377,yellow leather bag,food,1
p0378,black crazy armor,artifact,8
p0379,black merry hat,food,3
p0380,black leather weapon,food,10
p0381,blue shiny armor,artifact,1
p0382,yellow leather bag,artifact,3
p0383,green shiny weapon,food,3
p0384,yellow strong hat,artifact,3
p0385,black crazy hat,food,4
p0386,blue chiffon helmet,food,6
p0387,black strong hat,food,11
p0388,blue merry armor,artifact,10
p0389,red merry pants,artifact,5
p0390,red strong hat,weapon,2
p0391,yellow chiffon weapon,weapon,13
p0392,black crazy weapon,weapon,5
p0393,black strong armor,food,4
p0394,black chiffon helmet,food,5
p0395,green shiny helmet,weapon,13
p0396,red merry hat,weapon,0
p0397,green merry armor,artifact,10
p0398,black merry pants,artifact,10
p0399,red crazy pants,food,5
p0400,yellow crazy hat,artifact,4
p0401,red merry hat,food,0
p0402,red shiny bag,artifact,6
p0403,yellow crazy bag,artifact,13
p0404,green shiny hat,weapon,14
p0405,green chiffon weapon,weapon,13
p0406,black shiny helmet,weapon,3
p0407,black merry hat,artifact,16
p0408,blue merry pants,artifact,8
p0409,yellow leather hat,weapon,12
p0410,green crazy bag,artifact,1
p0411,yellow shiny bag,artifact,16
p0412,black strong weapon,weapon,3
p0413,white shiny bag,artifact,14
p0414,white chiffon weapon,food,9
p0415,yellow chiffon hat,food,14
p0416,red leather pants,weapon,5
p0417,red strong helmet,food,1
p0418,yellow chiffon bag,artifact,0
p0419,yellow merry bag,artifact,9
p0420,white chiffon pants,weapon,11
p0421,black strong helmet,artifact,0
p0422,white chiffon armor,artifact,2
p0423,green leather helmet,artifact,10
p0424,blue merry weapon,weapon,12
p0425,white shiny hat,artifact,0
p0426,green merry bag,weapon,1
p0427,red leather armor,food,12
p0428,black merry helmet,weapon,9
p0429,white merry pants,food,4
p0430,green chiffon bag,weapon,0
p0431,green merry armor,weapon,16
p0432,green chiffon helmet,weapon,3
p0433,black leather armor,weapon,16
p0434,black chiffon hat,food,10
p0435,red merry hat,artifact,13
p0436,blue strong helmet,food,5
p0437,red strong armor,artifact,12
p0438,yellow chiffon weapon,food,12
p0439,green strong armor,weapon,2
p0440,black leather pants,artifact,14
p0441,red strong bag,artifact,8
p0442,red crazy pants,artifact,6
p0443,white strong pants,weapon,4
p0444,black merry helmet,artifact,11
p0445,red chiffon helmet,artifact,14
p0446,green leather helmet,food,14
p0447,black merry helmet,food,8
p0448,green shiny bag,artifact,2
p0449,green crazy helmet,weapon,8
p0450,yellow strong helmet,food,11
p0451,yellow shiny weapon,weapon,8
p0452,blue crazy bag,food,1
p0453,red leather weapon,food,15
p0454,blue crazy bag,artifact,12
p0455,green shiny weapon,weapon,15
p0456,green crazy weapon,artifact,0
p0457,green merry hat,artifact,16
p0458,yellow shiny hat,weapon,12
p0459,yellow shiny armor,weapon,8
p0460,green crazy hat,artifact,4
p0461,black merry hat,food,4
p0462,black chiffon armor,food,5
p0463,green crazy weapon,artifact,12
p0464,red shiny bag,food,14
p0465,green merry armor,artifact,16
p0466,black chiffon bag,weapon,1
p0467,yellow merry pants,food,5
p0468,green merry pants,weapon,3
p0469,black strong hat,weapon,8
p0470,blue merry bag,weapon,6
p0471,black chiffon pants,artifact,4
p0472,blue chiffon bag,food,1
p0473,red shiny bag,weapon,3
p0474,white chiffon helmet,artifact,15
p0475,blue strong hat,food,6
p0476,yellow merry weapon,food,8
p0477,blue strong armor,weapon,13
p0478,yellow shiny armor,artifact,3
p0479,white leather armor,food,13
p0480,black crazy hat,artifact,7
p0481,yellow chiffon helmet,food,12
p0482,red crazy armor,artifact,10
p0483,black shiny armor,artifact,12
p0484,red merry weapon,food,13
p0485,black shiny armor,food,1
p0486,yellow crazy pants,weapon,10
p0487,white crazy helmet,artifact,4
p0488,black chiffon armor,food,2
p0489,green merry hat,artifact,3
p0490,green shiny pants,weapon,11
p0491,yellow crazy weapon,weapon,10
p0492,green chiffon helmet,artifact,6
p0493,black shiny hat,artifact,9
p0494,blue merry weapon,food,16
p0495,red merry armor,artifact,16
p0496,yellow crazy hat,artifact,7
p0497,green crazy pants,artifact,11
p0498,white crazy pants,weapon,4
p0499,green strong pants,food,8
p0500,white crazy bag,weapon,0
p0501,red shiny pants,artifact,4
p0502,white chiffon weapon,weapon,6
p0503,green shiny helmet,artifact,9
p0504,yellow merry bag,weapon,9
p0505,green strong weapon,artifact,3
p0506,blue chiffon weapon,artifact,15
p0507,black merry helmet,artifact,10
p0508,black crazy helmet,artifact,16
p0509,blue strong bag,artifact,0
p0510,black merry weapon,artifact,11
p0511,red merry bag,weapon,11
p0512,blue crazy helmet,food,10
p0513,yellow shiny armor,weapon,15
p0514,red leather helmet,food,10
p0515,black chiffon armor,weapon,2
p0516,yellow shiny hat,food,16
p0517,blue chiffon armor,artifact,2
p0518,yellow strong weapon,food,0
p0519,yellow strong armor,weapon,0
p0520,blue crazy helmet,artifact,5
p0521,green chiffon helmet,food,10
p0522,red chiffon helmet,food,14
p0523,red crazy pants,weapon,16
p0524,blue strong pants,food,5
p0525,white crazy weapon,weapon,5
p0526,red crazy helmet,food,2
p0527,black strong pants,food,2
p0528,red shiny armor,artifact,2
p0529,red chiffon weapon,weapon,8
p0530,black merry armor,artifact,10
p0531,green strong helmet,weapon,15
p0532,red strong armor,food,13
p0533,yellow shiny bag,artifact,3
p0534,black merry bag,artifact,7
p0535,green crazy pants,weapon,8
p0536,blue strong hat,artifact,1
p0537,green merry helmet,artifact,14
p0538,black merry helmet,artifact,8
p0539,black merry armor,weapon,15
p0540,yellow chiffon armor,food,5
p0541,black strong helmet,weapon,10
p0542,red shiny pants,weapon,5
p0543,white leather armor,weapon,7
p0544,yellow chiffon pants,food,3
p0545,red chiffon armor,weapon,11
p0546,yellow merry weapon,weapon,16
p0547,blue crazy armor,food,4
p0548,black shiny weapon,artifact,11
p0549,blue chiffon weapon,artifact,4
p0550,white strong bag,weapon,12
p0551,black leather bag,food,10
p0552,blue chiffon hat,weapon,16
p0553,black strong weapon,food,14
p0554,red chiffon armor,weapon,9
p0555,white leather pants,artifact,4
p0556,blue chiffon bag,weapon,9
p0557,blue shiny bag,artifact,2
p0558,blue crazy helmet,artifact,4
p0559,green strong bag,artifact,12
p0560,blue leather helmet,artifact,2
p0561,green leather hat,weapon,7
p0562,red leather hat,weapon,10
p0563,red shiny pants,weapon,8
p0564,white leather armor,food,1
p0565,black crazy bag,artifact,1
p0566,green chiffon helmet,food,3
p0567,yellow chiffon armor,food,2
p0568,yellow merry hat,weapon,5
p0569,yellow leather weapon,food,7
p0570,red chiffon bag,food,4
p0571,white shiny helmet,food,12
p0572,green shiny hat,food,10
p0573,red shiny hat,food,0
p0574,white leather pants,weapon,7
p0575,blue merry helmet,artifact,15
p0576,green strong armor,weapon,0
p0577,white merry hat,food,14
p0578,red strong weapon,weapon,0
p0579,white leather armor,artifact,12
p0580,yellow strong pants,weapon,16
p0581,yellow chiffon hat,weapon,3
p0582,green strong helmet,weapon,3
p0583,yellow leather helmet,weapon,9
p0584,black crazy pants,weapon,3
p0585,white merry bag,artifact,12
p0586,blue chiffon bag,artifact,0
p0587,blue leather hat,weapon,8
p0588,blue shiny helmet,artifact,15
p0589,white shiny weapon,food,12
p0590,black chiffon armor,artifact,10
p0591,red shiny bag,artifact,13
p0592,blue chiffon armor,weapon,16
p0593,blue leather weapon,weapon,9
p0594,yellow crazy bag,weapon,3
p0595,black merry hat,artifact,10
p0596,black strong armor,food,15
p0597,blue chiffon helmet,food,14
p0598,red strong pants,weapon,7
p0599,yellow shiny hat,food,12
p0600,green merry helmet,artifact,12
p0601,red crazy pants,artifact,16
p0602,blue shiny hat,artifact,4
p0603,blue shiny helmet,weapon,15
p0604,green crazy bag,weapon,11
p0605,blue crazy weapon,food,3
p0606,black leather hat,food,15
p0607,black leather pants,artifact,7
p0608,yellow shiny hat,food,11
p0609,black leather bag,food,8
p0610,yellow shiny weapon,artifact,9
p0611,white chiffon helmet,artifact,7
p0612,red crazy hat,artifact,14
p0613,white leather weapon,weapon,15
p0614,green leather armor,artifact,0
p0615,yellow merry weapon,weapon,3
p0616,green leather helmet,artifact,2
p0617,red chiffon weapon,artifact,15
p0618,blue crazy bag,food,0
p0619,green chiffon armor,artifact,13
p0620,red leather helmet,artifact,1
p0621,green strong bag,weapon,16
p0622,green chiffon armor,weapon,11
p0623,yellow strong bag,weapon,1
p0624,blue merry helmet,artifact,15
p0625,blue strong armor,artifact,2
p0626,white leather helmet,weapon,2
p0627,white merry pants,food,9
p0628,black leather weapon,weapon,10
p0629,yellow strong bag,artifact,5
p0630,red merry pants,weapon,6
p0631,yellow shiny bag,weapon,1
p0632,white crazy pants,food,8
p0633,yellow chiffon hat,artifact,16
p0634,black shiny hat,weapon,15
p0635,blue chiffon bag,weapon,15
p0636,red chiffon weapon,food,0
p0637,white strong helmet,food,2
p0638,yellow crazy armor,food,10
p0639,white shiny armor,weapon,15
p0640,blue leather helmet,food,12
p0641,white leather armor,artifact,8
p0642,red merry pants,weapon,0
p0643,black crazy armor,artifact,12
p0644,black shiny pants,weapon,15
p0645,yellow strong hat,food,15
p0646,yellow leather hat,artifact,0
p0647,black shiny pants,artifact,10
p0648,blue crazy helmet,weapon,15
p0649,white shiny helmet,weapon,0
p0650,red leather helmet,artifact,13
p0651,blue shiny bag,weapon,8
p0652,red strong weapon,artifact,14
p0653,yellow shiny hat,weapon,8
p0654,white crazy bag,food,14
p0655,red crazy bag,artifact,0
p0656,yellow shiny weapon,food,16
p0657,black shiny helmet,food,4
p0658,green chiffon armor,food,10
p0659,white shiny hat,weapon,1
p0660,red crazy pants,food,11
p0661,yellow shiny weapon,artifact,14
p0662,black chiffon armor,artifact,4
p0663,red crazy hat,weapon,11
p0664,red merry armor,food,1
p0665,red crazy bag,food,9
p0666,blue strong armor,food,0
p0667,red merry hat,artifact,14
p0668,white chiffon pants,food,4
p0669,red strong bag,weapon,9
p0670,blue merry helmet,weapon,0
p0671,white merry pants,weapon,2
p0672,blue shiny helmet,food,11
p0673,white leather pants,weapon,16
p0674,red crazy weapon,artifact,2
p0675,red leather pants,weapon,2
p0676,green chiffon helmet,artifact,12
p0677,yellow shiny pants,food,8
p0678,blue strong helmet,weapon,11
p0679,white crazy armor,artifact,11
p0680,blue leather bag,food,11
p0681,black merry bag,artifact,12
p0682,yellow strong weapon,food,4
p0683,red strong bag,artifact,12
p0684,green merry weapon,artifact,14
p0685,green shiny helmet,artifact,1
p0686,red merry bag,artifact,12
p0687,yellow shiny weapon,food,1
p0688,white strong hat,weapon,12
p0689,green crazy pants,artifact,9
p0690,white strong hat,weapon,9
p0691,red chiffon pants,food,2
p0692,red leather hat,food,11
p0693,white strong hat,artifact,8
p0694,white shiny pants,weapon,11
p0695,green leather hat,food,15
p0696,blue strong armor,food,8
p0697,black leather bag,artifact,16
p0698,yellow leather helmet,food,13
p0699,blue shiny helmet,artifact,12
p0700,red crazy armor,artifact,7
p0701,white chiffon helmet,artifact,12
p0702,red crazy pants,artifact,5
p0703,blue shiny armor,food,7
p0704,yellow strong helmet,food,6
p0705,black strong bag,food,1
p0706,yellow strong hat,weapon,14
p0707,white shiny bag,weapon,15
p0708,blue shiny weapon,artifact,10
p0709,white crazy armor,food,9
p0710,yellow chiffon bag,weapon,2
p0711,red leather armor,artifact,13
p0712,white crazy weapon,food,7
p0713,red shiny bag,food,13
p0714,black strong hat,weapon,5
p0715,blue chiffon weapon,weapon,15
p0716,red crazy armor,food,7
p0717,yellow leather hat,weapon,15
p0718,green strong hat,weapon,10
p0719,blue crazy bag,artifact,12
p0720,red chiffon bag,artifact,5
p0721,green shiny armor,weapon,8
p0722,black shiny pants,food,15
p0723,yellow leather bag,weapon,5
p0724,red shiny helmet,food,8
p0725,black leather pants,food,14
p0726,blue crazy armor,weapon,11
p0727,blue shiny hat,weapon,7
p0728,green crazy hat,artifact,12
p0729,white crazy helmet,artifact,4
p0730,black merry bag,artifact,8
p0731,yellow strong helmet,weapon,12
p0732,blue leather pants,artifact,1
p0733,black crazy bag,artifact,7
p0734,white crazy armor,weapon,3
p0735,yellow crazy bag,artifact,14
p0736,blue strong weapon,weapon,1
p0737,black strong helmet,food,2
p0738,yellow chiffon weapon,artifact,10
p0739,white leather weapon,food,2
p0740,green leather bag,weapon,8
p0741,red merry armor,weapon,0
p0742,red leather pants,weapon,13
p0743,white merry helmet,weapon,0
p0744,black leather armor,weapon,14
p0745,white leather armor,artifact,3
p0746,red shiny helmet,artifact,11
p0747,red leather helmet,weapon,1
p0748,green merry pants,weapon,13
p0749,blue strong pants,food,11
p0750,black strong armor,weapon,14
p0751,blue leather weapon,artifact,10
p0752,yellow strong bag,artifact,9
p0753,green crazy armor,artifact,1
p0754,red chiffon helmet,food,8
p0755,green leather pants,artifact,16
p0756,yellow leather hat,artifact,12
p0757,blue merry helmet,artifact,13
p0758,yellow strong weapon,weapon,4
p0759,yellow chiffon helmet,artifact,4
p0760,red crazy bag,food,13
p0761,yellow crazy pants,weapon,3
p0762,white strong weapon,weapon,14
p0763,green strong weapon,artifact,16
p0764,red strong bag,weapon,0
p0765,green leather weapon,artifact,13
p0766,black merry hat,food,2
p0767,red crazy bag,weapon,4
p0768,yellow leather weapon,weapon,6
p0769,black chiffon helmet,artifact,13
p0770,green chiffon helmet,food,10
p0771,white crazy weapon,artifact,10
p0772,blue chiffon weapon,weapon,9
p0773,white merry armor,weapon,16
p0774,white shiny hat,food,8
p0775,black chiffon hat,weapon,12
p0776,green strong helmet,artifact,16
p0777,blue shiny armor,artifact,4
p0778,white merry armor,artifact,15
p0779,yellow chiffon weapon,artifact,2
p0780,green chiffon pants,weapon,5
p0781,yellow merry armor,food,0
p0782,black crazy bag,weapon,9
p0783,white crazy pants,artifact,13
p0784,red shiny helmet,artifact,14
p0785,yellow shiny armor,food,2
p0786,yellow merry helmet,food,11
p0787,green shiny armor,artifact,3
p0788,blue strong weapon,food,8
p0789,red chiffon hat,weapon,6
p0790,green strong bag,food,5
p0791,red strong armor,weapon,7
p0792,black leather weapon,food,13
p0793,blue shiny armor,food,10
p0794,yellow leather hat,artifact,9
p0795,green merry pants,artifact,1
p0796,white chiffon armor,artifact,3
p0797,red crazy bag,artifact,13
p0798,blue shiny armor,food,7
p0799,black strong hat,weapon,2
p0800,yellow shiny helmet,food,16
p0801,white strong armor,weapon,1
p0802,black shiny armor,weapon,5
p0803,white chiffon armor,weapon,2
p0804,green leather armor,food,1
p0805,blue shiny bag,food,12
p0806,red crazy bag,artifact,13
p0807,green merry weapon,artifact,11
p0808,white strong hat,food,0
p0809,black shiny hat,food,3
p0810,yellow chiffon weapon,food,8
p0811,black chiffon armor,food,16
p0812,green strong helmet,food,13
p0813,red shiny pants,weapon,1
p0814,black strong pants,weapon,16
p0815,white crazy armor,artifact,15
p0816,red chiffon weapon,food,14
p0817,white chiffon armor,weapon,9
p0818,black leather pants,weapon,4
p0819,green chiffon pants,weapon,5
p0820,black chiffon hat,weapon,7
p0821,yellow merry helmet,artifact,12
p0822,yellow merry armor,weapon,11
p0823,red shiny armor,weapon,2
p0824,blue strong pants,food,4
p0825,yellow crazy bag,weapon,7
p0826,blue chiffon hat,food,3
p0827,black shiny pants,weapon,3
