id,description,product_type,quantity_available
prd468,something468,type468,468
prd469,something469,type469,469
prd470,something470,type470,470
prd471,something471,type471,471
prd472,something472,type472,472
prd473,something473,type473,473
prd474,something474,type474,474
prd475,something475,type475,475
prd476,something476,type476,476
prd477,something477,type477,477
prd478,something478,type478,478
prd479,something479,type479,479
prd480,something480,type480,480
prd481,something481,type481,481
prd482,something482,type482,482
prd483,something483,type483,483
prd484,something484,type484,484
prd485,something485,type485,485
prd486,something486,type486,486
prd487,something487,type487,487
prd488,something488,type488,488
prd489,something489,type489,489
prd490,something490,type490,490
prd491,something491,type491,491
prd492,something492,type492,492
prd493,something493,type493,493
prd494,something494,type494,494
prd495,something495,type495,495
prd496,something496,type496,496
prd497,something497,type497,497
prd498,something498,type498,498
prd499,something499,type499,499
prd500,something500,type500,500
prd501,something501,type501,501
prd502,something502,type502,502
prd503,something503,type503,503
prd504,something504,type504,504
prd505,something505,type505,505
prd506,something506,type506,506
prd507,something507,type507,507
prd508,something508,type508,508
prd509,something509,type509,509
prd510,something510,type510,510
prd511,something511,type511,511
prd512,something512,type512,512
prd513,something513,type513,513
prd514,something514,type514,514
prd515,something515,type515,515
prd516,something516,type516,516
prd517,something517,type517,517
prd518,something518,type518,518
prd519,something519,type519,519
prd520,something520,type520,520
prd521,something521,type521,521
prd522,something522,type522,522
prd523,something523,type523,523
prd524,something524,type524,524
prd525,something525,type525,525
prd526,something526,type526,526
prd527,something527,type527,527
prd528,something528,type528,528
prd529,something529,type529,529
prd530,something530,type530,530
prd531,something531,type531,531
prd532,something532,type532,532
prd533,something533,type533,533
prd534,something534,type534,534
prd535,something535,type535,535
prd536,something536,type536,536
prd537,something537,type537,537
prd538,something538,type538,538
prd539,something539,type539,539
prd540,something540,type540,540
prd541,something541,type541,541
prd542,something542,type542,542
prd543,something543,type543,543
prd544,something544,type544,544
prd545,something545,type545,545
prd546,something546,type546,546
prd547,something547,type547,547
prd548,something548,type548,548
prd549,something549,type549,549
prd550,something550,type550,550
prd551,something551,type551,551
prd552,something552,type552,552
prd553,something553,type553,553
prd554,something554,type554,554
prd555,something555,type555,555
prd556,something556,type556,556
prd557,something557,type557,557
prd558,something558,type558,558
prd559,something559,type559,559
prd560,something560,type560,560
prd561,something561,type561,561
prd562,something562,type562,562
prd563,something563,type563,563
prd564,something564,type564,564
prd565,something565,type565,565
prd566,something566,type566,566
prd567,something567,type567,567
prd568,something568,type568,568
prd569,something569,type569,569
prd570,something570,type570,570
prd571,something571,type571,571
prd572,something572,type572,572
prd573,something573,type573,573
prd574,something574,type574,574
prd575,something575,type575,575
prd576,something576,type576,576
prd577,something577,type577,577
prd578,something578,type578,578
prd579,something579,type579,579
prd580,something580,type580,580
prd581,something581,type581,581
prd582,something582,type582,582
prd583,something583,type583,583
prd584,something584,type584,584
prd585,something585,type585,585
prd586,something586,type586,586
prd587,something587,type587,587
prd588,something588,type588,588
prd589,something589,type589,589
prd590,something590,type590,590
prd591,something591,type591,591
prd592,something592,type592,592
prd593,something593,type593,593
prd594,something594,type594,594
prd595,something595,type595,595
prd596,something596,type596,596
prd597,something597,type597,597
prd598,something598,type598,598
prd599,something599,type599,599
prd600,something600,type600,600
prd601,something601,type601,601
prd602,something602,type602,602
prd603,something603,type603,603
prd604,something604,type604,604
prd605,something605,type605,605
prd606,something606,type606,606
prd607,something607,type607,607
prd608,something608,type608,608
prd609,something609,type609,609
prd610,something610,type610,610
prd611,something611,type611,611
prd612,something612,type612,612
prd613,something613,type613,613
prd614,something614,type614,614
prd615,something615,type615,615
prd616,something616,type616,616
prd617,something617,type617,617
prd618,something618,type618,618
prd619,something619,type619,619
prd620,something620,type620,620
prd621,something621,type621,621
prd622,something622,type622,622
prd623,something623,type623,623
prd624,something624,type624,624
prd625,something625,type625,625
prd626,something626,type626,626
prd627,something627,type627,627
prd628,something628,type628,628
prd629,something629,type629,629
prd630,something630,type630,630
prd631,something631,type631,631
prd632,something632,type632,632
prd633,something633,type633,633
prd634,something634,type634,634
prd635,something635,type635,635
prd636,something636,type636,636
prd637,something637,type637,637
prd638,something638,type638,638
prd639,something639,type639,639
prd640,something640,type640,640
prd641,something641,type641,641
prd642,something642,type642,642
prd643,something643,type643,643
prd644,something644,type644,644
prd645,something645,type645,645
prd646,something646,type646,646
prd647,something647,type647,647
prd648,something648,type648,648
prd649,something649,type649,649
prd650,something650,type650,650
prd651,something651,type651,651
prd652,something652,type652,652
prd653,something653,type653,653
prd654,something654,type654,654
prd655,something655,type655,655
prd656,something656,type656,656
prd657,something657,type657,657
prd658,something658,type658,658
prd659,something659,type659,659
prd660,something660,type660,660
prd661,something661,type661,661
prd662,something662,type662,662
prd663,something663,type663,663
prd664,something664,type664,664
prd665,something665,type665,665
prd666,something666,type666,666
prd667,something667,type667,667
prd668,something668,type668,668
prd669,something669,type669,669
prd670,something670,type670,670
prd671,something671,type671,671
prd672,something672,type672,672
prd673,something673,type673,673
prd674,something674,type674,674
prd675,something675,type675,675
prd676,something676,type676,676
prd677,something677,type677,677
prd678,something678,type678,678
prd679,something679,type679,679
prd680,something680,type680,680
prd681,something681,type681,681
prd682,something682,type682,682
prd683,something683,type683,683
prd684,something684,type684,684
prd685,something685,type685,685
prd686,something686,type686,686
prd687,something687,type687,687
prd688,something688,type688,688
prd689,something689,type689,689
prd690,something690,type690,690
prd691,something691,type691,691
prd692,something692,type692,692
prd693,something693,type693,693
prd694,something694,type694,694
prd695,something695,type695,695
prd696,something696,type696,696
prd697,something697,type697,697
prd698,something698,type698,698
prd699,something699,type699,699
prd700,something700,type700,700
prd701,something701,type701,701
prd702,something702,type702,702
prd703,something703,type703,703
prd704,something704,type704,704
prd705,something705,type705,705
prd706,something706,type706,706
prd707,something707,type707,707
prd708,something708,type708,708
prd709,something709,type709,709
prd710,something710,type710,710
prd711,something711,type711,711
prd712,something712,type712,712
prd713,something713,type713,713
prd714,something714,type714,714
prd715,something715,type715,715
prd716,something716,type716,716
prd717,something717,type717,717
prd718,something718,type718,718
prd719,something719,type719,719
prd720,something720,type720,720
prd721,something721,type721,721
prd722,something722,type722,722
prd723,something723,type723,723
prd724,something724,type724,724
prd725,something725,type725,725
prd726,something726,type726,726
prd727,something727,type727,727
prd728,something728,type728,728
prd729,something729,type729,729
prd730,something730,type730,730
prd731,something731,type731,731
prd732,something732,type732,732
prd733,something733,type733,733
prd734,something734,type734,734
prd735,something735,type735,735
prd736,something736,type736,736
prd737,something737,type737,737
prd738,something738,type738,738
prd739,something739,type739,739
prd740,something740,type740,740
prd741,something741,type741,741
prd742,something742,type742,742
prd743,something743,type743,743
prd744,something744,type744,744
prd745,something745,type745,745
prd746,something746,type746,746
prd747,something747,type747,747
prd748,something748,type748,748
prd749,something749,type749,749
prd750,something750,type750,750
prd751,something751,type751,751
prd752,something752,type752,752
prd753,something753,type753,753
prd754,something754,type754,754
prd755,something755,type755,755
prd756,something756,type756,756
prd757,something757,type757,757
prd758,something758,type758,758
prd759,something759,type759,759
prd760,something760,type760,760
prd761,something761,type761,761
prd762,something762,type762,762
prd763,something763,type763,763
prd764,something764,type764,764
prd765,something765,type765,765
prd766,something766,type766,766
prd767,something767,type767,767
prd768,something768,type768,768
prd769,something769,type769,769
prd770,something770,type770,770
prd771,something771,type771,771
prd772,something772,type772,772
prd773,something773,type773,773
prd774,something774,type774,774
prd775,something775,type775,775
prd776,something776,type776,776
prd777,something777,type777,777
prd778,something778,type778,778
prd779,something779,type779,779
prd780,something780,type780,780
prd781,something781,type781,781
prd782,something782,type782,782
prd783,something783,type783,783
prd784,something784,type784,784
prd785,something785,type785,785
prd786,something786,type786,786
prd787,something787,type787,787
prd788,something788,type788,788
prd789,something789,type789,789
prd790,something790,type790,790
prd791,something791,type791,791
prd792,something792,type792,792
prd793,something793,type793,793
prd794,something794,type794,794
prd795,something795,type795,795
prd796,something796,type796,796
prd797,something797,type797,797
prd798,something798,type798,798
prd799,something799,type799,799
prd800,something800,type800,800
prd801,something801,type801,801
prd802,something802,type802,802
prd803,something803,type803,803
prd804,something804,type804,804
prd805,something805,type805,805
prd806,something806,type806,806
prd807,something807,type807,807
prd808,something808,type808,808
prd809,something809,type809,809
prd810,something810,type810,810
prd811,something811,type811,811
prd812,something812,type812,812
prd813,something813,type813,813
prd814,something814,type814,814
prd815,something815,type815,815
prd816,something816,type816,816
prd817,something817,type817,817
prd818,something818,type818,818
prd819,something819,type819,819
prd820,something820,type820,820
prd821,something821,type821,821
prd822,something822,type822,822
prd823,something823,type823,823
prd824,something824,type824,824
prd825,something825,type825,825
prd826,something826,type826,826
prd827,something827,type827,827
prd828,something828,type828,828
prd829,something829,type829,829
prd830,something830,type830,830
prd831,something831,type831,831
prd832,something832,type832,832
prd833,something833,type833,833
prd834,something834,type834,834
prd835,something835,type835,835
prd836,something836,type836,836
prd837,something837,type837,837
prd838,something838,type838,838
prd839,something839,type839,839
prd840,something840,type840,840
prd841,something841,type841,841
prd842,something842,type842,842
prd843,something843,type843,843
prd844,something844,type844,844
prd845,something845,type845,845
prd846,something846,type846,846
prd847,something847,type847,847
prd848,something848,type848,848
prd849,something849,type849,849
prd850,something850,type850,850
prd851,something851,type851,851
prd852,something852,type852,852
prd853,something853,type853,853
prd854,something854,type854,854
prd855,something855,type855,855
prd856,something856,type856,856
prd857,something857,type857,857
prd858,something858,type858,858
prd859,something859,type859,859
prd860,something860,type860,860
prd861,something861,type861,861
prd862,something862,type862,862
prd863,something863,type863,863
prd864,something864,type864,864
prd865,something865,type865,865
prd866,something866,type866,866
prd867,something867,type867,867
prd868,something868,type868,868
prd869,something869,type869,869
prd870,something870,type870,870
prd871,something871,type871,871
prd872,something872,type872,872
prd873,something873,type873,873
prd874,something874,type874,874
prd875,something875,type875,875
prd876,something876,type876,876
prd877,something877,type877,877
prd878,something878,type878,878
prd879,something879,type879,879
prd880,something880,type880,880
prd881,something881,type881,881
prd882,something882,type882,882
prd883,something883,type883,883
prd884,something884,type884,884
prd885,something885,type885,885
prd886,something886,type886,886
prd887,something887,type887,887
prd888,something888,type888,888
prd889,something889,type889,889
prd890,something890,type890,890
prd891,something891,type891,891
prd892,something892,type892,892
prd893,something893,type893,893
prd894,something894,type894,894
prd895,something895,type895,895
prd896,something896,type896,896
prd897,something897,type897,897
prd898,something898,type898,898
prd899,something899,type899,899
prd900,something900,type900,900
prd901,something901,type901,901
prd902,something902,type902,902
prd903,something903,type903,903
prd904,something904,type904,904
prd905,something905,type905,905
prd906,something906,type906,906
prd907,something907,type907,907
prd908,something908,type908,908
prd909,something909,type909,909
prd910,something910,type910,910
prd911,something911,type911,911
prd912,something912,type912,912
prd913,something913,type913,913
prd914,something914,type914,914
prd915,something915,type915,915
prd916,something916,type916,916
prd917,something917,type917,917
prd918,something918,type918,918
prd919,something919,type919,919
prd920,something920,type920,920
prd921,something921,type921,921
prd922,something922,type922,922
prd923,something923,type923,923
prd924,something924,type924,924
prd925,something925,type925,925
prd926,something926,type926,926
prd927,something927,type927,927
prd928,something928,type928,928
prd929,something929,type929,929
prd930,something930,type930,930
prd931,something931,type931,931
prd932,something932,type932,932
prd933,something933,type933,933
prd934,something934,type934,934
prd935,something935,type935,935
prd936,something936,type936,936
prd937,something937,type937,937
prd938,something938,type938,938
prd939,something939,type939,939
prd940,something940,type940,940
prd941,something941,type941,941
prd942,something942,type942,942
prd943,something943,type943,943
prd944,something944,type944,944
prd945,something945,type945,945
prd946,something946,type946,946
prd947,something947,type947,947
prd948,something948,type948,948
prd949,something949,type949,949
prd950,something950,type950,950
prd951,something951,type951,951
prd952,something952,type952,952
prd953,something953,type953,953
prd954,something954,type954,954
prd955,something955,type955,955
prd956,something956,type956,956
prd957,something957,type957,957
prd958,something958,type958,958
prd959,something959,type959,959
prd960,something960,type960,960
prd961,something961,type961,961
prd962,something962,type962,962
prd963,something963,type963,963
prd964,something964,type964,964
prd965,something965,type965,965
prd966,something966,type966,966
prd967,something967,type967,967
prd968,something968,type968,968
prd969,something969,type969,969
prd970,something970,type970,970
prd971,something971,type971,971
prd972,something972,type972,972
prd973,something973,type973,973
prd974,something974,type974,974
prd975,something975,type975,975
prd976,something976,type976,976
prd977,something977,type977,977
prd978,something978,type978,978
prd979,something979,type979,979
prd980,something980,type980,980
prd981,something981,type981,981
prd982,something982,type982,982
prd983,something983,type983,983
prd984,something984,type984,984
prd985,something985,type985,985
prd986,something986,type986,986
prd987,something987,type987,987
prd988,something988,type988,988
prd989,something989,type989,989
prd990,something990,type990,990
prd991,something991,type991,991
prd992,something992,type992,992
prd993,something993,type993,993
prd994,something994,type994,994
prd995,something995,type995,995
prd996,something996,type996,996
prd997,something997,type997,997
prd998,something998,type998,998
prd999,something999,type999,999
