rnt0000,prd0968,cust0923
rnt0084,prd0492,cust0889
rnt0085,prd0590,cust0502
rnt0086,prd0442,cust0099
rnt0087,prd0056,cust0621
rnt0088,prd0322,cust0207
rnt0089,prd0579,cust0729
rnt0090,prd0090,cust0805
rnt0091,prd0293,cust0048
rnt0092,prd0380,cust0688
rnt0093,prd0941,cust0847
rnt0094,prd0727,cust0040
rnt0095,prd0581,cust0807
rnt0096,prd0219,cust0248
rnt0097,prd0728,cust0110
rnt0098,prd0297,cust0094
rnt0099,prd0117,cust0622
rnt0100,prd0004,cust0159
rnt0101,prd0601,cust0134
rnt0102,prd0101,cust0399
rnt0103,prd0428,cust0140
rnt0104,prd0585,cust0355
rnt0105,prd0278,cust0838
rnt0106,prd0878,cust0446
rnt0107,prd0079,cust0483
rnt0108,prd0264,cust0568
rnt0109,prd0870,cust0932
rnt0110,prd0698,cust0417
rnt0111,prd0480,cust0726
rnt0112,prd0992,cust0332
rnt0113,prd0980,cust0829
rnt0114,prd0683,cust0615
rnt0115,prd0438,cust0011
rnt0116,prd0765,cust0433
rnt0117,prd0370,cust0120
rnt0118,prd0709,cust0278
rnt0119,prd0397,cust0116
rnt0120,prd0472,cust0387
rnt0121,prd0432,cust0925
rnt0122,prd0537,cust0806
rnt0123,prd0272,cust0198
rnt0124,prd0060,cust0895
rnt0125,prd0211,cust0597
rnt0126,prd0542,cust0546
rnt0127,prd0070,cust0753
rnt0128,prd0869,cust0541
rnt0129,prd0939,cust0931
rnt0130,prd0712,cust0248
rnt0131,prd0964,cust0890
rnt0132,prd0277,cust0480
rnt0133,prd0487,cust0032
rnt0134,prd0543,cust0360
rnt0135,prd0700,cust0575
rnt0136,prd0035,cust0878
rnt0137,prd0522,cust0057
rnt0138,prd0682,cust0529
rnt0139,prd0825,cust0692
rnt0140,prd0331,cust0621
rnt0141,prd0904,cust0191
rnt0142,prd0736,cust0133
rnt0143,prd0545,cust0520
rnt0144,prd0028,cust0584
rnt0145,prd0209,cust0902
rnt0146,prd0893,cust0935
rnt0147,prd0010,cust0829
rnt0148,prd0886,cust0645
rnt0149,prd0321,cust0926
rnt0150,prd0763,cust0789
rnt0151,prd0271,cust0987
rnt0152,prd0846,cust0832
rnt0153,prd0019,cust0715
rnt0154,prd0942,cust0109
rnt0155,prd0146,cust0503
rnt0156,prd0278,cust0265
rnt0157,prd0613,cust0026
rnt0158,prd0787,cust0912
rnt0159,prd0329,cust0852
rnt0160,prd0675,cust0326
rnt0161,prd0579,cust0514
rnt0162,prd0188,cust0057
rnt0163,prd0202,cust0745
rnt0164,prd0259,cust0315
rnt0165,prd0980,cust0918
rnt0166,prd0129,cust0690
rnt0167,prd0449,cust0809
rnt0168,prd0884,cust0350
rnt0169,prd0325,cust0914
rnt0170,prd0950,cust0759
rnt0171,prd0896,cust0943
rnt0172,prd0513,cust0064
rnt0173,prd0439,cust0514
rnt0174,prd0555,cust0810
rnt0175,prd0068,cust0714
rnt0176,prd0275,cust0961
rnt0177,prd0459,cust0337
rnt0178,prd0923,cust0657
rnt0179,prd0390,cust0872
rnt0180,prd0433,cust0488
rnt0181,prd0789,cust0387
rnt0182,prd0455,cust0140
rnt0183,prd0016,cust0998
rnt0184,prd0091,cust0670
rnt0185,prd0975,cust0722
rnt0186,prd0051,cust0744
rnt0187,prd0504,cust0217
rnt0188,prd0955,cust0438
rnt0189,prd0653,cust0053
rnt0190,prd0761,cust0793
rnt0191,prd0199,cust0639
rnt0192,prd0073,cust0507
rnt0193,prd0879,cust0276
rnt0194,prd0980,cust0145
rnt0195,prd0707,cust0110
rnt0196,prd0810,cust0010
rnt0197,prd0694,cust0609
rnt0198,prd0513,cust0820
rnt0199,prd0737,cust0097
rnt0200,prd0965,cust0538
rnt0201,prd0305,cust0087
rnt0202,prd0084,cust0720
rnt0203,prd0170,cust0871
rnt0204,prd0292,cust0488
rnt0205,prd0719,cust0372
rnt0206,prd0869,cust0676
rnt0207,prd0016,cust0700
rnt0208,prd0667,cust0494
rnt0209,prd0906,cust0757
rnt0210,prd0678,cust0697
rnt0211,prd0603,cust0556
rnt0212,prd0008,cust0095
rnt0213,prd0784,cust0259
rnt0214,prd0426,cust0661
rnt0215,prd0289,cust0704
rnt0216,prd0563,cust0036
rnt0217,prd0305,cust0637
rnt0218,prd0508,cust0754
rnt0219,prd0438,cust0617
rnt0220,prd0772,cust0898
rnt0221,prd0623,cust0975
rnt0222,prd0472,cust0697
rnt0223,prd0435,cust0882
rnt0224,prd0696,cust0189
rnt0225,prd0370,cust0304
rnt0226,prd0116,cust0094
rnt0227,prd0322,cust0936
rnt0228,prd0344,cust0631
rnt0229,prd0232,cust0129
rnt0230,prd0816,cust0372
rnt0231,prd0824,cust0928
rnt0232,prd0818,cust0134
rnt0233,prd0976,cust0202
rnt0234,prd0581,cust0884
rnt0235,prd0597,cust0587
rnt0236,prd0598,cust0125
rnt0237,prd0476,cust0178
rnt0238,prd0488,cust0482
rnt0239,prd0406,cust0882
rnt0240,prd0361,cust0821
rnt0241,prd0870,cust0593
rnt0242,prd0627,cust0007
rnt0243,prd0722,cust0270
rnt0244,prd0088,cust0768
rnt0245,prd0415,cust0912
rnt0246,prd0699,cust0557
rnt0247,prd0743,cust0511
rnt0248,prd0598,cust0729
rnt0249,prd0678,cust0981
rnt0250,prd0003,cust0116
rnt0251,prd0436,cust0462
rnt0252,prd0489,cust0202
rnt0253,prd0793,cust0267
rnt0254,prd0767,cust0621
rnt0255,prd0318,cust0842
rnt0256,prd0983,cust0235
rnt0257,prd0988,cust0770
rnt0258,prd0280,cust0331
rnt0259,prd0558,cust0531
rnt0260,prd0999,cust0878
rnt0261,prd0273,cust0650
rnt0262,prd0298,cust0523
rnt0263,prd0468,cust0624
rnt0264,prd0604,cust0874
rnt0265,prd0684,cust0068
rnt0266,prd0950,cust0759
rnt0267,prd0589,cust0477
rnt0268,prd0827,cust0240
rnt0269,prd0063,cust0943
rnt0270,prd0400,cust0767
rnt0271,prd0376,cust0480
rnt0272,prd0405,cust0156
rnt0273,prd0654,cust0944
rnt0274,prd0380,cust0090
rnt0275,prd0938,cust0013
rnt0276,prd0254,cust0504
rnt0277,prd0247,cust0457
rnt0278,prd0707,cust0779
rnt0279,prd0386,cust0123
rnt0280,prd0656,cust0494
rnt0281,prd0021,cust0096
rnt0282,prd0224,cust0258
rnt0283,prd0042,cust0327
rnt0284,prd0712,cust0581
rnt0285,prd0724,cust0682
rnt0286,prd0579,cust0911
rnt0287,prd0160,cust0362
rnt0288,prd0147,cust0014
rnt0289,prd0474,cust0748
rnt0290,prd0362,cust0747
rnt0291,prd0046,cust0595
rnt0292,prd0559,cust0465
rnt0293,prd0684,cust0186
rnt0294,prd0278,cust0827
rnt0295,prd0292,cust0771
rnt0296,prd0740,cust0661
rnt0297,prd0308,cust0766
rnt0298,prd0200,cust0781
rnt0299,prd0672,cust0444
rnt0300,prd0213,cust0152
rnt0301,prd0837,cust0138
rnt0302,prd0785,cust0003
rnt0303,prd0116,cust0789
rnt0304,prd0868,cust0283
rnt0305,prd0073,cust0336
rnt0306,prd0314,cust0813
rnt0307,prd0750,cust0553
rnt0308,prd0189,cust0898
rnt0309,prd0186,cust0983
rnt0310,prd0825,cust0874
rnt0311,prd0978,cust0219
rnt0312,prd0626,cust0365
rnt0313,prd0650,cust0506
rnt0314,prd0707,cust0626
rnt0315,prd0001,cust0878
rnt0316,prd0564,cust0092
rnt0317,prd0108,cust0571
rnt0318,prd0418,cust0353
rnt0319,prd0292,cust0623
rnt0320,prd0468,cust0218
rnt0321,prd0403,cust0787
rnt0322,prd0636,cust0435
rnt0323,prd0102,cust0173
rnt0324,prd0338,cust0612
rnt0325,prd0253,cust0229
rnt0326,prd0970,cust0631
rnt0327,prd0649,cust0216
rnt0328,prd0807,cust0507
rnt0329,prd0268,cust0627
rnt0330,prd0389,cust0667
rnt0331,prd0893,cust0115
rnt0332,prd0032,cust0745
rnt0333,prd0004,cust0556
rnt0334,prd0718,cust0839
rnt0335,prd0551,cust0475
rnt0336,prd0765,cust0648
rnt0337,prd0568,cust0402
rnt0338,prd0401,cust0204
rnt0339,prd0926,cust0895
rnt0340,prd0458,cust0725
rnt0341,prd0331,cust0303
rnt0342,prd0799,cust0963
rnt0343,prd0325,cust0378
rnt0344,prd0060,cust0064
rnt0345,prd0210,cust0538
rnt0346,prd0589,cust0590
rnt0347,prd0893,cust0208
rnt0348,prd0359,cust0340
rnt0349,prd0517,cust0599
rnt0350,prd0042,cust0367
rnt0351,prd0852,cust0804
rnt0352,prd0054,cust0937
rnt0353,prd0042,cust0697
rnt0354,prd0965,cust0501
rnt0355,prd0500,cust0368
rnt0356,prd0280,cust0881
rnt0357,prd0946,cust0253
rnt0358,prd0327,cust0655
rnt0359,prd0741,cust0519
rnt0360,prd0799,cust0488
rnt0361,prd0752,cust0881
rnt0362,prd0941,cust0569
rnt0363,prd0603,cust0335
rnt0364,prd0114,cust0622
rnt0365,prd0381,cust0105
rnt0366,prd0501,cust0143
rnt0367,prd0212,cust0608
rnt0368,prd0828,cust0594
rnt0369,prd0431,cust0595
rnt0370,prd0565,cust0691
rnt0371,prd0212,cust0262
rnt0372,prd0241,cust0518
rnt0373,prd0678,cust0423
rnt0374,prd0562,cust0937
rnt0375,prd0401,cust0056
rnt0376,prd0083,cust0946
rnt0377,prd0582,cust0242
rnt0378,prd0636,cust0688
rnt0379,prd0906,cust0396
rnt0380,prd0141,cust0721
rnt0381,prd0897,cust0206
rnt0382,prd0136,cust0487
rnt0383,prd0322,cust0161
rnt0384,prd0246,cust0313
rnt0385,prd0408,cust0097
rnt0386,prd0774,cust0101
rnt0387,prd0045,cust0878
rnt0388,prd0322,cust0855
rnt0389,prd0382,cust0560
rnt0390,prd0216,cust0388
rnt0391,prd0804,cust0149
rnt0392,prd0357,cust0157
rnt0393,prd0896,cust0425
rnt0394,prd0363,cust0988
rnt0395,prd0197,cust0606
rnt0396,prd0704,cust0377
rnt0397,prd0795,cust0424
rnt0398,prd0428,cust0080
rnt0399,prd0812,cust0560
rnt0400,prd0209,cust0570
rnt0401,prd0485,cust0920
rnt0402,prd0946,cust0922
rnt0403,prd0814,cust0810
rnt0404,prd0534,cust0218
rnt0405,prd0244,cust0227
rnt0406,prd0836,cust0398
rnt0407,prd0860,cust0501
rnt0408,prd0231,cust0417
rnt0409,prd0005,cust0665
rnt0410,prd0134,cust0682
rnt0411,prd0182,cust0948
rnt0412,prd0581,cust0312
rnt0413,prd0336,cust0556
rnt0414,prd0280,cust0879
rnt0415,prd0530,cust0551
rnt0416,prd0006,cust0707
rnt0417,prd0357,cust0600
rnt0418,prd0564,cust0636
rnt0419,prd0335,cust0829
rnt0420,prd0643,cust0253
rnt0421,prd0475,cust0555
rnt0422,prd0940,cust0424
rnt0423,prd0056,cust0306
rnt0424,prd0507,cust0604
rnt0425,prd0712,cust0914
rnt0426,prd0346,cust0061
rnt0427,prd0781,cust0964
rnt0428,prd0961,cust0103
rnt0429,prd0715,cust0563
rnt0430,prd0178,cust0194
rnt0431,prd0087,cust0525
rnt0432,prd0342,cust0395
rnt0433,prd0309,cust0364
rnt0434,prd0997,cust0771
rnt0435,prd0351,cust0468
rnt0436,prd0734,cust0623
rnt0437,prd0864,cust0635
rnt0438,prd0495,cust0895
rnt0439,prd0995,cust0750
rnt0440,prd0750,cust0344
rnt0441,prd0585,cust0395
rnt0442,prd0804,cust0883
rnt0443,prd0839,cust0811
rnt0444,prd0530,cust0094
rnt0445,prd0454,cust0055
rnt0446,prd0632,cust0547
rnt0447,prd0978,cust0300
rnt0448,prd0693,cust0265
rnt0449,prd0321,cust0724
rnt0450,prd0855,cust0651
rnt0451,prd0449,cust0453
rnt0452,prd0254,cust0134
rnt0453,prd0196,cust0504
rnt0454,prd0093,cust0978
rnt0455,prd0265,cust0841
rnt0456,prd0416,cust0380
rnt0457,prd0132,cust0652
rnt0458,prd0458,cust0009
rnt0459,prd0761,cust0844
rnt0460,prd0385,cust0952
rnt0461,prd0935,cust0492
rnt0462,prd0262,cust0942
rnt0463,prd0829,cust0907
rnt0464,prd0269,cust0335
rnt0465,prd0666,cust0408
rnt0466,prd0829,cust0227
rnt0467,prd0043,cust0503
rnt0468,prd0082,cust0106
rnt0469,prd0376,cust0245
rnt0470,prd0551,cust0906
rnt0471,prd0866,cust0074
rnt0472,prd0677,cust0624
rnt0473,prd0366,cust0876
rnt0474,prd0190,cust0749
rnt0475,prd0893,cust0940
rnt0476,prd0127,cust0783
rnt0477,prd0185,cust0135
rnt0478,prd0785,cust0374
rnt0479,prd0881,cust0282
rnt0480,prd0315,cust0921
rnt0481,prd0130,cust0359
rnt0482,prd0913,cust0103
rnt0483,prd0800,cust0614
rnt0484,prd0969,cust0468
rnt0485,prd0388,cust0409
rnt0486,prd0467,cust0272
rnt0487,prd0734,cust0577
rnt0488,prd0359,cust0715
rnt0489,prd0428,cust0951
rnt0490,prd0049,cust0503
rnt0491,prd0512,cust0161
rnt0492,prd0333,cust0570
rnt0493,prd0408,cust0262
rnt0494,prd0043,cust0706
rnt0495,prd0417,cust0474
rnt0496,prd0405,cust0352
rnt0497,prd0792,cust0329
rnt0498,prd0581,cust0025
rnt0499,prd0798,cust0705
rnt0500,prd0453,cust0999
rnt0501,prd0103,cust0329
rnt0502,prd0409,cust0020
rnt0503,prd0038,cust0612
rnt0504,prd0540,cust0710
rnt0505,prd0372,cust0324
rnt0506,prd0176,cust0901
rnt0507,prd0316,cust0105
rnt0508,prd0364,cust0038
rnt0509,prd0344,cust0855
rnt0510,prd0044,cust0369
rnt0511,prd0971,cust0170
rnt0512,prd0702,cust0056
rnt0513,prd0675,cust0491
rnt0514,prd0553,cust0815
rnt0515,prd0628,cust0811
rnt0516,prd0581,cust0890
rnt0517,prd0819,cust0787
rnt0518,prd0897,cust0769
rnt0519,prd0120,cust0564
rnt0520,prd0884,cust0411
rnt0521,prd0774,cust0614
rnt0522,prd0067,cust0129
rnt0523,prd0976,cust0445
rnt0524,prd0231,cust0091
rnt0525,prd0908,cust0966
rnt0526,prd0977,cust0328
rnt0527,prd0540,cust0141
rnt0528,prd0522,cust0433
rnt0529,prd0942,cust0555
rnt0530,prd0502,cust0022
rnt0531,prd0037,cust0423
rnt0532,prd0173,cust0161
rnt0533,prd0618,cust0728
rnt0534,prd0686,cust0374
rnt0535,prd0472,cust0018
rnt0536,prd0764,cust0250
rnt0537,prd0719,cust0439
rnt0538,prd0189,cust0023
rnt0539,prd0694,cust0536
rnt0540,prd0036,cust0130
rnt0541,prd0838,cust0667
rnt0542,prd0436,cust0477
rnt0543,prd0515,cust0976
rnt0544,prd0437,cust0961
rnt0545,prd0457,cust0242
rnt0546,prd0272,cust0515
rnt0547,prd0734,cust0075
rnt0548,prd0258,cust0269
rnt0549,prd0800,cust0018
rnt0550,prd0834,cust0021
rnt0551,prd0479,cust0409
rnt0552,prd0650,cust0755
rnt0553,prd0830,cust0430
rnt0554,prd0999,cust0106
rnt0555,prd0360,cust0537
rnt0556,prd0525,cust0252
rnt0557,prd0523,cust0486
rnt0558,prd0303,cust0438
rnt0559,prd0495,cust0014
rnt0560,prd0107,cust0643
rnt0561,prd0532,cust0607
rnt0562,prd0451,cust0007
rnt0563,prd0146,cust0288
rnt0564,prd0367,cust0204
rnt0565,prd0239,cust0016
rnt0566,prd0517,cust0885
rnt0567,prd0765,cust0193
rnt0568,prd0270,cust0181
rnt0569,prd0645,cust0808
rnt0570,prd0828,cust0861
rnt0571,prd0476,cust0600
rnt0572,prd0554,cust0412
rnt0573,prd0062,cust0973
rnt0574,prd0016,cust0473
rnt0575,prd0081,cust0754
rnt0576,prd0619,cust0039
rnt0577,prd0782,cust0129
rnt0578,prd0543,cust0069
rnt0579,prd0979,cust0583
rnt0580,prd0937,cust0759
rnt0581,prd0541,cust0496
rnt0582,prd0113,cust0110
rnt0583,prd0859,cust0257
rnt0584,prd0712,cust0261
rnt0585,prd0300,cust0590
rnt0586,prd0099,cust0098
rnt0587,prd0232,cust0280
rnt0588,prd0496,cust0163
rnt0589,prd0898,cust0908
rnt0590,prd0761,cust0441
rnt0591,prd0512,cust0895
rnt0592,prd0336,cust0861
rnt0593,prd0908,cust0147
rnt0594,prd0453,cust0325
rnt0595,prd0821,cust0971
rnt0596,prd0012,cust0975
rnt0597,prd0322,cust0496
rnt0598,prd0508,cust0805
rnt0599,prd0569,cust0949
rnt0600,prd0714,cust0147
rnt0601,prd0160,cust0947
rnt0602,prd0523,cust0973
rnt0603,prd0557,cust0081
rnt0604,prd0406,cust0385
rnt0605,prd0166,cust0159
rnt0606,prd0169,cust0199
rnt0607,prd0995,cust0888
rnt0608,prd0080,cust0741
rnt0609,prd0680,cust0215
rnt0610,prd0308,cust0955
rnt0611,prd0728,cust0107
rnt0612,prd0402,cust0177
rnt0613,prd0930,cust0917
rnt0614,prd0678,cust0477
rnt0615,prd0484,cust0159
rnt0616,prd0922,cust0486
rnt0617,prd0166,cust0822
rnt0618,prd0821,cust0120
rnt0619,prd0440,cust0296
rnt0620,prd0712,cust0710
rnt0621,prd0992,cust0321
rnt0622,prd0277,cust0093
rnt0623,prd0987,cust0439
rnt0624,prd0824,cust0230
rnt0625,prd0290,cust0599
rnt0626,prd0428,cust0736
rnt0627,prd0813,cust0363
rnt0628,prd0586,cust0316
rnt0629,prd0509,cust0807
rnt0630,prd0691,cust0922
rnt0631,prd0027,cust0728
rnt0632,prd0193,cust0658
rnt0633,prd0412,cust0046
rnt0634,prd0064,cust0066
rnt0635,prd0923,cust0776
rnt0636,prd0896,cust0754
rnt0637,prd0349,cust0094
rnt0638,prd0416,cust0750
rnt0639,prd0046,cust0165
rnt0640,prd0575,cust0809
rnt0641,prd0067,cust0991
rnt0642,prd0611,cust0736
rnt0643,prd0740,cust0534
rnt0644,prd0285,cust0215
rnt0645,prd0597,cust0942
rnt0646,prd0356,cust0643
rnt0647,prd0108,cust0538
rnt0648,prd0946,cust0910
rnt0649,prd0524,cust0776
rnt0650,prd0447,cust0853
rnt0651,prd0084,cust0377
rnt0652,prd0013,cust0498
rnt0653,prd0920,cust0755
rnt0654,prd0622,cust0137
rnt0655,prd0692,cust0295
rnt0656,prd0082,cust0034
rnt0657,prd0522,cust0204
rnt0658,prd0771,cust0309
rnt0659,prd0176,cust0249
rnt0660,prd0012,cust0740
rnt0661,prd0349,cust0996
rnt0662,prd0645,cust0853
rnt0663,prd0265,cust0745
rnt0664,prd0227,cust0038
rnt0665,prd0574,cust0562
rnt0666,prd0879,cust0746
rnt0667,prd0425,cust0765
rnt0668,prd0909,cust0020
rnt0669,prd0938,cust0638
rnt0670,prd0680,cust0454
rnt0671,prd0848,cust0540
rnt0672,prd0730,cust0666
rnt0673,prd0373,cust0631
rnt0674,prd0778,cust0227
rnt0675,prd0786,cust0419
rnt0676,prd0883,cust0931
rnt0677,prd0406,cust0744
rnt0678,prd0019,cust0792
rnt0679,prd0161,cust0900
rnt0680,prd0036,cust0244
rnt0681,prd0547,cust0124
rnt0682,prd0055,cust0261
rnt0683,prd0168,cust0773
rnt0684,prd0819,cust0234
rnt0685,prd0555,cust0578
rnt0686,prd0465,cust0775
rnt0687,prd0935,cust0647
rnt0688,prd0057,cust0929
rnt0689,prd0507,cust0644
rnt0690,prd0549,cust0000
rnt0691,prd0900,cust0741
rnt0692,prd0670,cust0825
rnt0693,prd0382,cust0285
rnt0694,prd0570,cust0793
rnt0695,prd0957,cust0928
rnt0696,prd0227,cust0117
rnt0697,prd0505,cust0885
rnt0698,prd0318,cust0177
rnt0699,prd0707,cust0777
rnt0700,prd0929,cust0349
rnt0701,prd0985,cust0581
rnt0702,prd0086,cust0946
rnt0703,prd0390,cust0822
rnt0704,prd0688,cust0509
rnt0705,prd0658,cust0966
rnt0706,prd0800,cust0771
rnt0707,prd0809,cust0471
rnt0708,prd0438,cust0616
rnt0709,prd0524,cust0595
rnt0710,prd0251,cust0501
rnt0711,prd0226,cust0741
rnt0712,prd0198,cust0939
rnt0713,prd0269,cust0171
rnt0714,prd0840,cust0128
rnt0715,prd0100,cust0914
rnt0716,prd0688,cust0442
rnt0717,prd0642,cust0974
rnt0718,prd0839,cust0563
rnt0719,prd0094,cust0512
rnt0720,prd0448,cust0610
rnt0721,prd0101,cust0586
rnt0722,prd0195,cust0136
rnt0723,prd0479,cust0922
rnt0724,prd0616,cust0586
rnt0725,prd0816,cust0963
rnt0726,prd0632,cust0467
rnt0727,prd0552,cust0034
rnt0728,prd0715,cust0175
rnt0729,prd0057,cust0745
rnt0730,prd0927,cust0366
rnt0731,prd0791,cust0110
rnt0732,prd0306,cust0111
rnt0733,prd0924,cust0880
rnt0734,prd0770,cust0451
rnt0735,prd0017,cust0779
rnt0736,prd0968,cust0727
rnt0737,prd0474,cust0620
rnt0738,prd0995,cust0057
rnt0739,prd0677,cust0094
rnt0740,prd0830,cust0430
rnt0741,prd0408,cust0611
rnt0742,prd0419,cust0935
rnt0743,prd0876,cust0790
rnt0744,prd0953,cust0724
rnt0745,prd0611,cust0784
rnt0746,prd0122,cust0290
rnt0747,prd0978,cust0346
rnt0748,prd0456,cust0139
rnt0749,prd0570,cust0948
rnt0750,prd0631,cust0230
rnt0751,prd0141,cust0422
rnt0752,prd0320,cust0620
rnt0753,prd0909,cust0347
rnt0754,prd0517,cust0490
rnt0755,prd0432,cust0672
rnt0756,prd0327,cust0691
rnt0757,prd0439,cust0578
rnt0758,prd0530,cust0786
rnt0759,prd0340,cust0592
rnt0760,prd0082,cust0023
rnt0761,prd0533,cust0178
rnt0762,prd0941,cust0811
rnt0763,prd0986,cust0710
rnt0764,prd0520,cust0987
rnt0765,prd0891,cust0378
rnt0766,prd0510,cust0283
rnt0767,prd0309,cust0927
rnt0768,prd0462,cust0534
rnt0769,prd0046,cust0628
rnt0770,prd0379,cust0850
rnt0771,prd0998,cust0319
rnt0772,prd0304,cust0368
rnt0773,prd0068,cust0017
rnt0774,prd0228,cust0698
rnt0775,prd0313,cust0434
rnt0776,prd0162,cust0873
rnt0777,prd0342,cust0421
rnt0778,prd0280,cust0790
rnt0779,prd0465,cust0777
rnt0780,prd0823,cust0325
rnt0781,prd0050,cust0981
rnt0782,prd0273,cust0939
rnt0783,prd0112,cust0460
rnt0784,prd0663,cust0662
rnt0785,prd0437,cust0986
rnt0786,prd0101,cust0950
rnt0787,prd0973,cust0309
rnt0788,prd0186,cust0161
rnt0789,prd0197,cust0252
rnt0790,prd0773,cust0063
rnt0791,prd0018,cust0869
rnt0792,prd0915,cust0743
rnt0793,prd0801,cust0010
rnt0794,prd0530,cust0994
rnt0795,prd0109,cust0731
rnt0796,prd0919,cust0660
rnt0797,prd0588,cust0515
rnt0798,prd0378,cust0434
rnt0799,prd0625,cust0052
rnt0800,prd0528,cust0009
rnt0801,prd0088,cust0843
rnt0802,prd0272,cust0477
rnt0803,prd0874,cust0501
rnt0804,prd0688,cust0980
rnt0805,prd0148,cust0064
rnt0806,prd0415,cust0537
rnt0807,prd0368,cust0165
rnt0808,prd0980,cust0848
rnt0809,prd0936,cust0779
rnt0810,prd0061,cust0623
rnt0811,prd0466,cust0387
rnt0812,prd0009,cust0386
rnt0813,prd0474,cust0965
rnt0814,prd0715,cust0039
rnt0815,prd0225,cust0282
rnt0816,prd0504,cust0299
rnt0817,prd0912,cust0854
rnt0818,prd0963,cust0058
rnt0819,prd0600,cust0929
rnt0820,prd0791,cust0424
rnt0821,prd0545,cust0968
rnt0822,prd0766,cust0629
rnt0823,prd0126,cust0591
rnt0824,prd0341,cust0923
rnt0825,prd0808,cust0727
rnt0826,prd0877,cust0331
rnt0827,prd0040,cust0402
rnt0828,prd0745,cust0727
rnt0829,prd0965,cust0458
rnt0830,prd0850,cust0068
rnt0831,prd0614,cust0161
rnt0832,prd0101,cust0043
rnt0833,prd0728,cust0310
rnt0834,prd0499,cust0171
rnt0835,prd0281,cust0965
rnt0836,prd0919,cust0000
rnt0837,prd0455,cust0084
rnt0838,prd0963,cust0334
rnt0839,prd0209,cust0914
rnt0840,prd0073,cust0416
rnt0841,prd0853,cust0163
rnt0842,prd0532,cust0802
rnt0843,prd0878,cust0383
rnt0844,prd0306,cust0255
rnt0845,prd0304,cust0367
rnt0846,prd0586,cust0146
rnt0847,prd0788,cust0359
rnt0848,prd0036,cust0929
rnt0849,prd0675,cust0960
rnt0850,prd0353,cust0667
rnt0851,prd0310,cust0233
rnt0852,prd0392,cust0752
rnt0853,prd0112,cust0649
rnt0854,prd0586,cust0714
rnt0855,prd0652,cust0852
rnt0856,prd0363,cust0476
rnt0857,prd0375,cust0301
rnt0858,prd0578,cust0313
rnt0859,prd0832,cust0836
rnt0860,prd0221,cust0027
rnt0861,prd0122,cust0143
rnt0862,prd0856,cust0866
rnt0863,prd0813,cust0351
rnt0864,prd0852,cust0680
rnt0865,prd0364,cust0721
rnt0866,prd0253,cust0686
rnt0867,prd0070,cust0643
rnt0868,prd0857,cust0658
rnt0869,prd0243,cust0735
rnt0870,prd0993,cust0789
rnt0871,prd0195,cust0834
rnt0872,prd0778,cust0231
rnt0873,prd0722,cust0362
