rental_id,product_id,customer_id,amount,time,price,total
R00122,P82975,C00122,43,22,234,221364
R00123,P95533,C00123,31,281,196,1707356
R00124,P13021,C00124,19,279,30,159030
R00125,P31445,C00125,37,160,375,2220000
R00126,P31744,C00126,87,40,420,1461600
R00127,P70757,C00127,73,294,163,3498306
R00128,P65714,C00128,93,107,317,3154467
R00129,P5185,C00129,73,82,13,77818
R00130,P30657,C00130,79,356,457,12852668
R00131,P50735,C00131,0,346,463,0
R00132,P90034,C00132,88,138,181,2198064
R00133,P51142,C00133,39,26,237,240318
R00134,P19662,C00134,10,90,153,137700
R00135,P86601,C00135,30,326,256,2503680
R00136,P78811,C00136,12,333,146,583416
R00137,P39975,C00137,31,5,291,45105
R00138,P47557,C00138,64,212,318,4314624
R00139,P79115,C00139,32,78,50,124800
R00140,P53064,C00140,38,64,488,1186816
R00141,P43545,C00141,59,118,315,2193030
R00142,P78591,C00142,18,102,78,143208
R00143,P40944,C00143,23,165,432,1639440
R00144,P86709,C00144,49,64,92,288512
R00145,P79322,C00145,52,233,176,2132416
R00146,P19976,C00146,89,28,64,159488
R00147,P56001,C00147,23,248,219,1249176
R00148,P56258,C00148,2,180,310,111600
R00149,P91192,C00149,57,179,288,2938464
R00150,P39060,C00150,43,317,337,4593647
R00151,P15229,C00151,53,351,120,2232360
R00152,P2377,C00152,44,97,391,1668788
R00153,P53475,C00153,38,163,193,1195442
R00154,P6305,C00154,27,261,5,35235
R00155,P69732,C00155,48,315,92,1391040
R00156,P29580,C00156,74,297,494,10857132
R00157,P4195,C00157,21,112,460,1081920
R00158,P27886,C00158,67,40,426,1141680
R00159,P44733,C00159,42,320,190,2553600
R00160,P41563,C00160,46,110,7,35420
R00161,P15392,C00161,2,365,64,46720
R00162,P29686,C00162,53,126,217,1449126
R00163,P89252,C00163,72,137,313,3087432
R00164,P11608,C00164,71,247,117,2051829
R00165,P79774,C00165,52,232,168,2026752
R00166,P83895,C00166,83,221,283,5191069
R00167,P69478,C00167,88,141,462,5732496
R00168,P44348,C00168,93,180,227,3799980
R00169,P47619,C00169,2,47,376,35344
R00170,P11769,C00170,71,292,356,7380592
R00171,P53308,C00171,85,189,242,3887730
R00172,P91131,C00172,17,244,430,1783640
R00173,P66744,C00173,34,246,207,1731348
R00174,P83601,C00174,72,11,20,15840
R00175,P56581,C00175,89,350,297,9251550
R00176,P67818,C00176,45,191,447,3841965
R00177,P49213,C00177,47,6,128,36096
R00178,P18698,C00178,17,189,136,436968
R00179,P27677,C00179,66,62,388,1587696
R00180,P75998,C00180,6,75,109,49050
R00181,P76222,C00181,88,50,301,1324400
R00182,P5814,C00182,30,346,405,4203900
R00183,P32985,C00183,13,159,464,959088
R00184,P65363,C00184,96,0,328,0
R00185,P49369,C00185,63,347,150,3279150
R00186,P14526,C00186,45,112,387,1950480
R00187,P82528,C00187,54,272,403,5919264
R00188,P51459,C00188,15,194,1,2910
R00189,P25412,C00189,74,183,223,3019866
R00190,P18664,C00190,81,77,404,2519748
R00191,P57791,C00191,86,225,22,425700
R00192,P36622,C00192,89,196,17,296548
R00193,P36363,C00193,34,240,126,1028160
R00194,P56560,C00194,26,349,189,1714986
R00195,P74528,C00195,87,156,244,3311568
R00196,P80526,C00196,58,328,160,3043840
R00197,P93707,C00197,75,189,372,5273100
R00198,P63780,C00198,67,295,78,1541670
R00199,P77913,C00199,86,23,230,454940
R00200,P76625,C00200,2,313,480,300480
R00201,P70114,C00201,42,146,109,668388
R00202,P55431,C00202,24,265,67,426120
R00203,P58629,C00203,44,344,390,5903040
R00204,P27666,C00204,34,362,439,5403212
R00205,P10080,C00205,50,315,496,7812000
R00206,P95717,C00206,1,32,339,10848
R00207,P92536,C00207,50,57,443,1262550
R00208,P26442,C00208,54,111,436,2613384
R00209,P98841,C00209,100,97,219,2124300
R00210,P99475,C00210,71,322,321,7338702
R00211,P52534,C00211,42,321,419,5648958
R00212,P79960,C00212,66,19,437,547998
R00213,P37832,C00213,74,248,352,6459904
R00214,P65936,C00214,63,340,240,5140800
R00215,P30882,C00215,59,185,269,2936135
R00216,P53723,C00216,57,60,317,1084140
R00217,P61196,C00217,40,40,40,64000
R00218,P16803,C00218,86,67,309,1780458
R00219,P10185,C00219,80,99,54,427680
R00220,P56780,C00220,79,353,327,9119049
R00221,P62049,C00221,33,53,141,246609
R00222,P61557,C00222,11,223,211,517583
R00223,P86746,C00223,31,117,184,667368
R00224,P24887,C00224,8,119,179,170408
R00225,P63167,C00225,67,101,115,778205
R00226,P49684,C00226,3,86,465,119970
R00227,P26554,C00227,95,83,87,685995
R00228,P72482,C00228,26,63,185,303030
R00229,P48741,C00229,12,132,468,741312
R00230,P54628,C00230,52,129,131,878748
R00231,P94203,C00231,57,85,169,818805
R00232,P79077,C00232,29,91,6,15834
R00233,P21007,C00233,56,11,445,274120
R00234,P3757,C00234,98,118,89,1029196
R00235,P26703,C00235,80,343,56,1536640
R00236,P24101,C00236,78,95,272,2015520
R00237,P81588,C00237,80,238,277,5274080
R00238,P61531,C00238,60,209,315,3950100
R00239,P10443,C00239,91,13,291,344253
R00240,P32061,C00240,39,297,98,1135134
R00241,P1692,C00241,41,32,118,154816
R00242,P48886,C00242,88,124,340,3710080
R00243,P75322,C00243,45,331,241,3589695
R00244,P61611,C00244,57,33,137,257697
R00245,P3094,C00245,55,273,431,6471465
R00246,P37200,C00246,58,204,169,1999608
R00247,P72743,C00247,99,177,77,1349271
R00248,P64621,C00248,24,323,310,2403120
R00249,P10846,C00249,79,117,386,3567798
R00250,P6219,C00250,84,350,38,1117200
R00251,P12235,C00251,1,68,88,5984
R00252,P51538,C00252,20,140,330,924000
R00253,P97473,C00253,94,262,9,221652
R00254,P54094,C00254,8,175,299,418600
R00255,P83413,C00255,10,310,199,616900
R00256,P89070,C00256,34,116,353,1392232
R00257,P71231,C00257,81,64,295,1529280
R00258,P99549,C00258,90,264,387,9195120
R00259,P34712,C00259,60,364,205,4477200
R00260,P39334,C00260,59,252,406,6036408
R00261,P60803,C00261,37,260,500,4810000
R00262,P46115,C00262,97,126,126,1539972
R00263,P93971,C00263,6,310,367,682620
R00264,P97477,C00264,14,91,398,507052
R00265,P51299,C00265,78,315,417,10245690
R00266,P42821,C00266,95,30,300,855000
R00267,P99308,C00267,89,72,393,2518344
R00268,P60973,C00268,43,301,439,5681977
R00269,P52011,C00269,89,189,380,6391980
R00270,P8475,C00270,50,50,344,860000
R00271,P32071,C00271,58,94,374,2039048
R00272,P97356,C00272,95,15,316,450300
R00273,P16604,C00273,83,243,119,2400111
R00274,P88869,C00274,27,299,247,1994031
R00275,P19176,C00275,82,324,156,4144608
R00276,P23414,C00276,23,65,271,405145
R00277,P17778,C00277,97,360,329,11488680
R00278,P43886,C00278,21,278,193,1126734
R00279,P79976,C00279,88,339,103,3072696
R00280,P26886,C00280,68,119,45,364140
R00281,P35432,C00281,27,273,365,2690415
R00282,P81192,C00282,45,310,92,1283400
R00283,P74856,C00283,83,199,245,4046665
R00284,P45242,C00284,76,285,6,129960
R00285,P50525,C00285,58,343,408,8116752
R00286,P65136,C00286,33,68,263,590172
R00287,P19711,C00287,90,267,433,10404990
R00288,P6991,C00288,85,203,484,8351420
R00289,P94823,C00289,87,164,180,2568240
R00290,P54242,C00290,4,125,54,27000
R00291,P92542,C00291,67,295,368,7273520
R00292,P76669,C00292,53,79,449,1879963
R00293,P40649,C00293,95,136,133,1718360
R00294,P19327,C00294,57,180,424,4350240
R00295,P40414,C00295,5,300,221,331500
R00296,P32740,C00296,56,223,207,2585016
R00297,P34006,C00297,36,310,133,1484280
R00298,P33670,C00298,15,360,366,1976400
R00299,P18952,C00299,74,183,63,853146
R00300,P64342,C00300,4,238,219,208488
R00301,P93123,C00301,4,58,99,22968
R00302,P63457,C00302,22,166,77,281204
R00303,P34793,C00303,59,255,204,3069180
R00304,P38699,C00304,46,298,314,4304312
R00305,P85605,C00305,14,14,147,28812
R00306,P33837,C00306,48,163,21,164304
R00307,P99582,C00307,35,292,74,756280
R00308,P79359,C00308,13,93,14,16926
R00309,P56187,C00309,64,184,286,3367936
R00310,P80226,C00310,6,45,34,9180
R00311,P6584,C00311,30,108,299,968760
R00312,P2138,C00312,71,60,229,975540
R00313,P56061,C00313,55,163,44,394460
R00314,P60671,C00314,53,206,336,3668448
R00315,P17098,C00315,88,224,293,5775616
R00316,P80212,C00316,29,272,441,3478608
R00317,P31813,C00317,64,129,346,2856576
R00318,P83006,C00318,73,89,209,1357873
R00319,P62540,C00319,40,172,466,3206080
R00320,P68346,C00320,97,194,183,3443694
R00321,P36519,C00321,45,177,252,2007180
R00322,P65863,C00322,33,13,30,12870
R00323,P25626,C00323,48,267,82,1050912
R00324,P33838,C00324,76,164,308,3838912
R00325,P77413,C00325,23,181,307,1278041
R00326,P75733,C00326,83,311,249,6427437
R00327,P53561,C00327,16,283,365,1652720
R00328,P59296,C00328,22,50,206,226600
R00329,P66959,C00329,25,116,223,646700
R00330,P39658,C00330,14,206,256,738304
R00331,P37988,C00331,59,225,1,13275
R00332,P36818,C00332,50,23,22,25300
R00333,P24104,C00333,10,232,181,419920
R00334,P1357,C00334,52,220,131,1498640
R00335,P76257,C00335,96,74,442,3139968
R00336,P14783,C00336,93,265,216,5323320
R00337,P71382,C00337,42,29,196,238728
R00338,P26324,C00338,22,338,363,2699268
R00339,P55532,C00339,60,145,449,3906300
R00340,P34571,C00340,19,47,54,48222
R00341,P96130,C00341,52,144,73,546624
R00342,P63934,C00342,31,218,241,1628678
R00343,P91423,C00343,5,166,192,159360
R00344,P30551,C00344,46,37,307,522514
R00345,P85151,C00345,84,114,239,2288664
R00346,P92623,C00346,93,235,494,10796370
R00347,P34421,C00347,77,283,254,5534914
R00348,P18168,C00348,55,237,89,1160115
R00349,P54356,C00349,31,197,24,146568
R00350,P6457,C00350,91,228,128,2655744
R00351,P72974,C00351,52,160,496,4126720
R00352,P52328,C00352,89,56,266,1325744
R00353,P73127,C00353,99,184,235,4280760
R00354,P73607,C00354,92,87,43,344172
R00355,P34103,C00355,91,252,55,1261260
R00356,P15983,C00356,71,135,465,4457025
R00357,P77354,C00357,49,181,103,913507
R00358,P71526,C00358,72,40,314,904320
R00359,P90538,C00359,65,198,467,6010290
R00360,P29047,C00360,42,235,430,4244100
R00361,P46018,C00361,67,48,454,1460064
R00362,P84648,C00362,16,188,489,1470912
R00363,P70822,C00363,35,288,340,3427200
R00364,P28532,C00364,14,17,298,70924
R00365,P7979,C00365,64,32,90,184320
R00366,P53244,C00366,44,249,315,3451140
R00367,P54852,C00367,42,141,388,2297736
R00368,P81949,C00368,59,177,222,2318346
R00369,P42781,C00369,50,231,181,2090550
R00370,P49458,C00370,83,228,182,3444168
R00371,P53107,C00371,72,263,143,2707848
R00372,P55098,C00372,68,127,413,3566668
R00373,P12734,C00373,87,44,498,1906344
R00374,P15447,C00374,5,120,410,246000
R00375,P20071,C00375,70,189,415,5490450
R00376,P63486,C00376,63,172,125,1354500
R00377,P70361,C00377,59,101,300,1787700
R00378,P70400,C00378,2,235,294,138180
R00379,P40266,C00379,91,333,495,14999985
R00380,P22826,C00380,56,5,41,11480
R00381,P62362,C00381,2,66,23,3036
R00382,P36798,C00382,93,71,397,2621391
R00383,P57904,C00383,79,330,106,2763420
R00384,P86883,C00384,83,58,14,67396
R00385,P27779,C00385,78,166,145,1877460
R00386,P15527,C00386,67,342,231,5293134
R00387,P93081,C00387,41,248,287,2918216
R00388,P2200,C00388,3,318,97,92538
R00389,P94347,C00389,57,103,492,2888532
R00390,P22349,C00390,20,137,497,1361780
R00391,P49439,C00391,83,298,410,10140940
R00392,P4686,C00392,95,215,310,6331750
R00393,P56539,C00393,77,333,432,11076912
R00394,P20150,C00394,90,149,167,2239470
R00395,P48997,C00395,40,80,366,1171200
R00396,P8498,C00396,78,168,418,5477472
R00397,P3272,C00397,66,175,211,2437050
R00398,P88243,C00398,2,181,347,125614
R00399,P77655,C00399,67,257,468,8058492
R00400,P65662,C00400,23,316,440,3197920
R00401,P31573,C00401,35,206,453,3266130
R00402,P43340,C00402,44,264,353,4100448
R00403,P21956,C00403,42,108,263,1192968
R00404,P19868,C00404,15,110,330,544500
R00405,P96533,C00405,71,123,278,2427774
R00406,P4600,C00406,82,139,264,3009072
R00407,P53882,C00407,25,53,34,45050
R00408,P30003,C00408,87,224,377,7346976
R00409,P39192,C00409,13,12,188,29328
R00410,P26005,C00410,39,22,383,328614
R00411,P44173,C00411,22,193,367,1558282
R00412,P77174,C00412,32,140,467,2092160
R00413,P698,C00413,99,182,416,7495488
R00414,P5449,C00414,18,70,93,117180
R00415,P90643,C00415,45,125,408,2295000
R00416,P55888,C00416,29,288,289,2413728
R00417,P54788,C00417,55,84,165,762300
R00418,P14137,C00418,83,147,380,4636380
R00419,P20148,C00419,34,136,95,439280
R00420,P23282,C00420,69,91,111,696969
R00421,P60796,C00421,67,55,167,615395
R00422,P76849,C00422,60,277,256,4254720
R00423,P46369,C00423,58,79,424,1942768
R00424,P41273,C00424,80,136,128,1392640
R00425,P23431,C00425,38,192,176,1284096
R00426,P59896,C00426,27,148,443,1770228
R00427,P72649,C00427,60,235,381,5372100
R00428,P47066,C00428,90,127,82,937260
R00429,P40792,C00429,37,269,484,4817252
R00430,P82632,C00430,67,87,433,2523957
R00431,P65653,C00431,19,90,301,514710
R00432,P25622,C00432,8,229,50,91600
R00433,P77466,C00433,11,134,341,502634
R00434,P75474,C00434,84,190,451,7197960
R00435,P71109,C00435,76,160,278,3380480
R00436,P88495,C00436,80,44,204,718080
R00437,P50696,C00437,49,16,363,284592
R00438,P27402,C00438,55,239,464,6099280
R00439,P56006,C00439,6,103,329,203322
R00440,P97905,C00440,50,335,119,1993250
R00441,P92961,C00441,87,25,301,654675
R00442,P65369,C00442,62,177,272,2984928
R00443,P55237,C00443,12,84,155,156240
R00444,P19957,C00444,65,205,148,1972100
R00445,P48490,C00445,23,319,402,2949474
R00446,P51042,C00446,50,76,76,288800
R00447,P85795,C00447,36,104,31,116064
R00448,P52146,C00448,90,296,128,3409920
R00449,P98505,C00449,32,267,96,820224
R00450,P44514,C00450,65,107,144,1001520
R00451,P42225,C00451,71,314,349,7780606
R00452,P53717,C00452,26,95,184,454480
R00453,P9679,C00453,85,115,461,4506275
R00454,P20046,C00454,39,143,301,1678677
R00455,P78308,C00455,93,165,342,5247990
R00456,P44418,C00456,91,158,154,2214212
R00457,P50175,C00457,38,103,230,900220
R00458,P26448,C00458,95,88,425,3553000
R00459,P8280,C00459,74,191,467,6600578
R00460,P70229,C00460,89,192,245,4186560
R00461,P15744,C00461,41,147,77,464079
R00462,P84991,C00462,96,356,86,2939136
R00463,P4411,C00463,74,142,220,2311760
R00464,P24988,C00464,32,179,4,22912
R00465,P27037,C00465,30,221,303,2008890
R00466,P78424,C00466,70,225,498,7843500
R00467,P17291,C00467,59,233,205,2818135
R00468,P78258,C00468,80,190,278,4225600
R00469,P18855,C00469,29,86,404,1007576
R00470,P9015,C00470,25,180,375,1687500
R00471,P58220,C00471,91,343,452,14108276
R00472,P99312,C00472,52,61,461,1462292
R00473,P29160,C00473,18,120,171,369360
R00474,P45818,C00474,95,15,485,691125
R00475,P67238,C00475,85,24,155,316200
R00476,P48922,C00476,78,41,261,834678
R00477,P86772,C00477,64,151,18,173952
R00478,P62625,C00478,36,153,385,2120580
R00479,P86531,C00479,74,161,219,2609166
R00480,P36507,C00480,50,85,395,1678750
R00481,P38212,C00481,73,210,61,935130
R00482,P24742,C00482,59,146,155,1335170
R00483,P6634,C00483,13,160,149,309920
R00484,P62192,C00484,82,6,377,185484
R00485,P48796,C00485,11,25,499,137225
R00486,P8116,C00486,48,295,263,3724080
R00487,P82146,C00487,86,83,485,3461930
R00488,P14372,C00488,71,341,15,363165
R00489,P66871,C00489,99,104,340,3500640
R00490,P77207,C00490,20,347,350,2429000
R00491,P67295,C00491,87,133,40,462840
R00492,P89546,C00492,16,67,265,284080
R00493,P62589,C00493,19,40,144,109440
R00494,P88045,C00494,80,334,67,1790240
R00495,P89970,C00495,38,270,149,1528740
R00496,P84370,C00496,0,192,187,0
R00497,P11250,C00497,53,127,417,2806827
R00498,P4058,C00498,56,13,58,42224
R00499,P71938,C00499,74,325,214,5146700
R00500,P80272,C00500,6,72,131,56592
R00501,P31622,C00501,63,84,235,1243620
R00502,P90200,C00502,55,302,133,2209130
R00503,P97645,C00503,90,85,461,3526650
R00504,P13810,C00504,83,292,237,5743932
R00505,P87635,C00505,36,343,18,222264
R00506,P25469,C00506,46,200,328,3017600
R00507,P34183,C00507,36,343,265,3272220
R00508,P85539,C00508,7,247,18,31122
R00509,P50208,C00509,54,120,180,1166400
R00510,P80072,C00510,9,265,326,777510
R00511,P97163,C00511,100,82,485,3977000
R00512,P20230,C00512,27,283,90,687690
R00513,P83697,C00513,61,169,52,536068
R00514,P78429,C00514,53,200,240,2544000
R00515,P21865,C00515,99,323,13,415701
R00516,P25432,C00516,50,91,154,700700
R00517,P44658,C00517,58,241,226,3159028
R00518,P97085,C00518,74,338,310,7753720
R00519,P68235,C00519,27,208,114,640224
R00520,P50376,C00520,43,144,233,1442736
R00521,P838,C00521,98,319,170,5314540
R00522,P7840,C00522,14,148,479,992488
R00523,P94879,C00523,46,67,298,918436
R00524,P64014,C00524,90,215,370,7159500
R00525,P42793,C00525,15,99,389,577665
R00526,P61617,C00526,24,212,94,478272
R00527,P23422,C00527,88,200,108,1900800
R00528,P67219,C00528,16,74,173,204832
R00529,P23168,C00529,49,213,496,5176752
R00530,P44734,C00530,75,244,170,3111000
R00531,P9108,C00531,69,144,144,1430784
R00532,P38600,C00532,25,290,238,1725500
R00533,P20858,C00533,3,30,314,28260
R00534,P45037,C00534,71,276,232,4546272
R00535,P60073,C00535,47,183,280,2408280
R00536,P33551,C00536,79,302,422,10068076
R00537,P90371,C00537,9,273,344,845208
R00538,P72883,C00538,5,44,351,77220
R00539,P68408,C00539,72,31,474,1057968
R00540,P57321,C00540,92,3,305,84180
R00541,P81586,C00541,88,277,228,5557728
R00542,P49107,C00542,91,80,301,2191280
R00543,P66281,C00543,11,285,44,137940
R00544,P92580,C00544,39,66,305,785070
R00545,P69785,C00545,37,204,186,1403928
R00546,P77795,C00546,0,287,481,0
R00547,P64062,C00547,54,59,74,235764
R00548,P3525,C00548,46,261,36,432216
R00549,P60526,C00549,21,86,319,576114
R00550,P45195,C00550,39,236,372,3423888
R00551,P43769,C00551,70,301,115,2423050
R00552,P76492,C00552,95,84,84,670320
R00553,P75189,C00553,18,363,436,2848824
R00554,P98532,C00554,40,169,487,3292120
R00555,P95605,C00555,15,317,159,756045
R00556,P99527,C00556,53,286,423,6411834
R00557,P7470,C00557,5,97,313,151805
R00558,P79945,C00558,31,292,295,2670340
R00559,P54744,C00559,37,130,69,331890
R00560,P30651,C00560,54,132,283,2017224
R00561,P16481,C00561,40,275,137,1507000
R00562,P75980,C00562,37,203,395,2966845
R00563,P42955,C00563,43,126,238,1289484
R00564,P92184,C00564,17,329,327,1828911
R00565,P96819,C00565,70,176,262,3227840
R00566,P3255,C00566,52,240,38,474240
R00567,P42004,C00567,7,356,121,301532
R00568,P25489,C00568,19,227,95,409735
R00569,P42938,C00569,46,294,41,554484
R00570,P53580,C00570,41,109,373,1666937
R00571,P99101,C00571,86,239,430,8838220
R00572,P54824,C00572,60,234,368,5166720
R00573,P64913,C00573,53,320,431,7309760
R00574,P65730,C00574,14,43,75,45150
R00575,P8539,C00575,78,196,34,519792
R00576,P3961,C00576,73,65,145,688025
R00577,P760,C00577,64,28,289,517888
R00578,P54858,C00578,53,106,139,780902
R00579,P57577,C00579,87,221,388,7460076
R00580,P5431,C00580,50,231,173,1998150
R00581,P12972,C00581,87,250,217,4719750
R00582,P93550,C00582,78,253,452,8919768
R00583,P15649,C00583,86,153,191,2513178
R00584,P92799,C00584,39,304,348,4125888
R00585,P78020,C00585,27,59,41,65313
R00586,P3880,C00586,18,76,261,357048
R00587,P84724,C00587,77,363,384,10733184
R00588,P78623,C00588,13,187,172,418132
R00589,P56759,C00589,77,332,190,4857160
R00590,P28502,C00590,14,31,86,37324
R00591,P11274,C00591,5,24,367,44040
R00592,P95857,C00592,35,273,203,1939665
R00593,P83223,C00593,79,51,139,560031
R00594,P666,C00594,21,257,62,334614
R00595,P4863,C00595,32,324,260,2695680
R00596,P86672,C00596,26,350,119,1082900
R00597,P18204,C00597,39,28,173,188916
R00598,P9752,C00598,88,331,463,13486264
R00599,P75092,C00599,59,100,74,436600
R00600,P2242,C00600,11,325,208,743600
R00601,P90761,C00601,88,22,234,453024
R00602,P38220,C00602,51,102,346,1799892
R00603,P88983,C00603,78,83,431,2790294
R00604,P97382,C00604,52,350,161,2930200
R00605,P36966,C00605,59,312,418,7694544
R00606,P6335,C00606,19,246,291,1360134
R00607,P35600,C00607,68,281,208,3974464
R00608,P57953,C00608,24,339,65,528840
R00609,P34544,C00609,47,226,435,4620570
R00610,P6650,C00610,29,276,62,496248
R00611,P46401,C00611,37,328,45,546120
R00612,P74044,C00612,6,157,309,291078
R00613,P51401,C00613,58,200,388,4500800
R00614,P49761,C00614,56,195,3,32760
R00615,P88335,C00615,99,164,297,4822092
R00616,P57932,C00616,72,136,46,450432
R00617,P67493,C00617,35,98,81,277830
R00618,P27578,C00618,34,149,386,1955476
R00619,P69113,C00619,18,331,38,226404
R00620,P24910,C00620,79,348,377,10364484
R00621,P91074,C00621,91,205,378,7051590
R00622,P87868,C00622,75,329,218,5379150
R00623,P77019,C00623,29,138,158,632316
R00624,P23793,C00624,1,237,261,61857
R00625,P770,C00625,67,102,383,2617422
R00626,P22449,C00626,81,191,429,6637059
R00627,P16182,C00627,68,50,210,714000
R00628,P92656,C00628,17,14,374,89012
R00629,P16995,C00629,48,226,261,2831328
R00630,P1854,C00630,73,261,327,6230331
R00631,P65642,C00631,55,104,272,1555840
R00632,P72836,C00632,51,87,84,372708
R00633,P15095,C00633,70,185,402,5205900
R00634,P4051,C00634,99,152,38,571824
R00635,P77468,C00635,96,64,437,2684928
R00636,P29578,C00636,58,288,329,5495616
R00637,P59749,C00637,32,206,220,1450240
R00638,P555,C00638,53,262,366,5082276
R00639,P20818,C00639,64,131,212,1777408
R00640,P13725,C00640,45,194,350,3055500
R00641,P42256,C00641,75,125,67,628125
R00642,P52537,C00642,33,152,271,1359336
R00643,P81261,C00643,50,300,66,990000
R00644,P14860,C00644,66,310,164,3355440
R00645,P36247,C00645,23,23,94,49726
R00646,P52730,C00646,52,300,184,2870400
