rental_id,user_id,product_id,quantity_rented,start_date,end_date
164,CID0795,PID2468,15,2017-12-04,2019-08-20
165,CID8523,PID1066,24,2015-06-08,2016-03-07
166,CID4552,PID1302,15,2012-04-22,2017-10-05
167,CID3855,PID9918,25,2015-04-01,2019-07-31
168,CID3130,PID6840,4,2019-01-09,2022-08-28
169,CID7067,PID2854,18,2014-05-11,2017-02-06
170,CID9109,PID3217,19,2017-05-31,2022-11-21
171,CID3315,PID0400,19,2010-02-15,2010-10-21
172,CID6051,PID7729,2,2017-02-23,2018-02-04
173,CID1485,PID1588,3,2018-09-06,2022-11-05
174,CID5786,PID4768,3,2011-05-23,2015-02-18
175,CID7068,PID6291,12,2012-01-28,2013-08-02
176,CID0877,PID6497,2,2011-07-09,2015-03-24
177,CID3467,PID9617,3,2012-08-02,2019-07-19
178,CID3453,PID5293,1,2017-10-25,2020-08-21
179,CID7239,PID8824,16,2011-07-20,2012-06-30
180,CID7511,PID0396,2,2012-01-11,2013-08-05
181,CID4699,PID9892,2,2015-08-05,2017-12-17
182,CID7625,PID7600,20,2017-07-28,2020-11-28
183,CID8194,PID8287,3,2013-01-26,2017-03-01
184,CID0632,PID9670,22,2018-09-29,2022-01-12
185,CID2398,PID9714,4,2019-07-30,2021-09-05
186,CID6901,PID6228,2,2011-11-21,2015-12-05
187,CID5612,PID7263,1,2017-08-02,2018-12-01
188,CID4503,PID5592,1,2011-02-17,2016-03-12
189,CID5739,PID0050,25,2018-05-16,2018-06-06
190,CID3261,PID4898,20,2013-10-31,2015-10-04
191,CID6655,PID0753,2,2016-03-12,2020-02-28
192,CID1347,PID2954,12,2019-02-04,2020-10-28
193,CID3572,PID5595,17,2014-08-16,2022-03-25
194,CID3911,PID6412,22,2013-12-12,2018-12-28
195,CID3636,PID9472,1,2012-03-23,2020-12-08
196,CID1153,PID7792,23,2013-06-05,2014-09-26
197,CID6206,PID0575,1,2018-04-27,2019-06-30
198,CID2618,PID4701,2,2015-11-27,2021-10-04
199,CID1758,PID0366,25,2016-09-27,2022-08-16
200,CID2501,PID7982,22,2012-12-17,2023-02-06
201,CID2384,PID4122,1,2017-04-30,2021-11-04
202,CID9907,PID4715,3,2014-06-05,2017-04-09
203,CID5891,PID7840,2,2016-06-28,2021-03-30
204,CID1460,PID0632,16,2010-04-21,2018-01-01
205,CID7384,PID5202,3,2010-01-10,2016-02-28
206,CID8729,PID8941,3,2010-06-21,2011-11-11
207,CID6594,PID8413,24,2010-02-06,2022-05-27
208,CID0244,PID7695,19,2011-07-10,2015-08-27
209,CID2411,PID4826,21,2011-01-06,2020-01-16
210,CID0274,PID6463,21,2013-10-02,2017-11-17
211,CID2493,PID3432,2,2011-07-13,2015-08-30
212,CID3561,PID6298,4,2015-10-22,2021-12-16
213,CID4516,PID9685,20,2016-03-10,2022-04-24
214,CID3441,PID7914,4,2015-11-05,2017-07-04
215,CID8174,PID5230,11,2016-09-06,2020-07-31
216,CID8094,PID6657,2,2015-08-11,2017-07-26
217,CID5814,PID5988,3,2013-08-27,2018-02-11
218,CID9078,PID6374,18,2013-11-07,2021-02-12
219,CID8376,PID3494,3,2011-05-15,2016-01-29
220,CID6998,PID6338,1,2013-08-31,2018-04-12
221,CID6542,PID9719,24,2015-12-19,2022-11-17
222,CID8503,PID9128,2,2011-11-12,2021-12-23
223,CID5024,PID5689,1,2011-07-28,2016-06-30
224,CID0464,PID7476,2,2013-01-15,2019-03-28
225,CID1604,PID6867,23,2019-01-20,2022-05-04
226,CID9005,PID9942,21,2017-11-09,2019-09-05
227,CID8807,PID3849,12,2015-06-02,2017-06-14
228,CID8153,PID8819,11,2015-07-09,2018-02-23
229,CID7260,PID7268,12,2013-02-14,2023-02-16
230,CID8534,PID9855,12,2012-06-25,2016-02-01
231,CID7726,PID0487,2,2018-10-02,2019-09-10
232,CID9768,PID8150,22,2013-07-23,2018-06-09
233,CID0837,PID2891,23,2016-12-19,2022-01-26
234,CID8929,PID4322,3,2010-12-27,2018-01-11
235,CID9262,PID6660,23,2020-03-02,2021-08-23
236,CID9830,PID3358,11,2016-02-09,2022-04-30
237,CID2093,PID2037,2,2013-03-16,2021-04-25
238,CID2242,PID8389,1,2011-10-13,2019-05-11
239,CID6032,PID1896,18,2011-03-14,2011-06-27
240,CID7584,PID7530,10,2014-04-03,2018-06-28
241,CID7315,PID6505,1,2017-09-27,2021-03-23
242,CID7220,PID7902,12,2011-03-15,2014-12-31
243,CID8458,PID6607,18,2012-11-23,2017-07-16
244,CID6027,PID3642,19,2010-09-12,2010-09-12
245,CID7581,PID1212,1,2011-08-04,2017-06-19
246,CID4804,PID9791,14,2018-02-16,2021-11-02
247,CID1103,PID5917,13,2011-12-23,2017-07-25
248,CID9922,PID8615,14,2015-07-16,2022-09-23
249,CID2388,PID7633,2,2010-08-03,2020-03-23
250,CID3992,PID7515,25,2013-03-19,2013-08-20
251,CID9343,PID0138,3,2014-03-14,2015-12-14
252,CID8679,PID5612,11,2015-11-03,2017-01-23
253,CID0741,PID9399,18,2014-01-04,2016-12-22
254,CID8078,PID2179,16,2015-03-29,2019-11-08
255,CID5460,PID8353,10,2020-03-12,2022-02-14
256,CID6772,PID4838,14,2010-05-25,2012-08-15
257,CID1348,PID9424,2,2017-01-04,2019-12-27
258,CID2772,PID2103,25,2014-11-08,2019-03-03
259,CID2077,PID9998,11,2017-01-17,2020-11-15
260,CID2896,PID8916,2,2010-06-30,2011-05-06
261,CID3274,PID7963,3,2017-03-04,2020-07-02
262,CID4351,PID5149,2,2014-02-05,2020-08-04
263,CID8141,PID8099,1,2018-12-10,2020-03-04
264,CID9120,PID5807,18,2012-03-26,2020-01-02
265,CID6378,PID9099,24,2018-02-03,2020-08-26
266,CID6152,PID4254,11,2018-03-25,2018-06-07
267,CID6947,PID6428,23,2020-02-18,2021-02-27
268,CID7287,PID3908,17,2018-02-15,2018-09-12
269,CID3128,PID1806,12,2019-07-08,2023-02-20
270,CID2597,PID9048,13,2012-10-17,2015-01-04
271,CID4268,PID6427,16,2015-05-09,2020-05-20
272,CID5131,PID1318,17,2019-05-25,2021-08-26
273,CID8639,PID0966,4,2010-06-17,2019-12-10
274,CID1571,PID1505,1,2011-11-25,2016-09-17
275,CID5305,PID9937,1,2019-10-11,2021-11-28
276,CID3047,PID6489,22,2015-04-06,2015-08-23
277,CID1689,PID0978,20,2013-04-20,2018-09-17
278,CID9947,PID9533,17,2016-10-26,2017-01-09
279,CID4659,PID1395,4,2015-09-13,2023-02-26
280,CID5105,PID4128,4,2014-12-19,2017-12-03
281,CID5816,PID1209,4,2011-12-08,2019-05-10
282,CID5088,PID5728,11,2018-02-26,2023-02-01
283,CID3060,PID3359,1,2013-02-17,2017-09-08
284,CID5553,PID9690,2,2019-03-15,2020-01-12
285,CID9337,PID7208,3,2010-08-13,2018-05-06
286,CID8758,PID3251,1,2015-08-25,2021-05-11
287,CID1342,PID5905,3,2011-12-15,2022-12-08
288,CID2233,PID0960,11,2019-12-26,2021-01-04
289,CID3192,PID1871,3,2010-05-02,2018-07-07
290,CID9053,PID7632,13,2017-01-02,2020-06-19
291,CID0633,PID0833,16,2017-04-12,2019-04-10
292,CID1910,PID3321,22,2019-12-07,2021-05-17
293,CID0498,PID4558,12,2013-09-18,2016-12-28
294,CID7926,PID8358,13,2019-03-31,2020-06-17
295,CID3370,PID3527,12,2018-09-09,2022-10-28
296,CID2322,PID6705,14,2010-06-24,2020-03-25
297,CID1867,PID4867,4,2014-08-09,2021-09-21
298,CID2799,PID8943,3,2011-10-30,2014-02-27
299,CID8930,PID8634,1,2017-04-20,2019-12-15
300,CID3946,PID3628,24,2016-03-15,2021-02-11
301,CID4008,PID7354,1,2017-12-15,2021-02-18
302,CID1321,PID4193,4,2014-07-03,2020-02-13
303,CID2833,PID7945,15,2015-08-15,2017-12-12
304,CID2641,PID8777,4,2016-04-02,2022-10-11
305,CID0619,PID0719,23,2016-07-30,2022-06-08
306,CID7134,PID0575,19,2014-04-26,2020-03-09
307,CID9910,PID7482,4,2012-09-29,2017-03-06
308,CID4634,PID9457,4,2019-05-23,2022-05-13
309,CID8113,PID2480,13,2012-09-06,2013-10-09
310,CID0094,PID8157,2,2011-04-06,2022-05-17
311,CID4780,PID0041,4,2018-05-21,2022-06-03
312,CID8139,PID1261,1,2017-07-23,2018-02-12
313,CID2645,PID8794,21,2018-06-02,2022-12-13
314,CID2305,PID6600,13,2014-10-24,2020-03-22
315,CID4223,PID3476,3,2012-10-08,2022-05-11
316,CID3099,PID3445,3,2018-06-06,2020-07-02
317,CID0181,PID3158,21,2018-10-21,2021-02-11
318,CID2724,PID6927,4,2010-12-12,2016-01-25
319,CID6695,PID9320,24,2014-12-24,2022-04-10
320,CID1409,PID1020,24,2015-10-07,2019-05-23
321,CID5396,PID6075,3,2013-07-28,2017-10-20
322,CID0784,PID8830,16,2010-04-09,2014-04-09
323,CID3316,PID9254,10,2013-06-19,2021-05-22
324,CID5115,PID9764,23,2016-05-02,2019-12-15
325,CID0324,PID6843,1,2014-12-31,2018-04-13
326,CID0329,PID1159,2,2016-09-23,2021-02-21
327,CID5617,PID5469,1,2017-03-11,2022-04-28
328,CID0893,PID5215,3,2015-03-10,2015-12-08
329,CID4620,PID5965,1,2010-11-06,2017-03-08
330,CID5071,PID5467,4,2016-12-27,2019-02-14
331,CID6012,PID8289,25,2020-01-10,2020-12-02
332,CID9906,PID7889,19,2010-01-20,2014-01-19
333,CID1240,PID3690,12,2019-05-22,2021-07-11
334,CID4960,PID8595,4,2013-07-30,2019-05-03
335,CID5666,PID7282,20,2018-05-08,2021-02-21
336,CID0719,PID5515,2,2018-05-19,2021-05-28
337,CID6415,PID3056,1,2013-05-28,2017-01-27
338,CID8107,PID8474,13,2015-10-02,2019-01-22
339,CID1469,PID0900,22,2019-10-04,2022-06-14
340,CID3348,PID8409,3,2020-03-22,2020-06-17
341,CID2422,PID5103,23,2018-12-25,2021-04-06
342,CID1725,PID0029,22,2013-01-14,2018-02-10
343,CID5212,PID7322,4,2012-04-03,2014-08-18
344,CID3585,PID6158,17,2017-05-09,2021-11-14
345,CID6137,PID5800,2,2018-04-29,2018-10-10
346,CID2228,PID3381,19,2010-12-11,2017-09-23
347,CID8101,PID8415,4,2014-08-21,2021-05-01
348,CID8495,PID0911,1,2015-07-28,2016-09-25
349,CID0390,PID1953,3,2014-10-27,2018-12-07
350,CID7858,PID2465,2,2013-04-03,2013-06-26
351,CID5989,PID5122,4,2011-11-05,2013-10-27
352,CID2390,PID6581,4,2011-01-15,2022-02-24
353,CID3966,PID6777,1,2015-07-02,2018-12-14
354,CID5808,PID5942,10,2010-05-28,2017-10-01
355,CID2883,PID6326,19,2018-05-04,2021-02-17
356,CID3800,PID4973,16,2018-05-30,2021-08-01
357,CID4600,PID2432,1,2013-04-05,2020-06-11
358,CID4146,PID8001,3,2012-11-19,2013-03-06
359,CID9244,PID0650,10,2014-11-17,2023-02-06
360,CID9794,PID5298,3,2013-11-20,2018-02-01
361,CID4627,PID5161,16,2012-09-09,2014-07-15
362,CID7392,PID8615,2,2016-07-17,2017-12-12
363,CID7185,PID2116,20,2014-08-22,2022-12-09
364,CID2140,PID0403,4,2016-03-22,2017-05-26
365,CID1002,PID3963,2,2019-01-20,2022-02-26
366,CID3056,PID6964,4,2014-12-13,2015-11-12
367,CID4562,PID1551,1,2010-05-07,2016-02-26
368,CID8460,PID0538,1,2010-07-10,2020-09-16
369,CID4804,PID5555,3,2019-08-01,2022-06-15
370,CID2119,PID6121,23,2010-03-03,2017-07-17
371,CID4288,PID1050,15,2010-04-29,2017-04-14
372,CID4532,PID0257,4,2010-08-09,2012-10-31
373,CID6493,PID3207,3,2012-07-20,2013-05-22
374,CID8651,PID7180,19,2012-11-21,2019-12-23
375,CID3346,PID6066,14,2014-07-08,2016-10-03
376,CID9862,PID6130,1,2014-12-13,2022-09-26
377,CID4710,PID4736,1,2017-07-04,2020-02-09
378,CID4489,PID9053,10,2018-10-10,2022-10-11
379,CID4205,PID6952,13,2016-01-09,2021-05-11
380,CID0869,PID8847,1,2011-07-17,2017-08-19
381,CID0308,PID7799,3,2015-08-11,2022-02-08
382,CID1648,PID6441,19,2015-12-15,2020-08-16
383,CID3763,PID4672,16,2013-03-14,2018-11-11
384,CID3811,PID5568,1,2019-06-21,2020-04-17
385,CID6975,PID2378,1,2014-01-05,2014-05-06
386,CID0764,PID1633,4,2016-08-16,2023-02-08
387,CID0210,PID6198,10,2019-05-19,2022-02-04
388,CID4434,PID1308,3,2016-12-22,2023-02-17
389,CID0200,PID4382,3,2016-08-12,2020-06-10
390,CID8589,PID1715,3,2012-09-05,2022-09-04
391,CID9325,PID9140,3,2015-11-13,2016-12-18
392,CID9605,PID0996,3,2015-11-16,2021-08-12
393,CID9739,PID6252,23,2019-12-14,2019-12-27
394,CID4565,PID3887,10,2011-09-26,2016-07-06
395,CID3067,PID9231,13,2019-09-19,2019-10-29
396,CID1075,PID2441,17,2013-07-29,2017-10-10
397,CID8836,PID1292,2,2014-11-24,2018-04-20
398,CID2248,PID1503,4,2012-08-23,2017-12-11
399,CID8809,PID0952,10,2011-01-08,2016-08-22
400,CID0565,PID6029,21,2015-12-05,2023-03-19
401,CID7743,PID6825,20,2011-01-14,2011-01-18
402,CID5804,PID6664,13,2014-02-01,2019-12-07
403,CID2178,PID7236,23,2017-04-05,2020-05-26
404,CID3562,PID8006,20,2013-09-19,2015-03-22
405,CID8810,PID7871,2,2017-12-17,2021-03-29
406,CID0465,PID1492,3,2019-07-04,2021-04-10
407,CID0824,PID6483,4,2020-03-28,2022-08-03
408,CID3711,PID7182,2,2019-08-17,2020-01-28
409,CID6991,PID2620,2,2015-02-11,2020-09-29
410,CID7692,PID1183,1,2015-03-09,2022-08-15
411,CID4705,PID1551,21,2013-01-12,2019-06-10
412,CID2514,PID9219,4,2013-01-11,2022-01-18
413,CID5843,PID8576,3,2013-08-17,2022-03-29
414,CID2582,PID1266,3,2016-01-13,2021-07-30
415,CID1408,PID0210,12,2018-08-03,2020-06-21
416,CID9504,PID6849,23,2018-04-16,2019-08-12
417,CID6188,PID6561,1,2014-01-16,2022-04-09
418,CID1314,PID0505,22,2011-03-28,2018-09-13
419,CID8377,PID0537,23,2011-07-14,2015-03-03
420,CID7679,PID7079,4,2011-03-29,2019-05-24
421,CID1267,PID3041,2,2013-09-01,2017-11-16
422,CID7148,PID2882,2,2015-02-24,2019-09-19
423,CID3179,PID3912,19,2019-11-16,2020-01-17
424,CID5203,PID5369,12,2010-05-17,2016-03-26
425,CID1399,PID4032,1,2014-01-12,2021-11-13
426,CID8531,PID2850,1,2010-08-29,2017-04-14
427,CID7068,PID0571,3,2017-05-22,2019-04-26
428,CID8450,PID3746,4,2016-03-15,2019-05-07
429,CID9264,PID7906,4,2011-09-25,2015-03-18
430,CID0987,PID9081,21,2015-12-06,2017-12-03
431,CID4277,PID6499,24,2018-07-26,2022-11-29
432,CID0766,PID8978,17,2015-09-26,2019-01-27
433,CID0019,PID2930,1,2010-10-15,2013-12-12
434,CID9256,PID0507,2,2012-06-03,2017-12-11
435,CID5033,PID5318,1,2019-07-19,2021-02-22
436,CID0590,PID1166,21,2017-08-30,2019-03-19
437,CID1154,PID6322,4,2014-08-24,2021-01-21
438,CID9933,PID8278,3,2019-02-04,2022-12-27
439,CID8388,PID2289,17,2012-10-10,2020-08-22
440,CID0537,PID2844,2,2016-01-06,2018-11-15
441,CID8600,PID9765,2,2013-09-18,2017-05-01
442,CID8350,PID4217,19,2016-07-22,2017-08-02
443,CID3529,PID9936,1,2019-01-01,2019-09-22
444,CID9316,PID3156,3,2014-06-08,2020-08-08
445,CID7423,PID2223,3,2017-09-12,2019-10-17
446,CID7714,PID0054,15,2017-03-30,2018-05-29
447,CID0999,PID6395,3,2013-08-12,2016-11-24
448,CID7496,PID8791,15,2017-10-14,2022-12-20
449,CID2348,PID2426,1,2017-02-12,2018-11-11
450,CID4998,PID6355,1,2019-10-06,2021-05-07
451,CID7868,PID1072,10,2010-04-02,2021-05-15
452,CID8403,PID9050,18,2012-01-01,2012-01-09
453,CID8585,PID7296,2,2011-02-07,2020-01-21
454,CID6614,PID9458,4,2010-01-30,2021-03-27
455,CID2817,PID2330,22,2017-08-29,2017-12-10
456,CID1362,PID5675,3,2017-10-25,2020-04-03
457,CID7710,PID7470,21,2015-10-24,2020-09-29
458,CID6883,PID1467,3,2013-03-20,2017-06-06
459,CID3364,PID6757,24,2017-07-01,2020-09-20
460,CID9138,PID2199,4,2014-12-12,2019-04-05
461,CID1175,PID4210,20,2015-04-24,2017-08-03
462,CID5611,PID2527,4,2011-01-29,2013-02-12
463,CID7193,PID1048,23,2013-11-22,2015-06-26
464,CID9155,PID5531,2,2010-07-08,2010-09-20
465,CID3841,PID8862,4,2012-04-28,2016-07-01
466,CID3483,PID5329,2,2015-07-15,2016-11-06
467,CID0629,PID6107,3,2011-03-03,2020-12-25
468,CID2771,PID3448,18,2013-09-28,2021-12-06
469,CID7929,PID6451,3,2012-07-13,2012-10-12
470,CID2115,PID9337,11,2017-03-03,2019-10-13
471,CID8023,PID2196,3,2010-07-23,2020-11-13
472,CID2367,PID1805,12,2014-10-04,2019-11-20
473,CID7766,PID3329,1,2019-02-08,2022-05-03
474,CID7365,PID0390,4,2016-12-16,2021-12-24
475,CID3438,PID5573,3,2011-02-21,2015-03-24
476,CID6664,PID6959,4,2010-12-10,2013-01-11
477,CID7204,PID2067,13,2012-04-10,2014-02-05
478,CID1473,PID1479,3,2017-09-05,2020-07-04
479,CID5595,PID3270,2,2018-09-15,2018-12-11
480,CID3276,PID6205,25,2018-03-21,2021-08-05
481,CID0704,PID3048,23,2018-09-03,2019-09-28
482,CID0175,PID4975,2,2016-08-19,2021-03-03
483,CID2543,PID9258,3,2013-12-31,2020-01-04
484,CID7981,PID2198,3,2015-05-16,2020-09-25
485,CID8982,PID2178,13,2019-05-14,2022-10-14
486,CID0081,PID1599,2,2010-10-03,2014-11-15
487,CID3385,PID9261,17,2010-01-16,2016-12-09
488,CID9739,PID9534,22,2014-12-05,2020-01-13
489,CID4081,PID3260,3,2017-09-27,2017-10-05
490,CID2511,PID4582,10,2015-12-13,2019-06-01
491,CID7523,PID4921,24,2014-01-24,2021-08-06
492,CID6435,PID7516,2,2014-02-18,2019-06-25
493,CID9072,PID6411,20,2018-12-25,2020-06-30
494,CID5935,PID7428,25,2017-12-31,2020-08-30
495,CID8502,PID0630,2,2014-07-17,2017-11-22
496,CID1854,PID1995,12,2011-06-19,2017-11-25
497,CID6436,PID5639,23,2018-07-05,2022-10-30
498,CID1513,PID4134,1,2010-10-27,2018-01-14
