product_id,description,product_type,quantity_available,daily_rate
PID0208,P_Description0208,Kitchen,13,1
PID0209,P_Description0209,Dining Room,23,2
PID0210,P_Description0210,Living Room,23,3
PID0211,P_Description0211,Office,3,2
PID0212,P_Description0212,Bedroom,31,1
PID0213,P_Description0213,Living Room,27,2
PID0214,P_Description0214,Bedroom,38,2
PID0215,P_Description0215,Living Room,35,3
PID0216,P_Description0216,Bedroom,13,1
PID0217,P_Description0217,Dining Room,26,5
PID0218,P_Description0218,Dining Room,35,1
PID0219,P_Description0219,Bedroom,29,1
PID0220,P_Description0220,Living Room,6,3
PID0221,P_Description0221,Kitchen,19,1
PID0222,P_Description0222,Bedroom,25,5
PID0223,P_Description0223,Living Room,24,1
PID0224,P_Description0224,Office,27,1
PID0225,P_Description0225,Office,6,1
PID0226,P_Description0226,Bedroom,28,1
PID0227,P_Description0227,Kitchen,24,1
PID0228,P_Description0228,Dining Room,10,3
PID0229,P_Description0229,Office,3,1
PID0230,P_Description0230,Kitchen,3,2
PID0231,P_Description0231,Bedroom,22,2
PID0232,P_Description0232,Kitchen,4,3
PID0233,P_Description0233,Kitchen,37,4
PID0234,P_Description0234,Kitchen,32,3
PID0235,P_Description0235,Dining Room,12,3
PID0236,P_Description0236,Bedroom,8,2
PID0237,P_Description0237,Bedroom,20,5
PID0238,P_Description0238,Office,32,5
PID0239,P_Description0239,Bedroom,39,1
PID0240,P_Description0240,Dining Room,14,3
PID0241,P_Description0241,Bedroom,1,5
PID0242,P_Description0242,Bedroom,27,4
PID0243,P_Description0243,Office,16,3
PID0244,P_Description0244,Office,31,3
PID0245,P_Description0245,Living Room,32,4
PID0246,P_Description0246,Dining Room,0,1
PID0247,P_Description0247,Living Room,21,5
PID0248,P_Description0248,Bedroom,22,2
PID0249,P_Description0249,Living Room,35,4
PID0250,P_Description0250,Dining Room,10,5
PID0251,P_Description0251,Bedroom,12,4
PID0252,P_Description0252,Dining Room,6,2
PID0253,P_Description0253,Office,15,1
PID0254,P_Description0254,Kitchen,11,5
PID0255,P_Description0255,Office,12,2
PID0256,P_Description0256,Bedroom,3,5
PID0257,P_Description0257,Office,3,5
PID0258,P_Description0258,Bedroom,33,2
PID0259,P_Description0259,Kitchen,29,1
PID0260,P_Description0260,Living Room,31,5
PID0261,P_Description0261,Office,13,3
PID0262,P_Description0262,Kitchen,12,1
PID0263,P_Description0263,Office,36,1
PID0264,P_Description0264,Living Room,5,1
PID0265,P_Description0265,Bedroom,15,4
PID0266,P_Description0266,Kitchen,35,5
PID0267,P_Description0267,Dining Room,16,1
PID0268,P_Description0268,Dining Room,26,3
PID0269,P_Description0269,Office,33,3
PID0270,P_Description0270,Kitchen,34,4
PID0271,P_Description0271,Living Room,31,4
PID0272,P_Description0272,Bedroom,16,1
PID0273,P_Description0273,Living Room,6,3
PID0274,P_Description0274,Living Room,8,2
PID0275,P_Description0275,Dining Room,13,1
PID0276,P_Description0276,Office,40,5
PID0277,P_Description0277,Dining Room,4,4
PID0278,P_Description0278,Living Room,37,4
PID0279,P_Description0279,Living Room,16,1
PID0280,P_Description0280,Dining Room,34,4
PID0281,P_Description0281,Living Room,36,2
PID0282,P_Description0282,Dining Room,14,2
PID0283,P_Description0283,Dining Room,14,5
PID0284,P_Description0284,Dining Room,30,3
PID0285,P_Description0285,Bedroom,12,5
PID0286,P_Description0286,Kitchen,16,2
PID0287,P_Description0287,Office,26,3
PID0288,P_Description0288,Living Room,38,1
PID0289,P_Description0289,Kitchen,19,4
PID0290,P_Description0290,Kitchen,26,5
PID0291,P_Description0291,Dining Room,24,4
PID0292,P_Description0292,Bedroom,22,2
PID0293,P_Description0293,Dining Room,5,2
PID0294,P_Description0294,Bedroom,32,2
PID0295,P_Description0295,Kitchen,35,1
PID0296,P_Description0296,Living Room,18,5
PID0297,P_Description0297,Dining Room,7,3
PID0298,P_Description0298,Kitchen,25,3
PID0299,P_Description0299,Living Room,32,4
PID0300,P_Description0300,Living Room,1,5
PID0301,P_Description0301,Office,10,1
PID0302,P_Description0302,Kitchen,5,4
PID0303,P_Description0303,Kitchen,12,4
PID0304,P_Description0304,Dining Room,38,3
PID0305,P_Description0305,Dining Room,16,4
PID0306,P_Description0306,Dining Room,19,4
PID0307,P_Description0307,Bedroom,31,1
PID0308,P_Description0308,Living Room,29,3
PID0309,P_Description0309,Bedroom,1,3
PID0310,P_Description0310,Kitchen,15,5
PID0311,P_Description0311,Office,34,5
PID0312,P_Description0312,Office,11,4
PID0313,P_Description0313,Kitchen,0,5
PID0314,P_Description0314,Dining Room,21,4
PID0315,P_Description0315,Living Room,12,3
PID0316,P_Description0316,Office,6,1
PID0317,P_Description0317,Dining Room,32,3
PID0318,P_Description0318,Kitchen,36,2
PID0319,P_Description0319,Kitchen,34,2
PID0320,P_Description0320,Living Room,30,5
PID0321,P_Description0321,Office,23,1
PID0322,P_Description0322,Living Room,40,4
PID0323,P_Description0323,Kitchen,28,4
PID0324,P_Description0324,Living Room,37,5
PID0325,P_Description0325,Office,33,5
PID0326,P_Description0326,Kitchen,26,4
PID0327,P_Description0327,Kitchen,26,3
PID0328,P_Description0328,Kitchen,30,4
PID0329,P_Description0329,Office,11,2
PID0330,P_Description0330,Bedroom,4,1
PID0331,P_Description0331,Dining Room,37,3
PID0332,P_Description0332,Kitchen,17,1
PID0333,P_Description0333,Office,40,2
PID0334,P_Description0334,Living Room,27,2
PID0335,P_Description0335,Bedroom,34,1
PID0336,P_Description0336,Kitchen,3,2
PID0337,P_Description0337,Office,30,2
PID0338,P_Description0338,Kitchen,11,3
PID0339,P_Description0339,Bedroom,16,4
PID0340,P_Description0340,Kitchen,14,5
PID0341,P_Description0341,Kitchen,13,1
PID0342,P_Description0342,Kitchen,36,5
PID0343,P_Description0343,Living Room,35,5
PID0344,P_Description0344,Kitchen,31,3
PID0345,P_Description0345,Kitchen,20,3
PID0346,P_Description0346,Kitchen,0,4
PID0347,P_Description0347,Kitchen,35,5
PID0348,P_Description0348,Bedroom,16,1
PID0349,P_Description0349,Kitchen,29,1
PID0350,P_Description0350,Office,24,3
PID0351,P_Description0351,Office,23,2
PID0352,P_Description0352,Living Room,3,3
PID0353,P_Description0353,Kitchen,10,5
PID0354,P_Description0354,Dining Room,29,1
PID0355,P_Description0355,Office,0,2
PID0356,P_Description0356,Living Room,35,5
PID0357,P_Description0357,Living Room,38,5
PID0358,P_Description0358,Living Room,1,4
PID0359,P_Description0359,Living Room,1,4
PID0360,P_Description0360,Living Room,5,3
PID0361,P_Description0361,Living Room,24,5
PID0362,P_Description0362,Office,5,3
PID0363,P_Description0363,Office,17,2
PID0364,P_Description0364,Bedroom,24,4
PID0365,P_Description0365,Dining Room,13,3
PID0366,P_Description0366,Bedroom,14,1
PID0367,P_Description0367,Living Room,11,1
PID0368,P_Description0368,Office,31,5
PID0369,P_Description0369,Dining Room,16,3
PID0370,P_Description0370,Bedroom,8,1
PID0371,P_Description0371,Living Room,12,3
PID0372,P_Description0372,Kitchen,2,5
PID0373,P_Description0373,Office,5,3
PID0374,P_Description0374,Dining Room,18,1
PID0375,P_Description0375,Living Room,2,4
PID0376,P_Description0376,Bedroom,3,2
PID0377,P_Description0377,Kitchen,27,3
PID0378,P_Description0378,Kitchen,31,5
PID0379,P_Description0379,Bedroom,25,1
PID0380,P_Description0380,Dining Room,19,2
PID0381,P_Description0381,Kitchen,1,5
PID0382,P_Description0382,Kitchen,30,4
PID0383,P_Description0383,Bedroom,32,5
PID0384,P_Description0384,Kitchen,11,3
PID0385,P_Description0385,Kitchen,16,5
PID0386,P_Description0386,Dining Room,32,1
PID0387,P_Description0387,Living Room,28,1
PID0388,P_Description0388,Dining Room,23,3
PID0389,P_Description0389,Kitchen,3,4
PID0390,P_Description0390,Office,29,5
PID0391,P_Description0391,Living Room,23,2
PID0392,P_Description0392,Bedroom,28,3
PID0393,P_Description0393,Dining Room,12,1
PID0394,P_Description0394,Dining Room,18,3
PID0395,P_Description0395,Living Room,10,5
PID0396,P_Description0396,Kitchen,31,3
PID0397,P_Description0397,Bedroom,5,1
PID0398,P_Description0398,Kitchen,8,5
PID0399,P_Description0399,Office,12,3
PID0400,P_Description0400,Kitchen,6,5
PID0401,P_Description0401,Office,31,3
PID0402,P_Description0402,Kitchen,24,2
PID0403,P_Description0403,Bedroom,7,3
PID0404,P_Description0404,Kitchen,4,4
PID0405,P_Description0405,Kitchen,19,4
PID0406,P_Description0406,Dining Room,26,1
PID0407,P_Description0407,Kitchen,16,3
PID0408,P_Description0408,Living Room,4,4
PID0409,P_Description0409,Kitchen,10,5
PID0410,P_Description0410,Office,17,1
PID0411,P_Description0411,Kitchen,18,2
PID0412,P_Description0412,Office,21,1
PID0413,P_Description0413,Dining Room,0,3
PID0414,P_Description0414,Bedroom,37,1
PID0415,P_Description0415,Living Room,4,5
PID0416,P_Description0416,Dining Room,26,2
PID0417,P_Description0417,Living Room,1,4
PID0418,P_Description0418,Bedroom,23,2
PID0419,P_Description0419,Office,8,2
PID0420,P_Description0420,Living Room,24,5
PID0421,P_Description0421,Living Room,31,3
PID0422,P_Description0422,Living Room,10,4
PID0423,P_Description0423,Living Room,26,1
PID0424,P_Description0424,Living Room,3,5
PID0425,P_Description0425,Office,33,2
PID0426,P_Description0426,Bedroom,11,4
PID0427,P_Description0427,Dining Room,8,4
PID0428,P_Description0428,Kitchen,19,2
PID0429,P_Description0429,Dining Room,38,4
PID0430,P_Description0430,Bedroom,9,4
PID0431,P_Description0431,Living Room,26,2
PID0432,P_Description0432,Dining Room,26,4
PID0433,P_Description0433,Dining Room,18,3
PID0434,P_Description0434,Dining Room,31,4
PID0435,P_Description0435,Kitchen,10,3
PID0436,P_Description0436,Office,33,5
PID0437,P_Description0437,Dining Room,36,3
PID0438,P_Description0438,Living Room,36,1
PID0439,P_Description0439,Office,0,5
PID0440,P_Description0440,Bedroom,31,5
PID0441,P_Description0441,Office,23,4
PID0442,P_Description0442,Dining Room,33,5
PID0443,P_Description0443,Bedroom,23,5
PID0444,P_Description0444,Living Room,14,1
PID0445,P_Description0445,Office,24,5
PID0446,P_Description0446,Bedroom,33,5
PID0447,P_Description0447,Office,24,4
PID0448,P_Description0448,Bedroom,11,4
PID0449,P_Description0449,Office,20,2
PID0450,P_Description0450,Bedroom,33,2
PID0451,P_Description0451,Office,34,3
PID0452,P_Description0452,Living Room,33,3
PID0453,P_Description0453,Dining Room,38,4
PID0454,P_Description0454,Office,6,4
PID0455,P_Description0455,Bedroom,6,4
PID0456,P_Description0456,Office,36,5
PID0457,P_Description0457,Office,28,2
PID0458,P_Description0458,Dining Room,13,2
PID0459,P_Description0459,Bedroom,1,5
PID0460,P_Description0460,Bedroom,27,4
PID0461,P_Description0461,Bedroom,9,3
PID0462,P_Description0462,Office,16,5
PID0463,P_Description0463,Dining Room,7,1
PID0464,P_Description0464,Dining Room,34,1
PID0465,P_Description0465,Living Room,31,1
PID0466,P_Description0466,Dining Room,9,2
PID0467,P_Description0467,Office,24,3
PID0468,P_Description0468,Dining Room,14,2
PID0469,P_Description0469,Bedroom,40,2
PID0470,P_Description0470,Bedroom,28,1
PID0471,P_Description0471,Living Room,37,2
PID0472,P_Description0472,Living Room,1,2
PID0473,P_Description0473,Kitchen,29,4
PID0474,P_Description0474,Dining Room,11,3
PID0475,P_Description0475,Dining Room,33,5
PID0476,P_Description0476,Office,18,4
PID0477,P_Description0477,Kitchen,21,4
PID0478,P_Description0478,Living Room,11,4
PID0479,P_Description0479,Bedroom,20,1
PID0480,P_Description0480,Bedroom,6,1
PID0481,P_Description0481,Kitchen,1,1
PID0482,P_Description0482,Kitchen,6,3
PID0483,P_Description0483,Kitchen,8,5
PID0484,P_Description0484,Office,16,2
PID0485,P_Description0485,Office,28,4
PID0486,P_Description0486,Bedroom,25,2
PID0487,P_Description0487,Dining Room,10,2
PID0488,P_Description0488,Dining Room,8,5
PID0489,P_Description0489,Living Room,29,3
PID0490,P_Description0490,Kitchen,37,4
PID0491,P_Description0491,Living Room,24,4
PID0492,P_Description0492,Dining Room,15,5
PID0493,P_Description0493,Dining Room,7,3
PID0494,P_Description0494,Dining Room,12,4
PID0495,P_Description0495,Dining Room,29,5
PID0496,P_Description0496,Kitchen,28,1
PID0497,P_Description0497,Office,26,2
PID0498,P_Description0498,Living Room,29,2
PID0499,P_Description0499,Living Room,2,5
PID0500,P_Description0500,Living Room,38,5
PID0501,P_Description0501,Kitchen,39,4
PID0502,P_Description0502,Living Room,20,4
PID0503,P_Description0503,Bedroom,0,5
PID0504,P_Description0504,Office,38,3
PID0505,P_Description0505,Bedroom,34,5
PID0506,P_Description0506,Living Room,14,2
PID0507,P_Description0507,Living Room,33,1
PID0508,P_Description0508,Kitchen,16,5
PID0509,P_Description0509,Dining Room,29,2
PID0510,P_Description0510,Office,33,2
PID0511,P_Description0511,Office,35,5
PID0512,P_Description0512,Dining Room,33,3
PID0513,P_Description0513,Bedroom,39,2
PID0514,P_Description0514,Kitchen,17,5
PID0515,P_Description0515,Dining Room,14,3
PID0516,P_Description0516,Dining Room,15,3
PID0517,P_Description0517,Kitchen,24,2
PID0518,P_Description0518,Office,1,5
PID0519,P_Description0519,Kitchen,21,2
PID0520,P_Description0520,Dining Room,0,4
PID0521,P_Description0521,Kitchen,24,3
PID0522,P_Description0522,Dining Room,16,5
PID0523,P_Description0523,Kitchen,4,1
PID0524,P_Description0524,Bedroom,12,1
PID0525,P_Description0525,Kitchen,31,1
PID0526,P_Description0526,Bedroom,24,1
PID0527,P_Description0527,Bedroom,34,5
PID0528,P_Description0528,Kitchen,10,1
PID0529,P_Description0529,Dining Room,37,3
PID0530,P_Description0530,Bedroom,21,4
PID0531,P_Description0531,Bedroom,2,3
PID0532,P_Description0532,Office,0,5
PID0533,P_Description0533,Kitchen,40,1
PID0534,P_Description0534,Living Room,17,1
PID0535,P_Description0535,Kitchen,7,5
PID0536,P_Description0536,Living Room,23,5
PID0537,P_Description0537,Living Room,30,4
PID0538,P_Description0538,Office,21,4
PID0539,P_Description0539,Dining Room,36,1
PID0540,P_Description0540,Office,23,1
PID0541,P_Description0541,Office,24,4
PID0542,P_Description0542,Kitchen,2,3
PID0543,P_Description0543,Bedroom,37,3
PID0544,P_Description0544,Living Room,36,2
PID0545,P_Description0545,Office,22,1
PID0546,P_Description0546,Office,8,3
PID0547,P_Description0547,Bedroom,16,4
PID0548,P_Description0548,Living Room,40,5
PID0549,P_Description0549,Living Room,11,5
PID0550,P_Description0550,Dining Room,11,2
PID0551,P_Description0551,Living Room,2,3
PID0552,P_Description0552,Living Room,32,4
PID0553,P_Description0553,Kitchen,19,2
PID0554,P_Description0554,Dining Room,13,4
PID0555,P_Description0555,Living Room,11,4
PID0556,P_Description0556,Dining Room,28,1
PID0557,P_Description0557,Office,35,3
PID0558,P_Description0558,Bedroom,12,3
PID0559,P_Description0559,Kitchen,7,2
PID0560,P_Description0560,Bedroom,26,3
PID0561,P_Description0561,Dining Room,19,1
PID0562,P_Description0562,Office,11,4
PID0563,P_Description0563,Bedroom,26,3
PID0564,P_Description0564,Dining Room,4,2
PID0565,P_Description0565,Bedroom,36,4
PID0566,P_Description0566,Office,32,4
PID0567,P_Description0567,Kitchen,26,3
PID0568,P_Description0568,Dining Room,9,3
PID0569,P_Description0569,Office,22,3
PID0570,P_Description0570,Living Room,24,1
PID0571,P_Description0571,Living Room,14,4
PID0572,P_Description0572,Office,31,3
PID0573,P_Description0573,Dining Room,22,3
PID0574,P_Description0574,Kitchen,29,1
PID0575,P_Description0575,Living Room,31,4
PID0576,P_Description0576,Bedroom,7,3
PID0577,P_Description0577,Living Room,0,1
PID0578,P_Description0578,Office,11,3
PID0579,P_Description0579,Bedroom,30,3
PID0580,P_Description0580,Living Room,5,4
PID0581,P_Description0581,Dining Room,1,3
PID0582,P_Description0582,Kitchen,31,2
PID0583,P_Description0583,Bedroom,17,3
PID0584,P_Description0584,Office,0,4
PID0585,P_Description0585,Living Room,22,2
PID0586,P_Description0586,Kitchen,2,5
PID0587,P_Description0587,Bedroom,28,1
PID0588,P_Description0588,Living Room,8,4
PID0589,P_Description0589,Kitchen,29,3
PID0590,P_Description0590,Living Room,15,5
PID0591,P_Description0591,Kitchen,38,2
PID0592,P_Description0592,Kitchen,40,5
PID0593,P_Description0593,Living Room,8,2
PID0594,P_Description0594,Office,26,4
PID0595,P_Description0595,Dining Room,23,5
PID0596,P_Description0596,Dining Room,0,5
PID0597,P_Description0597,Dining Room,27,2
PID0598,P_Description0598,Bedroom,11,1
PID0599,P_Description0599,Dining Room,23,3
PID0600,P_Description0600,Kitchen,5,4
PID0601,P_Description0601,Kitchen,40,5
PID0602,P_Description0602,Kitchen,19,2
PID0603,P_Description0603,Office,13,5
PID0604,P_Description0604,Living Room,28,2
PID0605,P_Description0605,Office,5,3
PID0606,P_Description0606,Living Room,39,5
PID0607,P_Description0607,Dining Room,26,3
PID0608,P_Description0608,Kitchen,5,5
PID0609,P_Description0609,Living Room,9,5
PID0610,P_Description0610,Kitchen,25,3
PID0611,P_Description0611,Office,27,2
PID0612,P_Description0612,Office,7,4
PID0613,P_Description0613,Bedroom,7,2
PID0614,P_Description0614,Office,18,1
PID0615,P_Description0615,Dining Room,34,5
PID0616,P_Description0616,Kitchen,11,1
PID0617,P_Description0617,Office,13,4
PID0618,P_Description0618,Office,11,4
PID0619,P_Description0619,Bedroom,33,5
PID0620,P_Description0620,Office,17,5
PID0621,P_Description0621,Dining Room,30,3
PID0622,P_Description0622,Bedroom,14,5
PID0623,P_Description0623,Office,25,4
PID0624,P_Description0624,Kitchen,9,3
PID0625,P_Description0625,Kitchen,32,2
PID0626,P_Description0626,Dining Room,12,1
PID0627,P_Description0627,Office,32,2
PID0628,P_Description0628,Living Room,21,1
PID0629,P_Description0629,Bedroom,19,4
PID0630,P_Description0630,Bedroom,15,5
PID0631,P_Description0631,Living Room,27,1
PID0632,P_Description0632,Dining Room,25,3
PID0633,P_Description0633,Office,0,5
PID0634,P_Description0634,Office,28,4
PID0635,P_Description0635,Office,19,5
PID0636,P_Description0636,Office,36,2
PID0637,P_Description0637,Dining Room,15,2
PID0638,P_Description0638,Bedroom,12,1
PID0639,P_Description0639,Kitchen,31,3
PID0640,P_Description0640,Bedroom,10,3
PID0641,P_Description0641,Dining Room,27,3
PID0642,P_Description0642,Office,14,2
PID0643,P_Description0643,Living Room,35,1
PID0644,P_Description0644,Office,20,3
PID0645,P_Description0645,Living Room,31,3
PID0646,P_Description0646,Office,31,2
PID0647,P_Description0647,Kitchen,8,5
PID0648,P_Description0648,Office,14,5
PID0649,P_Description0649,Dining Room,16,2
PID0650,P_Description0650,Dining Room,29,4
PID0651,P_Description0651,Dining Room,3,3
PID0652,P_Description0652,Dining Room,22,2
PID0653,P_Description0653,Living Room,33,3
PID0654,P_Description0654,Bedroom,18,5
PID0655,P_Description0655,Dining Room,37,4
PID0656,P_Description0656,Kitchen,34,3
PID0657,P_Description0657,Bedroom,12,3
