product_id, description, product_type, quantity
prod89,KnoPmHdKGKiPqET,furniture,14
prod90,cTIvyqYUspQnjmO,electronics,7
prod91,YTKbDkgjvsqhcWS,electronics,4
prod92,BBQlGfyZpTiKpLd,appliances,14
prod93,dRfBEXGqXaTPuOD,electronics,3
prod94,GqiWEXdesIMzqvA,furniture,2
prod95,qxLavEqUGBaCtpC,furniture,1
prod96,lAISZSofINRSJBq,electronics,8
prod97,FmmMCwxWQLLCuib,appliances,10
prod98,vdCmmIWLhFkwusg,furniture,5
prod99,VkLlpAGSEOxakeD,furniture,1
prod100,FLpKRIVOaFlfQuJ,furniture,5
prod101,tflaCeGtelhptok,electronics,5
prod102,mSAvxeQWWcWuTXh,appliances,13
prod103,ZlrXwBlczuKVTJE,electronics,1
prod104,ymDOodkLHUynOpc,furniture,15
prod105,erawDpvZXGbFknS,electronics,6
prod106,ZLcbRPbwPJqqJoI,electronics,2
prod107,KPKvWBhViOzbyBL,electronics,5
prod108,BylciLrnraUCeGZ,electronics,7
prod109,glEflzNRJZbOvUH,appliances,3
prod110,psCvzIKbZQqMFXO,furniture,10
prod111,yFAQHrURHHQrThA,appliances,11
prod112,gfhrtpICVeLVhIG,appliances,6
prod113,wKyCeOuXuObOvcV,appliances,2
prod114,SuzoyXgLfusghBG,electronics,8
prod115,QTxQxFYyRnzoJPK,electronics,4
prod116,FxZDBkwnSijerSL,furniture,10
prod117,ndnjuohkqhZnnmp,appliances,15
prod118,vgpLVfXdfUtLxml,electronics,1
prod119,GmRGXpKzrHTJhBq,appliances,5
prod120,TuQkDLWxKQgpKcl,appliances,14
prod121,FTktLIzytQHkDlZ,appliances,5
prod122,jPHzDyzyDonsQFS,appliances,11
prod123,XbeXJqHqcWsyzIP,appliances,5
prod124,KISSWRHcJaKvcIw,electronics,2
prod125,HtqwYDCEhXlheIc,appliances,11
prod126,DbNEBlEMUpOGOBT,furniture,1
prod127,JCptmoyfTpqbQdU,electronics,3
prod128,DlFzOyuIZiwjzMz,appliances,5
prod129,OsZiuZBlsxDEMzY,appliances,4
prod130,cNfyywJGfIGLCAu,furniture,6
prod131,uCAZOrJkcoTDZWB,electronics,15
prod132,DWmCLGyQDDObjzr,furniture,3
prod133,iFlafqPFXKAPMyT,electronics,10
prod134,XwSSnruwjSgxrIB,furniture,5
prod135,TwBWpnDAUfbtogv,electronics,10
prod136,gKMiEaPcoukunPq,appliances,9
prod137,yDoIheTgAqETcWq,furniture,10
prod138,IwHNFJurnroXevb,appliances,2
prod139,wlHFRoGxfzWntTs,furniture,9
prod140,LGenRBCjKqxKyHr,furniture,3
prod141,XkhvHGaxtEQDeKh,appliances,5
prod142,PgUeFwUYfGRLoYN,furniture,11
prod143,qSNXkbLkTGQeesg,appliances,8
prod144,roRjLsZsTscaIFI,furniture,14
prod145,xvcCXKBPxgmClKL,electronics,1
prod146,FtXWIojbZneLavu,electronics,14
prod147,ZeoHEYzuVhtGgcK,electronics,6
prod148,CXGqcGuyfbDRQXM,appliances,15
prod149,WabwfJuQamgBFAh,furniture,12
prod150,VYtmdNwFDxvyKus,electronics,3
prod151,bSLyrQzTNHtHFyK,furniture,7
prod152,dxRQVBGVGeaBndc,furniture,4
prod153,oAigbSJZYZuzHHQ,furniture,13
prod154,lKaUuJWTFhuArAv,appliances,13
prod155,VsMjwaoAAcziVwt,electronics,14
prod156,qvnIeTXCGjSwcbC,furniture,10
prod157,IOjvEaNlTFfCGhs,furniture,9
prod158,lZimRwFhdYxPywN,furniture,15
prod159,tUeXGnaiQNuTKDf,furniture,8
prod160,bHlgczBGIAeQeOZ,furniture,8
prod161,bymlalGfLZEctwH,appliances,2
prod162,LNDmrfsQqrTgxSB,appliances,1
prod163,QPPRCTCoxKOuRya,furniture,6
prod164,QVQLHmVcHRtAIGB,appliances,10
prod165,nuzUBwKfVavCOiJ,electronics,5
prod166,lrETGFakPXswltS,appliances,12
prod167,hXktPeCdUAByIQs,appliances,12
prod168,IbwzjVBEmITJSJp,electronics,3
prod169,adjHIfNHAOwsncu,electronics,4
prod170,efAnjukJcEpXuiY,appliances,14
prod171,lsvxywewajbKlHE,electronics,13
prod172,rGCZCLuFFyBTCJI,appliances,15
prod173,mSKgEmuPhKPhPUa,appliances,5
prod174,bjEusJSnXNesUmN,furniture,10
prod175,lCQzHLkYSxfQeYf,appliances,14
prod176,JHZQOKoGRwJVmyR,electronics,11
prod177,qhrppsgoTsovAOZ,furniture,14
prod178,VPJsmGcDovMAgSA,electronics,3
prod179,zzloxtuFEQpxPHc,electronics,11
prod180,LDVVixOgxFToJrU,appliances,15
prod181,XVDAHzFBjllXIkb,furniture,8
prod182,DlGqfwDylVWqvps,appliances,12
prod183,KUislIYeCCtsUVk,furniture,4
prod184,kXCjMdzrJsKLxGe,appliances,5
prod185,LmBrIhFnCXErBsE,appliances,14
prod186,lHizDCDQQbDuvSt,appliances,5
prod187,fnqqeWULcIrySrQ,electronics,14
prod188,nQWKLseIAWWJjRh,electronics,3
prod189,hRIURYUyZNWNOAA,furniture,9
prod190,zwSrZTJHorZbfDM,appliances,2
prod191,SlFJrCATfgpYeSC,appliances,2
prod192,jOyLobDgDwbmIHu,appliances,10
prod193,ykUxUxhkPwPQZEN,furniture,7
prod194,kHgiunrZMMjZDye,appliances,2
prod195,ycponEBsEeTYZTk,furniture,4
prod196,cjyKqtbSTkipCaJ,electronics,2
prod197,ACWKPRRBePHHXJr,furniture,15
prod198,vrMQYZvDHHezVLt,furniture,14
prod199,tzmKMHuwRXSMUPq,appliances,10
prod200,BiMCCNfYMeuApyz,electronics,6
prod201,xznaBtkHlAvDZQY,appliances,8
prod202,okNCAhDLondpHSG,electronics,14
prod203,uxACwKUdmELiRuj,appliances,7
prod204,PWtURcavuqMSuyy,furniture,3
prod205,FlELwifgKrjJtRW,appliances,7
prod206,nXwHbLywkymLqeA,electronics,15
prod207,UYzpcqMobbwtKgT,appliances,3
prod208,MWyzZBWDNsedqKO,electronics,14
prod209,uRDvTSLalKcuhXv,furniture,10
prod210,ZNJEPjHGKNEnnkU,appliances,8
prod211,IwTEKPaHHBuBAbM,appliances,1
prod212,biNeDoThLEhChLE,electronics,4
prod213,sQWDTPHRUVuNkvt,furniture,12
prod214,aznTlnHOiJBEUIM,electronics,2
prod215,MtYaUFlKMQgehVS,furniture,6
prod216,EyCfNYoOOzQbthn,furniture,11
prod217,nGdXEObLmFDSdSI,furniture,8
prod218,LEiciuXpsjgZKWu,electronics,1
prod219,VlDKDbcCCkVTPYj,appliances,14
prod220,bYZEKSQucNHKpZW,appliances,8
prod221,jpYhZjgrCZdmTtE,furniture,11
prod222,byuDSSuwyOAwEGq,appliances,13
prod223,oItkbDZMItvHuPa,furniture,13
prod224,oysrtbhatfSjwYR,furniture,10
prod225,ncFBTxblpvrfPUa,electronics,15
prod226,LPtiZRPXXZVVyQP,furniture,12
prod227,BJeBKslvMzidgyB,appliances,6
prod228,glXJrwKlhXvGVXZ,furniture,8
prod229,phRgJSkDfolDJWg,electronics,13
prod230,zNWjCCvXoKrjIee,electronics,5
prod231,NUnseLqJDGwSfDQ,electronics,10
prod232,iGJDDysRzjjbQpf,appliances,4
prod233,xQudlVQEnsZszai,appliances,12
prod234,ktUGdqzLOsLYGQh,electronics,6
prod235,xRjKkoSxjieFwfz,electronics,6
prod236,tMkFmlbAtBNrXfD,electronics,8
prod237,umPxvIwwVZZyagP,appliances,11
prod238,ISdLZZzIuMJshez,electronics,12
prod239,ueOHhknVATCxbum,appliances,2
prod240,JJxNpVAXiOpLTPQ,furniture,10
prod241,ymnuhEDuWXEwBJC,electronics,15
prod242,BzYnGjhVaxgFern,appliances,13
prod243,LGfDifrreYNPQxI,electronics,10
prod244,bJPuJWuXXHgXIWf,appliances,4
prod245,RrOeHhupvjWxDQw,furniture,2
prod246,otschydbEgPkjfc,electronics,11
prod247,nGKfPXYmvsDMOSh,furniture,13
prod248,FPiNkdrNHABYqeI,furniture,4
prod249,TXkkkgaQLvybpgR,appliances,12
prod250,MUFanmumNJCFRFB,electronics,9
prod251,tLWBagKQqezgymZ,furniture,9
prod252,aBmdNQGlXpEsytV,electronics,5
prod253,iTVFFovzoRMejsV,furniture,13
prod254,IUcrPBWKGdKEcGo,furniture,12
prod255,oASGXPrOlHBYChv,appliances,10
prod256,PXIoIGnTLoKJgQQ,appliances,2
prod257,aHmqfdFGTxLpBth,appliances,15
prod258,LBsFaQnZGgbIska,appliances,8
prod259,ZrWWModVnbOVTbz,furniture,10
prod260,StNNSVqfnQMsCBm,electronics,9
prod261,xxmvYZIhHRWxjzv,appliances,6
prod262,cOtCUhjzTtkQOIt,furniture,1
prod263,AJmlSuNCJRRvzOV,appliances,8
prod264,AKLyOKnegHpeLKd,electronics,5
prod265,OGLXwRvdAARvxrp,appliances,3
prod266,ptwttbVkHuprGFu,electronics,7
prod267,OfglvdlbNbllbwM,appliances,5
prod268,TLPoCdbuMwkExMH,electronics,6
prod269,NDHCAAKSOpzsxOh,furniture,14
prod270,QresVTTvpZyIUnO,furniture,15
prod271,HFhlYcCjKxOGXFj,electronics,7
prod272,QvewoUOYkDPkEgE,furniture,3
prod273,MEHzwBVagWOTIZo,electronics,8
prod274,VAtKPIylQlzljVg,electronics,11
prod275,lzpWNzXpAdOkHFh,electronics,15
prod276,BPgNuOjKJqedStY,furniture,4
prod277,gZzIuUGAqNhjLuR,electronics,8
prod278,LMiYemHzBhOHkUC,furniture,5
prod279,rLPErpFvFGwYhwM,furniture,5
prod280,CATDPrFCujnmSjF,appliances,8
prod281,ZWWHojylFUFGmIL,furniture,6
prod282,AupPRwZQuhBaajO,electronics,13
prod283,bhqJrneQqcELnfc,appliances,8
prod284,sLcpJEDYkQoQgmM,appliances,1
prod285,emmYWPmEyunuDjF,appliances,9
prod286,KkAlPOJldeKmoGq,electronics,3
prod287,iVrGPFCzCdxSHAO,electronics,9
prod288,ismGfDlZKreWvVm,furniture,11
prod289,HIKrRUUFMirctxU,electronics,11
prod290,NoobRbiKVcMZFbY,appliances,7
prod291,owhlVHWtZXMykJc,furniture,4
prod292,raUxAYewNIOMPCI,furniture,5
prod293,DLcPOFdLIJuIFYb,appliances,12
prod294,MEXXZttTPiAwbih,furniture,1
prod295,rUTIhEJjjNYsDnv,electronics,5
prod296,MOGCghBDvnyckDu,electronics,7
prod297,SrqOKeCJgxYBiUm,furniture,9
prod298,WMTfmXSLFEzhijR,furniture,13
prod299,ckrUhFQCpiWEYwY,electronics,9
prod300,xQKpNjhIuMYQIrB,electronics,8
prod301,fYqYhigiuepqPaS,appliances,14
prod302,ISuAkIULjChoxSw,furniture,11
prod303,YpYDmXTUItlpQTQ,furniture,1
prod304,oUYiiLyaikFCHxE,furniture,2
prod305,sifxEfcrcZeHImD,furniture,4
prod306,evIlbqmjDwcbSdF,furniture,2
prod307,UFBNbjnVcdMEHhp,electronics,3
prod308,POQowfGGJjlvFEh,furniture,14
prod309,TfNmubGkeWxLywE,electronics,9
prod310,yYcOiVbuBUFYaIo,electronics,14
prod311,IwJockLgYqZVCcO,appliances,14
prod312,EpbFFbCZMpnKRyf,electronics,13
prod313,QgXkcBKGJffAbIi,furniture,13
prod314,XwpKUcMklxGKLxF,furniture,15
prod315,mcRMBpDQdMGFHsZ,electronics,14
prod316,PIVBRsuKbRbylzq,appliances,1
prod317,eTeibEVXyYrzwwB,electronics,9
prod318,uBZwWOnCvzZfArV,furniture,14
prod319,WzFkvKscxhZxilg,furniture,9
prod320,xkelpowHottaibG,furniture,7
prod321,jAlXxMEyrNBTAsm,appliances,12
prod322,BPqlJSUqadkJOlY,appliances,3
prod323,anvbUGDSudugjkF,electronics,4
prod324,CsblbeWbTTGbRLp,electronics,14
prod325,FQCywardRxusnIc,electronics,2
prod326,UmoneQGjmNpdLFU,appliances,6
prod327,mfFCCukbATxuvSO,furniture,3
prod328,YJhsffJysMrhpbi,electronics,3
prod329,AnICzsCjnBTkVsK,appliances,4
prod330,GZoBQkDbRiFetjK,electronics,2
prod331,ybNAGxtuZPHFYWf,appliances,5
prod332,nUqCivWZmvbjogo,furniture,13
prod333,ioVveIxSsHAoBwf,furniture,9
prod334,ryGKZqCtlHjzzQI,furniture,5
prod335,dxEIowbLXSvoVFT,electronics,2
prod336,OkZeSxpOEDCkPSy,appliances,12
prod337,pJdGRvyUwVOlCBA,furniture,2
prod338,xUcNSopjbcnAgQY,appliances,11
prod339,NuFSFEaUAHVmBpY,electronics,12
prod340,iWDUyYvFEqgkgMH,appliances,13
prod341,RxpJAnDijSqNFqI,electronics,14
prod342,oHOJQgFCgpHbngF,appliances,9
prod343,jYNfQnKnRNoCrry,appliances,5
prod344,SXbykHcPzfQLjOP,furniture,1
prod345,lqmeWVzXTJoPtFk,electronics,2
prod346,XAqQAuZeKCAAaFI,electronics,6
prod347,ThQSGYLjTaVDlAA,appliances,9
prod348,XQVNbxLIkXZlWVg,appliances,5
prod349,FCZWjCnxbzYVxAp,furniture,12
prod350,oSMeaAGeXXTvPzl,furniture,8
prod351,QgYMBQTbECokMgB,appliances,12
prod352,VuivrUPvfxZwyIK,appliances,2
prod353,rboAHEPLBEmadOF,electronics,7
prod354,gWtcDwapPBiKHev,electronics,5
prod355,hJDaPMTvJAiaObV,appliances,11
prod356,AiTLTgMqCqgwwlj,furniture,12
prod357,gDzdHNeKyTyFDWR,furniture,3
prod358,aAFTCrHfwsPJqsd,appliances,4
prod359,RmCycqIMEQWGsnL,appliances,9
prod360,yFXCFMhSsCyrxKp,furniture,11
prod361,qMtPvbtedvRuUeo,furniture,6
prod362,yjUtnmUOpIvldss,furniture,5
prod363,jDYwFBkAhTbSEal,electronics,8
prod364,HVQSguzICZCssCF,appliances,12
prod365,ndaSidQjFtVxLDT,electronics,3
prod366,QLuvayoGiFNtbZg,appliances,6
prod367,cadCqYynQHfCNZe,electronics,1
prod368,BIJIvHREqnthGDj,furniture,9
prod369,tixRqOVGEmGRiPn,electronics,2
prod370,dGKrCFxQQnlRBNQ,appliances,1
prod371,pJcrLCGuVlZMAwR,appliances,10
prod372,gsDycccxcfjSDDp,furniture,7
prod373,qSKrAWpvqNVFXeO,appliances,9
prod374,SbcJibpbEcBZZPt,electronics,5
prod375,heMEmrTPhRdqKzW,electronics,10
prod376,awIaVOrIhuXmelV,electronics,6
prod377,HvfWhjcLLTzzEgh,furniture,4
prod378,yTmXPtSDXbuFfzV,furniture,7
prod379,IDwbpHLzbCWrpyd,furniture,8
prod380,numkgEbViaRosVK,electronics,6
prod381,vQTsaHzINtxUQsC,electronics,8
prod382,GltylZkaIkdbwrL,electronics,5
prod383,vnaOGlXXSOgPHZQ,electronics,12
prod384,ETtqhMVCzuOvyrC,electronics,2
prod385,MJBYLMFWQGHxZTs,appliances,1
prod386,KgKynSFXejOCuid,appliances,12
prod387,xOOcSSKoFivtwDO,electronics,3
prod388,vMeKsPVLPGySvyw,appliances,7
prod389,DMGAgZDRtduQYqf,electronics,7
prod390,szUMZGaRTvOYhtU,appliances,14
prod391,XvuyeXchXZaoizs,appliances,1
prod392,dWFHkloZOprbBlF,appliances,11
prod393,qAIXLhqIXHOWyYh,furniture,11
prod394,xppgVUZTweyGOVz,furniture,4
prod395,KPQNnVnBFTdobJB,electronics,5
prod396,JPMfsoLpoPAJncC,appliances,12
prod397,ZOhdpVxBwqnwHQO,electronics,4
prod398,LTGucFXmFMCBcOu,furniture,1
prod399,RMDlIEoDOvAaoqO,furniture,4
prod400,eMJHKZOWjtYtqGx,appliances,15
prod401,mTuQgWFBbYZQWVV,furniture,15
prod402,ynnNqfexOarrcoz,appliances,4
prod403,JIsUADckwHEnfSu,furniture,14
prod404,aCMIWqNKgGZpehd,electronics,4
prod405,YUIWHzExoHpzTdV,furniture,2
prod406,pZXDPKPhXluxOiF,electronics,5
prod407,VZkNKLFuUctwFvs,furniture,13
prod408,gwssiqjWgGBtiRF,furniture,9
prod409,WBfpejjcRcUXfzb,furniture,15
prod410,CINoYcOXQBVjMjD,furniture,1
prod411,ZbpIjwprxaMiOTE,appliances,3
prod412,BKzicDONJwhWLAZ,furniture,5
prod413,lcGKqaCumErwmKP,furniture,1
prod414,qrRTGcXTyliTizk,furniture,4
prod415,BLnSLLYUmTqussE,appliances,4
prod416,GhaZVBejdfUTGKB,electronics,11
prod417,KKPmbceYckWIcfA,electronics,6
prod418,iEHvGFkWuRRVfaD,furniture,13
prod419,AgJEOdpzKkgCLXO,electronics,8
prod420,HBkRPItRSaeZnlO,furniture,9
prod421,KGRUKYsPoPyQNmS,electronics,4
prod422,HtLubjUaINIUckj,electronics,6
prod423,BrVEbUFKBlmtuue,electronics,13
prod424,cOKqeiCqtsXggXE,electronics,10
prod425,XIHkVpuCneSNeIO,electronics,8
prod426,uJRDDRLZgqwfLsJ,appliances,6
prod427,bUncPZuvmJSIiDh,furniture,12
prod428,HNIpPqDwYwHYJfW,appliances,9
prod429,SxYeEZZgLjztNpi,furniture,6
prod430,GDlbQHeUgmQHvsh,appliances,13
prod431,JYKCqwJbcBiNwQD,electronics,9
prod432,IpYmGXWhjFCadTE,furniture,4
prod433,lgCWdZUKkNrpKtt,electronics,7
prod434,RSDpqOYBRdvphdb,electronics,10
prod435,XOnyBwPTsMtlhDv,electronics,2
prod436,dzkFlIPsveGXlGf,furniture,7
prod437,JWuNSSAZCIhJPFn,appliances,4
prod438,qWSXhYsIULxOGGg,furniture,8
prod439,fWeafWJSFwWqQND,electronics,14
prod440,efdjhlMYBkIXUEN,appliances,7
prod441,aZMrcORHyLuoLru,electronics,2
prod442,RHJeqRzOyvPeSXi,furniture,3
prod443,TFzSSpzZtMdZTRg,appliances,13
prod444,wZVtzQrLoulWbUS,electronics,13
prod445,lYomqVlkLyAWEif,appliances,14
prod446,MDBcnfkoQnzbruD,furniture,8
prod447,pfnptuVjMCWkyhe,appliances,8
prod448,ahzdJdQBHBQvgTh,appliances,8
prod449,OwLsVHavMwcXOjX,furniture,1
prod450,rFDXlBerDLoUMyW,furniture,12
prod451,rjilbfZLrwhopGi,furniture,3
prod452,ixMMRvpCgzFPRfV,appliances,7
prod453,osiHAozFCOPBvUV,appliances,14
prod454,qSsSnpedtHEAuUR,appliances,3
prod455,cBHXUghbPcYsRuZ,appliances,12
prod456,pebVjQypvzylHWv,electronics,6
prod457,BAzeepZOapxmGxc,appliances,2
prod458,zTJFziETIKzjcOn,furniture,8
prod459,ZlHkSEddzBSuEld,furniture,8
prod460,qziVyWbglKwuvar,furniture,3
prod461,biSkFZOkbbIPeJM,furniture,1
prod462,hduFlSvkDtwwQVR,electronics,9
prod463,ZdqoJPOJrBsQVfz,electronics,15
prod464,cLDoExonHaCEuEs,furniture,9
prod465,klSstjsqFjwEELO,electronics,13
prod466,qYgkNgmxWjyWlur,appliances,7
prod467,upEfzIHkEvMFfjc,electronics,6
prod468,NuBjmQVXInHGYhK,appliances,3
prod469,jRhrkXDEWwIYzhV,electronics,1
prod470,WuCWStbDJRpzZwp,appliances,6
prod471,fzLcYEfuXqGYAyr,appliances,9
prod472,blXYCvgMuPQAGVD,appliances,2
prod473,ZJgkOpSNInLHKzw,appliances,4
prod474,fBwVehQMjFWCiUC,appliances,11
prod475,LVAsCpKcrsoMrDa,furniture,15
prod476,zYjARjuSpCvMTsn,appliances,11
prod477,kEdUrpmZlHyJOue,electronics,15
prod478,ZvBimxvlYpXXkos,furniture,15
prod479,KLdqjgKGbnjBHFV,appliances,1
prod480,AwZtnMZktXLhjgq,appliances,6
prod481,iVmQasZlUimcyPi,furniture,11
prod482,TqaGCqcyStWILhx,appliances,1
prod483,QHpFRJcORFFMwAC,furniture,2
prod484,rncumgXnsOpSOcE,furniture,1
prod485,biZDWqZuDDqFnuq,appliances,15
prod486,rtJqBzFboEGbpNI,appliances,7
prod487,cGLEAbaKdRxbWEZ,electronics,1
prod488,NIxGMeIhMDAFUwg,electronics,10
prod489,zmxNXFoenMGonBo,appliances,9
prod490,YJFtkwFOBqOrJmo,electronics,8
prod491,LFrDPQqjABHcNrl,appliances,5
prod492,oeHxHnjtoliKaRC,electronics,13
prod493,ZudyxHGXhtEdDMQ,electronics,9
prod494,sKYIWqyZFVmzYaM,furniture,3
prod495,IqZABzkmvALerrs,furniture,1
prod496,oPBnKmsYPScpSkn,furniture,3
prod497,OEWKmNrznPMEzKd,furniture,1
prod498,CIPcYSmahTgbJRT,furniture,15
prod499,NYmWLQyERViyIzM,furniture,5
prod500,dkXIyNXYSPOcCSb,appliances,11
prod501,XHqgHHeTxXoCvew,furniture,7
prod502,tnbsgfaxgkXDoMa,electronics,6
prod503,hyDxAHUuwXARhZj,furniture,1
prod504,ccUTfsTacDKPvDU,electronics,1
prod505,ZpvSzodWgKDvlVb,furniture,15
prod506,TlYhROMMIGpydOA,electronics,15
prod507,beeaacUHHwmfqof,furniture,11
prod508,jwymljsRVBRfqge,electronics,15
prod509,hsBAYOhaCRXmcgi,appliances,9
prod510,yAWqrujifyTEJQn,appliances,2
prod511,kdxmlzUTivEzgUJ,electronics,9
prod512,XcMERiSRhnDhtlP,appliances,13
prod513,WeTFAscDwubwfAW,furniture,10
prod514,lZEVUWIKhDIWJnk,appliances,14
prod515,TkaOBJYqRYhdTpP,furniture,3
prod516,ZTKLRstoSYBfjQm,appliances,3
prod517,eYrKiEFLfzkhSXg,furniture,15
prod518,ZYsiWwpNopMHExo,furniture,4
prod519,qWYWTqBSlqBSQGB,electronics,3
prod520,xZKxdywOMjLtSuF,appliances,6
prod521,IkzcaxhMupJIkZI,furniture,7
prod522,zMPUCBqhNFFttRl,furniture,10
prod523,KqZGcSNmjuhnHWY,electronics,3
prod524,ESFJVfKyWCbttUl,furniture,3
prod525,GXbQvmWkRZAPiCL,furniture,11
prod526,BlwUjhZfEJnfFKv,appliances,13
prod527,AxhPWIJKLJVvYLd,appliances,7
prod528,jiAITMHykPEVnrD,furniture,6
prod529,kQrQlxrGakBaolV,electronics,1
prod530,jPDTdwPbNsaJqFj,appliances,1
prod531,aooKoIWwqcJOGyC,furniture,14
prod532,yVJCzyQDNTQNtgj,electronics,1
prod533,wgvgRLISFdgJqMg,furniture,7
prod534,cpsIuzggpkEwdUQ,furniture,10
prod535,ZqklTLXjgMrrRPE,electronics,15
prod536,aLTnTztrZIAlmAC,electronics,1
prod537,CiJqdJbxOxwlaFf,furniture,10
prod538,uMxiSgCLMqWfkqB,electronics,8
prod539,GCEIlVcYLyuMDyT,electronics,1
prod540,MrhXLnEvNuvCCDq,appliances,8
prod541,uxLQCRDMjsvdjCS,furniture,15
prod542,zbwiCYVVOqgPKsP,furniture,12
prod543,uaJtmgjSvRZvXDH,electronics,12
prod544,GkCiSTIMncKCzYS,appliances,15
prod545,lZcPUNkZlesvJEA,electronics,6
prod546,SPGMyoUsBeAmpLJ,appliances,3
prod547,BZIeezRbCnRtNQN,furniture,2
prod548,arWbLUVDXdUIzWG,appliances,15
prod549,LGDgEcuLaVeOKvh,furniture,7
prod550,QQRAGowCcJNYZnY,electronics,4
prod551,EKPuVlEDBqyWHhR,appliances,6
prod552,nOOJRuUiRyOkPDQ,electronics,13
prod553,mjhLspVBCKWWEEB,electronics,15
prod554,GqNGIIPXDdhwIKI,furniture,3
prod555,rvbQtDKHChWMEKB,furniture,11
prod556,GkGYpbkYzDutuQB,furniture,9
prod557,sCjhMoCSiTcauSh,furniture,8
prod558,ANYEaTBCUUZtaRZ,appliances,7
