rental_id,customer_id,product_id,quantity
r314,user726,prd926,3
r315,user870,prd758,7
r316,user659,prd991,2
r317,user781,prd197,3
r318,user873,prd708,1
r319,user42,prd254,1
r320,user848,prd519,3
r321,user957,prd498,6
r322,user747,prd593,7
r323,user795,prd150,7
r324,user504,prd845,7
r325,user402,prd357,1
r326,user266,prd194,5
r327,user965,prd903,2
r328,user278,prd162,2
r329,user868,prd580,1
r330,user972,prd433,1
r331,user933,prd421,5
r332,user738,prd517,5
r333,user42,prd106,6
r334,user238,prd530,6
r335,user324,prd767,4
r336,user16,prd941,4
r337,user720,prd599,7
r338,user681,prd899,2
r339,user146,prd822,6
r340,user657,prd839,4
r341,user657,prd980,7
r342,user436,prd157,6
r343,user213,prd939,2
r344,user984,prd480,1
r345,user734,prd19,7
r346,user364,prd1,4
r347,user475,prd128,1
r348,user223,prd891,3
r349,user416,prd244,6
r350,user870,prd320,4
r351,user91,prd857,2
r352,user211,prd226,7
r353,user348,prd581,4
r354,user890,prd475,2
r355,user309,prd555,1
r356,user440,prd820,1
r357,user649,prd500,1
r358,user324,prd913,1
r359,user55,prd885,6
r360,user230,prd699,6
r361,user639,prd456,3
r362,user733,prd303,5
r363,user743,prd963,1
r364,user856,prd937,5
r365,user995,prd144,5
r366,user991,prd546,7
r367,user416,prd207,1
r368,user859,prd764,6
r369,user106,prd828,6
r370,user638,prd279,2
r371,user897,prd926,2
r372,user818,prd77,6
r373,user560,prd436,7
r374,user56,prd918,7
r375,user750,prd424,2
r376,user570,prd584,1
r377,user169,prd564,6
r378,user621,prd733,6
r379,user466,prd524,3
r380,user756,prd136,4
r381,user398,prd267,5
r382,user887,prd854,7
r383,user997,prd496,7
r384,user989,prd764,4
r385,user373,prd34,7
r386,user256,prd223,6
r387,user182,prd379,4
r388,user114,prd871,1
r389,user986,prd81,1
r390,user146,prd619,3
r391,user157,prd614,7
r392,user74,prd439,6
r393,user474,prd37,6
r394,user94,prd89,1
r395,user922,prd105,4
r396,user71,prd675,5
r397,user447,prd291,6
r398,user3,prd572,2
r399,user986,prd964,2
r400,user441,prd64,7
r401,user425,prd211,5
r402,user282,prd936,3
r403,user42,prd630,6
r404,user792,prd40,2
r405,user792,prd513,5
r406,user460,prd565,7
r407,user617,prd347,2
r408,user714,prd143,1
r409,user196,prd842,1
r410,user203,prd857,3
r411,user962,prd917,6
r412,user446,prd286,6
r413,user90,prd645,4
r414,user28,prd853,7
r415,user429,prd699,6
r416,user999,prd768,3
r417,user427,prd275,2
r418,user283,prd798,1
r419,user759,prd837,7
r420,user825,prd74,2
r421,user261,prd84,2
r422,user119,prd334,2
r423,user635,prd515,1
r424,user141,prd922,5
r425,user158,prd903,6
r426,user259,prd28,1
r427,user636,prd747,5
r428,user431,prd522,4
r429,user687,prd444,3
r430,user59,prd479,5
r431,user55,prd77,5
r432,user724,prd305,7
r433,user202,prd369,7
r434,user2,prd804,5
r435,user550,prd310,6
r436,user292,prd464,1
r437,user575,prd513,2
r438,user200,prd176,1
r439,user297,prd505,7
r440,user996,prd734,4
r441,user345,prd385,4
r442,user540,prd440,7
r443,user595,prd822,2
r444,user459,prd727,4
r445,user352,prd201,1
r446,user565,prd472,5
r447,user347,prd18,1
r448,user412,prd381,3
r449,user807,prd889,7
r450,user960,prd565,7
r451,user76,prd582,5
r452,user468,prd359,1
r453,user758,prd50,2
r454,user792,prd376,1
r455,user414,prd17,7
r456,user179,prd974,4
r457,user481,prd947,4
r458,user664,prd8,6
r459,user164,prd22,6
r460,user998,prd48,3
r461,user367,prd895,5
r462,user162,prd564,6
r463,user254,prd965,1
r464,user756,prd889,6
r465,user316,prd795,6
r466,user620,prd868,5
r467,user951,prd680,4
r468,user257,prd176,4
r469,user352,prd905,1
r470,user601,prd552,4
r471,user917,prd286,6
r472,user625,prd829,3
r473,user356,prd381,5
r474,user18,prd303,5
r475,user260,prd175,2
r476,user845,prd300,4
r477,user593,prd383,6
r478,user316,prd202,1
r479,user909,prd158,5
r480,user751,prd479,4
r481,user244,prd728,1
r482,user199,prd920,3
r483,user351,prd42,1
r484,user878,prd367,2
r485,user808,prd791,1
r486,user382,prd195,2
r487,user43,prd966,1
r488,user951,prd548,3
r489,user823,prd311,5
r490,user512,prd125,6
r491,user85,prd432,2
r492,user847,prd26,1
r493,user784,prd483,6
r494,user621,prd238,3
r495,user884,prd117,3
r496,user909,prd505,4
r497,user728,prd926,1
r498,user171,prd683,1
r499,user320,prd722,5
r500,user666,prd395,3
r501,user205,prd219,3
r502,user445,prd413,6
r503,user407,prd967,7
r504,user40,prd232,3
r505,user867,prd527,2
r506,user85,prd269,7
r507,user844,prd106,4
r508,user881,prd308,6
r509,user902,prd891,2
r510,user416,prd224,7
r511,user387,prd87,3
r512,user833,prd61,3
r513,user269,prd484,5
r514,user738,prd914,6
r515,user763,prd186,2
r516,user884,prd960,3
r517,user417,prd24,3
r518,user858,prd855,6
r519,user543,prd536,4
r520,user426,prd834,3
r521,user203,prd984,3
r522,user588,prd920,5
r523,user411,prd4,6
r524,user824,prd138,4
r525,user807,prd527,6
r526,user579,prd708,4
r527,user105,prd426,7
r528,user941,prd472,3
r529,user52,prd362,2
r530,user184,prd911,7
r531,user925,prd495,6
r532,user266,prd527,4
r533,user509,prd687,5
r534,user897,prd627,5
r535,user914,prd689,1
r536,user149,prd669,1
r537,user771,prd575,1
r538,user27,prd737,7
r539,user89,prd745,3
r540,user276,prd392,3
r541,user595,prd925,3
r542,user323,prd979,4
r543,user12,prd581,2
r544,user808,prd47,5
r545,user654,prd110,5
r546,user763,prd369,1
r547,user110,prd867,2
r548,user447,prd610,2
r549,user738,prd492,6
r550,user58,prd539,3
r551,user621,prd366,4
r552,user140,prd378,7
r553,user826,prd406,4
r554,user851,prd809,1
r555,user800,prd466,5
r556,user564,prd808,4
r557,user361,prd734,7
r558,user143,prd955,7
r559,user936,prd53,3
r560,user268,prd466,2
r561,user87,prd310,2
r562,user454,prd536,6
r563,user316,prd776,4
r564,user466,prd903,6
r565,user779,prd604,1
r566,user565,prd283,6
r567,user164,prd172,6
r568,user275,prd533,4
r569,user871,prd416,4
r570,user790,prd48,7
r571,user473,prd599,1
r572,user796,prd488,1
r573,user122,prd354,5
r574,user987,prd42,2
r575,user477,prd507,6
r576,user534,prd147,3
r577,user721,prd797,4
r578,user705,prd375,2
r579,user426,prd364,5
r580,user472,prd133,2
r581,user262,prd726,3
r582,user80,prd938,3
r583,user961,prd456,7
r584,user540,prd330,6
r585,user993,prd464,5
r586,user295,prd668,1
r587,user710,prd709,2
r588,user417,prd873,2
r589,user516,prd537,3
r590,user60,prd2,7
r591,user333,prd951,7
r592,user803,prd730,1
r593,user39,prd609,4
r594,user316,prd720,3
r595,user526,prd766,3
r596,user838,prd892,2
r597,user3,prd935,5
r598,user105,prd18,3
r599,user729,prd520,5
r600,user574,prd1,4
r601,user366,prd53,1
r602,user593,prd610,3
r603,user176,prd504,2
r604,user462,prd70,5
r605,user722,prd404,7
r606,user293,prd497,3
r607,user63,prd813,4
r608,user336,prd936,2
r609,user589,prd558,5
r610,user416,prd454,6
r611,user210,prd289,3
r612,user839,prd997,2
r613,user738,prd121,1
r614,user176,prd122,4
r615,user152,prd363,3
r616,user514,prd470,2
r617,user882,prd908,4
r618,user88,prd398,5
r619,user145,prd876,6
r620,user231,prd785,1
r621,user480,prd353,5
r622,user78,prd140,1
r623,user740,prd293,2
r624,user535,prd450,4
r625,user623,prd167,7
r626,user249,prd336,2
r627,user679,prd428,6
r628,user290,prd841,7
r629,user762,prd147,6
r630,user644,prd209,3
r631,user641,prd721,7
r632,user237,prd459,4
r633,user250,prd233,4
r634,user844,prd917,3
r635,user554,prd940,7
r636,user375,prd471,2
r637,user739,prd107,4
r638,user730,prd943,4
r639,user687,prd568,2
r640,user458,prd990,3
r641,user41,prd489,3
r642,user869,prd887,7
r643,user532,prd561,7
r644,user429,prd210,2
r645,user168,prd729,1
r646,user277,prd915,2
r647,user203,prd82,2
r648,user273,prd693,1
r649,user35,prd602,4
r650,user845,prd349,5
r651,user712,prd31,7
r652,user347,prd331,5
r653,user264,prd947,2
r654,user947,prd659,6
r655,user758,prd710,3
r656,user295,prd647,3
r657,user686,prd870,3
r658,user177,prd5,5
r659,user298,prd274,2
r660,user135,prd192,4
r661,user416,prd912,7
r662,user303,prd538,7
r663,user9,prd899,1
r664,user766,prd81,2
r665,user808,prd255,6
r666,user580,prd637,6
r667,user717,prd790,2
r668,user650,prd902,7
r669,user764,prd844,4
r670,user244,prd445,4
r671,user557,prd717,7
r672,user103,prd548,7
r673,user383,prd461,2
r674,user607,prd786,7
r675,user312,prd379,4
r676,user94,prd776,2
r677,user194,prd218,4
r678,user466,prd143,5
r679,user189,prd143,1
r680,user947,prd740,2
r681,user996,prd689,1
r682,user41,prd536,6
r683,user912,prd292,5
r684,user658,prd64,6
r685,user898,prd992,2
r686,user480,prd468,5
r687,user651,prd926,3
r688,user277,prd909,2
r689,user106,prd186,7
r690,user450,prd510,1
r691,user185,prd438,2
r692,user16,prd904,2
r693,user452,prd411,6
r694,user768,prd161,2
r695,user385,prd996,2
r696,user2,prd122,7
r697,user148,prd956,2
r698,user539,prd135,7
r699,user189,prd505,4
r700,user308,prd89,5
r701,user922,prd275,3
r702,user182,prd383,6
r703,user675,prd356,7
r704,user214,prd548,3
r705,user129,prd160,3
r706,user454,prd518,3
r707,user243,prd987,1
r708,user200,prd861,6
r709,user513,prd50,4
r710,user393,prd959,1
r711,user524,prd943,6
r712,user963,prd812,4
r713,user539,prd973,3
r714,user875,prd253,2
r715,user795,prd7,3
r716,user597,prd792,4
r717,user608,prd117,6
r718,user919,prd504,2
r719,user426,prd773,1
r720,user113,prd9,3
r721,user880,prd350,3
r722,user419,prd882,2
r723,user235,prd899,3
r724,user953,prd636,7
r725,user678,prd371,7
r726,user10,prd394,2
r727,user784,prd292,6
r728,user229,prd128,7
r729,user39,prd193,1
r730,user982,prd450,5
r731,user443,prd797,1
r732,user556,prd415,4
r733,user380,prd333,2
r734,user3,prd478,4
r735,user216,prd175,6
r736,user259,prd859,2
r737,user910,prd760,5
r738,user400,prd985,2
r739,user84,prd452,7
r740,user659,prd377,5
r741,user159,prd417,4
r742,user733,prd630,7
r743,user842,prd281,2
r744,user202,prd320,2
r745,user95,prd903,4
r746,user660,prd356,2
r747,user218,prd632,4
r748,user299,prd794,3
r749,user416,prd621,5
r750,user667,prd524,6
r751,user855,prd591,2
r752,user660,prd679,2
r753,user478,prd924,3
r754,user964,prd274,1
r755,user671,prd40,4
r756,user10,prd512,7
r757,user91,prd971,4
r758,user701,prd205,7
r759,user692,prd137,7
r760,user998,prd331,6
r761,user351,prd870,6
r762,user694,prd804,2
r763,user611,prd286,5
r764,user160,prd672,5
r765,user358,prd635,3
r766,user218,prd296,6
r767,user239,prd536,7
r768,user819,prd522,3
r769,user124,prd518,1
r770,user70,prd90,2
r771,user85,prd889,6
r772,user216,prd60,1
r773,user193,prd839,3
r774,user906,prd817,7
r775,user598,prd620,6
r776,user265,prd784,1
r777,user262,prd180,1
r778,user447,prd28,6
r779,user681,prd993,2
r780,user127,prd402,6
r781,user34,prd308,3
r782,user526,prd712,7
r783,user128,prd529,6
r784,user678,prd62,5
r785,user298,prd685,2
r786,user36,prd23,6
r787,user16,prd803,3
r788,user136,prd758,3
r789,user400,prd391,4
r790,user891,prd433,3
r791,user82,prd570,4
r792,user671,prd679,5
r793,user398,prd409,7
r794,user764,prd166,6
r795,user704,prd704,6
r796,user787,prd573,2
r797,user284,prd512,5
r798,user843,prd318,5
r799,user834,prd938,3
r800,user985,prd897,7
r801,user875,prd386,5
r802,user60,prd37,7
r803,user660,prd391,3
r804,user459,prd941,2
r805,user43,prd676,6
r806,user297,prd483,6
r807,user406,prd238,4
r808,user721,prd596,1
r809,user768,prd928,3
r810,user766,prd911,1
r811,user893,prd880,2
r812,user828,prd690,1
r813,user954,prd633,3
r814,user764,prd958,6
r815,user555,prd247,2
r816,user740,prd739,5
r817,user891,prd308,1
r818,user653,prd372,7
r819,user890,prd579,7
r820,user976,prd42,4
r821,user349,prd151,2
r822,user283,prd563,6
r823,user381,prd308,6
r824,user305,prd930,4
r825,user536,prd561,2
r826,user659,prd413,1
r827,user406,prd47,1
r828,user747,prd572,1
r829,user488,prd367,1
r830,user229,prd409,6
r831,user409,prd589,4
r832,user29,prd485,1
r833,user399,prd959,7
r834,user119,prd212,3
r835,user66,prd272,4
r836,user725,prd796,5
r837,user342,prd167,6
r838,user705,prd447,7
r839,user35,prd710,5
r840,user229,prd23,1
r841,user815,prd59,7
r842,user615,prd377,4
r843,user139,prd860,3
r844,user533,prd614,3
r845,user723,prd288,1
r846,user8,prd403,4
r847,user19,prd953,1
r848,user735,prd312,4
r849,user353,prd242,5
r850,user322,prd171,7
r851,user884,prd913,6
r852,user19,prd374,5
r853,user541,prd897,6
r854,user868,prd579,5
r855,user597,prd767,4
r856,user707,prd314,4
r857,user57,prd544,7
r858,user97,prd959,2
r859,user354,prd625,7
r860,user7,prd338,6
r861,user68,prd275,7
r862,user400,prd200,7
r863,user442,prd184,4
r864,user623,prd14,6
r865,user300,prd590,6
r866,user783,prd510,5
r867,user840,prd514,2
r868,user308,prd72,4
r869,user206,prd900,1
r870,user140,prd284,2
r871,user897,prd269,7
r872,user961,prd58,5
r873,user470,prd493,5
r874,user956,prd377,6
r875,user769,prd748,6
r876,user673,prd427,7
r877,user529,prd892,6
r878,user331,prd891,1
r879,user724,prd847,4
r880,user815,prd558,7
r881,user391,prd925,6
r882,user775,prd497,7
r883,user297,prd785,4
r884,user84,prd645,6
r885,user890,prd941,3
r886,user942,prd783,6
r887,user642,prd826,1
r888,user32,prd710,5
r889,user287,prd224,2
r890,user123,prd168,4
r891,user402,prd282,2
r892,user442,prd24,6
r893,user112,prd723,5
r894,user811,prd988,5
r895,user710,prd992,2
r896,user146,prd701,4
r897,user463,prd132,4
r898,user528,prd13,3
r899,user924,prd769,4
r900,user561,prd944,1
r901,user82,prd49,1
r902,user922,prd665,1
r903,user860,prd224,4
r904,user191,prd661,7
r905,user163,prd444,4
r906,user878,prd889,5
r907,user73,prd89,7
r908,user337,prd526,5
r909,user990,prd901,6
r910,user29,prd89,7
r911,user555,prd119,2
r912,user868,prd416,7
r913,user262,prd64,2
r914,user975,prd427,1
r915,user355,prd964,3
r916,user351,prd507,7
r917,user697,prd108,1
r918,user618,prd428,1
r919,user744,prd747,3
r920,user548,prd708,3
r921,user143,prd302,6
r922,user652,prd145,6
r923,user13,prd665,1
r924,user216,prd248,1
r925,user867,prd661,4
r926,user880,prd1,6
r927,user878,prd357,3
r928,user864,prd960,3
r929,user920,prd462,5
r930,user390,prd520,2
r931,user336,prd922,3
r932,user614,prd335,2
r933,user824,prd472,2
r934,user811,prd105,4
r935,user473,prd300,1
r936,user91,prd878,3
r937,user3,prd813,2
r938,user341,prd11,2
r939,user988,prd447,2
r940,user996,prd489,6
r941,user783,prd367,1
r942,user658,prd296,7
r943,user341,prd698,2
r944,user728,prd564,2
r945,user871,prd678,2
r946,user36,prd567,1
r947,user195,prd979,5
r948,user844,prd694,5
r949,user27,prd33,5
r950,user806,prd940,2
r951,user539,prd733,4
r952,user372,prd423,6
r953,user1,prd486,2
r954,user124,prd278,3
r955,user215,prd613,3
r956,user551,prd418,7
r957,user41,prd931,5
r958,user289,prd345,1
r959,user660,prd428,1
r960,user352,prd389,4
r961,user123,prd892,5
r962,user888,prd795,1
r963,user579,prd899,2
r964,user822,prd520,4
r965,user754,prd567,6
r966,user570,prd758,7
r967,user941,prd331,5
r968,user268,prd508,2
r969,user685,prd796,2
r970,user725,prd17,1
r971,user619,prd122,4
r972,user374,prd208,6
r973,user971,prd542,1
r974,user99,prd264,1
r975,user861,prd698,4
r976,user902,prd55,4
r977,user984,prd353,4
r978,user467,prd671,4
r979,user791,prd630,7
r980,user628,prd343,1
r981,user853,prd680,3
r982,user422,prd171,3
r983,user43,prd314,3
r984,user77,prd97,4
r985,user836,prd245,6
r986,user799,prd153,1
r987,user688,prd118,5
r988,user591,prd828,1
r989,user242,prd828,1
r990,user59,prd645,2
r991,user126,prd427,2
r992,user214,prd716,3
r993,user119,prd615,3
r994,user291,prd973,4
r995,user368,prd708,5
r996,user863,prd828,6
r997,user573,prd422,6
r998,user294,prd345,5
r999,user56,prd596,2
r1000,user849,prd915,1
r1001,user347,prd660,5
r1002,user285,prd135,4
r1003,user795,prd893,5
r1004,user918,prd757,6
r1005,user291,prd848,5
r1006,user786,prd361,2
r1007,user624,prd976,1
r1008,user784,prd743,6
r1009,user693,prd20,2
r1010,user8,prd634,1
r1011,user206,prd936,3
r1012,user360,prd105,2
r1013,user207,prd597,3
r1014,user222,prd607,6
r1015,user688,prd680,7
r1016,user761,prd252,4
r1017,user716,prd482,6
r1018,user413,prd957,1
r1019,user859,prd670,7
r1020,user499,prd884,6
r1021,user650,prd614,6
r1022,user631,prd196,7
r1023,user324,prd953,3
r1024,user196,prd892,3
r1025,user428,prd685,6
r1026,user254,prd174,1
r1027,user470,prd108,3
r1028,user547,prd542,6
r1029,user286,prd585,2
r1030,user305,prd207,6
r1031,user267,prd259,5
r1032,user163,prd160,7
r1033,user245,prd133,7
r1034,user67,prd712,1
r1035,user254,prd709,1
r1036,user368,prd768,1
r1037,user615,prd152,5
r1038,user219,prd976,7
r1039,user68,prd555,2
r1040,user273,prd993,5
r1041,user285,prd700,4
r1042,user752,prd172,7
r1043,user412,prd960,2
r1044,user262,prd377,1
r1045,user40,prd343,3
r1046,user461,prd642,3
r1047,user97,prd35,1
r1048,user839,prd657,2
r1049,user596,prd932,7
r1050,user819,prd884,4
r1051,user661,prd367,4
r1052,user696,prd517,3
r1053,user279,prd612,7
r1054,user797,prd150,6
r1055,user707,prd311,5
r1056,user342,prd696,7
r1057,user505,prd586,6
r1058,user927,prd589,7
r1059,user863,prd639,2
r1060,user152,prd779,6
r1061,user790,prd605,1
r1062,user623,prd452,6
r1063,user669,prd105,5
r1064,user123,prd677,5
r1065,user683,prd604,5
r1066,user422,prd654,3
r1067,user359,prd165,2
r1068,user496,prd219,4
r1069,user435,prd647,6
r1070,user399,prd874,2
r1071,user833,prd483,4
r1072,user10,prd311,4
r1073,user121,prd7,4
r1074,user6,prd948,6
r1075,user60,prd699,4
r1076,user628,prd148,1
r1077,user384,prd363,7
r1078,user95,prd330,3
r1079,user940,prd496,7
r1080,user375,prd822,1
r1081,user70,prd643,2
r1082,user809,prd106,3
r1083,user895,prd814,1
r1084,user671,prd811,6
r1085,user126,prd360,4
r1086,user100,prd37,6
r1087,user472,prd140,3
r1088,user127,prd546,3
r1089,user849,prd996,1
r1090,user204,prd401,2
r1091,user8,prd915,3
r1092,user271,prd394,3
r1093,user715,prd522,4
r1094,user741,prd854,3
r1095,user922,prd798,4
r1096,user244,prd620,5
r1097,user278,prd505,1
r1098,user733,prd184,6
r1099,user566,prd652,4
r1100,user595,prd709,7
r1101,user443,prd113,1
r1102,user387,prd884,7
r1103,user92,prd684,5
r1104,user639,prd348,4
r1105,user458,prd742,4
r1106,user886,prd977,2
r1107,user306,prd878,1
r1108,user635,prd960,2
r1109,user659,prd756,6
r1110,user545,prd926,2
r1111,user899,prd844,4
r1112,user406,prd670,7
r1113,user926,prd766,2
r1114,user672,prd751,1
r1115,user423,prd901,3
r1116,user781,prd595,6
r1117,user799,prd251,1
r1118,user520,prd154,4
r1119,user804,prd379,4
r1120,user892,prd209,4
r1121,user170,prd613,3
r1122,user3,prd842,4
r1123,user563,prd350,5
r1124,user225,prd836,2
r1125,user662,prd840,5
r1126,user366,prd81,6
r1127,user331,prd639,3
r1128,user368,prd21,6
r1129,user541,prd466,6
r1130,user507,prd710,7
r1131,user957,prd894,7
r1132,user162,prd747,7
r1133,user620,prd533,3
r1134,user10,prd530,4
r1135,user60,prd887,3
r1136,user333,prd573,1
r1137,user24,prd624,3
r1138,user60,prd628,5
r1139,user915,prd679,6
r1140,user573,prd727,7
r1141,user737,prd1,3
r1142,user105,prd961,5
r1143,user879,prd874,2
r1144,user642,prd592,7
r1145,user549,prd243,1
r1146,user762,prd516,6
r1147,user197,prd622,6
r1148,user172,prd621,7
r1149,user16,prd598,5
r1150,user618,prd652,5
r1151,user51,prd586,4
