020-08-11 01:17:10,951 charges_calc.py:163 DEBUG [RNT051] Value 'units_rented' read as 6
2020-08-11 01:17:10,975 charges_calc.py:163 DEBUG [RNT055] Value 'units_rented' read as 6
2020-08-11 01:17:10,975 charges_calc.py:177 DEBUG [RNT055] Value total_days set as 222
2020-08-11 01:17:10,976 charges_calc.py:177 DEBUG [RNT055] Value total_price set as 7326.0
2020-08-11 01:17:10,976 charges_calc.py:177 DEBUG [RNT055] Value total_sqrt set as 85.59205570612264
2020-08-11 01:17:10,976 charges_calc.py:177 DEBUG [RNT055] Value unit_cost set as 1221.0
2020-08-11 01:17:10,977 charges_calc.py:163 DEBUG [RNT056] Value 'product_code' read as PRD43
2020-08-11 01:17:10,977 charges_calc.py:163 DEBUG [RNT056] Value 'rental_start' read as 4/12/18
2020-08-11 01:17:10,977 charges_calc.py:163 DEBUG [RNT056] Value 'rental_end' read as 2/27/16
2020-08-11 01:17:10,978 charges_calc.py:163 DEBUG [RNT056] Value 'price_per_day' read as 40
2020-08-11 01:17:10,978 charges_calc.py:163 DEBUG [RNT056] Value 'units_rented' read as 9
2020-08-11 01:17:10,979 charges_calc.py:177 DEBUG [RNT056] Value total_days set as -775
2020-08-11 01:17:10,979 charges_calc.py:177 DEBUG [RNT056] Value total_price set as -31000.0
2020-08-11 01:17:10,980 charges_calc.py:175 WARNING [RNT056] Unabled to calculate total_sqrt. Using 0.0
2020-08-11 01:17:10,980 charges_calc.py:177 DEBUG [RNT056] Value total_sqrt set as 0.0
2020-08-11 01:17:10,981 charges_calc.py:177 DEBUG [RNT056] Value unit_cost set as -3444.4444444444443
2020-08-11 01:17:10,981 charges_calc.py:163 DEBUG [RNT057] Value 'product_code' read as PRD58
2020-08-11 01:17:10,981 charges_calc.py:163 DEBUG [RNT057] Value 'rental_start' read as 9/23/17
2020-08-11 01:17:10,982 charges_calc.py:163 DEBUG [RNT057] Value 'rental_end' read as 9/17/18
2020-08-11 01:17:10,982 charges_calc.py:163 DEBUG [RNT057] Value 'price_per_day' read as 23
2020-08-11 01:17:10,983 charges_calc.py:163 DEBUG [RNT057] Value 'units_rented' read as 4
2020-08-11 01:17:10,985 charges_calc.py:177 DEBUG [RNT057] Value total_days set as 359
2020-08-11 01:17:10,986 charges_calc.py:177 DEBUG [RNT057] Value total_price set as 8257.0
2020-08-11 01:17:10,993 charges_calc.py:177 DEBUG [RNT057] Value total_sqrt set as 90.86803618434813
2020-08-11 01:17:10,993 charges_calc.py:177 DEBUG [RNT057] Value unit_cost set as 2064.25
2020-08-11 01:17:10,994 charges_calc.py:163 DEBUG [RNT058] Value 'product_code' read as PRD35
2020-08-11 01:17:10,995 charges_calc.py:163 DEBUG [RNT058] Value 'rental_start' read as 7/14/17
2020-08-11 01:17:10,995 charges_calc.py:163 DEBUG [RNT058] Value 'rental_end' read as 1/25/17
2020-08-11 01:17:10,996 charges_calc.py:163 DEBUG [RNT058] Value 'price_per_day' read as 28
2020-08-11 01:17:10,996 charges_calc.py:163 DEBUG [RNT058] Value 'units_rented' read as 8
2020-08-11 01:17:10,997 charges_calc.py:177 DEBUG [RNT058] Value total_days set as -170
2020-08-11 01:17:10,997 charges_calc.py:177 DEBUG [RNT058] Value total_price set as -4760.0
2020-08-11 01:17:10,998 charges_calc.py:175 WARNING [RNT058] Unabled to calculate total_sqrt. Using 0.0
2020-08-11 01:17:10,998 charges_calc.py:177 DEBUG [RNT058] Value total_sqrt set as 0.0
2020-08-11 01:17:11,001 charges_calc.py:177 DEBUG [RNT058] Value unit_cost set as -595.0
2020-08-11 01:17:11,002 charges_calc.py:163 DEBUG [RNT059] Value 'product_code' read as PRD9
2020-08-11 01:17:11,003 charges_calc.py:163 DEBUG [RNT059] Value 'rental_start' read as 3/26/16
2020-08-11 01:17:11,004 charges_calc.py:163 DEBUG [RNT059] Value 'rental_end' read as 10/11/16
2020-08-11 01:17:11,005 charges_calc.py:163 DEBUG [RNT059] Value 'price_per_day' read as 7
2020-08-11 01:17:11,005 charges_calc.py:163 DEBUG [RNT059] Value 'units_rented' read as 8
2020-08-11 01:17:11,006 charges_calc.py:177 DEBUG [RNT059] Value total_days set as 199
2020-08-11 01:17:11,007 charges_calc.py:177 DEBUG [RNT059] Value total_price set as 1393.0
2020-08-11 01:17:11,008 charges_calc.py:177 DEBUG [RNT059] Value total_sqrt set as 37.322915213043046
2020-08-11 01:17:11,008 charges_calc.py:177 DEBUG [RNT059] Value unit_cost set as 174.125
2020-08-11 01:17:11,009 charges_calc.py:163 DEBUG [RNT060] Value 'product_code' read as PRD84
2020-08-11 01:17:11,009 charges_calc.py:163 DEBUG [RNT060] Value 'rental_start' read as 2/15/16
2020-08-11 01:17:11,010 charges_calc.py:163 DEBUG [RNT060] Value 'rental_end' read as 1/18/16
2020-08-11 01:17:11,011 charges_calc.py:163 DEBUG [RNT060] Value 'price_per_day' read as 29
2020-08-11 01:17:11,011 charges_calc.py:163 DEBUG [RNT060] Value 'units_rented' read as 8
2020-08-11 01:17:11,012 charges_calc.py:177 DEBUG [RNT060] Value total_days set as -28
2020-08-11 01:17:11,013 charges_calc.py:177 DEBUG [RNT060] Value total_price set as -812.0
2020-08-11 01:17:11,014 charges_calc.py:175 WARNING [RNT060] Unabled to calculate total_sqrt. Using 0.0
2020-08-11 01:17:11,014 charges_calc.py:177 DEBUG [RNT060] Value total_sqrt set as 0.0
2020-08-11 01:17:11,015 charges_calc.py:177 DEBUG [RNT060] Value unit_cost set as -101.5
2020-08-11 01:17:11,015 charges_calc.py:163 DEBUG [RNT061] Value 'product_code' read as PRD35
2020-08-11 01:17:11,015 charges_calc.py:163 DEBUG [RNT061] Value 'rental_start' read as 2/12/18
2020-08-11 01:17:11,016 charges_calc.py:163 DEBUG [RNT061] Value 'rental_end' read as 2/28/17
2020-08-11 01:17:11,016 charges_calc.py:163 DEBUG [RNT061] Value 'price_per_day' read as 24
2020-08-11 01:17:11,017 charges_calc.py:163 DEBUG [RNT061] Value 'units_rented' read as 8
2020-08-11 01:17:11,019 charges_calc.py:177 DEBUG [RNT061] Value total_days set as -349
2020-08-11 01:17:11,020 charges_calc.py:177 DEBUG [RNT061] Value total_price set as -8376.0
2020-08-11 01:17:11,022 charges_calc.py:175 WARNING [RNT061] Unabled to calculate total_sqrt. Using 0.0
2020-08-11 01:17:11,025 charges_calc.py:177 DEBUG [RNT061] Value total_sqrt set as 0.0
2020-08-11 01:17:11,026 charges_calc.py:177 DEBUG [RNT061] Value unit_cost set as -1047.0
2020-08-11 01:17:11,027 charges_calc.py:163 DEBUG [RNT062] Value 'product_code' read as PRD29
2020-08-11 01:17:11,028 charges_calc.py:163 DEBUG [RNT062] Value 'rental_start' read as 8/25/18
2020-08-11 01:17:11,029 charges_calc.py:163 DEBUG [RNT062] Value 'rental_end' read as 6/3/18
2020-08-11 01:17:11,029 charges_calc.py:163 DEBUG [RNT062] Value 'price_per_day' read as 12
2020-08-11 01:17:11,029 charges_calc.py:163 DEBUG [RNT062] Value 'units_rented' read as 3
2020-08-11 01:17:11,030 charges_calc.py:177 DEBUG [RNT062] Value total_days set as -83
2020-08-11 01:17:11,031 charges_calc.py:177 DEBUG [RNT062] Value total_price set as -996.0
2020-08-11 01:17:11,031 charges_calc.py:175 WARNING [RNT062] Unabled to calculate total_sqrt. Using 0.0
2020-08-11 01:17:11,032 charges_calc.py:177 DEBUG [RNT062] Value total_sqrt set as 0.0
2020-08-11 01:17:11,032 charges_calc.py:177 DEBUG [RNT062] Value unit_cost set as -332.0
2020-08-11 01:17:11,033 charges_calc.py:163 DEBUG [RNT063] Value 'product_code' read as PRD47
2020-08-11 01:17:11,033 charges_calc.py:163 DEBUG [RNT063] Value 'rental_start' read as 1/11/17
2020-08-11 01:17:11,034 charges_calc.py:163 DEBUG [RNT063] Value 'rental_end' read as 5/18/18
2020-08-11 01:17:11,034 charges_calc.py:163 DEBUG [RNT063] Value 'price_per_day' read as 35
2020-08-11 01:17:11,035 charges_calc.py:163 DEBUG [RNT063] Value 'units_rented' read as 4
2020-08-11 01:17:11,036 charges_calc.py:177 DEBUG [RNT063] Value total_days set as 492
2020-08-11 01:17:11,037 charges_calc.py:177 DEBUG [RNT063] Value total_price set as 17220.0
2020-08-11 01:17:11,037 charges_calc.py:177 DEBUG [RNT063] Value total_sqrt set as 131.224997618594
2020-08-11 01:17:11,038 charges_calc.py:177 DEBUG [RNT063] Value unit_cost set as 4305.0
2020-08-11 01:17:11,038 charges_calc.py:163 DEBUG [RNT064] Value 'product_code' read as PRD83
2020-08-11 01:17:11,038 charges_calc.py:163 DEBUG [RNT064] Value 'rental_start' read as 2/24/17
2020-08-11 01:17:11,039 charges_calc.py:163 DEBUG [RNT064] Value 'rental_end' read as 6/28/17
2020-08-11 01:17:11,039 charges_calc.py:163 DEBUG [RNT064] Value 'price_per_day' read as 23
2020-08-11 01:17:11,039 charges_calc.py:163 DEBUG [RNT064] Value 'units_rented' read as 3
2020-08-11 01:17:11,040 charges_calc.py:177 DEBUG [RNT064] Value total_days set as 124
2020-08-11 01:17:11,040 charges_calc.py:177 DEBUG [RNT064] Value total_price set as 2852.0
2020-08-11 01:17:11,040 charges_calc.py:177 DEBUG [RNT064] Value total_sqrt set as 53.40411969127476
2020-08-11 01:17:11,041 charges_calc.py:177 DEBUG [RNT064] Value unit_cost set as 950.6666666666666
2020-08-11 01:17:11,041 charges_calc.py:163 DEBUG [RNT065] Value 'product_code' read as PRD61
2020-08-11 01:17:11,041 charges_calc.py:163 DEBUG [RNT065] Value 'rental_start' read as 10/11/18
2020-08-11 01:17:11,042 charges_calc.py:163 DEBUG [RNT065] Value 'rental_end' read as 12/12/16
2020-08-11 01:17:11,042 charges_calc.py:163 DEBUG [RNT065] Value 'price_per_day' read as 11
2020-08-11 01:17:11,042 charges_calc.py:163 DEBUG [RNT065] Value 'units_rented' read as 1
2020-08-11 01:17:11,043 charges_calc.py:177 DEBUG [RNT065] Value total_days set as -668
2020-08-11 01:17:11,043 charges_calc.py:177 DEBUG [RNT065] Value total_price set as -7348.0
2020-08-11 01:17:11,044 charges_calc.py:175 WARNING [RNT065] Unabled to calculate total_sqrt. Using 0.0
2020-08-11 01:17:11,044 charges_calc.py:177 DEBUG [RNT065] Value total_sqrt set as 0.0
2020-08-11 01:17:11,044 charges_calc.py:177 DEBUG [RNT065] Value unit_cost set as -7348.0
2020-08-11 01:17:11,045 charges_calc.py:163 DEBUG [RNT066] Value 'product_code' read as PRD74
2020-08-11 01:17:11,045 charges_calc.py:163 DEBUG [RNT066] Value 'rental_start' read as 2/28/16
2020-08-11 01:17:11,045 charges_calc.py:163 DEBUG [RNT066] Value 'rental_end' read as 11/12/17
2020-08-11 01:17:11,046 charges_calc.py:163 DEBUG [RNT066] Value 'price_per_day' read as 39
2020-08-11 01:17:11,047 charges_calc.py:163 DEBUG [RNT066] Value 'units_rented' read as 10
2020-08-11 01:17:11,048 charges_calc.py:177 DEBUG [RNT066] Value total_days set as 623
2020-08-11 01:17:11,048 charges_calc.py:177 DEBUG [RNT066] Value total_price set as 24297.0
2020-08-11 01:17:11,049 charges_calc.py:177 DEBUG [RNT066] Value total_sqrt set as 155.87494987970325
2020-08-11 01:17:11,049 charges_calc.py:177 DEBUG [RNT066] Value unit_cost set as 2429.7
2020-08-11 01:17:11,050 charges_calc.py:163 DEBUG [RNT067] Value 'product_code' read as PRD29
2020-08-11 01:17:11,050 charges_calc.py:163 DEBUG [RNT067] Value 'rental_start' read as 1/18/18
2020-08-11 01:17:11,051 charges_calc.py:163 DEBUG [RNT067] Value 'rental_end' read as 10/18/17
2020-08-11 01:17:11,052 charges_calc.py:163 DEBUG [RNT067] Value 'price_per_day' read as 31
2020-08-11 01:17:11,053 charges_calc.py:163 DEBUG [RNT067] Value 'units_rented' read as 5
2020-08-11 01:17:11,060 charges_calc.py:177 DEBUG [RNT067] Value total_days set as -92
2020-08-11 01:17:11,060 charges_calc.py:177 DEBUG [RNT067] Value total_price set as -2852.0
2020-08-11 01:17:11,061 charges_calc.py:175 WARNING [RNT067] Unabled to calculate total_sqrt. Using 0.0
2020-08-11 01:17:11,062 charges_calc.py:177 DEBUG [RNT067] Value total_sqrt set as 0.0
2020-08-11 01:17:11,062 charges_calc.py:177 DEBUG [RNT067] Value unit_cost set as -570.4
2020-08-11 01:17:11,062 charges_calc.py:163 DEBUG [RNT068] Value 'product_code' read as PRD71
2020-08-11 01:17:11,063 charges_calc.py:163 DEBUG [RNT068] Value 'rental_start' read as 3/28/16
2020-08-11 01:17:11,063 charges_calc.py:163 DEBUG [RNT068] Value 'rental_end' read as 5/20/16
2020-08-11 01:17:11,063 charges_calc.py:163 DEBUG [RNT068] Value 'price_per_day' read as 38
2020-08-11 01:17:11,063 charges_calc.py:163 DEBUG [RNT068] Value 'units_rented' read as 5
2020-08-11 01:17:11,064 charges_calc.py:177 DEBUG [RNT068] Value total_days set as 53
2020-08-11 01:17:11,064 charges_calc.py:177 DEBUG [RNT068] Value total_price set as 2014.0
2020-08-11 01:17:11,065 charges_calc.py:177 DEBUG [RNT068] Value total_sqrt set as 44.87761134463375
2020-08-11 01:17:11,065 charges_calc.py:177 DEBUG [RNT068] Value unit_cost set as 402.8
2020-08-11 01:17:11,065 charges_calc.py:163 DEBUG [RNT069] Value 'product_code' read as PRD38
2020-08-11 01:17:11,066 charges_calc.py:163 DEBUG [RNT069] Value 'rental_start' read as 10/21/16
2020-08-11 01:17:11,066 charges_calc.py:163 DEBUG [RNT069] Value 'rental_end' read as 2/17/17
2020-08-11 01:17:11,066 charges_calc.py:163 DEBUG [RNT069] Value 'price_per_day' read as 27
2020-08-11 01:17:11,067 charges_calc.py:163 DEBUG [RNT069] Value 'units_rented' read as 9
2020-08-11 01:17:11,069 charges_calc.py:177 DEBUG [RNT069] Value total_days set as 119
2020-08-11 01:17:11,070 charges_calc.py:177 DEBUG [RNT069] Value total_price set as 3213.0
2020-08-11 01:17:11,070 charges_calc.py:177 DEBUG [RNT069] Value total_sqrt set as 56.68333088307355
2020-08-11 01:17:11,071 charges_calc.py:177 DEBUG [RNT069] Value unit_cost set as 357.0
2020-08-11 01:17:11,071 charges_calc.py:163 DEBUG [RNT070] Value 'product_code' read as PRD82
2020-08-11 01:17:11,072 charges_calc.py:163 DEBUG [RNT070] Value 'rental_start' read as 10/24/17
2020-08-11 01:17:11,072 charges_calc.py:163 DEBUG [RNT070] Value 'rental_end' read as 10/21/18
2020-08-11 01:17:11,072 charges_calc.py:163 DEBUG [RNT070] Value 'price_per_day' read as 13
2020-08-11 01:17:11,073 charges_calc.py:163 DEBUG [RNT070] Value 'units_rented' read as 3
2020-08-11 01:17:11,073 charges_calc.py:177 DEBUG [RNT070] Value total_days set as 362
2020-08-11 01:17:11,074 charges_calc.py:177 DEBUG [RNT070] Value total_price set as 4706.0
2020-08-11 01:17:11,074 charges_calc.py:177 DEBUG [RNT070] Value total_sqrt set as 68.60029154456998
2020-08-11 01:17:11,075 charges_calc.py:177 DEBUG [RNT070] Value unit_cost set as 1568.6666666666667
2020-08-11 01:17:11,075 charges_calc.py:163 DEBUG [RNT071] Value 'product_code' read as PRD38
2020-08-11 01:17:11,075 charges_calc.py:163 DEBUG [RNT071] Value 'rental_start' read as 10/5/16
2020-08-11 01:17:11,076 charges_calc.py:163 DEBUG [RNT071] Value 'rental_end' read as 5/25/16
2020-08-11 01:17:11,076 charges_calc.py:163 DEBUG [RNT071] Value 'price_per_day' read as 6
2020-08-11 01:17:11,076 charges_calc.py:163 DEBUG [RNT071] Value 'units_rented' read as 9
2020-08-11 01:17:11,077 charges_calc.py:177 DEBUG [RNT071] Value total_days set as -133
2020-08-11 01:17:11,078 charges_calc.py:177 DEBUG [RNT071] Value total_price set as -798.0
2020-08-11 01:17:11,078 charges_calc.py:175 WARNING [RNT071] Unabled to calculate total_sqrt. Using 0.0
2020-08-11 01:17:11,078 charges_calc.py:177 DEBUG [RNT071] Value total_sqrt set as 0.0
2020-08-11 01:17:11,079 charges_calc.py:177 DEBUG [RNT071] Value unit_cost set as -88.66666666666667
2020-08-11 01:17:11,079 charges_calc.py:163 DEBUG [RNT072] Value 'product_code' read as PRD53
2020-08-11 01:17:11,079 charges_calc.py:163 DEBUG [RNT072] Value 'rental_start' read as 10/6/16
2020-08-11 01:17:11,080 charges_calc.py:163 DEBUG [RNT072] Value 'rental_end' read as 6/19/18
2020-08-11 01:17:11,080 charges_calc.py:163 DEBUG [RNT072] Value 'price_per_day' read as 32
2020-08-11 01:17:11,080 charges_calc.py:163 DEBUG [RNT072] Value 'units_rented' read as 8
2020-08-11 01:17:11,081 charges_calc.py:177 DEBUG [RNT072] Value total_days set as 621
2020-08-11 01:17:11,081 charges_calc.py:177 DEBUG [RNT072] Value total_price set as 19872.0
2020-08-11 01:17:11,081 charges_calc.py:177 DEBUG [RNT072] Value total_sqrt set as 140.96808149364875
2020-08-11 01:17:11,082 charges_calc.py:177 DEBUG [RNT072] Value unit_cost set as 2484.0
2020-08-11 01:17:11,082 charges_calc.py:163 DEBUG [RNT073] Value 'product_code' read as PRD37
2020-08-11 01:17:11,082 charges_calc.py:163 DEBUG [RNT073] Value 'rental_start' read as 4/3/18
2020-08-11 01:17:11,082 charges_calc.py:163 DEBUG [RNT073] Value 'rental_end' read as 9/8/18
2020-08-11 01:17:11,083 charges_calc.py:163 DEBUG [RNT073] Value 'price_per_day' read as 23
2020-08-11 01:17:11,083 charges_calc.py:163 DEBUG [RNT073] Value 'units_rented' read as 3
2020-08-11 01:17:11,084 charges_calc.py:177 DEBUG [RNT073] Value total_days set as 158
2020-08-11 01:17:11,085 charges_calc.py:177 DEBUG [RNT073] Value total_price set as 3634.0
2020-08-11 01:17:11,085 charges_calc.py:177 DEBUG [RNT073] Value total_sqrt set as 60.28266749240614
2020-08-11 01:17:11,086 charges_calc.py:177 DEBUG [RNT073] Value unit_cost set as 1211.3333333333333
2020-08-11 01:17:11,086 charges_calc.py:163 DEBUG [RNT074] Value 'product_code' read as PRD33
2020-08-11 01:17:11,087 charges_calc.py:163 DEBUG [RNT074] Value 'rental_start' read as 9/9/17
2020-08-11 01:17:11,087 charges_calc.py:163 DEBUG [RNT074] Value 'rental_end' read as 7/14/17
2020-08-11 01:17:11,087 charges_calc.py:163 DEBUG [RNT074] Value 'price_per_day' read as 22
2020-08-11 01:17:11,088 charges_calc.py:163 DEBUG [RNT074] Value 'units_rented' read as 9
2020-08-11 01:17:11,088 charges_calc.py:177 DEBUG [RNT074] Value total_days set as -57
2020-08-11 01:17:11,089 charges_calc.py:177 DEBUG [RNT074] Value total_price set as -1254.0
2020-08-11 01:17:11,089 charges_calc.py:175 WARNING [RNT074] Unabled to calculate total_sqrt. Using 0.0
2020-08-11 01:17:11,089 charges_calc.py:177 DEBUG [RNT074] Value total_sqrt set as 0.0
2020-08-11 01:17:11,090 charges_calc.py:177 DEBUG [RNT074] Value unit_cost set as -139.33333333333334
2020-08-11 01:17:11,090 charges_calc.py:163 DEBUG [RNT075] Value 'product_code' read as PRD2
2020-08-11 01:17:11,090 charges_calc.py:163 DEBUG [RNT075] Value 'rental_start' read as 4/25/16
2020-08-11 01:17:11,090 charges_calc.py:163 DEBUG [RNT075] Value 'rental_end' read as 11/13/18
2020-08-11 01:17:11,091 charges_calc.py:163 DEBUG [RNT075] Value 'price_per_day' read as 25
2020-08-11 01:17:11,091 charges_calc.py:163 DEBUG [RNT075] Value 'units_rented' read as 8
2020-08-11 01:17:11,092 charges_calc.py:177 DEBUG [RNT075] Value total_days set as 932
2020-08-11 01:17:11,092 charges_calc.py:177 DEBUG [RNT075] Value total_price set as 23300.0
2020-08-11 01:17:11,092 charges_calc.py:177 DEBUG [RNT075] Value total_sqrt set as 152.64337522473747
2020-08-11 01:17:11,093 charges_calc.py:177 DEBUG [RNT075] Value unit_cost set as 2912.5
2020-08-11 01:17:11,093 charges_calc.py:163 DEBUG [RNT076] Value 'product_code' read as PRD64
2020-08-11 01:17:11,093 charges_calc.py:163 DEBUG [RNT076] Value 'rental_start' read as 6/6/18
2020-08-11 01:17:11,093 charges_calc.py:163 DEBUG [RNT076] Value 'rental_end' read as 5/12/16
2020-08-11 01:17:11,094 charges_calc.py:163 DEBUG [RNT076] Value 'price_per_day' read as 20
2020-08-11 01:17:11,094 charges_calc.py:163 DEBUG [RNT076] Value 'units_rented' read as 4
2020-08-11 01:17:11,094 charges_calc.py:177 DEBUG [RNT076] Value total_days set as -755
2020-08-11 01:17:11,095 charges_calc.py:177 DEBUG [RNT076] Value total_price set as -15100.0
2020-08-11 01:17:11,096 charges_calc.py:175 WARNING [RNT076] Unabled to calculate total_sqrt. Using 0.0
2020-08-11 01:17:11,103 charges_calc.py:177 DEBUG [RNT076] Value total_sqrt set as 0.0
2020-08-11 01:17:11,104 charges_calc.py:177 DEBUG [RNT076] Value unit_cost set as -3775.0
2020-08-11 01:17:11,104 charges_calc.py:163 DEBUG [RNT077] Value 'product_code' read as PRD6
2020-08-11 01:17:11,104 charges_calc.py:163 DEBUG [RNT077] Value 'rental_start' read as 8/15/18
2020-08-11 01:17:11,104 charges_calc.py:163 DEBUG [RNT077] Value 'rental_end' read as 11/19/16
2020-08-11 01:17:11,104 charges_calc.py:163 DEBUG [RNT077] Value 'price_per_day' read as 14
2020-08-11 01:17:11,104 charges_calc.py:163 DEBUG [RNT077] Value 'units_rented' read as 8
2020-08-11 01:17:11,104 charges_calc.py:177 DEBUG [RNT077] Value total_days set as -634
2020-08-11 01:17:11,104 charges_calc.py:177 DEBUG [RNT077] Value total_price set as -8876.0
2020-08-11 01:17:11,104 charges_calc.py:175 WARNING [RNT077] Unabled to calculate total_sqrt. Using 0.0
2020-08-11 01:17:11,104 charges_calc.py:177 DEBUG [RNT077] Value total_sqrt set as 0.0
2020-08-11 01:17:11,104 charges_calc.py:177 DEBUG [RNT077] Value unit_cost set as -1109.5
2020-08-11 01:17:11,104 charges_calc.py:163 DEBUG [RNT078] Value 'product_code' read as PRD72
2020-08-11 01:17:11,104 charges_calc.py:163 DEBUG [RNT078] Value 'rental_start' read as 1/6/17
2020-08-11 01:17:11,104 charges_calc.py:163 DEBUG [RNT078] Value 'rental_end' read as 11/1/17
2020-08-11 01:17:11,104 charges_calc.py:163 DEBUG [RNT078] Value 'price_per_day' read as 14
2020-08-11 01:17:11,104 charges_calc.py:163 DEBUG [RNT078] Value 'units_rented' read as 9
2020-08-11 01:17:11,104 charges_calc.py:177 DEBUG [RNT078] Value total_days set as 299
2020-08-11 01:17:11,104 charges_calc.py:177 DEBUG [RNT078] Value total_price set as 4186.0
2020-08-11 01:17:11,104 charges_calc.py:177 DEBUG [RNT078] Value total_sqrt set as 64.69930447848725
2020-08-11 01:17:11,104 charges_calc.py:177 DEBUG [RNT078] Value unit_cost set as 465.1111111111111
2020-08-11 01:17:11,104 charges_calc.py:163 DEBUG [RNT079] Value 'product_code' read as PRD85
2020-08-11 01:17:11,104 charges_calc.py:163 DEBUG [RNT079] Value 'rental_start' read as 11/27/18
2020-08-11 01:17:11,104 charges_calc.py:163 DEBUG [RNT079] Value 'rental_end' read as 1/27/18
2020-08-11 01:17:11,104 charges_calc.py:163 DEBUG [RNT079] Value 'price_per_day' read as 21
2020-08-11 01:17:11,104 charges_calc.py:163 DEBUG [RNT079] Value 'units_rented' read as 1
2020-08-11 01:17:11,104 charges_calc.py:177 DEBUG [RNT079] Value total_days set as -304
2020-08-11 01:17:11,104 charges_calc.py:177 DEBUG [RNT079] Value total_price set as -6384.0
2020-08-11 01:17:11,104 charges_calc.py:175 WARNING [RNT079] Unabled to calculate total_sqrt. Using 0.0
2020-08-11 01:17:11,104 charges_calc.py:177 DEBUG [RNT079] Value total_sqrt set as 0.0
2020-08-11 01:17:11,104 charges_calc.py:177 DEBUG [RNT079] Value unit_cost set as -6384.0
2020-08-11 01:17:11,104 charges_calc.py:163 DEBUG [RNT080] Value 'product_code' read as PRD8
2020-08-11 01:17:11,104 charges_calc.py:163 DEBUG [RNT080] Value 'rental_start' read as 6/27/17
